"","stat","pval","p.adj","num.genes","gene.vals","Driver","DriverNumeric"
"REACTOME_POLB_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR",0.0394548766816144,0.69921349149895,0.862889750289259,8,"PARG:200, PARP2:2858, APEX1:8114.5, POLB:8114.5, LIG1:8114.5, ADPRS:8114.5, PARP1:8114.5, FEN1:12881","Both",3
"REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY",0.0306369796346212,0.60362238593351,0.797896746215629,24,"PARG:200, RFC2:1497, RFC1:1939, RPA2:2701, POLD1:2724, RPA3:2824, PARP2:2858, RFC4:3461, POLD3:8114.5, POLE2:8114.5, RFC5:8114.5, POLE4:8114.5, RPA1:8114.5, POLE3:8114.5, POLD4:8114.5, APEX1:8114.5, POLB:8114.5, LIG1:8114.5, ADPRS:8114.5, PARP1:8114.5, FEN1:12881, RFC3:14465, POLD2:14510, POLE:14926","Both",3
"REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA",0.0674607623318386,0.508840272120194,0.72702121002603,8,"PPP3CC:818, BAD:3701, BID:8114.5, AKT2:8114.5, AKT1:8114.5, BCL2:8114.5, SFN:8114.5, PPP3R1:8114.5","Unclear",0
"REACTOME_ACTIVATION_OF_NOXA_AND_TRANSLOCATION_TO_MITOCHONDRIA",-0.0283505154639175,0.844325951903253,0.922190752635921,4,"E2F1:6991.5, TFDP2:6991.5, TP53:6991.5, TFDP1:6991.5","Unclear",0
"REACTOME_BH3_ONLY_PROTEINS_ASSOCIATE_WITH_AND_INACTIVATE_ANTI_APOPTOTIC_BCL_2_MEMBERS",-0.0393773920284401,0.718295279191598,0.875090006404844,7,"BCL2L1:1501, BID:6991.5, BMF:6991.5, BBC3:6991.5, BCL2L11:6991.5, BCL2:6991.5, BAD:11405","Unclear",0
"REACTOME_RELEASE_OF_APOPTOTIC_FACTORS_FROM_THE_MITOCHONDRIA",0.0625686428331279,0.628036910923294,0.816402703961571,5,"BAK1:1129, BAX:8114.5, GSDMD:8114.5, GSDME:8114.5, DIABLO:8114.5","Unclear",0
"REACTOME_FORMATION_OF_APOPTOSOME",-0.111070627802691,0.276720123937927,0.53077274836179,8,"CASP9:1643, XIAP:2414, MAPK3:6991.5, APAF1:6991.5, UACA:6991.5, APIP:6991.5, AVEN:6991.5, DIABLO:6991.5","Unclear",0
"REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE",-0.236882214501849,0.066614644759656,0.235965038313673,5,"CASP7:1310, CASP9:1643, XIAP:2414, APAF1:6991.5, CASP3:6991.5","Unclear",0
"REACTOME_CYTOCHROME_C_MEDIATED_APOPTOTIC_RESPONSE",-0.132692307692308,0.146313797589835,0.363867278695823,10,"CASP7:1310, CASP9:1643, XIAP:2414, MAPK3:6991.5, APAF1:6991.5, UACA:6991.5, APIP:6991.5, CASP3:6991.5, AVEN:6991.5, DIABLO:6991.5","Unclear",0
"REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS",-0.102285335611171,0.0315003095484026,0.150650021527241,37,"DBNL:51, PLEC:87, BCAP31:151, PTK2:182, DSG3:589, VIM:828, LMNB1:849, DSG2:1184, DSP:1262, CASP7:1310, TJP1:1495, PKP1:1611, BMX:2175, CDH1:2508, CASP8:6991.5, ROCK1:6991.5, ADD1:6991.5, STK24:6991.5, BIRC2:6991.5, TJP2:6991.5, STK26:6991.5, DSG1:6991.5, CASP6:6991.5, GSN:6991.5, GAS2:6991.5, LMNA:6991.5, CASP3:6991.5, SATB1:6991.5, MAPT:6991.5, SPTAN1:6991.5, PRKCD:12216, APC:12387, PRKCQ:12806, FNTA:12961, OCLN:13479, ACIN1:14539, CLSPN:14988","Both",3
"REACTOME_SMAC_XIAP_REGULATED_APOPTOTIC_RESPONSE",-0.202150115818576,0.0864134306598597,0.274785565219977,6,"CASP7:1310, CASP9:1643, XIAP:2414, APAF1:6991.5, CASP3:6991.5, DIABLO:6991.5","Unclear",0
"REACTOME_APOPTOTIC_FACTOR_MEDIATED_RESPONSE",-0.0389888633303411,0.589382555470188,0.787128001250227,16,"CASP7:1310, CASP9:1643, XIAP:2414, BAX:6991.5, MAPK3:6991.5, GSDMD:6991.5, GSDME:6991.5, APAF1:6991.5, UACA:6991.5, CDKN2A:6991.5, APIP:6991.5, CASP3:6991.5, AVEN:6991.5, DIABLO:6991.5, C1QBP:13411, BAK1:13977","Unclear",0
"REACTOME_OPIOID_SIGNALLING",-0.123269058818956,0.00118986301248589,0.017300992028323,58,"ADCY1:7, CAMK2B:8, PRKCG:10, ITPR1:92, NBEA:139, CAMK2D:299, GNB3:613, ADCY9:678, GNAT3:1047, PPP2R5D:1093, PDE1B:1210, ADCY2:1221, GRK2:1263, ADCY8:1328, CAMKK2:1334, ADCY3:1523, PRKCA:1644, GNA14:1937, GNB5:2041, PRKAR1B:2217, PPP2R1B:2343, PPP3R1:6991.5, PRKAR2B:6991.5, GNA15:6991.5, PRKACA:6991.5, PRKAR1A:6991.5, PRKAR2A:6991.5, PDE1A:6991.5, PLA2G4A:6991.5, ITPR2:6991.5, PRKACB:6991.5, CAMKK1:6991.5, CAMK2A:6991.5, PDYN:6991.5, PLCB4:6991.5, OPRM1:6991.5, PDE4D:6991.5, ADCY7:6991.5, PPP1R1B:6991.5, PLCB2:6991.5, GNAL:6991.5, CAMK2G:6991.5, PLCB3:6991.5, PDE1C:6991.5, PPP1CA:6991.5, ADCY5:6991.5, ADCY6:6991.5, KPNA2:6991.5, PLCB1:6991.5, PRKX:6991.5, PDE4B:6991.5, ITPR3:11705, PRKCD:12216, CAMK4:12996, PDE4A:13764, PDE4C:13828, PPP3CC:14288, ADCY4:14927","Both",3
"REACTOME_PKA_MEDIATED_PHOSPHORYLATION_OF_CREB",-0.163584994091902,0.0195902336243169,0.114308062215675,17,"ADCY1:7, NBEA:139, ADCY9:678, ADCY2:1221, ADCY8:1328, ADCY3:1523, PRKAR1B:2217, PRKAR2B:6991.5, PRKACA:6991.5, PRKAR1A:6991.5, PRKAR2A:6991.5, PRKACB:6991.5, ADCY7:6991.5, ADCY5:6991.5, ADCY6:6991.5, PRKX:6991.5, ADCY4:14927","Unclear",0
"REACTOME_CAMK_IV_MEDIATED_PHOSPHORYLATION_OF_CREB",-0.142320627802691,0.163393496871547,0.391753291036435,8,"CAMK2B:8, CAMK2D:299, CAMKK2:1334, CAMKK1:6991.5, CAMK2A:6991.5, CAMK2G:6991.5, KPNA2:6991.5, CAMK4:12996","Both",3
"REACTOME_CA_DEPENDENT_EVENTS",-0.164210400803993,0.00110817281809862,0.0167660128880948,33,"ADCY1:7, CAMK2B:8, PRKCG:10, NBEA:139, CAMK2D:299, ADCY9:678, PDE1B:1210, ADCY2:1221, GRK2:1263, ADCY8:1328, CAMKK2:1334, ADCY3:1523, PRKCA:1644, PRKAR1B:2217, PRKAR2B:6991.5, PRKACA:6991.5, PRKAR1A:6991.5, PRKAR2A:6991.5, PDE1A:6991.5, PLA2G4A:6991.5, PRKACB:6991.5, CAMKK1:6991.5, CAMK2A:6991.5, ADCY7:6991.5, CAMK2G:6991.5, PDE1C:6991.5, ADCY5:6991.5, ADCY6:6991.5, KPNA2:6991.5, PRKX:6991.5, PRKCD:12216, CAMK4:12996, ADCY4:14927","Both",3
"REACTOME_G_PROTEIN_MEDIATED_EVENTS",-0.150813771437927,0.000546847212863394,0.0101093627164797,44,"ADCY1:7, CAMK2B:8, PRKCG:10, ITPR1:92, NBEA:139, CAMK2D:299, ADCY9:678, GNAT3:1047, PDE1B:1210, ADCY2:1221, GRK2:1263, ADCY8:1328, CAMKK2:1334, ADCY3:1523, PRKCA:1644, GNA14:1937, PRKAR1B:2217, PRKAR2B:6991.5, GNA15:6991.5, PRKACA:6991.5, PRKAR1A:6991.5, PRKAR2A:6991.5, PDE1A:6991.5, PLA2G4A:6991.5, ITPR2:6991.5, PRKACB:6991.5, CAMKK1:6991.5, CAMK2A:6991.5, PLCB4:6991.5, ADCY7:6991.5, PLCB2:6991.5, GNAL:6991.5, CAMK2G:6991.5, PLCB3:6991.5, PDE1C:6991.5, ADCY5:6991.5, ADCY6:6991.5, KPNA2:6991.5, PLCB1:6991.5, PRKX:6991.5, ITPR3:11705, PRKCD:12216, CAMK4:12996, ADCY4:14927","Both",3
"REACTOME_ELECTRIC_TRANSMISSION_ACROSS_GAP_JUNCTIONS",-0.243987448167657,0.0588538434931673,0.217000981223273,5,"PANX2:1154, GJC1:1193, GJD2:2504, PANX1:6991.5, GJA10:6991.5","Unclear",0
"REACTOME_PRESYNAPTIC_DEPOLARIZATION_AND_CALCIUM_CHANNEL_OPENING",-0.18935860058309,0.0381684243531166,0.169249505775853,10,"CACNA1B:341, CACNG4:525, CACNB2:636, CACNA1E:1655, CACNB4:1763, CACNA2D2:6991.5, CACNB1:6991.5, CACNA2D3:6991.5, CACNB3:6991.5, CACNA1A:13356","Unclear",0
"REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE",-0.0212466372999796,0.634191283331796,0.821428859834474,42,"SYT1:166, DNAJC5:364, SLC17A7:369, SLC32A1:439, SNAP25:990, SLC18A2:1264, SYN3:1726, TSPOAP1:6991.5, SYN1:6991.5, SLC6A13:6991.5, CHAT:6991.5, SLC1A3:6991.5, RIMS1:6991.5, SLC1A6:6991.5, STX1A:6991.5, APBA1:6991.5, SLC1A2:6991.5, GLS:6991.5, SLC5A7:6991.5, GAD1:6991.5, SLC6A11:6991.5, SLC38A2:6991.5, NAAA:6991.5, PPFIA2:6991.5, PPFIA4:6991.5, ARL6IP5:6991.5, LIN7C:6991.5, SLC6A1:6991.5, SYN2:6991.5, SLC1A7:6991.5, SLC22A1:6991.5, PPFIA3:6991.5, SLC18A3:6991.5, UNC13B:6991.5, SLC22A2:11896, GAD2:11932, MAOA:12353, ABAT:12705, ALDH5A1:13303, GLS2:14231, SLC1A1:14262, SLC6A12:14960","Herbivore",1
"REACTOME_NEUROTRANSMITTER_CLEARANCE",0.0577483740749047,0.527248384009818,0.742099013559486,10,"COMT:484, MAOA:2753, SLC22A2:3210, SLC22A1:8114.5, ACHE:8114.5, SLC6A4:8114.5, BCHE:8114.5, SLC6A3:8114.5, LRTOMT:8114.5, ALDH2:12752","Herbivore",1
