,Rho,N,P,p.adj
NPAS1,-0.271572748803193,98,0.0011172062734755,0.0282757925277441
EPHX3,0.034690858586857,87,0.69523015141255,0.883282565771731
SDR42E2,-0.0198888062262712,104,0.805655978376868,0.929488286164424
LAMTOR5,0,21,1,1
SBNO1,0.00240651410532667,70,0.980605628053598,0.991972239649322
DNAJC3,0.137800913336467,78,0.141140768900197,0.439738060135678
MEI4,-0.0463309370305402,107,0.560903574193679,0.810410854945073
H6PD,0.118408547990615,113,0.126511543669062,0.415910269607556
CSMD1,-0.0415299256567718,108,0.600474861839933,0.833532591660231
OAZ1,0.0441293239094363,58,0.685790431665223,0.879300941780354
RANBP10,0.0083232084258292,79,0.92871251744345,0.973801486117879
C16orf74,-0.0257986517673365,44,0.837666845810513,0.940732581123772
NELFCD,-0.0244769007937699,54,0.828793109697041,0.937158170392507
NCBP2AS2,-0.204888643337329,58,0.0603259596965831,0.284955088095523
RASL10B,-0.0791984938852486,32,0.594853423788325,0.829692324654612
CCL5,-0.089967009871046,82,0.324286422381956,0.648813175610539
DUOX2,0.155031521084267,126,0.0344740940694854,0.214342380296207
TIGD2,-0.0427709523172631,85,0.633146166954711,0.850667168667103
ADAM21,0.0128092276071846,95,0.879733639813896,0.956603083224031
FAM205C,-0.0951163283340752,86,0.285599808523922,0.613214228115614
SMAGP,-0.0770114755648525,51,0.508936266755507,0.779919550511419
COLQ,0.0225641638117377,97,0.787633470985979,0.922770375911357
CCDC120,0.110757736618101,91,0.20058891168717,0.519204794245582
LIX1L,0.0294205957418735,37,0.831067478738932,0.938281602620092
SH3D19,-0.00400885576894816,125,0.956571773556548,0.982850799957488
KANTR,-0.257947111150226,19,0.191418425237607,0.507545531510683
SETD1B,-0.108231516387806,83,0.23279916864839,0.558070287667103
GAS2L2,-0.104218494075047,122,0.162013227053984,0.469713665978241
FNBP1L,-0.109994388184574,36,0.43178475772798,0.732668081466355
CCN6,0.157538826478379,101,0.0548620274521425,0.269371058099365
HEATR9,-0.138537428983046,126,0.0588223726556077,0.280647365831046
FAM214B,-0.0956322044979642,93,0.263809490218367,0.591854033595167
PPP1R26,-0.214559850118333,113,0.00562650240081352,0.0765866267969558
MRPL37,0.410744538491528,120,4.62950174667998e-08,3.40218647382894e-05
MMP28,-0.0797174619213818,107,0.317051946091395,0.642233613190489
TAF15,-0.176696410890605,75,0.0644110132528098,0.296822074728027
UPP2,-0.0354825907170752,48,0.768092220538285,0.913908360564507
RER1,0.0703075652549643,35,0.620548047320062,0.844571560132774
FRK,0.251981212981114,109,0.00141005053378082,0.0328160898652037
SIRT5,0.0989649210206051,95,0.242400905296878,0.568458812125576
