"","names.phenotypeVector.","names.commonPhenotypeVector.","phenotypeVector"
"97","vs_HLlasBor1","Hairy-taled Bats","Insectivore"
"98","vs_HLlemCat1","Ring-tailed Lemur","Herbivore"
"99","vs_lepWed1","Weddell seal","Vertivore"
"100","vs_HLlepAme1","Hare","Herbivore"
"101","vs_lipVex1","Chinese River Dolphin","Vertivore"
"102","vs_HLloxAfr4","Elephant","Herbivore"
"103","vs_HLlycPic2","African Hunting Dog ","Vertivore"
"104","vs_HLmacFas6","Crab-eating macaque","Omnivore"
"105","vs_rheMac10","Rhesus Macaca","Herbivore"
"106","vs_macNem1","Southern Pig-tailed Macaca","Herbivore"
"107","vs_HLmacSob1","Long-tongued Fruit Bats","Herbivore"
"108","vs_NA","vs_NA","Herbivore"
"109","vs_manLeu1","Drill","Omnivore"
"110","vs_HLmanJav1","Sunda pangolin","Insectivore"
"111","vs_HLmanPen2","Chinese pangolin","Insectivore"
"112","vs_HLmarMar1","Marmot","Herbivore"
"113","vs_HLmegLyr2","Asian False Vampire Bats","Omnivore"
"114","vs_NA","vs_NA","Omnivore"
"115","vs_HLmelCap1","Honey Badger","Omnivore"
"116","vs_HLmerUng1","Jird","Omnivore"
"117","vs_mesAur1","Golden hamster","Herbivore"
"118","vs_HLmesBid1","Beaked Whale","Insectivore"
"119","vs_micMur3","Mouse Lemur","Omnivore"
"120","vs_HLmicHir1","Little Big-eared Bats","Omnivore"
"121","vs_micOch1","Prairie vole","Herbivore"
"122","vs_HLminNat1","Natal Long-fingered Bat","Insectivore"
"123","vs_HLminSch1","Common Bent-wing Bat","Insectivore"
"124","vs_HLmirAng2","Elephant Seal","Omnivore"
"125","vs_HLmirCoq1","Coquerel's Dwarf Lemur","Omnivore"
"126","vs_monDom5","Opossum","Omnivore"
"127","vs_HLmonMon1","Narwal","Vertivore"
"128","vs_HLmorBla1","Leaf-chinned Bats","Insectivore"
"129","vs_HLmosMos1","Musk Deer","Herbivore"
"130","vs_HLmunMug1","Banded mongoose","Insectivore"
"131","vs_HLmusCar1","Ryukyu mouse","Omnivore"
"132","vs_mm10","Common mouse","Omnivore"
"133","vs_HLmusPah1","Gairdner's shrewmouse","Omnivore"
"134","vs_HLmusSpr1","Algerian mouse","Omnivore"
"135","vs_HLmusAve1","Common dormouse","Herbivore"
"136","vs_HLmusPut1","Ferret","Vertivore"
"137","vs_HLmyoCoy1","Nutria","Herbivore"
"138","vs_myoBra1","Brandt's bat","Insectivore"
"139","vs_myoDav1","David's myotis bat","Insectivore"
"140","vs_HLmyoLuc1","Microbat","Insectivore"
"141","vs_HLmyoMyo6","Greater mouse-eared bat","Insectivore"
"142","vs_nasLar1","Proboscis Monkey","Herbivore"
"143","vs_HLnocLep1","Fisherman Bats","Vertivore"
"144","vs_HLnomLeu4","Gibbon","Herbivore"
"145","vs_HLnycCou1","Slow Loris","Omnivore"
"146","vs_ochPri3","Pika","Herbivore"
"147","vs_octDeg1","Brush-tailed rat","Herbivore"
"148","vs_HLodoRos1","Pacific walrus","Insectivore"
"149","vs_HLodoVir2","White-tailed Deer","Herbivore"
"150","vs_HLokaJoh2","Okapia","Herbivore"
"151","vs_HLondZib1","Muskrat","Herbivore"
"152","vs_HLonyTor1","Southern grasshopper mouse","Insectivore"
"153","vs_orcOrc1","Killer whale","Vertivore"
"154","vs_HLornAna3","Platypus","Insectivore"
"155","vs_oryAfe1","Aardvark","Insectivore"
"156","vs_HLoryCun3","Rabbit","Herbivore"
"157","vs_otoGar3","Bushbaby","Omnivore"
"158","vs_HLoviAri5","Domestic sheep","Herbivore"
"159","vs_HLoviCan2","Bighorn sheep","Herbivore"
"160","vs_panPan3","Bonobo","Herbivore"
"161","vs_panTro6","Chimp","Herbivore"
"162","vs_HLpanOnc1","Jaguar","Vertivore"
"163","vs_HLpanPar1","Leopard","Vertivore"
"164","vs_panTig1","Tiger","Vertivore"
"165","vs_panHod1","Tibetan antelope","Herbivore"
"166","vs_HLpapAnu5","Olive Baboon","Omnivore"
"167","vs_NA","vs_NA","Omnivore"
"168","vs_HLparHer1","Palm Civet","Omnivore"
"169","vs_HLperLonPac1","Silky Pocket Mouse","Herbivore"
"170","vs_HLperManBai2","Deer mouse","Omnivore"
"171","vs_HLpetTyp1","Dassie rat","Herbivore"
"172","vs_HLphoPho1","Common Porpoise","Vertivore"
"173","vs_HLpilTep2","Red Colobus Monkey","Herbivore"
"174","vs_HLpipPip1","Pipistrelles","Insectivore"
"175","vs_HLpitPit1","Saki","Omnivore"
"176","vs_NA","vs_NA","Omnivore"
"177","vs_ponAbe3","Orangutan","Omnivore"
"178","vs_HLproCap3","Hydrax","Herbivore"
"179","vs_proCoq1","Sifakas","Herbivore"
"180","vs_HLpsaObe1","Fat sand rat","Herbivore"
"181","vs_ptePar1","Mustache Bat","Insectivore"
"182","vs_HLpteBra1","Giant Otter","Vertivore"
"183","vs_pteAle1","Black flying-fox","Herbivore"
"184","vs_HLpteVam2","Megabat","Herbivore"
"185","vs_HLpumCon1","Puma","Vertivore"
"186","vs_HLpygNem1","Douc Langur","Herbivore"
"187","vs_HLranTar1","Reindeer","Herbivore"
"188","vs_HLratNor7","Rat","Omnivore"
"189","vs_HLrhiSin1","Horseshoe Bats","Omnivore"
"190","vs_rhiBie1","Black and White Snub-nosed Langur ","Herbivore"
"191","vs_HLrhiRox2","Golden Snub-nosed Langur ","Herbivore"
"192","vs_HLrouAeg4","Rousette Fruit Bats","Herbivore"
"193","vs_HLsagImp1","Long-tusked Tamarins","Omnivore"
"194","vs_HLsaiTat1","Saiga","Herbivore"
"195","vs_HLsaiBol1","Squirrel monkey","Omnivore"
"196","vs_HLsarHar2","Tasmanian devil","Omnivore"
"197","vs_HLscaAqu1","Eastern American Mole","Insectivore"
"198","vs_HLsemEnt1","Hanuman Langur","Herbivore"
"199","vs_HLsigHis1","Cotton Rat","Omnivore"
"200","vs_HLsolPar1","Solenodons","Omnivore"
"201","vs_sorAra2","Shrew","Omnivore"
"202","vs_HLspeDau1","Mongolian Ground Squirrel ","Omnivore"
"203","vs_NA","vs_NA","Omnivore"
"204","vs_HLspiGra1","Spotted Skunk","Omnivore"
"205","vs_HLsurSur1","Slender-tailed Meerkat","Insectivore"
"206","vs_susScr11","Pig","Omnivore"
"207","vs_HLtadBra1","Free-tailed Bats","Insectivore"
"208","vs_HLtapInd1","Malayan Tapir","Herbivore"
"209","vs_HLtapTer1","South American Tapir","Herbivore"
"210","vs_HLthrSwi1","Cane rat","Herbivore"
"211","vs_HLtonSau1","Round-eared Bats","Insectivore"
"212","vs_HLtraJav1","Asiatic Mouse Deer","Herbivore"
"213","vs_triMan1","Manatee","Herbivore"
"214","vs_NA","vs_NA","Insectivore"
"215","vs_HLturTru3","Bottle-nose Dolphin","Vertivore"
"216","vs_HLuroGra1","Asiatic Shrew Mole (Sichuan and Yunnan)","Insectivore"
"217","vs_ursMar1","Polar Bear","Vertivore"
"218","vs_HLvulLag1","Arctic Fox","Vertivore"
"219","vs_HLxerIna1","African Ground Squirrel","Omnivore"
"220","vs_HLzalCal1","California Sea Lion","Vertivore"
"221","vs_HLzapHud1","Jumping Mouse","Omnivore"
"222","vs_HLzipCav1","Goose-beaked Whale","Insectivore"
"223","vs_HLacoRus1","Golden spiny mouse","Omnivore"
"224","vs_HLaepMel1","Impala","Herbivore"
"225","vs_HLalcAlc1","Moose","Herbivore"
"226","vs_HLallNig1","Allen's swamp monkey","Omnivore"
"227","vs_HLantFla1","Yellow-footed antechinus","Insectivore"
"228","vs_HLantMar1","Springbok","Herbivore"
"229","vs_HLantPal1","Pallid bat","Insectivore"
"230","vs_HLapoSyl1","Wood mouse","Omnivore"
"231","vs_HLarcGaz2","Antarctic fur seal","Insectivore"
"232","vs_HLarvNil1","African grass rat","Herbivore"
"233","vs_HLarvAmp1","European water vole","Herbivore"
"234","vs_HLaxiPor1","Indian hog deer","Herbivore"
"235","vs_HLbalMys1","Bowhead whale","Insectivore"
"236","vs_HLbalEde1","Bryde's whale","Omnivore"
"237","vs_HLbalMus1","Blue whale","Insectivore"
"238","vs_HLbalPhy1","Fin whale","Insectivore"
"239","vs_HLbasSum1","Cacomistle","Omnivore"
"240","vs_HLbosFro1","Gayal","Herbivore"
"241","vs_HLbosGru1","Domestic yak","Herbivore"
"242","vs_HLcalPym1","Pygmy Marmoset","Omnivore"
"243","vs_HLcalUrs1","Northern fur seal","Vertivore"
"244","vs_HLcapIbe1","Alpine ibex","Herbivore"
"245","vs_HLcapSib1","Siberian ibex","Herbivore"
"246","vs_HLcapPyg1","Siberian roe deer","Herbivore"
"247","vs_HLcerMon1","Mona monkey","Omnivore"
"248","vs_HLcerEla1","Central European red deer","Herbivore"
"249","vs_HLchoDid1","Linnaeus's two-toed sloth","Omnivore"
"250","vs_HLchoHof3","Hoffmann's two-toed sloth","Herbivore"
"251","vs_HLcoePre1","Brazilian porcupine","Herbivore"
"252","vs_HLconTau2","Blue wildebeest","Herbivore"
"253","vs_HLcroCro1","Spotted hyena","Vertivore"
"254","vs_HLcynGun1","Gunnison's prairie dog","Herbivore"
"255","vs_HLcynBra1","Lesser short-nosed fruit bat","Herbivore"
"256","vs_HLdamLun1","Damaliscus lunatus","Herbivore"
"257","vs_HLdidVir1","Virginia opossum","Omnivore"
