"gmtNames","gmtDriver"
"REACTOME_SHC1_EVENTS_IN_ERBB4_SIGNALING","Unclear"
"REACTOME_NUCLEAR_SIGNALING_BY_ERBB4","Unclear"
"REACTOME_DOWNREGULATION_OF_ERBB4_SIGNALING","Insectivore"
"REACTOME_INTERLEUKIN_7_SIGNALING","Insectivore"
"REACTOME_DEVELOPMENTAL_BIOLOGY","Herbivore"
"REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT","Both"
"REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM","Insectivore"
"REACTOME_ADAPTIVE_IMMUNE_SYSTEM","Insectivore"
"REACTOME_SPRY_REGULATION_OF_FGF_SIGNALING","Unclear"
"REACTOME_CA2_ACTIVATED_K_CHANNELS","Unclear"
"REACTOME_INWARDLY_RECTIFYING_K_CHANNELS","Herbivore"
"REACTOME_POTASSIUM_CHANNELS","Both"
"REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS","Both"
"REACTOME_TANDEM_PORE_DOMAIN_POTASSIUM_CHANNELS","Both"
"REACTOME_SPERM_MOTILITY_AND_TAXES","Unclear"
"REACTOME_ACROSOME_REACTION_AND_SPERM_OOCYTE_MEMBRANE_BINDING","Unclear"
"REACTOME_GRB7_EVENTS_IN_ERBB2_SIGNALING","Unclear"
"REACTOME_DOWNREGULATION_OF_ERBB2_ERBB3_SIGNALING","Unclear"
"REACTOME_TRANSCRIPTION_OF_E2F_TARGETS_UNDER_NEGATIVE_CONTROL_BY_DREAM_COMPLEX","Unclear"
"REACTOME_TRANSCRIPTION_OF_E2F_TARGETS_UNDER_NEGATIVE_CONTROL_BY_P107_RBL1_AND_P130_RBL2_IN_COMPLEX_WITH_HDAC1","Unclear"
"REACTOME_MITOCHONDRIAL_IRON_SULFUR_CLUSTER_BIOGENESIS","Unclear"
"REACTOME_RORA_ACTIVATES_GENE_EXPRESSION","Herbivore"
"REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_GENE_EXPRESSION","Unclear"
"REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS","Both"
"REACTOME_ELEVATION_OF_CYTOSOLIC_CA2_LEVELS","Both"
