	GO_Biological_Process_2023.stat	GO_Biological_Process_2023.pval	GO_Biological_Process_2023.p.adj	GO_Biological_Process_2023.num.genes	GO_Biological_Process_2023.gene.vals
RNA Secondary Structure Unwinding (GO:0010501)	-0.083316502	0.445284459	0.939968884	7	"AGO3:280, DHX9:5124.5, IGHMBP2:5124.5, AGO4:5124.5, AGO2:5124.5, DDX39B:5124.5, DHX36:10822"
RNA Splicing (GO:0008380)	-0.085303785	0.024847896	0.627203235	58	"SNRPN:156, SF3A3:270, WDR83:303, SMNDC1:331, SRSF10:354, SLU7:380, FUS:434, SRSF2:539, SNRPA1:1126, TARDBP:5124.5, HNRNPC:5124.5, NRDE2:5124.5, RRAGC:5124.5, RNPS1:5124.5, IVNS1ABP:5124.5, PPARGC1A:5124.5, DHX8:5124.5, LSM4:5124.5, SRPK2:5124.5, MAGOHB:5124.5, DDX39B:5124.5, MPHOSPH10:5124.5, SNRNP40:5124.5, HNRNPH3:5124.5, PRPF4B:5124.5, SRRM1:5124.5, PPIG:5124.5, SRSF4:5124.5, SNRNP25:5124.5, SF3B3:5124.5, SF3B4:5124.5, PDCD7:5124.5, ARVCF:5124.5, ZCRB1:5124.5, YJU2:5124.5, LSM1:5124.5, PPP1R9B:5124.5, DHX15:5124.5, DHX16:5124.5, SCNM1:5124.5, PRPF18:5124.5, LUC7L3:5124.5, DDX47:5124.5, CELF3:5124.5, RNPC3:5124.5, BCAS2:5124.5, SNRNP48:5124.5, RSRC1:5124.5, RNF113A:5124.5, DBR1:9231, SNRPB:9489, CCAR2:9973, WT1:9977, CDK12:10511, USB1:10639, WBP4:10704, SRPK1:11253, SCAF11:12419"
"RNA Splicing, Via Endonucleolytic Cleavage And Ligation (GO:0000394)"	-0.007992613	0.941627918	0.99088899	7	"DDX1:704, ERN1:5124.5, HEXIM1:5124.5, RTCB:5124.5, TRPT1:5124.5, TSEN2:9990, TSEN54:12242"
"RNA Splicing, Via Transesterification Reactions (GO:0000375)"	-0.164729661	0.032881771	0.640382817	14	"SF3A3:270, WDR83:303, SMNDC1:331, SRSF10:354, SLU7:380, MPHOSPH10:5124.5, SNRNP40:5124.5, SRRM1:5124.5, SRSF4:5124.5, SF3B3:5124.5, SF3B4:5124.5, LSM1:5124.5, DBR1:9231, SCAF11:12419"
"RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)"	-0.068936451	0.016960802	0.594633268	101	"U2AF2:117, SNRPN:156, SNRPA:161, SF3A3:270, WDR83:303, SRSF10:354, SLU7:380, HSPA8:409, HNRNPF:446, SRSF2:539, PPIL3:910, DHX38:1010, HNRNPR:1097, SNRPA1:1126, CWC27:1128, HNRNPC:5124.5, DDX5:5124.5, PABPC1:5124.5, PRPF19:5124.5, MTREX:5124.5, RNPS1:5124.5, RBMX:5124.5, DHX8:5124.5, LSM4:5124.5, LSM3:5124.5, LSM5:5124.5, MAGOHB:5124.5, DDX39A:5124.5, DDX39B:5124.5, CASC3:5124.5, EIF4A3:5124.5, TFIP11:5124.5, SNRNP40:5124.5, HNRNPH1:5124.5, HNRNPH3:5124.5, RBM4:5124.5, PRPF4B:5124.5, SRRM1:5124.5, SRSF4:5124.5, SRSF9:5124.5, SF3B3:5124.5, SF3B4:5124.5, DHX15:5124.5, DHX16:5124.5, RNPC3:5124.5, BCAS2:5124.5, RSRC1:5124.5, RNF113A:5124.5, PPIL1:5124.5, CWC15:5124.5, CRNKL1:5124.5, SRRM2:5124.5, RBMXL2:5124.5, SRSF6:5124.5, FRA10AC1:5124.5, PNN:5124.5, DHX35:5124.5, CWC22:5124.5, GPATCH1:5124.5, AQR:5124.5, IK:5124.5, USP49:5124.5, SNW1:5124.5, LSM7:5124.5, CWF19L1:5124.5, GEMIN7:5124.5, PIN1:5124.5, HTATSF1:5124.5, RBMX2:5124.5, SNRNP70:5124.5, RBM19:5124.5, PRPF40B:5124.5, PRPF40A:5124.5, NR5A1:5124.5, MFAP1:5124.5, BUD13:5124.5, ESS2:5124.5, SNU13:5124.5, U2AF1L4:5124.5, PPWD1:5124.5, RBM10:5124.5, PRPF31:5124.5, SART1:5124.5, SNIP1:9102, SRSF12:9168, DBR1:9231, FRG1:9253, GEMIN5:9285, SNRPB:9489, RBM41:10007, WBP4:10704, SART3:10808, CACTIN:11005, ZCCHC8:11066, METTL14:11191, RALY:11416, GPKOW:11526, RBM6:11796, CWF19L2:12274, GCFC2:12450, CWC25:12455"
RNA Stabilization (GO:0043489)	-0.058058774	0.27950509	0.8811222	29	"FUS:434, NOCT:520, IREB2:578, DND1:5124.5, YBX1:5124.5, PABPC1:5124.5, E2F1:5124.5, NRDE2:5124.5, TNIP1:5124.5, EIF4ENIF1:5124.5, DKC1:5124.5, PARN:5124.5, NSUN2:5124.5, METTL1:5124.5, TAF15:5124.5, SLC11A1:5124.5, TENT5B:5124.5, TENT5D:5124.5, GDNF:5124.5, THRAP3:5124.5, VIP:5124.5, PHAX:5124.5, LARP1:5124.5, MEIOC:5124.5, TRDMT1:9697, TENT5A:9731, ZAR1:10693, DHX36:10822, ZCCHC17:11270"
RNA Transport (GO:0050658)	-0.110116338	0.061988555	0.679125738	24	"SLBP:73, RAE1:312, TGFBR2:546, TST:765, KPNB1:1065, ZFP36L1:5124.5, ZFP36:5124.5, RFTN1:5124.5, YBX1:5124.5, SIDT2:5124.5, NUP214:5124.5, DDX39A:5124.5, DDX39B:5124.5, NUP153:5124.5, NUP155:5124.5, NUP188:5124.5, XPO5:5124.5, NUP62:5124.5, ATXN2:5124.5, SNUPN:5124.5, CKAP5:5124.5, TPR:10144, NUP98:10876, RBFOX1:12042"
RNA-mediated Gene Silencing (GO:0031047)	-0.145700966	0.018048983	0.605377063	22	"MOV10L1:115, AGO3:280, MOV10:763, DICER1:879, ZNFX1:1059, FKBP6:1062, DHX9:5124.5, PABPC1:5124.5, NRDE2:5124.5, HEXIM1:5124.5, AGO4:5124.5, AGO2:5124.5, HELZ:5124.5, TDRD1:5124.5, TNRC6B:5124.5, PIWIL2:5124.5, PIWIL4:5124.5, HELZ2:5124.5, MAEL:5124.5, PIWIL1:5124.5, TDRD12:10917, EXD1:11283"
RNA-templated DNA Biosynthetic Process (GO:0006278)	0.026405833	0.732351204	0.973158919	14	"PINX1:1144, WRAP53:1749, RFC1:3025, RAD50:3406, PTGES3:7610.5, RPA1:7610.5, MRE11:7610.5, POT1:7610.5, TERF1:7610.5, TERF2IP:7610.5, DKC1:7610.5, HSP90AB1:7610.5, PIF1:7610.5, TELO2:7610.5"
Rac Protein Signal Transduction (GO:0016601)	-0.193482614	0.02631037	0.627203235	11	"DBNL:295, TIAM1:441, ELMO1:555, NCKAP1:974, FARP2:5124.5, RHOG:5124.5, HACD3:5124.5, CDH13:5124.5, RAC3:5124.5, RAC1:5124.5, EPS8:9352"
Rap Protein Signal Transduction (GO:0032486)	-0.059359117	0.614612156	0.950772434	6	"RAP2B:507, RAP1A:5124.5, SGSM3:5124.5, RAPGEF3:5124.5, RAPGEF1:5124.5, RAPGEF2:12337"
Ras Protein Signal Transduction (GO:0007265)	-0.047786736	0.101264897	0.727130698	99	"DBNL:295, GPSM2:372, GDI1:384, EPS8L3:385, TIAM1:441, RAP2B:507, ROCK2:515, ELMO1:555, ARHGDIA:648, RALB:806, RRAS2:944, NCKAP1:974, KPNB1:1065, RASGRP1:5124.5, SHTN1:5124.5, NTN1:5124.5, TP53:5124.5, CDKN1A:5124.5, PLK2:5124.5, CDK2:5124.5, SOS1:5124.5, IGF1:5124.5, LIMK1:5124.5, CCNA2:5124.5, ROCK1:5124.5, NKIRAS1:5124.5, NKIRAS2:5124.5, CRKL:5124.5, NRAS:5124.5, RASGRP3:5124.5, BRAP:5124.5, NF1:5124.5, FARP2:5124.5, RHOG:5124.5, HACD3:5124.5, CDH13:5124.5, RAC3:5124.5, RAC1:5124.5, RAP1A:5124.5, SGSM3:5124.5, RAPGEF3:5124.5, RAPGEF1:5124.5, USP8:5124.5, COL1A2:5124.5, DOK2:5124.5, AGTR1:5124.5, RB1:5124.5, CELSR1:5124.5, RALA:5124.5, RACGAP1:5124.5, GRAP2:5124.5, SHOC2:5124.5, NGFR:5124.5, ARHGEF11:5124.5, RGL1:5124.5, RTKN:5124.5, RAPGEFL1:5124.5, ARHGAP1:5124.5, ARHGAP6:5124.5, ARHGAP4:5124.5, ARHGAP5:5124.5, RASSF1:5124.5, USP50:5124.5, ADGRG1:5124.5, KSR1:5124.5, RHOD:5124.5, MRAS:5124.5, TNFRSF25:5124.5, RAPGEF4:5124.5, RAPGEF5:5124.5, RASGRF1:5124.5, ARHGEF1:5124.5, RASGRF2:5124.5, PLD1:5124.5, RASGEF1B:5124.5, RASGEF1C:5124.5, PHACTR4:5124.5, CDKN2A:5124.5, EPS8L1:5124.5, CTNNAL1:5124.5, EPS8:9352, RASGRP2:9613, WAS:9703, ORC3:9797, ERAS:9993, RGL2:10041, RASGRP4:11183, PLEKHG7:11527, ARHGEF3:11550, RGL3:11681, PLCE1:11805, SOS2:11957, ADRA2A:12003, DOK3:12118, ARHGAP29:12140, ART4:12182, MYO9B:12250, RAPGEF6:12278, RAPGEF2:12337"
Rho Protein Signal Transduction (GO:0007266)	-0.029932926	0.534611679	0.944228651	36	"EPS8L3:385, ROCK2:515, ARHGDIA:648, SHTN1:5124.5, RHOV:5124.5, NTN1:5124.5, RHOBTB1:5124.5, RHOBTB2:5124.5, LIMK1:5124.5, ROCK1:5124.5, RHOG:5124.5, CDH13:5124.5, COL1A2:5124.5, AGTR1:5124.5, CELSR1:5124.5, RACGAP1:5124.5, NGFR:5124.5, ARHGEF11:5124.5, RTKN:5124.5, ARHGAP1:5124.5, ARHGAP6:5124.5, ARHGAP4:5124.5, ARHGAP5:5124.5, RHOD:5124.5, TNFRSF25:5124.5, ARHGEF1:5124.5, PHACTR4:5124.5, EPS8L1:5124.5, CTNNAL1:5124.5, EPS8:9352, WAS:9703, PLEKHG7:11527, ARHGEF3:11550, ADRA2A:12003, ARHGAP29:12140, MYO9B:12250"
SA Node Cell Action Potential (GO:0086015)	-0.091973751	0.52409093	0.939968884	4	"SCN5A:5124.5, CACNA1G:5124.5, HCN4:5124.5, CACNA1D:5124.5"
SCF-dependent Proteasomal Ubiquitin-Dependent Protein Catabolic Process (GO:0031146)	-0.014216366	0.821646971	0.988080918	21	"FBXW5:610, FBXO6:912, FBXO31:5124.5, FBXO2:5124.5, NCCRP1:5124.5, BTRC:5124.5, FBXO39:5124.5, FBXL18:5124.5, FBXO38:5124.5, FBXL4:5124.5, FBXL6:5124.5, FBXL5:5124.5, FBXL8:5124.5, CCNF:5124.5, KIF14:5124.5, SKP2:5124.5, FBXO9:9738, FBXW4:10595, FBXO4:11311, FBXL13:11323, DMAC2:12388"
SMAD Protein Complex Assembly (GO:0007183)	-0.179177183	0.214582573	0.814887427	4	"TGFB1:723, GARS1:5124.5, SMAD4:5124.5, SMAD2:5124.5"
SMAD Protein Signal Transduction (GO:0060395)	0.005042442	0.919016772	0.989743607	34	"INHBC:1010, GDF9:1167, RUNX2:1302, BMP10:1405, BMP3:2105, GDF2:2306, GDF3:2316, GDF5:2378, GDF7:2598, MAGI2:2615, GDF15:3524, BMP6:7610.5, GDF10:7610.5, GARS1:7610.5, BMP2:7610.5, BMP15:7610.5, LEFTY2:7610.5, SMAD5:7610.5, LEFTY1:7610.5, SMAD4:7610.5, GDF1:7610.5, INHBE:7610.5, SMAD6:7610.5, NODAL:7610.5, FOS:7610.5, HIPK2:7610.5, SMAD2:7610.5, SKI:7610.5, ATOH8:7610.5, INHA:7610.5, TGFB1:12012, NUP93:12272, GDF11:12295, ZMIZ2:12543"
SNARE Complex Assembly (GO:0035493)	-0.08100239	0.492028991	0.939968884	6	"STXBP1:47, VAMP2:5124.5, VAMP1:5124.5, STXBP6:5124.5, VAMP4:5124.5, UVRAG:11138"
SREBP Signaling Pathway (GO:0032933)	-0.091964466	0.58117075	0.947741173	3	"SH2D2A:5124.5, SREBF1:5124.5, INSIG1:5124.5"
SRP-dependent Cotranslational Protein Targeting To Membrane (GO:0006614)	-0.218132552	0.064275759	0.679125738	6	"SRPRA:84, ZFAND2B:646, SEC61B:5124.5, SRP19:5124.5, SRP72:5124.5, SRPRB:5124.5"
Schwann Cell Development (GO:0014044)	0.001489749	0.988359385	0.99613885	8	"PARD3:149, LGI4:1244, MYOC:7610.5, NF1:7610.5, SKI:7610.5, SIRT2:7610.5, ARHGEF10:7610.5, CNTNAP1:11775"
T Cell Activation (GO:0042110)	-0.028439595	0.408178484	0.939968884	71	"LFNG:729, TNFRSF4:736, SCRIB:802, CXADR:889, IL4:5124.5, PTPRC:5124.5, PIK3R2:5124.5, CASP8:5124.5, NHEJ1:5124.5, ZAP70:5124.5, KIT:5124.5, PIK3CD:5124.5, RASGRP1:5124.5, CD74:5124.5, LCK:5124.5, ITK:5124.5, TNFSF4:5124.5, CD247:5124.5, NLRC3:5124.5, JAG2:5124.5, DLL4:5124.5, CRTAM:5124.5, CD2:5124.5, CD4:5124.5, LEP:5124.5, JAML:5124.5, CD84:5124.5, CD80:5124.5, SLAMF9:5124.5, SLAMF7:5124.5, TNFSF14:5124.5, DDOST:5124.5, CD8B:5124.5, CD8A:5124.5, CD276:5124.5, SOX4:5124.5, CCL21:5124.5, IL2:5124.5, NCOR2:5124.5, IRF4:5124.5, LCP1:5124.5, MFAP3:5124.5, CD28:5124.5, LMBR1L:5124.5, CHD7:5124.5, CD3G:5124.5, CD3E:5124.5, CD3D:5124.5, DPP4:5124.5, PPP3CA:5124.5, CLEC7A:5124.5, CCR7:5124.5, F2RL1:5124.5, INS:5124.5, PIK3CG:5124.5, KIF13B:5124.5, CCL19:5124.5, ICOSLG:5124.5, PIK3R1:9166, PTPN22:9726, ORC3:9797, SLAMF6:9960, SLA2:10005, CD86:10241, CD44:10542, IFNE:11097, FOXP3:11514, LEPR:12144, PTPN2:12411, IFNK:12661, TREML2:12681"
T Cell Activation Involved In Immune Response (GO:0002286)	0.076161616	0.428888387	0.939968884	9	"IFNK:74, IFNE:1638, ITGAL:1742, CD74:7610.5, SLC11A1:7610.5, LCP1:7610.5, F2RL1:7610.5, TNFSF18:7610.5, ICAM1:7610.5"
T Cell Apoptotic Process (GO:0070231)	-0.028836834	0.823300842	0.988080918	5	"LMBR1L:5124.5, RIPK1:5124.5, FASLG:5124.5, GLI3:5124.5, FAS:9110"
T Cell Chemotaxis (GO:0010818)	-0.092001616	0.399302092	0.939968884	7	"GPR183:5124.5, PIK3CD:5124.5, PIK3CG:5124.5, CXCL10:5124.5, CCR2:5124.5, CXCL11:5124.5, SLC12A2:5124.5"
T Cell Differentiation (GO:0030217)	-0.004837597	0.918963948	0.989743607	37	"TGFB1:723, LFNG:729, ZFP36L1:5124.5, ZFP36L2:5124.5, PTPRC:5124.5, PIK3R2:5124.5, NHEJ1:5124.5, ZAP70:5124.5, KIT:5124.5, PIK3CD:5124.5, RAG2:5124.5, LIG4:5124.5, LCK:5124.5, ANXA1:5124.5, JAG2:5124.5, DLL4:5124.5, CD4:5124.5, LEP:5124.5, CD8A:5124.5, SOX4:5124.5, IL2:5124.5, CD28:5124.5, LMBR1L:5124.5, CHD7:5124.5, GLI3:5124.5, RIPK3:5124.5, SHH:5124.5, FADD:5124.5, PIK3R1:9166, SOX13:9221, PTPN22:9726, TCF7:10130, RAG1:10412, USP44:11423, FOXP3:11514, LEPR:12144, PTPN2:12411"
T Cell Differentiation In Thymus (GO:0033077)	-0.0542442	0.533389033	0.942689207	11	"ZFP36L1:5124.5, ZFP36L2:5124.5, PTPRC:5124.5, RAG2:5124.5, LIG4:5124.5, GLI3:5124.5, RIPK3:5124.5, SHH:5124.5, FADD:5124.5, CCR6:5124.5, RAG1:10412"
T Cell Homeostasis (GO:0043029)	0.102749719	0.285851051	0.890548721	9	"JAK3:676, FOXP3:1221, LGALS2:2575, FAS:3625, NCKAP1L:7610.5, TNFSF14:7610.5, RIPK3:7610.5, FADD:7610.5, ZC3H8:7610.5"
T Cell Mediated Cytotoxicity (GO:0001913)	-0.256183746	0.075989532	0.679125738	4	"CTSH:843, PRF1:1121, CRTAM:5124.5, EMP2:5124.5"
T Cell Mediated Immunity (GO:0002456)	-0.115734407	0.148598137	0.814887427	13	"CTSH:843, PRF1:1121, CD70:5124.5, GNL1:5124.5, MYO1G:5124.5, JAG1:5124.5, CRTAM:5124.5, CD8A:5124.5, EMP2:5124.5, BTN3A2:5124.5, C4BPA:5124.5, BTN3A3:5124.5, CR2:9555"
T Cell Migration (GO:0072678)	-0.092029498	0.313659508	0.91607679	10	"ZAP70:5124.5, GPR183:5124.5, PIK3CD:5124.5, MYO1G:5124.5, PIK3CG:5124.5, CXCL10:5124.5, CXCL11:5124.5, SLC12A2:5124.5, CCR6:5124.5, S1PR1:5124.5"
T Cell Proliferation (GO:0042098)	-0.130662177	0.174718973	0.814887427	9	"TNFRSF4:736, RASGRP1:5124.5, SLC11A1:5124.5, CRTAM:5124.5, TNFSF14:5124.5, LMBR1L:5124.5, PIK3CG:5124.5, TNFSF18:5124.5, DOCK8:5124.5"
T Cell Receptor Signaling Pathway (GO:0050852)	0.002327852	0.946024066	0.99088899	71	"IKBKB:135, SKAP1:391, NFKBIZ:688, FYB2:1066, EIF2B5:1136, EIF2B3:1346, ZC3H12A:1585, PRKD2:1880, FCHO1:1922, BTNL9:1924, DENND1B:2716, ORC3:2938, RIPK2:2990, PTPN22:3009, FYN:3250, BTNL2:3492, EIF2B4:3629, RC3H1:7610.5, PTPRC:7610.5, PTPRJ:7610.5, ZAP70:7610.5, BTK:7610.5, PIK3CD:7610.5, MALT1:7610.5, PLCG2:7610.5, RFTN1:7610.5, LCK:7610.5, ITK:7610.5, CTLA4:7610.5, STOML2:7610.5, RNF31:7610.5, PIK3CA:7610.5, PLCG1:7610.5, TRAF6:7610.5, CD247:7610.5, KHDRBS1:7610.5, CD8B:7610.5, CD8A:7610.5, CD276:7610.5, NCOR2:7610.5, CD28:7610.5, CD3G:7610.5, CD3E:7610.5, CD3D:7610.5, ICOSLG:7610.5, BTN3A2:7610.5, BTN3A3:7610.5, BTN1A1:7610.5, RC3H2:7610.5, THEMIS:7610.5, TNFRSF21:7610.5, THEMIS2:7610.5, RBCK1:7610.5, LCP2:7610.5, NFKBID:7610.5, VTCN1:7610.5, THY1:7610.5, PDE4B:7610.5, FYB1:7610.5, BTN2A2:7610.5, PDE4D:7610.5, WNK1:7610.5, HHLA2:7610.5, TXK:7610.5, SPPL3:7610.5, INPP5D:7610.5, ERMAP:7610.5, EIF2B2:7610.5, EIF2B1:7610.5, MOG:12253, TEC:12671"
T-helper 1 Cell Differentiation (GO:0045063)	-0.117874689	0.479500991	0.939968884	3	"TMEM98:195, STAT4:5124.5, TBX21:9101"
T-helper 1 Type Immune Response (GO:0042088)	-0.203566379	0.062186525	0.679125738	7	"TMEM98:195, IL18:258, HMGB1:5124.5, TLR4:5124.5, STAT4:5124.5, IL18BP:5124.5, IL12B:5124.5"
T-helper 17 Cell Differentiation (GO:0072539)	-0.005587532	0.962198385	0.993998823	6	"STAT3:816, IRF4:5124.5, RORC:5124.5, JAK1:5124.5, SLAMF6:9960, IL6:11248"
T-helper 17 Cell Lineage Commitment (GO:0072540)	0.011692246	0.927857852	0.989743607	5	"IL6:1487, SLAMF6:2775, IRF4:7610.5, JAK1:7610.5, STAT3:11919"
T-helper 2 Cell Differentiation (GO:0045064)	-0.009767794	0.946059326	0.99088899	4	"IL4:5124.5, MEN1:5124.5, KMT2A:5124.5, MYB:9289"
T-helper Cell Differentiation (GO:0042093)	-0.111152819	0.149976512	0.814887427	14	"TMEM98:195, PTGER4:615, BATF:1041, IL4:5124.5, GPR183:5124.5, HMGB1:5124.5, MEN1:5124.5, STAT4:5124.5, IL12B:5124.5, RORC:5124.5, KMT2A:5124.5, IL21:5124.5, MYB:9289, IL6:11248"
T-helper Cell Lineage Commitment (GO:0002295)	0.046955468	0.690416714	0.966973388	6	"IL6:1487, SLAMF6:2775, TBX21:3634, IRF4:7610.5, JAK1:7610.5, STAT3:11919"
TOR Signaling (GO:0031929)	-0.070580983	0.263057382	0.864306518	21	"RPTOR:25, LAMTOR1:553, MLST8:1071, PRR5L:1093, FNIP1:5124.5, MTOR:5124.5, RPS6KB1:5124.5, CARD11:5124.5, LARP1:5124.5, PINK1:5124.5, RPS6KB2:5124.5, LAMTOR5:5124.5, LAMTOR4:5124.5, PRR5:5124.5, FLCN:5124.5, EIF4EBP2:5124.5, RICTOR:5124.5, MEAK7:10179, CCDC88A:10975, SYAP1:11301, LAMTOR2:11833"
TORC1 Signaling (GO:0038202)	-0.162925462	0.110575457	0.747092686	8	"RPTOR:25, LAMTOR1:553, MLST8:1071, MTOR:5124.5, LARP1:5124.5, LAMTOR5:5124.5, LAMTOR4:5124.5, LAMTOR2:11833"
TORC2 Signaling (GO:0038203)	-0.059390145	0.64559173	0.955504398	5	"PRR5L:1093, PINK1:5124.5, PRR5:5124.5, RICTOR:5124.5, SYAP1:11301"
TRIF-dependent Toll-Like Receptor Signaling Pathway (GO:0035666)	-0.148406207	0.208094055	0.814887427	6	"CD40:860, IRF3:5124.5, TLR4:5124.5, TLR6:5124.5, TRAF3:5124.5, TICAM2:5124.5"
U2-type Prespliceosome Assembly (GO:1903241)	-0.097578527	0.339256081	0.933594806	8	"SF3A3:270, SNRPA1:1126, SF3B3:5124.5, SF3B4:5124.5, HTATSF1:5124.5, RBMX2:5124.5, SNIP1:9102, SNRPB:9489"
U4 snRNA 3'-End Processing (GO:0034475)	-0.091964466	0.58117075	0.947741173	3	"EXOSC3:5124.5, EXOSC5:5124.5, EXOSC9:5124.5"
UDP-N-acetylglucosamine Biosynthetic Process (GO:0006048)	-0.086793215	0.501523983	0.939968884	5	"UAP1:687, GNPDA2:5124.5, UAP1L1:5124.5, GNPNAT1:5124.5, PGM3:9912"
UDP-N-acetylglucosamine Metabolic Process (GO:0006047)	-0.030859567	0.777392698	0.977869683	7	"UAP1:687, GNPDA2:5124.5, UAP1L1:5124.5, GNPNAT1:5124.5, SLC35A3:5124.5, PGM3:9912, B4GALNT2:10234"
UV Protection (GO:0009650)	-0.035595274	0.762706016	0.976834073	6	"XPA:5124.5, MC1R:5124.5, GPX1:5124.5, SCARA3:5124.5, SDF4:5124.5, MFAP4:9420"
UV-damage Excision Repair (GO:0070914)	0.005352995	0.958190373	0.993274113	8	"XPC:2470, SIRT1:2866, POLA1:7610.5, POLD3:7610.5, XPA:7610.5, DDB2:7610.5, CUL4B:7610.5, MC1R:7610.5"
V(D)J Recombination (GO:0033151)	0.015821293	0.849519971	0.988080918	12	"PRKDC:671, RAG1:2323, TCF3:3335, DCAF1:7610.5, NHEJ1:7610.5, RAG2:7610.5, LIG4:7610.5, HMGB1:7610.5, HMGB2:7610.5, LIG1:7610.5, XRCC4:7610.5, LIG3:7610.5"
Wnt Signaling Pathway (GO:0016055)	-0.096280861	0.029093295	0.627203235	43	"PTEN:151, FZD10:198, FRAT1:789, WNT4:794, KLHL12:892, CTNNB1:906, BCL9L:972, PLCG2:5124.5, CSNK1E:5124.5, WNT1:5124.5, LRRK2:5124.5, RAC3:5124.5, JUP:5124.5, WNT5A:5124.5, WNT9B:5124.5, WNT16:5124.5, SFRP4:5124.5, SFRP2:5124.5, BCL9:5124.5, CPE:5124.5, NID1:5124.5, USP34:5124.5, LRP5:5124.5, CELSR2:5124.5, DVL1:5124.5, DVL2:5124.5, GPC4:5124.5, WNT3:5124.5, FZD2:5124.5, FZD1:5124.5, FZD6:5124.5, SIAH2:5124.5, WNT7A:5124.5, WNT7B:5124.5, CCDC88C:5124.5, STRN:5124.5, DIXDC1:5124.5, VPS35:5124.5, NR4A2:9360, TCF7:10130, FRZB:10999, TMEM67:12289, WNT8A:12298"
Wnt Signaling Pathway Involved In Midbrain Dopaminergic Neuron Differentiation (GO:1904953)	-0.091983037	0.47629028	0.939968884	5	"WNT1:5124.5, WNT5A:5124.5, WNT9B:5124.5, WNT3:5124.5, FZD1:5124.5"
"Wnt Signaling Pathway, Planar Cell Polarity Pathway (GO:0060071)"	-0.071180514	0.309754467	0.911241284	17	"TIAM1:441, RAC1:5124.5, CELSR1:5124.5, WNT5A:5124.5, CELSR2:5124.5, DVL1:5124.5, DVL2:5124.5, FZD2:5124.5, FZD6:5124.5, WNT7A:5124.5, VANGL2:5124.5, VANGL1:5124.5, DAAM1:5124.5, PRICKLE1:5124.5, PRICKLE2:5124.5, SMURF2:9353, MAGI2:10120"
[2Fe-2S] Cluster Assembly (GO:0044571)	0.12720374	0.243868906	0.83694562	7	"HSCB:320, NFS1:730, NDUFAB1:2341, FDX2:3110, LYRM4:7610.5, FXN:7610.5, GLRX3:11880"
acetyl-CoA Biosynthetic Process (GO:0006085)	-0.013244182	0.879130222	0.989244605	11	"ACLY:969, PDHX:5124.5, PDHB:5124.5, DIP2A:5124.5, MLYCD:5124.5, DLAT:5124.5, ACSS2:5124.5, ACSS1:5124.5, DLD:9659, PDHA2:9848, PPCS:11076"
acetyl-CoA Biosynthetic Process From Pyruvate (GO:0006086)	0.090661282	0.530029284	0.941277207	4	"PDHA2:2887, DLD:3076, PDHX:7610.5, PDHB:7610.5"
acetyl-CoA Metabolic Process (GO:0006084)	-0.021429293	0.766712198	0.976834073	16	"HMGCS2:652, ACLY:969, DIP2A:5124.5, MLYCD:5124.5, ACSS2:5124.5, ACSS1:5124.5, MVK:5124.5, HMGCS1:5124.5, ACAT1:5124.5, PMVK:5124.5, TDO2:5124.5, MVD:5124.5, NUDT8:9567, PPCS:11076, NUDT7:11393, ACACB:11631"
Acetylcholine Receptor Signaling Pathway (GO:0095500)	-0.123202116	0.157177804	0.814887427	11	"CHRM2:800, CHRNB2:5124.5, CHRM3:5124.5, CHRM5:5124.5, GNA11:5124.5, GNAQ:5124.5, CDK5R1:5124.5, PLCB1:5124.5, CHRNA3:5124.5, CHRNA7:5124.5, CHRND:5124.5"
Acid Secretion (GO:0046717)	0.298337998	0.006272051	0.374302078	7	"SLC51A:211, SLC51B:334, DRD3:353, SLC22A16:506, SLC26A6:1601, GHRL:7610.5, SLC9A3R1:7610.5"
Acidic Amino Acid Transport (GO:0015800)	0.017442364	0.873040699	0.989244605	7	"SLC1A1:96, SLC6A6:256, SLC1A3:7610.5, SLC17A8:7610.5, SLC9A3R1:7610.5, SLC6A13:7610.5, SLC32A1:12517"
Actin Crosslink Formation (GO:0051764)	0.053164983	0.580792235	0.947741173	9	"GAS2L3:1038, GAS2L2:1728, EPS8:3383, LCP1:7610.5, BAIAP2L1:7610.5, BAIAP2L2:7610.5, FLNA:7610.5, BAIAP2:7610.5, GAS2L1:7610.5"
Actin Cytoskeleton Reorganization (GO:0031532)	-0.07054295	0.109850275	0.747092686	43	"CTTN:360, PHACTR1:661, PARVA:881, CXADR:889, WHAMM:5124.5, KIT:5124.5, BCAR1:5124.5, FER:5124.5, ANXA1:5124.5, MINK1:5124.5, FARP2:5124.5, S1PR1:5124.5, RICTOR:5124.5, FLNA:5124.5, INSRR:5124.5, CDC42BPG:5124.5, DTNBP1:5124.5, PARVB:5124.5, CDC42BPB:5124.5, PARVG:5124.5, MYH9:5124.5, CASS4:5124.5, ASB2:5124.5, NEDD9:5124.5, ATP2C1:5124.5, MICALL2:5124.5, PTK7:5124.5, MKLN1:5124.5, EZR:5124.5, PLEK:5124.5, PLEK2:5124.5, EFS:5124.5, FGF7:5124.5, SIPA1L1:5124.5, SYDE1:5124.5, PIP5K1A:5124.5, THSD7A:5124.5, AUTS2:9143, PTPN1:9450, PDLIM4:10004, S1PR2:10370, THSD7B:10448, NPHS2:11073"
