	stat	pval	p.adj	num.genes	gene.vals	Directionality	DirectionalityNumeric
REACTOME_MEMBRANE_TRAFFICKING	-0.050944957	8.76E-05	0.002454351	525	"BIN1:71, SBF1:93, YKT6:117, SYT1:120, GJA8:123, DYNC1H1:194, CHRM2:217, SH3GL3:227, PLA2G6:289, KIF1A:317, DYNC1LI2:329, AP2A2:372, DNM2:395, EPN2:399, SYNJ1:417, TUBA4A:420, EGFR:452, DNM1:492, UBA52:502, BICD2:521, SH3GL2:527, ARFRP1:587, REPS2:629, PPP6R1:631, KIF21B:632, RPS27A:636, TBC1D16:639, TUBA1B:702, TSG101:728, RAB39A:760, DENND6B:769, NAPA:778, GPS1:791, SYS1:810, GALNT1:811, SCARB2:840, MADD:850, KLC4:866, PICALM:907, EXOC3:935, VTI1A:941, EREG:963, ANK2:970, RAB9A:995, CSNK1D:1052, COPB1:1061, GJA4:1089, ARFGAP1:1096, TMED3:1137, CLVS1:1153, AGFG1:1163, SEC23A:1208, DENND3:1221, NSF:1233, PACSIN3:1243, TRAPPC3:1252, GRK2:1272, KIF2B:1280, TJP1:1283, COPS2:1284, EXOC5:1300, GJC1:1348, STX17:1355, TSC1:1359, LMAN2L:1393, SORT1:1405, SYNJ2:1417, PRKAB2:1425, TUBB2A:1503, STX18:1506, M6PR:1510, TMEM115:1614, EXOC7:1615, HGS:1623, KIF26A:1630, CYTH1:1646, STX4:1665, RAB38:1695, TRAPPC10:1728, TUBA8:1763, TRAPPC9:1765, EPN1:1766, GGA2:1770, SNX5:1817, BET1L:1830, COPB2:1841, HIP1R:1871, TACR1:1885, GJA3:1901, NAA35:1912, PRKAG2:1919, HPS1:1937, CHMP4B:1973, COG6:1979, CTTN:1981, RIC1:2002, TRAPPC12:2071, CYTH3:2089, SEC22A:2115, AAK1:2121, TBC1D20:2162, TSC2:2168, AP1S2:2169, RAB18:2203, VPS51:2235, KIF25:2243, EXOC4:2249, TUBB4A:2317, BET1:2330, DENND5B:2334, DCTN1:2371, BICD1:2372, SPTBN4:2385, TMED9:2386, GJB4:2415, GJD2:2439, PPP6R3:2482, CD4:2529, COL7A1:2530, DCTN3:2563, RAB3GAP2:2565, GALNT2:2588, UBQLN2:2605, KIF3C:2607, CBL:2620, SCFD1:2622, IL7R:2635, DYNLL1:7062, AKT2:7062, AKT1:7062, UBB:7062, SFN:7062, SPTAN1:7062, RAB27B:7062, KIF1B:7062, KIF2A:7062, ACTB:7062, KIFAP3:7062, CAPZB:7062, KIF22:7062, APOB:7062, KIF9:7062, TUBB1:7062, KIF3B:7062, KLC3:7062, STXBP3:7062, CAPZA1:7062, PLA2G4A:7062, VPS45:7062, TUBB2B:7062, ARRB1:7062, KIF23:7062, KIF21A:7062, APP:7062, KIF2C:7062, KIF5A:7062, KIF26B:7062, KIF27:7062, TUBA1A:7062, KIFC2:7062, KIF5B:7062, KLC2:7062, TUBAL3:7062, F8:7062, TUBB4B:7062, KIF19:7062, SRC:7062, KIF13B:7062, F5:7062, GJA10:7062, SLC18A3:7062, PRKAB1:7062, GRIA1:7062, AP2M1:7062, PRKAA2:7062, PRKAG1:7062, AP2A1:7062, SYT2:7062, SYT9:7062, SEC13:7062, VAMP3:7062, SNAP23:7062, LNPEP:7062, VAMP8:7062, CLTCL1:7062, MYH9:7062, WASL:7062, SPTBN1:7062, CLTA:7062, SPTBN5:7062, SH3KBP1:7062, SPTBN2:7062, CLTB:7062, SLC2A4:7062, ACTG1:7062, PIP5K1C:7062, DNM3:7062, ITSN1:7062, ARPC4:7062, INS:7062, VAMP7:7062, ARF1:7062, DYNC1I2:7062, AP1B1:7062, DCTN6:7062, CTSC:7062, AP1M2:7062, ACTR10:7062, DCTN4:7062, SEC24B:7062, SEC24D:7062, AP1S3:7062, DYNC1I1:7062, CD3G:7062, AP1G1:7062, CD3D:7062, DCTN2:7062, SEC24C:7062, CAPZA3:7062, AVP:7062, TBC1D1:7062, EXOC1:7062, C2CD5:7062, EXOC2:7062, EXOC8:7062, RAB14:7062, TBC1D4:7062, EXOC6:7062, RAB13:7062, ASPSCR1:7062, RALGAPB:7062, RALGAPA2:7062, MYO5A:7062, MYO1C:7062, AGPAT3:7062, OCRL:7062, SBF2:7062, PPP6C:7062, ANKRD28:7062, GJB6:7062, GJA1:7062, GJB2:7062, GJD4:7062, GJB3:7062, GJB5:7062, GJC2:7062, VTA1:7062, CHMP3:7062, VPS4B:7062, VPS4A:7062, VPS37B:7062, CHMP7:7062, VPS37A:7062, VPS28:7062, CHMP4C:7062, VPS37C:7062, CHMP6:7062, VPS37D:7062, MVB12B:7062, CHMP4A:7062, USO1:7062, GNS:7062, ZW10:7062, OPTN:7062, AREG:7062, TGFA:7062, EPGN:7062, GDI2:7062, RAB27A:7062, SNAP29:7062, CTSZ:7062, SURF4:7062, FTH1:7062, TBC1D10C:7062, IGF2R:7062, TXNDC5:7062, LDLR:7062, LDLRAP1:7062, SH3GL1:7062, TRIP11:7062, SLC2A8:7062, CFTR:7062, DVL2:7062, WNT5A:7062, FZD4:7062, COPZ2:7062, TRAPPC6A:7062, LMAN1:7062, SEC22C:7062, ARCN1:7062, KDELR3:7062, COG4:7062, COPE:7062, SEC23IP:7062, GOSR2:7062, GOSR1:7062, FOLR1:7062, TFG:7062, COPA:7062, NAPB:7062, NAPG:7062, TMED7:7062, COG3:7062, PREB:7062, LMAN1L:7062, SEC16A:7062, COPG2:7062, STX5:7062, COG5:7062, COG1:7062, TRAPPC2L:7062, LMAN2:7062, TMED10:7062, CNIH2:7062, MCFD2:7062, COPG1:7062, COG8:7062, ARFGAP3:7062, ALS2:7062, RABGAP1:7062, RABEP1:7062, DTNBP1:7062, USE1:7062, SNAP91:7062, GOLGA5:7062, TBC1D25:7062, TFRC:7062, TPD52:7062, AMPH:7062, PAFAH1B3:7062, RAB21:7062, NECAP1:7062, TBC1D2:7062, GRK3:7062, GGA1:7062, RAB36:7062, PACSIN2:7062, AP4S1:7062, RIN3:7062, MON1B:7062, BLOC1S6:7062, ANKRD27:7062, TBC1D13:7062, RGP1:7062, CPD:7062, MAN1A1:7062, TPD52L1:7062, TRAPPC13:7062, BNIP1:7062, RAB3GAP1:7062, DNAJC6:7062, VAMP4:7062, MAN1C1:7062, RAB32:7062, ARL1:7062, TBC1D15:7062, CCZ1:7062, STX16:7062, PACSIN1:7062, GGA3:7062, TRIP10:7062, AVPR2:7062, SNX9:7062, FCHO1:7062, ARFIP2:7062, TBC1D14:7062, RIN2:7062, SYT11:7062, TBC1D8B:7062, AP4B1:7062, RAB33A:7062, PUM1:7062, UBQLN1:7062, RINT1:7062, BLOC1S1:7062, STX6:7062, VPS36:7062, TOR1B:7062, TOR1A:7062, GOLGA1:7062, DENND4C:7062, KIAA0319:7062, FNBP1L:7062, COPS4:7062, NAA30:7062, STON2:7062, VPS53:7062, VPS54:7062, COPS7B:7062, AGTR1:7062, TBC1D7:7062, CCZ1B:7062, DENND2A:7062, USP6NL:7062, SYT8:7062, TRAPPC8:7062, RABGEF1:7062, FCHO2:7062, SNF8:7062, TBC1D24:7062, DENND2D:7062, GAPVD1:7062, RAB3IL1:7062, TRAPPC11:7062, ADRB2:7062, RAB33B:7062, RAB43:7062, GOLIM4:7062, DENND4A:7062, RIN1:7062, DENND6A:7062, DENND2C:7062, ULK1:7062, AP3S1:7062, ALS2CL:7062, GAK:7062, SNX18:7062, GCC1:7062, YIPF6:7062, ACBD3:7062, NAA38:7062, BLOC1S4:7062, RINL:7062, CHM:7062, BLOC1S3:7062, MAN2A2:7062, MAN1A2:7062, ITSN2:7062, COPS8:7062, CHML:7062, GDI1:7062, SNX2:7062, VPS52:7062, DENND1B:7062, AP1G2:7062, AP4M1:7062, RAB7B:7062, KLC1:11484, DENND2B:11509, UBAP1:11525, TBC1D10A:11610, GJA5:11721, KIF3A:11748, MYO6:11773, STAM2:11872, BTC:11875, KIF1C:11885, GCC2:11905, GJA9:11911, CLINT1:11945, KIF4A:12049, MVB12A:12093, GJB7:12139, COG2:12206, HBEGF:12215, TUBB8B:12217, TUBB8:12220, KIF18B:12262, CD59:12301, ARF3:12351, REPS1:12357, RAB12:12423, DYNLL2:12478, ANK3:12484, KIF20B:12486, GOLGB1:12527, MIA3:12529, COPZ1:12590, SCOC:12645, SEC31A:12688, DAB2:12737, RAB5C:12743, DNASE2:12744, STAM:12776, TBC1D17:12803, ARRB2:12816, KIF18A:12839, SH3D19:12852, SYTL1:12868, ARFGAP2:12871, KIF15:12964, CENPE:13177, RACGAP1:13193, FNBP1:13206, CUX1:13262, EPS15:13277, EPS15L1:13317, EGF:13508, KIFC1:13551, MON1A:13689, STX10:13713, DENND1A:13725, SGIP1:13952, PLIN3:13965, TRAPPC4:14010, STON1:14022, DYNC1LI1:14033, RABEPK:14091, DENND5A:14099, CYTH4:14138, KIF11:14190, HPS4:14195, GBF1:14212, KIF12:14255, TMF1:14280, SEC16B:14298, AP3B1:14299, RAB3IP:14304, KIF6:14313, HIP1:14371, SEC24A:14409, PIK3C2A:14455, SPTB:14535, RAB31:14543, MIA2:14548, KIF20A:14554, GOLGA4:14712, NECAP2:14777, KIF16B:14806, RHOBTB3:14894, AP4E1:14931, DENND1C:14969, SPTA1:15033, MAN2A1:15039, ANK1:15074"	Herbivore	1
REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING	-0.038452442	0.29596007	0.539551067	62	"DNM2:395, SH3GL2:527, NAPA:778, PICALM:907, CLVS1:1153, SORT1:1405, M6PR:1510, HGS:1623, STX4:1665, SNX5:1817, HIP1R:1871, AP1S2:2169, ARRB1:7062, APP:7062, SNAP23:7062, VAMP8:7062, CLTA:7062, CLTB:7062, VAMP7:7062, ARF1:7062, AP1B1:7062, AP1M2:7062, AP1S3:7062, AP1G1:7062, OCRL:7062, GNS:7062, CTSZ:7062, FTH1:7062, IGF2R:7062, TXNDC5:7062, DTNBP1:7062, TFRC:7062, TPD52:7062, NECAP1:7062, AP4S1:7062, BLOC1S6:7062, CPD:7062, TPD52L1:7062, DNAJC6:7062, SNX9:7062, TBC1D8B:7062, AP4B1:7062, PUM1:7062, BLOC1S1:7062, AP3S1:7062, GAK:7062, YIPF6:7062, ACBD3:7062, BLOC1S4:7062, BLOC1S3:7062, SNX2:7062, AP1G2:7062, AP4M1:7062, CLINT1:11945, GOLGB1:12527, RAB5C:12743, DNASE2:12744, SH3D19:12852, GBF1:14212, AP3B1:14299, PIK3C2A:14455, AP4E1:14931"	Both	3
REACTOME_CARNITINE_METABOLISM	0.068071092	0.37801437	0.617354991	14	"CPT2:243, PPARD:638, CPT1A:664, ACACB:926, SLC22A5:2370, PRKAA2:8044, RXRA:8044, ACACA:8044, MID1IP1:8044, SLC25A20:8044, CPT1B:8044, THRSP:12558, PRKAG2:13187, PRKAB2:13681"	Both	3
REACTOME_SIGNALING_BY_BMP	-0.100332007	0.095992814	0.280965981	23	"GREM2:926, UBE2D1:996, ACVR2B:1755, ACVRL1:2021, SMAD9:2024, SMAD7:2302, SMAD4:7062, CER1:7062, AMH:7062, SMURF2:7062, SMURF1:7062, BMP2:7062, SKI:7062, CHRDL1:7062, BMPR1A:7062, AMHR2:7062, SMAD6:7062, BMPR1B:7062, FSTL1:7062, SMAD1:7062, BMPR2:7062, GDF2:7062, BMP10:13299"	Unclear	3
REACTOME_SIGNALING_BY_ALK	-0.006354515	0.916036866	0.962140091	23	"MYC:443, PIK3CA:1390, IRS1:1591, PTPN6:2419, HDAC1:7062, PLCG1:7062, SHC1:7062, SIN3A:7062, SRC:7062, FRS2:7062, EP300:7062, HIF1A:7062, IL2RG:7062, PTPRZ1:7062, CD274:7062, PTN:7062, MYCN:7062, ALK:7062, PIK3R1:11896, PRDM1:11973, PIK3R2:12550, PIK3CB:13409, JAK3:14594"	Insectivore	2
REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT	-0.045972428	0.05235448	0.201437424	151	"H2BC4:192, H2AC4:369, CAV1:382, CBY1:436, MYC:443, UBA52:502, CSNK2B:603, RPS27A:636, PSMD12:671, H4C2:684, PPP2R5C:686, H3C13:758, H2BC15:781, HECW1:863, PSMF1:875, PSMA1:974, PPP2R5D:1081, DVL1:1148, BCL9:1217, H4C3:1275, H2AC14:1344, LRP5:1531, H3C1:1606, KLHL12:1716, H3C11:1880, H3C4:1908, XIAP:1951, CSNK1G2:2112, CCDC88C:2146, H4C13:2167, H2BC9:2180, PPP2R5B:2326, PPP2R1B:2431, H4C14:2485, PSMB1:7062, PSME4:7062, PSMD8:7062, PSMB5:7062, PSME2:7062, PSMD10:7062, AKT2:7062, PSMD3:7062, PSMD9:7062, PSMB2:7062, PSME3:7062, PSMB7:7062, AKT1:7062, PSMB6:7062, PSMA8:7062, PSMD4:7062, PSMB4:7062, PSMD6:7062, UBB:7062, PSMD1:7062, PSMD2:7062, PSMD13:7062, PSMB8:7062, PSMB10:7062, PSMB11:7062, PSMB9:7062, PPP2R5A:7062, HDAC1:7062, H3-3A:7062, H3C8:7062, H3C10:7062, H3C2:7062, H4C8:7062, H2AC20:7062, H2BC21:7062, H4C11:7062, H4C15:7062, H4C1:7062, LEO1:7062, BTRC:7062, USP8:7062, CREBBP:7062, EP300:7062, SMARCA4:7062, GSK3B:7062, DKK1:7062, WNT1:7062, SOX9:7062, ASH2L:7062, LEF1:7062, WNT3A:7062, TCF4:7062, SMURF2:7062, PIP5K1B:7062, TLE4:7062, TLE3:7062, TLE1:7062, AXIN1:7062, TCF7L2:7062, TCF7L1:7062, FRAT1:7062, AXIN2:7062, AMER1:7062, DVL2:7062, DVL3:7062, LRP6:7062, WNT8B:7062, CHD8:7062, TNKS2:7062, SOX6:7062, WNT5A:7062, RNF146:7062, SOX4:7062, LGR6:7062, SOX3:7062, WNT9A:7062, RSPO3:7062, RSPO2:7062, DKK2:7062, FZD1:7062, PYGO2:7062, SOX17:7062, SOST:7062, RSPO1:7062, TNKS:7062, FZD4:7062, FZD8:7062, BCL9L:7062, TRRAP:7062, LGR4:7062, RNF43:11492, KREMEN1:11502, PSMD5:11552, FZD6:11709, SEM1:11913, SOX13:12012, SOX7:12160, PSME1:12184, MEN1:12198, RYK:12239, APC:12249, ZNRF3:12276, RSPO4:12361, KMT2D:12562, FZD5:12580, KREMEN2:12585, TLE2:12692, SFRP1:13034, USP34:13211, WIF1:13290, RUNX3:13435, TCF7:13794, LGR5:13813, DACT1:14046, PYGO1:14088, WNT8A:14161, DKK4:15053"	Both	3
REACTOME_WNT_MEDIATED_ACTIVATION_OF_DVL	-0.190552505	0.140073506	0.345787321	5	"CSNK2B:603, DVL1:1148, PIP5K1B:7062, DVL2:7062, DVL3:7062"	Unclear	3
REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX	-0.095929523	0.021676874	0.116852923	48	"H2BC4:192, H2AC4:369, MYC:443, H4C2:684, H3C13:758, H2BC15:781, BCL9:1217, H4C3:1275, H2AC14:1344, H3C1:1606, H3C11:1880, H3C4:1908, H4C13:2167, H2BC9:2180, H4C14:2485, HDAC1:7062, H3-3A:7062, H3C8:7062, H3C10:7062, H3C2:7062, H4C8:7062, H2AC20:7062, H2BC21:7062, H4C11:7062, H4C15:7062, H4C1:7062, LEO1:7062, CREBBP:7062, EP300:7062, SMARCA4:7062, ASH2L:7062, LEF1:7062, TCF4:7062, TLE4:7062, TLE3:7062, TLE1:7062, TCF7L2:7062, TCF7L1:7062, AXIN2:7062, PYGO2:7062, BCL9L:7062, TRRAP:7062, MEN1:12198, KMT2D:12562, TLE2:12692, RUNX3:13435, TCF7:13794, PYGO1:14088"	Both	3
REACTOME_G_PROTEIN_ACTIVATION	-0.209706344	0.075285728	0.247701036	6	"GNB3:663, GNA14:1733, GNB5:2158, GNA15:7062, PDYN:7062, OPRM1:7062"	Unclear	3
REACTOME_METABOLISM_OF_NITRIC_OXIDE_NOS3_ACTIVATION_AND_REGULATION	-0.158418539	0.040207239	0.16954842	14	"CAV1:382, DNM2:395, HSP90AA1:2022, LYPLA1:2082, NOS3:2339, AKT1:7062, WASL:7062, SPR:7062, NOSIP:7062, DDAH1:7062, CYGB:7062, NOSTRIN:7062, ZDHHC21:7062, DDAH2:7062"	Unclear	3
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES	-0.077349022	0.040247767	0.16954842	59	"ITGB4:36, COL6A2:97, PLEC:110, ITGA6:193, COL5A2:197, COL6A1:285, COL3A1:463, COL15A1:625, COL12A1:658, COL4A1:1090, COL5A1:1370, COL1A2:1608, COL8A1:1706, COL4A2:1771, COL6A3:1828, MMP9:1976, COL6A5:2466, COL8A2:2528, COL7A1:2530, COL1A1:7062, COL4A4:7062, COL9A3:7062, COL9A1:7062, COL2A1:7062, COL4A3:7062, COL4A5:7062, COL6A6:7062, MMP3:7062, COL17A1:7062, CTSB:7062, COL11A1:7062, COL10A1:7062, MMP7:7062, MMP13:7062, COL18A1:7062, COL14A1:7062, COL4A6:7062, COL11A2:7062, LAMA3:7062, LAMC2:7062, BMP1:7062, LAMB3:7062, LOXL3:7062, LOXL1:7062, PXDN:7062, LOXL2:7062, LOXL4:7062, CD151:7062, COL9A2:11569, CTSS:11845, COL5A3:12029, LOX:12759, PCOLCE:12859, TLL1:12917, TLL2:12931, COL27A1:14451, COL24A1:14570, MMP20:14596, DST:15094"	Both	3
REACTOME_METABOLISM_OF_ANGIOTENSINOGEN_TO_ANGIOTENSINS	0.040225648	0.602404483	0.80039446	14	"CPB1:1, ENPEP:465, ATP6AP2:2693, AGT:3154, CTSD:8044, CPB2:8044, CTSZ:8044, ANPEP:8044, REN:8044, AOPEP:8044, ACE:8044, CPA3:8044, MME:12964, ACE2:14953"	Herbivore	1
REACTOME_KERATAN_SULFATE_BIOSYNTHESIS	0.085546895	0.131356777	0.33216868	26	"B3GNT4:108, B3GNT2:881, B3GNT7:1536, OMD:1705, SLC35D2:1790, ST3GAL6:2089, B4GALT1:2318, B4GALT5:2730, CHST6:2828, B3GNT3:3438, FMOD:8044, LUM:8044, ST3GAL4:8044, ST3GAL3:8044, ST3GAL1:8044, OGN:8044, B4GALT2:8044, B4GALT6:8044, B4GALT4:8044, KERA:8044, ST3GAL2:8044, B4GALT3:8044, CHST2:8044, B4GAT1:13195, CHST1:13580, PRELP:14476"	Both	3
REACTOME_KERATAN_SULFATE_DEGRADATION	0.080351802	0.335286909	0.580155755	12	"HEXB:557, GLB1:577, OMD:1705, GLB1L:3553, FMOD:8044, LUM:8044, OGN:8044, GNS:8044, KERA:8044, GALNS:8044, HEXA:8044, PRELP:14476"	Unclear	3
REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS	-0.012864841	0.842210532	0.937294063	20	"CHST15:30, BGN:670, CSPG4:1406, DCN:1790, CHSY1:2064, CHST12:2258, BCAN:7062, CHPF2:7062, CSPG5:7062, CHST3:7062, CHPF:7062, CHST11:7062, CHST13:7062, CHSY3:7062, CSGALNACT2:12498, CHST9:12926, CHST7:13200, CSGALNACT1:13257, VCAN:14025, NCAN:14977"	Both	3
REACTOME_DERMATAN_SULFATE_BIOSYNTHESIS	-0.045841957	0.598658977	0.797180307	11	"BGN:670, CSPG4:1406, DSEL:1642, DCN:1790, BCAN:7062, DSE:7062, UST:7062, CSPG5:7062, CHST14:11899, VCAN:14025, NCAN:14977"	Both	3
REACTOME_HS_GAG_BIOSYNTHESIS	-0.070343045	0.190186975	0.414266129	29	"HS6ST1:184, NDST4:209, GPC1:455, EXT1:508, HS3ST2:615, NDST3:2066, NDST1:2172, SDC1:7062, SDC4:7062, SDC2:7062, AGRN:7062, HSPG2:7062, HS3ST1:7062, GPC4:7062, GLCE:7062, EXT2:7062, HS2ST1:7062, NDST2:7062, HS6ST2:7062, GPC5:7062, HS3ST4:7062, GPC6:7062, HS6ST3:7062, GPC2:7062, HS3ST5:7062, GPC3:11934, HS3ST6:12943, SLC35D2:13316, SDC3:14063"	Both	3
REACTOME_TCR_SIGNALING	-0.048043591	0.118253917	0.314292326	89	"FYB1:346, UBA52:502, RPS27A:636, PSMD12:671, PSMF1:875, BCL10:911, NFKBIA:957, PSMA1:974, UBE2D1:996, PIK3CA:1390, MAP3K7:2004, CARD11:2091, MALT1:2156, IKBKG:2494, CD4:2529, PSMB1:7062, PSME4:7062, PSMD8:7062, PSMB5:7062, PSME2:7062, PSMD10:7062, PSMD3:7062, PSMD9:7062, PSMB2:7062, PSME3:7062, PSMB7:7062, PSMB6:7062, PSMA8:7062, PSMD4:7062, PSMB4:7062, PSMD6:7062, UBB:7062, PSMD1:7062, PSMD2:7062, PAK2:7062, PSMD13:7062, PSMB8:7062, PSMB10:7062, PSMB11:7062, PSMB9:7062, LCP2:7062, CSK:7062, PLCG1:7062, PDPK1:7062, LCK:7062, PLCG2:7062, LAT:7062, NFKB1:7062, SKP1:7062, BTRC:7062, RELA:7062, CHUK:7062, UBE2N:7062, UBE2D2:7062, TAB2:7062, PAK3:7062, PTPRC:7062, PAK1:7062, ENAH:7062, NCK1:7062, EVL:7062, GRAP2:7062, RIPK2:7062, PTPRJ:7062, HLA-DPA1:7062, TRAF6:7062, HLA-DRA:7062, UBE2V1:7062, WAS:7062, PAG1:7062, ITK:7062, ZAP70:7062, PTPN22:7062, CD101:7062, CD3G:7062, TRAT1:7062, CD3D:7062, CD247:7062, CD3E:7062, PSMD5:11552, PIK3R1:11896, INPP5D:11902, SEM1:11913, PSME1:12184, PIK3R2:12550, PRKCQ:13150, PIK3CB:13409, VASP:13492, IKBKB:14767"	Unclear	3
REACTOME_HS_GAG_DEGRADATION	0.093307882	0.129995465	0.330115244	22	"NAGLU:31, GLB1:577, GUSB:728, SDC3:1043, IDUA:1570, HPSE:1841, GPC3:3172, GLB1L:3553, SDC1:8044, SDC4:8044, SDC2:8044, AGRN:8044, HSPG2:8044, IDS:8044, GPC4:8044, HGSNAT:8044, GPC5:8044, SGSH:8044, GPC6:8044, GPC2:8044, HPSE2:13485, GPC1:14651"	Both	3
REACTOME_CS_DS_DEGRADATION	0.097591269	0.206278672	0.435504034	14	"NCAN:129, ARSB:201, HEXB:557, HYAL1:749, VCAN:1081, IDUA:1570, BCAN:8044, IDS:8044, CSPG5:8044, HYAL3:8044, HEXA:8044, DCN:13316, CSPG4:13700, BGN:14436"	Both	3
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	-0.037131304	0.520745922	0.734678241	25	"FYB1:346, CD4:2529, PAK2:7062, LCP2:7062, PLCG1:7062, LCK:7062, PLCG2:7062, LAT:7062, PAK3:7062, PAK1:7062, ENAH:7062, NCK1:7062, EVL:7062, GRAP2:7062, HLA-DPA1:7062, HLA-DRA:7062, WAS:7062, ITK:7062, ZAP70:7062, CD101:7062, CD3G:7062, CD3D:7062, CD247:7062, CD3E:7062, VASP:13492"	Unclear	3
REACTOME_CALCINEURIN_ACTIVATES_NFAT	-0.004740558	0.970717937	0.986586494	5	"PPIA:1185, PPP3R1:7062, NFATC2:7062, NFATC1:7062, NFATC3:14588"	Both	3
REACTOME_ERKS_ARE_INACTIVATED	-0.242397628	0.011813762	0.081923897	9	"PPP2R5D:1081, DUSP6:2183, DUSP7:2265, VRK3:2314, PPP2R1B:2431, MAPK7:2510, MAPK3:7062, DUSP4:7062, DUSP3:7062"	Unclear	3
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	-0.003473588	0.906180325	0.958916148	97	"L1CAM:37, ITGA6:193, CAV1:382, GPC1:455, SLC16A3:523, ITGA3:557, JAM2:973, FN1:1126, ATP1B2:1181, PPIA:1185, PIK3CA:1390, FCER1G:1471, COL1A2:1608, TGFB1:1814, JAM3:1855, SLC16A8:1924, PTPN6:2419, PTPN11:7062, CD74:7062, CD44:7062, CD84:7062, ATP1B3:7062, APOB:7062, GP6:7062, ANGPT2:7062, SLC7A8:7062, PPIL2:7062, PICK1:7062, PROCR:7062, SLC7A6:7062, SLC7A5:7062, MAG:7062, COL1A1:7062, PF4V1:7062, ITGA4:7062, SDC1:7062, SOS1:7062, CD2:7062, CD48:7062, EPCAM:7062, TEK:7062, SDC4:7062, PLCG1:7062, TREM1:7062, JCHAIN:7062, ITGAV:7062, ITGAX:7062, GRB7:7062, ATP1B1:7062, DOK2:7062, SLC7A11:7062, MERTK:7062, CXADR:7062, TSPAN7:7062, F11R:7062, ITGB2:7062, JAML:7062, SHC1:7062, ITGA5:7062, PF4:7062, SLC3A2:7062, SDC2:7062, ITGAM:7062, BSG:7062, SELP:7062, YES1:7062, F2:7062, LCK:7062, PROS1:7062, CD47:7062, SRC:7062, CD177:7062, MIF:7062, LYN:7062, ITGB3:7062, CD244:11677, SELE:11702, PIK3R1:11896, INPP5D:11902, PECAM1:12008, GAS6:12151, THBD:12275, PIK3R2:12550, SLC7A10:12726, OLR1:12771, SELL:13142, PIK3CB:13409, VPREB3:13482, ITGB1:13679, PROC:13741, SLC7A7:13780, ITGAL:13828, SDC3:14063, GRB14:14435, SLC7A9:14650, ANGPT4:14780, GLG1:14832"	Herbivore	1
REACTOME_SIGNALING_BY_HIPPO	-0.089998036	0.212815183	0.442567215	16	"TJP1:1283, AMOTL1:1616, NPHP4:2434, TJP2:7062, CASP3:7062, YAP1:7062, WWTR1:7062, WWC1:7062, DVL2:7062, STK4:7062, STK3:7062, AMOTL2:7062, AMOT:7062, LATS1:7062, LATS2:7062, SAV1:7062"	Unclear	1
REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	-0.058054059	0.093764918	0.278685312	70	"DOCK1:24, ITPR1:76, PTK2:164, PLPP4:176, PLA2G6:289, BAIAP2:698, CYFIP1:704, PLD1:816, MYH2:870, MYO10:1124, FCGR3A:1320, WASF1:1375, PIK3CA:1390, ELMO1:1668, HSP90AA1:2022, VAV3:2056, ELMO2:2369, PRKCE:2412, MAPK3:7062, FGR:7062, CDC42:7062, ACTB:7062, ITPR2:7062, PLCG1:7062, VAV1:7062, VAV2:7062, SYK:7062, YES1:7062, SRC:7062, PLCG2:7062, LYN:7062, FCGR1A:7062, HSP90AB1:7062, MYH9:7062, WASL:7062, ARPC1B:7062, PAK1:7062, NCK1:7062, ACTG1:7062, ARPC4:7062, HCK:7062, WAS:7062, CD3G:7062, CD247:7062, MYO5A:7062, MYO1C:7062, PLD3:7062, PLD2:7062, PLD4:7062, NCKAP1L:7062, WASF3:7062, ABI1:7062, ABI2:7062, PLPP5:7062, WASF2:7062, WIPF2:7062, NF2:7062, NCKIPSD:11847, PIK3R1:11896, WIPF3:12071, CFL1:12224, BTK:12477, ABL1:12479, ITPR3:12481, PIK3R2:12550, PRKCD:12881, LIMK1:12938, PIK3CB:13409, WIPF1:14247, MYO9B:14576"	Herbivore	1
REACTOME_FCGR_ACTIVATION	-0.062143978	0.496293176	0.715897121	10	"FCGR3A:1320, FGR:7062, SYK:7062, YES1:7062, SRC:7062, LYN:7062, FCGR1A:7062, HCK:7062, CD3G:7062, CD247:7062"	Unclear	1
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	-0.070143788	0.244525759	0.480261376	23	"ITPR1:76, PLPP4:176, PLA2G6:289, PLD1:816, FCGR3A:1320, PIK3CA:1390, PRKCE:2412, ITPR2:7062, PLCG1:7062, SYK:7062, PLCG2:7062, FCGR1A:7062, CD3G:7062, CD247:7062, PLD3:7062, PLD2:7062, PLD4:7062, PLPP5:7062, PIK3R1:11896, ITPR3:12481, PIK3R2:12550, PRKCD:12881, PIK3CB:13409"	Both	3
