	stat	pval	p.adj	num.genes	gene.vals	Directionality	DirectionalityNumeric
REACTOME_POLB_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR	0.037107623	0.716309321	0.876191117	8	"PARG:323, PARP2:2784, APEX1:8044, POLB:8044, LIG1:8044, ADPRS:8044, PARP1:8044, FEN1:13425"	Both	3
REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY	0.005840072	0.921161722	0.963931855	24	"PARG:323, RFC2:1364, RPA2:1999, RFC1:2191, POLD1:2567, PARP2:2784, RPA3:3205, POLD3:8044, POLE2:8044, POLE4:8044, RPA1:8044, POLE3:8044, RFC4:8044, POLD4:8044, APEX1:8044, POLB:8044, LIG1:8044, ADPRS:8044, PARP1:8044, RFC5:12891, FEN1:13425, POLD2:14521, RFC3:14539, POLE:14923"	Both	3
REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA	0.076821749	0.451860503	0.685778187	8	"PPP3CC:830, BAD:2960, BID:8044, AKT2:8044, AKT1:8044, BCL2:8044, SFN:8044, PPP3R1:8044"	Unclear	3
REACTOME_ACTIVATION_OF_NOXA_AND_TRANSLOCATION_TO_MITOCHONDRIA	-0.023588077	0.87022143	0.942914206	4	"E2F1:7062, TFDP2:7062, TP53:7062, TFDP1:7062"	Unclear	3
REACTOME_BH3_ONLY_PROTEINS_ASSOCIATE_WITH_AND_INACTIVATE_ANTI_APOPTOTIC_BCL_2_MEMBERS	-0.031122392	0.775557094	0.909778426	7	"BCL2L1:1314, BID:7062, BMF:7062, BBC3:7062, BCL2L11:7062, BCL2:7062, BAD:12146"	Unclear	3
REACTOME_RELEASE_OF_APOPTOTIC_FACTORS_FROM_THE_MITOCHONDRIA	0.06716351	0.60301375	0.800613985	5	"BAK1:1054, BAX:8044, GSDMD:8044, GSDME:8044, DIABLO:8044"	Unclear	3
REACTOME_FORMATION_OF_APOPTOSOME	-0.109094731	0.28535506	0.528052557	8	"CASP9:1941, XIAP:1951, MAPK3:7062, APAF1:7062, UACA:7062, APIP:7062, AVEN:7062, DIABLO:7062"	Unclear	3
REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE	-0.237666704	0.065718375	0.227717634	5	"CASP7:1301, CASP9:1941, XIAP:1951, APAF1:7062, CASP3:7062"	Unclear	3
REACTOME_CYTOCHROME_C_MEDIATED_APOPTOTIC_RESPONSE	-0.130701951	0.152462907	0.360748847	10	"CASP7:1301, CASP9:1941, XIAP:1951, MAPK3:7062, APAF1:7062, UACA:7062, APIP:7062, CASP3:7062, AVEN:7062, DIABLO:7062"	Unclear	3
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS	-0.098546359	0.03825823	0.166984747	37	"DBNL:59, PLEC:110, PTK2:164, BCAP31:226, DSG3:595, LMNB1:796, VIM:964, DSP:1204, TJP1:1283, CASP7:1301, PKP1:1542, DSG2:1913, BMX:1964, SATB1:2512, CDH1:7062, CASP8:7062, ROCK1:7062, ADD1:7062, STK24:7062, BIRC2:7062, TJP2:7062, STK26:7062, DSG1:7062, CASP6:7062, GSN:7062, GAS2:7062, LMNA:7062, CASP3:7062, MAPT:7062, SPTAN1:7062, APC:12249, FNTA:12298, PRKCD:12881, PRKCQ:13150, OCLN:13923, ACIN1:14553, CLSPN:14999"	Both	3
REACTOME_SMAC_XIAP_REGULATED_APOPTOTIC_RESPONSE	-0.202010013	0.086631666	0.265640975	6	"CASP7:1301, CASP9:1941, XIAP:1951, APAF1:7062, CASP3:7062, DIABLO:7062"	Unclear	3
REACTOME_APOPTOTIC_FACTOR_MEDIATED_RESPONSE	-0.034553131	0.632418033	0.82447557	16	"CASP7:1301, CASP9:1941, XIAP:1951, BAX:7062, MAPK3:7062, GSDMD:7062, GSDME:7062, APAF1:7062, UACA:7062, CDKN2A:7062, APIP:7062, CASP3:7062, AVEN:7062, DIABLO:7062, C1QBP:13873, BAK1:14052"	Unclear	3
