"","GO_Biological_Process_2023.stat","GO_Biological_Process_2023.pval","GO_Biological_Process_2023.p.adj","GO_Biological_Process_2023.num.genes","GO_Biological_Process_2023.gene.vals"
"Endoplasmic Reticulum Tubular Network Organization (GO:0071786)",-0.112805836139169,0.241309085533277,0.833044550632765,9,"TMEM170A:137, REEP4:708, RTN4:5124.5, RTN1:5124.5, ZFYVE27:5124.5, LNPK:5124.5, REEP3:5124.5, RETREG3:5124.5, RTN3:12308"
"Endosomal Lumen Acidification (GO:0048388)",-0.00223837894240803,0.984851822302217,0.996138850029209,6,"ATP6V1D:5124.5, ATP6V0C:5124.5, ATP6AP2:5124.5, ATP6V1H:5124.5, ATP6V0A1:5124.5, ATP6V0B:12031"
"Endosomal Transport (GO:0016197)",-0.0479693127633824,0.080372455922264,0.679498244808797,112,"REPS2:41, SNF8:162, NSG1:167, BAIAP3:176, PTPN23:343, RAB9A:404, VPS26A:488, LAMTOR1:553, SLC66A2:623, CMTM6:639, TINAGL1:725, ENTR1:839, CHMP2B:904, TBC1D23:946, TRIM27:5124.5, WASHC1:5124.5, VPS4B:5124.5, CHMP1B:5124.5, CHMP2A:5124.5, GCC2:5124.5, VPS51:5124.5, SORT1:5124.5, ASB15:5124.5, PREPL:5124.5, VPS35L:5124.5, CCDC93:5124.5, VPS54:5124.5, SNX1:5124.5, ERC1:5124.5, ARHGAP1:5124.5, VAMP4:5124.5, VPS35:5124.5, MICALL2:5124.5, MYO5B:5124.5, WASHC5:5124.5, TBC1D17:5124.5, AGAP2:5124.5, EVI5:5124.5, TBC1D5:5124.5, TBC1D10A:5124.5, TBC1D10C:5124.5, SQSTM1:5124.5, PIKFYVE:5124.5, RAB35:5124.5, TOM1:5124.5, VPS16:5124.5, VPS39:5124.5, SNX33:5124.5, SNX7:5124.5, DCTN1:5124.5, SNX9:5124.5, SNX6:5124.5, CLEC16A:5124.5, ZFYVE9:5124.5, RILP:5124.5, EHD4:5124.5, RAB17:5124.5, CLTC:5124.5, NSG2:5124.5, ITSN1:5124.5, ITSN2:5124.5, SNX18:5124.5, ANKFY1:5124.5, UBE2O:5124.5, TMEM87A:5124.5, STX16:5124.5, WASHC2C:5124.5, WASHC2A:5124.5, PLEKHJ1:5124.5, DENND2A:5124.5, VPS26B:5124.5, PHETA2:5124.5, VPS53:5124.5, RIC1:5124.5, SPAG9:5124.5, RAB9B:5124.5, AP5Z1:5124.5, SNX27:5124.5, RAB11FIP3:5124.5, RAB11FIP4:5124.5, HGS:5124.5, EPS15L1:5124.5, ANXA8L1:5124.5, ANXA8:5124.5, WASHC4:5124.5, ALS2:5124.5, AP5M1:5124.5, DENND10:5124.5, ALS2CL:5124.5, REPS1:9151, GGA1:9617, AP5S1:9618, RBSN:9816, DENND5A:9878, EPS15:9900, HEATR5B:9970, DENND1B:10019, CCDC22:10478, PLEKHA3:10556, LMTK2:10574, CLN5:10756, GBF1:10861, SNX4:11080, AP5B1:11109, RASSF9:11214, CORO1C:11341, MICALL1:11372, ANKRD50:11373, DENND1A:11519, ANKRD27:11774, RHOBTB3:12491, DENND1C:12642"
"Endosomal Vesicle Fusion (GO:0034058)",-0.0877562872437128,0.390096720267337,0.939968883639285,8,"TGFBRAP1:1015, VPS16:5124.5, VPS39:5124.5, VPS41:5124.5, VPS11:5124.5, VPS18:5124.5, VPS8:5124.5, VPS33A:9683"
"Endosome Organization (GO:0007032)",-0.0610845853957686,0.19891043959044,0.814887427138546,37,"PLEKHF1:9, LAMTOR1:553, CHMP2B:904, ATP6V1D:5124.5, ATP6V0C:5124.5, ATP6AP2:5124.5, ATP6V1H:5124.5, PI4K2B:5124.5, ARFGEF2:5124.5, EXOC8:5124.5, USP8:5124.5, USP50:5124.5, WASHC5:5124.5, SQSTM1:5124.5, VPS33B:5124.5, SNX33:5124.5, ATP6AP1:5124.5, RILP:5124.5, HOOK2:5124.5, HOOK1:5124.5, PLEKHJ1:5124.5, PHETA2:5124.5, EEA1:5124.5, DNAJC13:5124.5, VPS11:5124.5, VPS18:5124.5, ANXA8L1:5124.5, ANXA8:5124.5, WASHC4:5124.5, PLEKHF2:5124.5, ALS2:5124.5, ATP6V0A1:5124.5, RAB22A:9229, PLEKHA3:10556, RNF26:11278, CORO1C:11341, ATP6V0B:12031"
"Endosome To Lysosome Transport (GO:0008333)",-0.0871567534704631,0.0567080094851078,0.679125737674931,40,"PLEKHF1:9, CACNG3:159, BIN1:342, TGFBRAP1:1015, CACNG2:1036, MGRN1:1088, AP3D1:1109, UBXN6:5124.5, VPS4B:5124.5, SORT1:5124.5, KIF13A:5124.5, SNAPIN:5124.5, TRAK1:5124.5, ATG14:5124.5, VPS33B:5124.5, VIPAS39:5124.5, EPG5:5124.5, VPS16:5124.5, VPS39:5124.5, MTM1:5124.5, VPS41:5124.5, CLEC16A:5124.5, RILP:5124.5, HOOK2:5124.5, HOOK1:5124.5, SNX16:5124.5, LYST:5124.5, M6PR:5124.5, VPS11:5124.5, VPS18:5124.5, PLEKHF2:5124.5, UEVLD:5124.5, DENND3:5124.5, BECN2:9175, VPS33A:9683, PXK:9884, HMGXB4:9982, RAB7B:10305, MVB12A:10379, TPCN2:10453"
"Endosome To Lysosome Transport Via Multivesicular Body Sorting Pathway (GO:0032510)",-0.0833670033670034,0.386524118455708,0.939968883639285,9,"CHMP2B:904, UBXN6:5124.5, VPS4B:5124.5, CHMP1B:5124.5, CHMP2A:5124.5, CHMP5:5124.5, CHMP4C:5124.5, LYST:5124.5, MVB12A:10379"
"Endosome To Melanosome Transport (GO:0035646)",-0.155654281098546,0.228076770518499,0.820205908454082,5,"AP3D1:1109, BLOC1S5:5124.5, CD63:5124.5, RAB32:5124.5, AP1M1:5124.5"
"Endosome To Pigment Granule Transport (GO:0043485)",-0.155654281098546,0.228076770518499,0.820205908454082,5,"AP3D1:1109, BLOC1S5:5124.5, CD63:5124.5, RAB32:5124.5, AP1M1:5124.5"
"Endosome Transport Via Multivesicular Body Sorting Pathway (GO:0032509)",-0.0904680076821995,0.210392891925518,0.814887427138546,16,"TMEM50B:469, CHMP2B:904, UBXN6:5124.5, VTA1:5124.5, VPS4B:5124.5, CHMP1B:5124.5, CHMP2A:5124.5, CHMP5:5124.5, SORT1:5124.5, CHMP4C:5124.5, RILP:5124.5, LYST:5124.5, DENND10:5124.5, TMEM50A:5124.5, LEPROT:9138, MVB12A:10379"
"Endothelial Cell Chemotaxis (GO:0035767)",-0.0447528637793231,0.681805080821517,0.96360496528897,7,"CXCL13:5124.5, TNFRSF25:5124.5, CORO1B:5124.5, VEGFA:5124.5, EGR3:5124.5, NR4A1:5124.5, NELL1:9312"
"Endothelial Cell Development (GO:0001885)",-0.0471127282528132,0.527665860518063,0.940544196733718,15,"MYADM:501, PPP1R16B:586, RAP1A:5124.5, RAPGEF3:5124.5, RAPGEF1:5124.5, F2RL1:5124.5, ICAM1:5124.5, PDE4D:5124.5, PDE2A:5124.5, ROBO4:5124.5, SOX18:5124.5, MET:5124.5, PECAM1:10247, MARVELD2:10685, RAPGEF2:12337"
"Endothelial Cell Differentiation (GO:0045446)",-0.0467377032622968,0.647149227147698,0.955504397691183,8,"ACVRL1:5124.5, KDR:5124.5, JAG1:5124.5, SCUBE1:5124.5, TIE1:5124.5, SOX18:5124.5, KDM6B:5124.5, BMPR2:9716"
"Endothelial Cell Migration (GO:0043542)",-0.0243396417366663,0.655958656831713,0.957387882888403,28,"STARD13:455, NOS3:893, MEN1:5124.5, PIK3CA:5124.5, CDH13:5124.5, TNFRSF25:5124.5, DPP4:5124.5, EMP2:5124.5, MYH9:5124.5, CORO1B:5124.5, VEGFA:5124.5, CDH5:5124.5, CCN3:5124.5, TNFSF12:5124.5, CYP1B1:5124.5, STAT1:5124.5, EGR3:5124.5, NR4A1:5124.5, SOX18:5124.5, LPXN:5124.5, LOXL2:5124.5, PTP4A3:5124.5, NELL1:9312, PLXND1:9460, PXN:9769, ADGRA2:11077, LGALS8:11866, PRSS3:12481"
"Endothelial Cell Proliferation (GO:0001935)",-0.000943046714492635,0.9909768076718,0.996138850029209,12,"SEMA5A:133, ERN1:5124.5, NRARP:5124.5, DLG1:5124.5, CD34:5124.5, HMOX1:5124.5, LOXL2:5124.5, TEK:5124.5, PROK1:5124.5, BMPR2:9716, ANGPT4:12284, BMPER:12446"
"Endothelial Tube Morphogenesis (GO:0061154)",-0.143315831987076,0.267092309639373,0.866275842435429,5,"STARD13:455, CTNNB1:906, CCM2:5124.5, CSNK2B:5124.5, PRKD2:10855"
"Endothelin Receptor Signaling Pathway (GO:0086100)",0.0109288238263503,0.93965936008752,0.990888990480754,4,"EDN1:1291, BCAR3:3558, EDNRB:7610.5, PTK2B:12672"
"Endothelium Development (GO:0003158)",-0.0344230602764232,0.752484393740513,0.97363979200791,7,"KDR:5124.5, JAG1:5124.5, SCUBE1:5124.5, CD34:5124.5, KDM6B:5124.5, KRIT1:5124.5, PECAM1:10247"
"Energy Derivation By Oxidation Of Organic Compounds (GO:0015980)",-0.0132359296413104,0.829916474874863,0.98808091821087,22,"CYCS:722, SLC25A13:5124.5, NDUFS1:5124.5, PPARGC1A:5124.5, NR4A3:5124.5, NDUFS4:5124.5, LEP:5124.5, ADRB3:5124.5, UQCRC2:5124.5, UQCRC1:5124.5, COX6A1:5124.5, COX4I1:5124.5, UQCRB:5124.5, COX5B:5124.5, COX15:5124.5, CYC1:5124.5, SDHAF4:5124.5, MRAP2:5124.5, COX4I2:9894, LEPR:12144, ADGRF5:12407, ADGRF1:12726"
"Energy Reserve Metabolic Process (GO:0006112)",-0.0199121953011628,0.819152499317735,0.98808091821087,11,"PYGM:1070, PRKAG2:5124.5, LEP:5124.5, ADRB3:5124.5, MRAP2:5124.5, GBE1:5124.5, PYGL:5124.5, PHKG2:5124.5, PPP1R3C:5124.5, LEPR:12144, ADGRF5:12407"
"Engulfment Of Apoptotic Cell (GO:0043652)",-0.092020202020202,0.339163497344382,0.9335948062915,9,"RAC3:5124.5, RAC1:5124.5, XKR9:5124.5, XKR8:5124.5, XKR5:5124.5, XKR4:5124.5, XKR7:5124.5, MEGF10:5124.5, THBS1:5124.5"
"Enteric Nervous System Development (GO:0048484)",-0.166821486268175,0.196425570760458,0.814887427138546,5,"KIF26A:414, GDNF:5124.5, PHACTR4:5124.5, SOX8:5124.5, PHOX2B:5124.5"
"Entrainment Of Circadian Clock By Photoperiod (GO:0043153)",-0.181346780523774,0.0096591961024041,0.471632202418295,17,"PDE6B:74, USP2:89, PER2:395, PML:886, TP53:5124.5, CRY1:5124.5, ID2:5124.5, PPP1CC:5124.5, CRTC1:5124.5, RBM4:5124.5, BHLHE40:5124.5, PPP1CA:5124.5, SIK1:5124.5, OPN5:5124.5, PER1:5124.5, PER3:5124.5, CRY2:5124.5"
"Enzyme-Linked Receptor Protein Signaling Pathway (GO:0007167)",-0.0242896328000272,0.412003607408822,0.939968883639285,96,"TRIO:77, MTSS1:98, LRP1:373, SHC3:514, PTPRF:529, ALKAL2:1137, BLNK:5124.5, ZAP70:5124.5, FLT3:5124.5, SYK:5124.5, LCK:5124.5, BCAR1:5124.5, BLK:5124.5, ACVR2B:5124.5, ACVR2A:5124.5, EPHA2:5124.5, EGFR:5124.5, ERBB4:5124.5, PTK6:5124.5, ERBB2:5124.5, KDR:5124.5, FGR:5124.5, FGFR1:5124.5, FGFR3:5124.5, DDR2:5124.5, RAPGEF1:5124.5, DOK2:5124.5, CD4:5124.5, CD8B:5124.5, CD8A:5124.5, CD3E:5124.5, LCP2:5124.5, INSRR:5124.5, CASS4:5124.5, NEDD9:5124.5, EFS:5124.5, JAK2:5124.5, INSR:5124.5, PDGFRB:5124.5, TIE1:5124.5, TYRO3:5124.5, ERBB3:5124.5, BDKRB2:5124.5, NTRK1:5124.5, FGFR2:5124.5, RET:5124.5, NPR1:5124.5, FLT1:5124.5, FLT4:5124.5, MET:5124.5, GUCY2D:5124.5, PDGFRA:5124.5, CSF1R:5124.5, PTPRD:5124.5, PTPRT:5124.5, DDR1:5124.5, AXL:5124.5, IL6ST:5124.5, NTRK2:5124.5, NGF:5124.5, AHI1:5124.5, TEK:5124.5, MST1R:5124.5, MERTK:5124.5, CLNK:5124.5, ROR2:5124.5, FRK:5124.5, CSF1:5124.5, MUSK:5124.5, SAMD12:5124.5, SRMS:5124.5, PDZD3:5124.5, ALK:5124.5, MPZL1:5124.5, GFRA2:5124.5, ANGPTL1:5124.5, ROR1:9408, FYN:9485, BDNF:9714, BMPR2:9716, LIFR:9734, HCK:9893, IL31RA:10030, ACVR1B:10230, FGFR4:10231, CNKSR1:10509, ROS1:10578, SHC2:10866, PTPRG:10980, NPPA:11090, RASGRP4:11183, PIK3CB:11852, JAK3:12059, DOK3:12118, ART4:12182, SHC4:12215"
"Eosinophil Chemotaxis (GO:0048245)",0.0352347299343766,0.807190717902601,0.985921010422438,4,"CCL24:1084, MEN1:7610.5, CCL25:7610.5, CCL22:7610.5"
"Eosinophil Migration (GO:0072677)",0.0352347299343766,0.807190717902601,0.985921010422438,4,"CCL24:1084, MEN1:7610.5, CCL25:7610.5, CCL22:7610.5"
"Ephrin Receptor Signaling Pathway (GO:0048013)",-0.0807529276528486,0.119948596323786,0.768615401515837,31,"PTK2:171, MMP2:297, EPHB6:378, TIAM1:441, CRK:984, EPHB2:5124.5, EPHA2:5124.5, PTPN11:5124.5, CDK5R1:5124.5, SIPA1L1:5124.5, NGEF:5124.5, EPHA1:5124.5, EFNA5:5124.5, PAK3:5124.5, EPHB3:5124.5, EPHA6:5124.5, EPHA5:5124.5, EPHA8:5124.5, EPHA3:5124.5, EFNA4:5124.5, KALRN:5124.5, EPHB4:5124.5, RASA1:5124.5, MMP9:5124.5, ANKS1B:5124.5, ARHGEF28:5124.5, FYN:9485, ARHGEF7:10547, EPHB1:10955, EPHA10:11156, EFNA1:11723"
"Epiboly Involved In Wound Healing (GO:0090505)",-0.0124153954944944,0.891877930488961,0.989743606631583,10,"CCNA2:5124.5, LCP1:5124.5, FLNA:5124.5, RHOC:5124.5, DDR1:5124.5, CD151:5124.5, MRTFA:5124.5, TMEFF2:5124.5, CARMIL2:9823, CD44:10542"
"Epidermal Cell Differentiation (GO:0009913)",-0.0796835299119104,0.0777796660456757,0.679498244808797,41,"OPN3:105, TGM1:410, DSP:638, EVPL:735, CTNNB1:906, ERCC3:5124.5, EPHA2:5124.5, ERCC2:5124.5, EREG:5124.5, ANXA1:5124.5, FGFR1:5124.5, JAG1:5124.5, MED1:5124.5, PPP3CA:5124.5, WNT5A:5124.5, WNT16:5124.5, PIP5K1A:5124.5, BCR:5124.5, ASAH1:5124.5, CERS3:5124.5, CASP3:5124.5, HDAC1:5124.5, UGCG:5124.5, SPINK5:5124.5, HDAC2:5124.5, KRT16:5124.5, GLI1:5124.5, SCEL:5124.5, USH2A:5124.5, POU2F3:5124.5, ST14:5124.5, OVOL1:5124.5, OVOL3:5124.5, TXNIP:5124.5, CSTA:5124.5, TGM3:5124.5, CLIC4:9472, OVOL2:9549, CFLAR:11750, GATA6:12112, ADAM9:12522"
"Epidermal Growth Factor Receptor Signaling Pathway (GO:0007173)",-0.0612789653510885,0.19748503762946,0.814887427138546,37,"REPS2:41, PTK2B:63, PTK2:171, SHC3:514, PDPK1:640, TGFB1:723, DGKD:852, BCAR1:5124.5, EREG:5124.5, PTPN11:5124.5, PIK3CA:5124.5, SOS1:5124.5, SHC1:5124.5, IQGAP1:5124.5, EGFR:5124.5, FAM83A:5124.5, FAM83C:5124.5, FAM83B:5124.5, ERBIN:5124.5, BTC:5124.5, EPGN:5124.5, GRB7:5124.5, VIL1:5124.5, PIGR:5124.5, SLC30A10:5124.5, CBL:5124.5, EFEMP1:5124.5, PLCG1:5124.5, ERBB2:5124.5, HBEGF:9624, AREG:9648, EGF:10217, GAB1:11333, PLCE1:11805, PIK3C2A:11845, KIF16B:12165, GAREM1:12359"
"Epidermis Development (GO:0008544)",-0.0130441730700084,0.724980086690129,0.972708804886287,61,"HOXB13:352, DSP:638, EVPL:735, KLK7:832, DLL1:1013, FABP5:1143, YBX1:5124.5, PPP3CA:5124.5, ATP2C1:5124.5, FGF7:5124.5, CERS3:5124.5, GRHL2:5124.5, FGFR2:5124.5, COL17A1:5124.5, KRT14:5124.5, KLK5:5124.5, HDAC1:5124.5, UGCG:5124.5, SPINK5:5124.5, KDM5A:5124.5, HDAC2:5124.5, GLI1:5124.5, SCEL:5124.5, LAMB3:5124.5, COL7A1:5124.5, POU2F3:5124.5, OVOL1:5124.5, OVOL3:5124.5, KRTDAP:5124.5, KRT5:5124.5, KLK14:5124.5, EDAR:5124.5, PLOD1:5124.5, KRT15:5124.5, ZNF750:5124.5, LAMC2:5124.5, CALML5:5124.5, STS:5124.5, CCN2:5124.5, KRT31:5124.5, FOXN1:5124.5, DCT:5124.5, KRT85:5124.5, FLOT2:5124.5, TGM5:5124.5, LAMA3:9271, OVOL2:9549, KRT34:9557, ALDH3A2:9564, CASP14:9602, WAS:9703, SVEP1:9837, KRT32:10503, GJB5:10819, PTHLH:11043, SPINT1:11192, EMP1:11271, GRHL3:11397, GRHL1:11885, GATA6:12112, MANSC4:12480"
"Epigenetic Regulation Of Gene Expression (GO:0040029)",-0.0492502430384467,0.184074031801114,0.814887427138546,61,"HDAC4:118, CHEK1:382, SMARCB1:621, MACROH2A1:666, ARID1B:692, RBBP5:709, KAT7:757, TFAP2C:900, SIRT7:1038, TRIM27:5124.5, HDAC5:5124.5, HDAC9:5124.5, DNMT3A:5124.5, DNMT3L:5124.5, PPM1D:5124.5, TP53:5124.5, PHF1:5124.5, ASH2L:5124.5, MEN1:5124.5, TDG:5124.5, N6AMT1:5124.5, KAT2B:5124.5, EP300:5124.5, SIRT2:5124.5, KMT2A:5124.5, GPX1:5124.5, HDAC6:5124.5, MACROH2A2:5124.5, SPHK2:5124.5, NOC2L:5124.5, SMARCA4:5124.5, BMI1:5124.5, H3C1:5124.5, BRD7:5124.5, SMARCD1:5124.5, CGGBP1:5124.5, CTCFL:5124.5, USP21:5124.5, MPHOSPH8:5124.5, KDM1B:5124.5, FAM47E:5124.5, SMYD5:5124.5, SDR16C5:5124.5, PRMT7:5124.5, PPHLN1:5124.5, TRIM37:5124.5, GLYR1:5124.5, SGF29:5124.5, RNF8:9127, MORC2:9234, PADI2:9899, INSL6:10208, TASOR:10245, RNF2:10515, GLMN:11072, EPC1:11195, PHF19:11259, SIRT6:11611, CREBZF:12084, RNF168:12209, ZNF335:12226"
"Epithelial Cell Apoptotic Process (GO:1904019)",-0.0513692480359147,0.593635282855909,0.948954789927661,9,"HIPK1:415, IL10:5124.5, DAB2IP:5124.5, GSN:5124.5, COL4A3:5124.5, RYR2:5124.5, CAPN10:5124.5, BMPR2:9716, CASP6:9911"
"Epithelial Cell Development (GO:0002064)",0.00704540532736586,0.927294142844102,0.989743606631583,14,"PKHD1:521, ROS1:2157, SIPA1L3:2446, WNT7A:7610.5, WNT7B:7610.5, POF1B:7610.5, SIPA1:7610.5, GRHL2:7610.5, RILPL1:7610.5, RILPL2:7610.5, DACT2:7610.5, BFSP1:7610.5, TMEM79:7610.5, EXPH5:7610.5"
"Epithelial Cell Differentiation (GO:0030855)",-0.0221871428409772,0.467968461183003,0.939968883639285,90,"HSF4:30, KRT20:37, KRT13:599, KRT19:605, TST:765, SCRIB:802, TDRD7:867, ANXA4:1111, YAP1:5124.5, CDK1:5124.5, E2F7:5124.5, PCNA:5124.5, ERBB4:5124.5, VIL1:5124.5, KDR:5124.5, ANXA1:5124.5, LATS1:5124.5, PLAAT1:5124.5, KRT17:5124.5, JAG1:5124.5, HNRNPH3:5124.5, CNN3:5124.5, ACTL8:5124.5, VEGFA:5124.5, SCUBE1:5124.5, UPK3A:5124.5, FN3K:5124.5, GRHL2:5124.5, VDAC1:5124.5, FGFR2:5124.5, TPP1:5124.5, PIH1D1:5124.5, SIX1:5124.5, TCF21:5124.5, PCK1:5124.5, KDM6B:5124.5, CDHR2:5124.5, KRT14:5124.5, HDAC1:5124.5, CTSB:5124.5, SPINK5:5124.5, HDAC2:5124.5, E2F4:5124.5, CCNO:5124.5, KRT4:5124.5, KRT16:5124.5, KRT25:5124.5, GLI1:5124.5, OVOL1:5124.5, OVOL3:5124.5, KRT15:5124.5, KRT31:5124.5, DEUP1:5124.5, E2F8:5124.5, KRT36:5124.5, KRT35:5124.5, KRT39:5124.5, UPK2:5124.5, KRT40:5124.5, KRT12:5124.5, UPK1A:5124.5, DLX3:5124.5, KRT23:5124.5, KRT33B:5124.5, UPK1B:5124.5, KRT28:5124.5, KRT27:5124.5, BDH2:5124.5, DAB2:9144, KRT24:9176, TAGLN2:9363, DHRS9:9383, PCK2:9406, OVOL2:9549, KRT34:9557, KRT26:9844, CASP6:9911, ZNF703:9936, WT1:9977, ANXA7:10176, KRT33A:10273, KRT32:10503, MCIDAS:10833, EHF:10864, GSTK1:11465, PTER:11504, SULT1B1:12107, GATA6:12112, RHCG:12217, CPT1A:12245"
"Epithelial Cell Differentiation Involved In Kidney Development (GO:0035850)",-0.192074709742554,0.183387542790088,0.814887427138546,4,"MTSS1:98, MEF2C:5124.5, SALL1:5124.5, SIX2:5124.5"
"Epithelial Cell Migration (GO:0010631)",0.0159842588037848,0.743679770497442,0.97363979200791,35,"PRSS3:254, LRG1:926, PKN3:1151, KANK2:1411, PKN1:1584, ADGRA2:1658, DAAM2:2180, PXN:2966, PLXND1:3275, NELL1:3423, KIT:7610.5, SMAD4:7610.5, MEN1:7610.5, PIK3CA:7610.5, ROCK1:7610.5, CDH13:7610.5, TNFRSF25:7610.5, DPP4:7610.5, NANOS1:7610.5, FAT2:7610.5, PKN2:7610.5, TNFSF12:7610.5, CYP1B1:7610.5, STAT1:7610.5, FERMT1:7610.5, LPXN:7610.5, LOXL2:7610.5, KRT16:7610.5, ANLN:7610.5, PTP4A3:7610.5, ZEB2:7610.5, KANK1:7610.5, TESK1:7610.5, NOS3:11842, STARD13:12280"
"Epithelial Cell Morphogenesis (GO:0003382)",0.0145679012345679,0.879725133645411,0.989244605380226,9,"PKHD1:521, SIPA1L3:2446, POF1B:7610.5, SIPA1:7610.5, GRHL2:7610.5, MET:7610.5, RILPL1:7610.5, RILPL2:7610.5, DACT2:7610.5"
"Epithelial Cell-Cell Adhesion (GO:0090136)",-0.213894500561167,0.0263012164102068,0.627203235338933,9,"CAMSAP3:340, KIFC3:589, DSP:638, KIT:5124.5, JUP:5124.5, ITGB5:5124.5, PLEKHA7:5124.5, CCN3:5124.5, THBS4:5124.5"
"Epithelial Cilium Movement Involved In Determination Of Left/Right Asymmetry (GO:0060287)",0.169729402261712,0.188738459202609,0.814887427138546,5,"CCDC39:197, NPHP3:252, CFAP53:1295, OFD1:7610.5, CCDC40:11837"
"Epithelial Cilium Movement Involved In Extracellular Fluid Movement (GO:0003351)",0.0650905940951418,0.399210668466625,0.939968883639285,14,"CCDC39:197, NPHP3:252, CCDC103:605, CFAP53:1295, SPA17:3251, SLC9A3R1:7610.5, SPAG17:7610.5, SPEF2:7610.5, OFD1:7610.5, CABYR:7610.5, SPAG6:7610.5, ROPN1L:7610.5, NEK10:7610.5, CCDC40:11837"
"Epithelial Structure Maintenance (GO:0010669)",0.018044188474622,0.828685169500824,0.98808091821087,12,"PBLD:50, MUC4:337, ILDR1:1183, POLR2D:7610.5, TLR9:7610.5, PIWIL4:7610.5, TFF2:7610.5, NOD2:7610.5, LSR:7610.5, VSIG1:7610.5, TFF3:7610.5, CXADR:11846"
"Epithelial To Mesenchymal Transition (GO:0001837)",-0.134750480817897,0.0106888885550564,0.482461505224267,30,"ROCK2:515, NOTCH1:672, TGFB1:723, WNT4:794, CTNNB1:906, TRIM28:1149, TGFBR3:5124.5, BMP2:5124.5, SMAD4:5124.5, NOG:5124.5, DDX5:5124.5, HMGA2:5124.5, IGF1:5124.5, ROCK1:5124.5, FGFR1:5124.5, SNAI2:5124.5, HEYL:5124.5, NOTCH4:5124.5, WNT5A:5124.5, TBX3:5124.5, HIF1A:5124.5, EOMES:5124.5, HGF:5124.5, LOXL3:5124.5, LOXL2:5124.5, DLG5:5124.5, SLC39A10:5124.5, FAM83D:5124.5, CUL7:10014, TASOR:10245"
"Epithelial To Mesenchymal Transition Involved In Endocardial Cushion Formation (GO:0003198)",-0.162600969305331,0.207986864164688,0.814887427138546,5,"NOTCH1:672, ENG:5124.5, SNAI2:5124.5, HEYL:5124.5, FGF8:5124.5"
"Epithelial Tube Branching Involved In Lung Morphogenesis (GO:0060441)",-0.205161854768154,0.21842660498786,0.814887427138546,3,"CTSH:843, CELSR1:5124.5, FGFR2:5124.5"
"Epithelial Tube Morphogenesis (GO:0060562)",-0.0719693137750801,0.222533793688287,0.814887427138546,24,"MTSS1:98, SCRIB:802, CTNNB1:906, LHX1:1052, MEF2C:5124.5, ACVRL1:5124.5, NKX3-1:5124.5, CCM2:5124.5, HES1:5124.5, SHH:5124.5, CSNK2B:5124.5, SLIT2:5124.5, GLI2:5124.5, COL4A1:5124.5, RASIP1:5124.5, SOX17:5124.5, MET:5124.5, PKD1:5124.5, RYR2:5124.5, CSF1R:5124.5, MEGF8:9405, PRKD2:10855, PKD2:12114, PKHD1:12214"
"Epithelium Development (GO:0060429)",0.00475709250449829,0.859953000586593,0.989244605380226,116,"MANSC4:255, CPT1A:490, WDPCP:515, RHCG:518, DACT1:602, PKD2:621, GATA6:623, SULT1B1:628, INTU:1118, PTER:1231, GSTK1:1270, KANK2:1411, ZNF358:1433, SPINT1:1543, STIL:1711, EHF:1871, RCAN3:2014, KRT32:2232, IFT122:2265, TBX5:2346, KRT33A:2462, PPP2R3A:2475, ANXA7:2559, WT1:2758, CASP6:2824, KRT26:2891, SMO:3099, MFSD2A:3161, KRT34:3178, DHRS9:3352, TAGLN2:3372, KRT24:3559, FUZ:3586, TRIM71:7610.5, BMP2:7610.5, TIMELESS:7610.5, CDK1:7610.5, PCNA:7610.5, VIL1:7610.5, KDR:7610.5, CCM2:7610.5, KRT17:7610.5, SNAI2:7610.5, HNRNPH3:7610.5, SHH:7610.5, DVL1:7610.5, WNT3:7610.5, WNT7B:7610.5, SLC9A3R1:7610.5, CNN3:7610.5, ACTL8:7610.5, JAK2:7610.5, VEGFA:7610.5, SOX8:7610.5, SALL1:7610.5, MTHFD1:7610.5, UPK3A:7610.5, FN3K:7610.5, CD34:7610.5, TBX2:7610.5, GRHL2:7610.5, VDAC1:7610.5, FGFR2:7610.5, DAG1:7610.5, TNC:7610.5, STAT1:7610.5, SOX18:7610.5, SOX17:7610.5, FGF8:7610.5, TPP1:7610.5, PIH1D1:7610.5, PTCH1:7610.5, SIX1:7610.5, TCF21:7610.5, PKD1:7610.5, NKX2-6:7610.5, CDHR2:7610.5, KRT14:7610.5, CTSB:7610.5, SPINK5:7610.5, LOXL3:7610.5, AHI1:7610.5, KRT4:7610.5, KRT16:7610.5, KRT25:7610.5, IHH:7610.5, KRIT1:7610.5, KRT15:7610.5, KRT31:7610.5, KRT36:7610.5, KRT35:7610.5, KRT39:7610.5, UPK2:7610.5, KRT40:7610.5, KRT12:7610.5, UPK1A:7610.5, DLX3:7610.5, KRT23:7610.5, KRT33B:7610.5, UPK1B:7610.5, KRT28:7610.5, KRT27:7610.5, BDH2:7610.5, RIPK4:7610.5, MEOX1:7610.5, ERRFI1:7610.5, ANXA4:11624, LHX1:11683, DLL1:11722, FOXJ1:11737, WNT4:11941, TST:11970, TGFB1:12012, KRT19:12130, KRT13:12136, KRT20:12698"
"Epoxygenase P450 Pathway (GO:0019373)",0.0891155088852988,0.490145913597168,0.939968883639285,5,"CYP1A2:1105, CYP2S1:2553, CYP1B1:7610.5, CYP2E1:7610.5, CYP2F1:7610.5"
