"","main_Rho","Insectivore_Rho","Vertivore_Rho","main_P","Insectivore_P","Vertivore_P","main_p.adj","Insectivore_p.adj","Vertivore_p.adj","Driver","DriverNumeric"
"TMEM132A",-1.19247447544029,-0.416305073389199,-2.78746842531369,1,0.6771867806011,0.00531216307079458,1,0.874414126245777,0.08783308993538,"Vertivore",2
"DVL2",-0.828599833189207,1.71540451889077,-0.43158249189587,1,0.0862710874846504,0.666044885593887,1,0.34476530005885,0.853398919404989,"Insectivore",1
"RPAP3",-1.34604183865029,0.51261052593526,-1.04831260548887,1,0.608223788726572,0.294494603784659,1,0.842551866632681,0.585709767348419,"Both",3
"HOXA11",0.267167867902447,-0.695359481509246,-0.218368376109609,1,0.486830046366865,0.827142103185988,1,0.771286112946977,0.931338049568667,"Insectivore",1
"TRAPPC6A",0.256495255687012,-0.167820125611967,0.602024679678494,1,0.866724789097016,0.547157709523853,1,0.954527932224048,0.784089963058257,"Vertivore",2
"SPATA20",-1.28978880429269,1.5201473105245,-0.268510322980247,1,0.128473956335581,0.788306529941845,1,0.416775079381297,0.914258271126442,"Insectivore",1
"CD79B",0.476350529353705,0.148998818935156,0.732566799964386,1,0.881554564915418,0.463822686492838,1,0.961065236932608,0.726493607465294,"Vertivore",2
"RHBDD2",-0.690897953518565,2.35780041227757,0.0101855388558684,1,0.0183835739785877,0.991873256322132,1,0.158499654584536,0.99670402282724,"Insectivore",1
"RPUSD1",1.72380855650708,-1.98821313067575,1.42592057272152,0.508454456598894,0.0467881233771576,0.153891270292182,1,0.255780334509392,0.436256333801261,"Unclear",0
"TSR3",-1.14262880170944,1.97801340940849,-0.943601669876355,1,0.0479271939378582,0.345373238599595,1,0.259718559778852,0.632804103678584,"Insectivore",1
"NDUFAB1",0.947914611780322,1.55874142017877,1.66937225133517,1,0.119057594052389,0.0950436293871107,1,0.402292765273249,0.347419888253369,"Unclear",0
"YBX2",0.263553639126388,-1.19942538326764,-1.02070822224062,1,0.23036258250223,0.307392697818715,1,0.555151219116658,0.595948225209252,"Unclear",0
