Species ,Phenotype 
Phyllostomus_discolor,0
Phyllostomus_hastatus,0
Desmodus_rotundus,0
Artibeus_jamaicensis,1
Tonatia_saurophila,0
Eonycteris_spelaea,1
Dermanura_bogotensis,1
Rousettus_aegyptiacus,1
Carollia_perspicillata,1
Sturnira_ludovici,1
Rhinophylla_fischerae,1
Lonchorhina_aurita,0
Hipposideros_armiger,0
Molossus_molossus,0
Rhinolophus_ferrumequinum,0
Vespertilio_sinensis,0
Pteropus_alecto,1
Lionycteris_spurrelli,0
