,X.1,X,FaName,Zoonomia,CommonName,scientific,phenotype,Binomial,BinomialPretty,PantheriaMaturity,pantheriaMaxAge,pantheriaBodysize,lifeHistoriesMaturity,lifeHistoryMaxAge,lifeHistoryBodysize,anAgeMaturity,anAgeMaxAge,anAgeBodysize,combinedMaturity,combinedBodysize,MaximumAge,MaturityPercentage,elifeLongevity,L3,ELL,logCombinedMaturity,arcsignPercentage
100,100,100,myoDav1,vs_myoDav1,David's myotis bat,myotis_davidii,Insectivore,myotis_davidii,Myotis davidii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8760,-1.075498273,1.453322846,NA,
101,101,101,myoBra1,vs_myoBra1,Brandt's bat,myotis_brandtii,Insectivore,myotis_brandtii,Myotis brandtii,NA,NA,NA,NA,NA,NA,NA,14965,7,NA,7,14965,NA,NA,NA,NA,1.72427587,
102,102,102,myoLuc2,vs_HLmyoLuc1,Microbat,myotis_lucifugus,Insectivore,myotis_lucifugus,Myotis lucifugus,280.6,NA,7.8,NA,NA,NA,210,12410,10,210,10,12410,0.016921837,12410,-0.667962426,1.613960625,NA,
103,103,103,HLminNat1,vs_HLminNat1,Long-winged bats,miniopterus_natalensis,Insectivore,miniopterus_natalensis,Miniopterus natalensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
104,104,104,HLdesRot1,vs_HLdesRot2,Common Vampire Bat,desmodus_rotundus,Hematophagy,desmodus_rotundus,Desmodus rotundus,NA,NA,NA,NA,NA,NA,285,10658,33.2,285,33.2,10658,0.026740477,NA,NA,NA,NA,
105,105,105,eriEur2,vs_eriEur2,Hedgehog,erinaceus_europaeus,Generalist,erinaceus_europaeus,Erinaceus europaeus,265.8,6048,777.95,324,2880,771,253,4270.5,750,253,750,4270.5,0.059243648,4270.5,-0.698530672,-0.095637324,NA,
106,106,106,sorAra2,vs_sorAra2,Shrew,sorex_araneus,Omnivore,sorex_araneus,Sorex araneus,312.9,NA,9.18,321.3,720,8.98,198,1168,9,198,9,1168,0.169520548,1168,-2.615936534,-0.293039789,NA,
107,107,107,conCri1,vs_conCri1,Star-nosed mole,condylura_cristata,Carnivore,condylura_cristata,Condylura cristata,304.16,8280,48.15,300,NA,55.33,304,912.5,55.3,304,55.3,912.5,0.333150685,912.5,-2.46425653,-0.847409112,NA,
108,108,108,loxAfr3,vs_HLloxAfr4,Elephant,loxodonta_africana,Herbivore,loxodonta_africana,Loxodonta africana,4977.64,6300,3824539.93,4425.3,25200,3507000,4018,23725,4800000,4018,4800000,23725,0.169357218,23725,2.404225801,-0.40113708,NA,
109,109,109,triMan1,vs_triMan1,Manatee,trichechus_manatus,Herbivore,trichechus_manatus,Trichechus manatus,1887.88,NA,467324.83,1479.3,15840,387500,1278,25185,322000,1278,322000,25185,0.050744491,23725,1.878869931,0.12421879,NA,
110,110,110,HLproCap2,vs_HLproCap3,Hydrax,procavia_capensis,Herbivore,procavia_capensis,Procavia capensis,487.07,6120,2952.48,665.4,3960,3600,500,5402,3600,500,3600,5402,0.092558312,NA,NA,NA,NA,
111,111,111,chrAsi1,vs_chrAsi1,Cape golden mole,chrysochloris_asiatica,Insectivore,chrysochloris_asiatica,Chrysochloris asiatica,NA,NA,NA,NA,NA,42,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,
112,112,112,echTel2,NA,Tenrec,echinops_telfairi,Ambiguous,echinops_telfairi,Echinops telfairi,278.42,NA,152.25,249.6,4680,180,365,6935,180,365,180,6935,0.052631579,6935,-0.58057187,0.577313337,NA,
113,113,113,eleEdw1,vs_eleEdw1,Cape elephant shrew,elephantulus_edwardii,Insectivore,elephantulus_edwardii,Elephantulus edwardii,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,50,NA,NA,3193.75,-1.462065071,0.193963018,NA,
114,114,114,oryAfe1,NA,Aardvark,orycteropus_afer_afer,Insectivore,orycteropus_afer,Orycteropus afer,755.15,5700,56175.2,780,8640,60000,730,10877,60000,730,60000,10877,0.067114094,10877,0.916074904,-0.185159862,NA,
115,115,115,dasNov3,vs_dasNov3,Armadillo,dasypus_novemcinctus,Insectivore/Carnivore,dasypus_novemcinctus,Dasypus novemcinctus,511.16,NA,3949.01,399.9,8040,4300,365,8139.5,5500,365,5500,8139.5,0.044843049,8139.5,0.21496263,0.043019004,NA,
116,116,116,HLchoHof2,NA,Two-Toed Sloth,choloepus_hoffmanni,Herbivore,choloepus_hoffmanni,Choloepus hoffmanni,1473.2,NA,5893.5,903.6,11550,4750,730,14965,6250,730,6250,14965,0.048780488,NA,NA,NA,NA,
117,117,117,monDom5,NA,Opossum,monodelphis_domestica,Omnivore,monodelphis_domestica,Monodelphis domestica,162.11,NA,93.45,NA,NA,NA,122,1861.5,105,122,105,1861.5,0.065538544,1861.5,-1.758082729,-0.390586955,NA,
118,118,118,sarHar1,NA,Tasmanian devil,sarcophilus_harrisii,Omnivore,sarcophilus_harrisii,Sarcophilus harrisii,777.31,NA,8202.25,NA,NA,NA,730,4745,6500,730,6500,4745,0.153846154,4745,-0.192694902,-0.429604258,NA,
119,119,119,HLphaCin1,NA,Koala,phascolarctos_cinereus,Herbivore,phascolarctos_cinereus,Phascolarctos cinereus,834.72,NA,6528.74,NA,NA,NA,646,8066.5,9300,646,9300,8066.5,0.080084299,NA,NA,NA,NA,
120,120,120,ornAna2,NA,Platypus,ornithorhynchus_anatinus,Insectivore/Carnivore,ornithorhynchus_anatinus,Ornithorhynchus anatinus,742.46,NA,1484.25,NA,NA,NA,548,8249,1250,548,1250,8249,0.066432295,NA,NA,NA,NA,
