,X.1,X,FaName,Zoonomia,CommonName,scientific,phenotype,Binomial,BinomialPretty,PantheriaMaturity,pantheriaMaxAge,pantheriaBodysize,lifeHistoriesMaturity,lifeHistoryMaxAge,lifeHistoryBodysize,anAgeMaturity,anAgeMaxAge,anAgeBodysize,combinedMaturity,combinedBodysize,MaximumAge,MaturityPercentage,elifeLongevity,L3,ELL,logCombinedMaturity,arcsignPercentage
44,44,44,cavPor3,vs_cavPor3,Domestic guinea pig,cavia_porcellus,Herbivore,cavia_porcellus,Cavia porcellus,68.59,NA,727.99,67.5,NA,728,66,4380,728,66,728,4380,0.015068493,4380,-0.683669949,-0.069198494,2.740362689,0.079391233
45,45,45,chiLan1,vs_chiLan1,Chinchilla,chinchilla_lanigera,Herbivore,chinchilla_lanigera,Chinchilla lanigera,222.33,6480,480.28,193.5,NA,642.5,240,6278,642.5,240,642.5,6278,0.038228735,6278,-0.414336444,0.248720735,2.810232518,0.08017015
46,46,46,octDeg1,vs_octDeg1,Brush-tailed rat,octodon_degus,Herbivore,octodon_degus,Octodon degus,187.19,NA,203.27,327,2550,235,182,5110,235,182,235,5110,0.035616438,5110,-0.777803382,0.276392496,3.051152522,0.082065269
47,47,47,speTri2,vs_speTri2,Ground Squirrel ,ictidomys_tridecemlineatus,Omnivore,ictidomys_tridecemlineatus,Ictidomys tridecemlineatus,NA,NA,NA,NA,NA,NA,354,2883.5,172.7,354,172.7,2883.5,0.12276747,2591.5,-1.437928618,-0.171036666,2.77815125,0.082284604
48,48,48,HLmarMar1,vs_HLmarMar1,Marmot,marmota_marmota_marmota,Insectivore/herbivore,marmota_marmota,Marmota marmota,827.69,NA,4059.15,900,5400,2010,730,6351,3500,730,3500,6351,0.114942529,NA,NA,NA,3.090258053,0.084415289
49,49,49,oryCun2,vs_HLoryCunCun4,Rabbit,oryctolagus_cuniculus,Herbivore,oryctolagus_cuniculus,Oryctolagus cuniculus,185.61,NA,1590.57,153.9,3600,1558.25,730,4745,1800,730,1800,4745,0.153846154,3285,-0.742290201,-0.479858244,3.092720645,0.087078746
50,50,50,ochPri3,vs_ochPri3,Pika,ochotona_princeps,Herbivore,ochotona_princeps,Ochotona princeps,374.39,NA,157.63,342.6,2520,140.2,347,2555,100,347,100,2555,0.135812133,2555,-1.509286851,-0.12281705,2.825426118,0.089092412
51,51,51,vicPac2,vs_vicPac2,Alpaca,vicugna_pacos,Herbivore,vicugna_pacos,Vicugna pacos,NA,NA,NA,NA,NA,NA,432,9417,62000,432,62000,9417,0.045874482,9417,0.80489186,-0.309094554,3.106190897,0.089829226
52,52,52,HLcamFer2,vs_HLcamFer3,Ferus Camel,camelus_ferus,Omnivore,camelus_ferus,Camelus ferus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.698970004,0.092690983
53,53,53,HLcamBac1,vs_HLcamBac1,Bactrian Camel,camelus_bactrianus,Omnivore,camelus_bactrianus,Camelus bactrianus,1330.6,NA,554515.91,1260,NA,-999,1278,12921,475000,1278,475000,12921,0.098908753,NA,NA,NA,2.849419414,0.094167572
54,54,54,HLcamDro1,vs_HLcamDro2,One-hump Camel,camelus_dromedarius,Omnivore,camelus_dromedarius,Camelus dromedarius,1947.94,14400,492714.47,1389,14400,434000,1095,10366,434000,1095,434000,10366,0.105633803,NA,NA,NA,2.971739591,0.094172954
55,55,55,HLturTru3,vs_HLturTru4,Bottle-nose Dolphin,tursiops_truncatus,Piscivore,tursiops_truncatus,Tursiops truncatus,3354.8,3240,281040.55,2922.3,17640,173333.33,2831,18834,2e+05,2831,2e+05,18834,0.150313263,NA,NA,NA,3.037824751,0.098808924
56,56,56,HLorcOrc1,vs_orcOrc1,Killer whale,orcinus_orca,Carnivore/Piscivore,orcinus_orca,Orcinus orca,4989.76,NA,5628758.66,4146.6,32400,4300000,3780,32850,3987500,3780,3987500,32850,0.115068493,NA,NA,NA,3.106530854,0.099070737
57,57,57,HLdelLeu1,vs_HLdelLeu2,Beluga Whale,delphinapterus_leucas,Piscivore,delphinapterus_leucas,Delphinapterus leucas,2104.57,NA,1381640.73,1686.3,10800,665000,1644,14600,1430000,1644,1430000,14600,0.11260274,NA,NA,NA,3.215637563,0.100198016
58,58,58,lipVex1,vs_lipVex1,Chinese River Dolphin,lipotes_vexillifer,Piscivore,lipotes_vexillifer,Lipotes vexillifer,3367.31,NA,112138.32,2880,8640,83500,2920,8760,83500,2920,83500,8760,0.333333333,NA,NA,NA,2.805500858,0.103164364
59,59,59,phyCat1,NA,Sperm whale,physeter_catodon,Piscivore,physeter_catodon,Physeter catodon,3935.04,6480,14540959.82,3100.8,27720,15400000,NA,NA,NA,15400000,3100.8,27720,555.5555556,NA,NA,NA,3.039414119,0.105831249
60,60,60,balAcu1,vs_balAcu1,Minke Whale,balaenoptera_acutorostrata_scammoni,Carnivore/Planktivore,balaenoptera_acutorostrata,Balaenoptera acutorostrata,2680.62,NA,5587093.59,2961.9,16920,16266666.67,2740,18250,7500000,2740,7500000,18250,0.150136986,NA,NA,NA,3.676236217,0.106322657
61,61,61,HLbalMys1,NA,Bowhead whale,balaena_mysticetus,Planktivore,balaena_mysticetus,Balaena mysticetus,6041.21,5796,79691178.99,6300,36000,8e+07,8212,77015,1e+08,8212,1e+08,77015,0.106628579,NA,NA,NA,3.914448941,0.106831675
62,62,62,bosTau8,vs_bosTau9,Cow,bos_taurus,Herbivore,bos_taurus,Bos taurus,755.15,NA,618642.42,NA,NA,NA,548,7300,750000,548,750000,7300,0.075068493,NA,NA,NA,3.239049093,0.108676924
