,Background...Insectivore.Rho,Background...Insectivore.P,Background...Insectivore.p.adj
OXCT1,1.59321111909906,0.111112837656033,0.390516365777936
FAM234B,0.288359824930706,0.773071317230601,0.915997366890178
RRN3,3.90260347019288,9.51635356124725e-05,0.00976269461229473
MOGAT2,-0.375293047689768,0.707442536080027,0.887877357129009
CHERP,0.245637906981771,0.805962542547872,0.929825260676463
AQP2,0.907979613876414,0.363888992472045,0.678566070706026
DIMT1,-1.29799394725079,0.194289414877974,0.512492503647638
EIF2AK1,0.861480954632688,0.388973206205376,0.699438067481323
NME8,1.49624700879001,0.13458929855604,0.424140554126009
EPDR1,-0.24602534143664,0.805662615661305,0.929825260676463
HBQ1,-0.292880110398525,0.769613792167176,0.914766441096851
RBM22,-0.690932631828587,0.489607878161003,0.772440538944102
HSD17B2,0.775284623111278,0.438171493562175,0.736178467893311
ZW10,-0.545079093437854,0.585699120856431,0.829728152174906
ITGB4,-2.9463449042245,0.00321553630858989,0.0638469226809499
TRIP6,0.459121392259377,0.6461469954533,0.860562298167274
ADAM11,-0.264146687333402,0.791666889729018,0.924971427637689
SLC22A4,0.91898204923037,0.358104961488477,0.674160664432838
TFAP2C,0.227062848034656,0.820374872512237,0.93564249717431
SULT2B1,1.31586815875701,0.188218297559977,0.504186148595219
EPS8L1,0.760042175883621,0.447229374863638,0.742672546935965
REM1,0.0855695062269223,0.931808640027332,0.976177871349043
PDRG1,0.979197036398558,0.327482632676455,0.649952980660299
PPP1R13B,-1.6835602856356,0.0922666793601622,0.357130516246042
TGM6,1.06762655230492,0.285689001392507,0.612692911295469
RALGAPA2,-0.785045884710291,0.432426666340752,0.732315646148871
RPL6,0.539254907389522,0.589710978459673,0.832221950170474
ESF1,-0.028735019875503,0.977075926070242,0.992962987144831
SLC8B1,1.22739950442758,0.21967247258352,0.545111927144256
SIRT4,-0.440473856348787,0.659593943283277,0.867030916120237
TRMT6,0.386320084946627,0.69925962729514,0.885113907023953
HAUS5,2.21309160221786,0.0268913309612029,0.192170229612702
UQCRC1,1.62514781237732,0.10413106726339,0.379213956733441
GMIP,1.51873876199182,0.128828265624446,0.417118386763173
LAG3,0.983788943148357,0.32521929692258,0.648232931253719
OTUB2,-0.401142655425458,0.688315097519875,0.879251090036801
TFAP4,0.078109745679831,0.937740754950332,0.9776702834624
PDCD7,-0.844139463923079,0.398591477415651,0.706944879902647
SPG21,-0.441178761154131,0.659083587815156,0.866852148238872
CHRD,3.97583532863981,7.01326440011038e-05,0.0085986272722409
GNPTG,0.0771131280513449,0.938533549424501,0.977679325361294
EFNB1,-1.77741951185482,0.0754992428196946,0.322453473645487
GLG1,2.35954661644439,0.0182972818385229,0.158092026290308
DLL3,-0.354706122181939,0.722809763966633,0.894705403448028
NAT14,-1.80264528692856,0.0714439399141061,0.313490747717311
