"gmtNames","gmtOverlap"
"REACTOME_BIOTIN_TRANSPORT_AND_METABOLISM","IC"
"REACTOME_COENZYME_A_BIOSYNTHESIS",""
"REACTOME_VITAMIN_D_CALCIFEROL_METABOLISM","C"
"REACTOME_NICOTINATE_METABOLISM",""
"REACTOME_VITAMIN_B1_THIAMIN_METABOLISM",""
"REACTOME_VITAMIN_C_ASCORBATE_METABOLISM",""
"REACTOME_VITAMIN_B2_RIBOFLAVIN_METABOLISM",""
"REACTOME_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS","IC"
"REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS","I"
"REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS",""
"REACTOME_NICOTINAMIDE_SALVAGING",""
"REACTOME_SIGNALING_BY_NOTCH1",""
"REACTOME_SIGNALING_BY_NOTCH2",""
"REACTOME_PI3K_AKT_ACTIVATION",""
"REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_CYTOSOL",""
"REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_NUCLEUS",""
"REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION",""
"REACTOME_ERK_MAPK_TARGETS","I"
"REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL",""
"REACTOME_VITAMIN_B5_PANTOTHENATE_METABOLISM",""
"REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK",""
"REACTOME_CREB_PHOSPHORYLATION",""
"REACTOME_ER_TO_GOLGI_ANTEROGRADE_TRANSPORT",""
"REACTOME_MEMBRANE_TRAFFICKING","IC"
"REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING",""
"REACTOME_CARNITINE_METABOLISM",""
"REACTOME_SIGNALING_BY_BMP",""
"REACTOME_SIGNALING_BY_ALK",""
"REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT","C"
"REACTOME_WNT_MEDIATED_ACTIVATION_OF_DVL",""
"REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX","C"
"REACTOME_G_PROTEIN_ACTIVATION",""
"REACTOME_METABOLISM_OF_NITRIC_OXIDE_NOS3_ACTIVATION_AND_REGULATION",""
"REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES",""
"REACTOME_METABOLISM_OF_ANGIOTENSINOGEN_TO_ANGIOTENSINS",""
"REACTOME_KERATAN_SULFATE_BIOSYNTHESIS",""
"REACTOME_KERATAN_SULFATE_DEGRADATION",""
"REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS",""
"REACTOME_DERMATAN_SULFATE_BIOSYNTHESIS",""
"REACTOME_HS_GAG_BIOSYNTHESIS",""
"REACTOME_TCR_SIGNALING",""
"REACTOME_HS_GAG_DEGRADATION",""
"REACTOME_CS_DS_DEGRADATION",""
"REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES",""
"REACTOME_CALCINEURIN_ACTIVATES_NFAT",""
"REACTOME_ERKS_ARE_INACTIVATED",""
"REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL",""
"REACTOME_SIGNALING_BY_HIPPO",""
"REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS","C"
"REACTOME_FCGR_ACTIVATION",""
"REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS",""
"REACTOME_YAP1_AND_WWTR1_TAZ_STIMULATED_GENE_EXPRESSION",""
"REACTOME_ENOS_ACTIVATION",""
"REACTOME_NOSTRIN_MEDIATED_ENOS_TRAFFICKING",""
"REACTOME_MICRORNA_MIRNA_BIOGENESIS",""
"REACTOME_COPII_MEDIATED_VESICLE_TRANSPORT",""
"REACTOME_REGULATION_OF_PYRUVATE_DEHYDROGENASE_PDH_COMPLEX",""
"REACTOME_ALPHA_LINOLENIC_OMEGA3_AND_LINOLEIC_OMEGA6_ACID_METABOLISM",""
"REACTOME_LINOLEIC_ACID_LA_METABOLISM",""
"REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE","V"
"REACTOME_NADE_MODULATES_DEATH_SIGNALLING",""
"REACTOME_NRIF_SIGNALS_CELL_DEATH_FROM_THE_NUCLEUS",""
"REACTOME_P75NTR_RECRUITS_SIGNALLING_COMPLEXES",""
"REACTOME_NF_KB_IS_ACTIVATED_AND_SIGNALS_SURVIVAL",""
"REACTOME_METABOLISM_OF_AMINE_DERIVED_HORMONES",""
"REACTOME_SEROTONIN_AND_MELATONIN_BIOSYNTHESIS",""
"REACTOME_PEPTIDE_HORMONE_BIOSYNTHESIS",""
"REACTOME_THYROXINE_BIOSYNTHESIS",""
"REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE",""
"REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_LATE_STAGE_BRANCHING_MORPHOGENESIS_PANCREATIC_BUD_PRECURSOR_CELLS",""
"REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_BETA_CELLS",""
"REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_ENDOCRINE_COMMITTED_NEUROG3_PROGENITOR_CELLS",""
"REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_EARLY_PANCREATIC_PRECURSOR_CELLS",""
"REACTOME_PECAM1_INTERACTIONS",""
"REACTOME_BASIGIN_INTERACTIONS",""
"REACTOME_TIE2_SIGNALING",""
"REACTOME_GENE_SILENCING_BY_RNA","VIC"
"REACTOME_BIOLOGICAL_OXIDATIONS","VIC"
"REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE","IC"
"REACTOME_VITAMINS",""
"REACTOME_FATTY_ACIDS",""
"REACTOME_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS","IC"
"REACTOME_MISCELLANEOUS_SUBSTRATES",""
"REACTOME_ENDOGENOUS_STEROLS",""
"REACTOME_EICOSANOIDS",""
"REACTOME_XENOBIOTICS",""
"REACTOME_CYP2E1_REACTIONS",""
"REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION",""
"REACTOME_NOTCH1_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION",""
"REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS",""
"REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA","IC"
"REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE","C"
"REACTOME_EGFR_INTERACTS_WITH_PHOSPHOLIPASE_C_GAMMA",""
"REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES",""
"REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION",""
"REACTOME_SYNTHESIS_OF_EPOXY_EET_AND_DIHYDROXYEICOSATRIENOIC_ACIDS_DHET",""
"REACTOME_SYNTHESIS_OF_5_EICOSATETRAENOIC_ACIDS",""
"REACTOME_SYNTHESIS_OF_LEUKOTRIENES_LT_AND_EOXINS_EX",""
"REACTOME_SYNTHESIS_OF_LIPOXINS_LX",""
"REACTOME_SYNTHESIS_OF_12_EICOSATETRAENOIC_ACID_DERIVATIVES",""
"REACTOME_ARACHIDONIC_ACID_METABOLISM",""
"REACTOME_SYNTHESIS_OF_15_EICOSATETRAENOIC_ACID_DERIVATIVES",""
"REACTOME_UBIQUINOL_BIOSYNTHESIS",""
"REACTOME_SYNTHESIS_OF_16_20_HYDROXYEICOSATETRAENOIC_ACIDS_HETE",""
"REACTOME_HYALURONAN_METABOLISM",""
"REACTOME_HYALURONAN_BIOSYNTHESIS_AND_EXPORT",""
"REACTOME_TRANSCRIPTIONAL_ACTIVATION_OF_MITOCHONDRIAL_BIOGENESIS",""
"REACTOME_ACTIVATION_OF_PPARGC1A_PGC_1ALPHA_BY_PHOSPHORYLATION",""
"REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS",""
"REACTOME_HYALURONAN_UPTAKE_AND_DEGRADATION","C"
"REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT",""
"REACTOME_ABACAVIR_ADME",""
"REACTOME_SYNTHESIS_OF_PROSTAGLANDINS_PG_AND_THROMBOXANES_TX",""
"REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA",""
"REACTOME_DAP12_INTERACTIONS",""
"REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS",""
"REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING",""
"REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS",""
"REACTOME_TGF_BETA_RECEPTOR_SIGNALING_IN_EMT_EPITHELIAL_TO_MESENCHYMAL_TRANSITION",""
"REACTOME_TRANSCRIPTIONAL_ACTIVITY_OF_SMAD2_SMAD3_SMAD4_HETEROTRIMER",""
"REACTOME_DOWNREGULATION_OF_SMAD2_3_SMAD4_TRANSCRIPTIONAL_ACTIVITY",""
"REACTOME_SMAD2_SMAD3_SMAD4_HETEROTRIMER_REGULATES_TRANSCRIPTION",""
"REACTOME_EGFR_TRANSACTIVATION_BY_GASTRIN",""
"REACTOME_THE_RETINOID_CYCLE_IN_CONES_DAYLIGHT_VISION",""
"REACTOME_VISUAL_PHOTOTRANSDUCTION",""
"REACTOME_NOTCH2_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION",""
"REACTOME_MUCOPOLYSACCHARIDOSES",""
"REACTOME_ANCHORING_FIBRIL_FORMATION",""
"REACTOME_PI3K_AKT_SIGNALING_IN_CANCER",""
"REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER",""
"REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS",""
"REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES","IC"
"REACTOME_PHOSPHATE_BOND_HYDROLYSIS_BY_NUDT_PROTEINS",""
"REACTOME_SIGNALING_BY_TYPE_1_INSULIN_LIKE_GROWTH_FACTOR_1_RECEPTOR_IGF1R",""
"REACTOME_METABOLISM_OF_INGESTED_SEMET_SEC_MESEC_INTO_H2SE",""
"REACTOME_SELENOAMINO_ACID_METABOLISM",""
"REACTOME_DAP12_SIGNALING",""
"REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP",""
"REACTOME_SHC_RELATED_EVENTS_TRIGGERED_BY_IGF1R",""
"REACTOME_RETINOID_CYCLE_DISEASE_EVENTS",""
"REACTOME_THE_CANONICAL_RETINOID_CYCLE_IN_RODS_TWILIGHT_VISION",""
"REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING",""
"REACTOME_MASTL_FACILITATES_MITOTIC_PROGRESSION",""
"REACTOME_SEPARATION_OF_SISTER_CHROMATIDS",""
"REACTOME_ESTABLISHMENT_OF_SISTER_CHROMATID_COHESION",""
"REACTOME_COHESIN_LOADING_ONTO_CHROMATIN",""
"REACTOME_ACTIVATION_OF_THE_PHOTOTRANSDUCTION_CASCADE",""
"REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION",""
"REACTOME_CONDENSATION_OF_PROMETAPHASE_CHROMOSOMES",""
"REACTOME_THE_PHOTOTRANSDUCTION_CASCADE",""
"REACTOME_INTERACTION_WITH_CUMULUS_CELLS_AND_THE_ZONA_PELLUCIDA",""
"REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE",""
"REACTOME_OXIDATIVE_STRESS_INDUCED_SENESCENCE","IC"
"REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP","IC"
"REACTOME_CELLULAR_SENESCENCE","IC"
"REACTOME_FORMATION_OF_SENESCENCE_ASSOCIATED_HETEROCHROMATIN_FOCI_SAHF",""
"REACTOME_ONCOGENE_INDUCED_SENESCENCE",""
"REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE","IC"
"REACTOME_TRIF_MEDIATED_PROGRAMMED_CELL_DEATH",""
"REACTOME_CYTOSOLIC_IRON_SULFUR_CLUSTER_ASSEMBLY",""
"REACTOME_REGULATION_OF_PLK1_ACTIVITY_AT_G2_M_TRANSITION",""
"REACTOME_SIGNALING_BY_LEPTIN",""
"REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER",""
"REACTOME_FBXW7_MUTANTS_AND_NOTCH1_IN_CANCER",""
"REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE",""
"REACTOME_CASPASE_MEDIATED_CLEAVAGE_OF_CYTOSKELETAL_PROTEINS",""
"REACTOME_INSULIN_PROCESSING",""
"REACTOME_SIGNALING_BY_NOTCH1_T_7_9_NOTCH1_M1580_K2555_TRANSLOCATION_MUTANT",""
"REACTOME_STIMULI_SENSING_CHANNELS",""
"REACTOME_EPH_EPHRIN_SIGNALING",""
"REACTOME_SIGNALING_BY_NOTCH1_HD_DOMAIN_MUTANTS_IN_CANCER",""
"REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION",""
"REACTOME_FICOLINS_BIND_TO_REPETITIVE_CARBOHYDRATE_STRUCTURES_ON_THE_TARGET_CELL_SURFACE",""
"REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION",""
"REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION",""
"REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION",""
"REACTOME_POU5F1_OCT4_SOX2_NANOG_REPRESS_GENES_RELATED_TO_DIFFERENTIATION",""
"REACTOME_POU5F1_OCT4_SOX2_NANOG_ACTIVATE_GENES_RELATED_TO_PROLIFERATION",""
"REACTOME_NOTCH2_ACTIVATION_AND_TRANSMISSION_OF_SIGNAL_TO_THE_NUCLEUS",""
"REACTOME_PEPTIDE_HORMONE_METABOLISM",""
"REACTOME_NUCLEAR_ENVELOPE_BREAKDOWN",""
"REACTOME_ACTIVATION_OF_NIMA_KINASES_NEK9_NEK6_NEK7",""
"REACTOME_SUMOYLATION",""
"REACTOME_INITIATION_OF_NUCLEAR_ENVELOPE_NE_REFORMATION",""
"REACTOME_NUCLEAR_ENVELOPE_NE_REASSEMBLY","I"
"REACTOME_LAMININ_INTERACTIONS","C"
"REACTOME_SYNDECAN_INTERACTIONS",""
"REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS","C"
"REACTOME_ECM_PROTEOGLYCANS",""
"REACTOME_SCAVENGING_BY_CLASS_B_RECEPTORS",""
"REACTOME_SCAVENGING_BY_CLASS_A_RECEPTORS",""
"REACTOME_SCAVENGING_BY_CLASS_F_RECEPTORS",""
"REACTOME_SUMO_IS_CONJUGATED_TO_E1_UBA2_SAE1",""
"REACTOME_SUMO_IS_TRANSFERRED_FROM_E1_TO_E2_UBE2I_UBC9",""
"REACTOME_SUMO_IS_PROTEOLYTICALLY_PROCESSED",""
"REACTOME_SUMOYLATION_OF_DNA_DAMAGE_RESPONSE_AND_REPAIR_PROTEINS",""
"REACTOME_DEX_H_BOX_HELICASES_ACTIVATE_TYPE_I_IFN_AND_INFLAMMATORY_CYTOKINES_PRODUCTION",""
"REACTOME_LRR_FLII_INTERACTING_PROTEIN_1_LRRFIP1_ACTIVATES_TYPE_I_IFN_PRODUCTION",""
"REACTOME_REGULATION_OF_INNATE_IMMUNE_RESPONSES_TO_CYTOSOLIC_DNA",""
"REACTOME_HDACS_DEACETYLATE_HISTONES","IC"
"REACTOME_PKMTS_METHYLATE_HISTONE_LYSINES","C"
"REACTOME_HDMS_DEMETHYLATE_HISTONES","C"
"REACTOME_HATS_ACETYLATE_HISTONES","C"
"REACTOME_RMTS_METHYLATE_HISTONE_ARGININES","C"
"REACTOME_PROCESSING_AND_ACTIVATION_OF_SUMO",""
"REACTOME_GLYCOGEN_STORAGE_DISEASES",""
"REACTOME_SUMOYLATION_OF_TRANSCRIPTION_FACTORS",""
"REACTOME_SUMOYLATION_OF_UBIQUITINYLATION_PROTEINS",""
"REACTOME_WNT_LIGAND_BIOGENESIS_AND_TRAFFICKING",""
"REACTOME_CHROMATIN_MODIFYING_ENZYMES","C"
"REACTOME_IRF3_MEDIATED_INDUCTION_OF_TYPE_I_IFN",""
"REACTOME_TRP_CHANNELS","I"
"REACTOME_DEFECTS_IN_COBALAMIN_B12_METABOLISM",""
"REACTOME_DEFECTS_IN_VITAMIN_AND_COFACTOR_METABOLISM","I"
"REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES",""
"REACTOME_NUCLEAR_PORE_COMPLEX_NPC_DISASSEMBLY",""
"REACTOME_LOSS_OF_FUNCTION_OF_SMAD2_3_IN_CANCER",""
"REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX_IN_CANCER",""
"REACTOME_GLYCOGEN_SYNTHESIS",""
"REACTOME_DEFECTS_IN_BIOTIN_BTN_METABOLISM",""
"REACTOME_REGULATION_BY_C_FLIP",""
"REACTOME_REGULATION_OF_HSF1_MEDIATED_HEAT_SHOCK_RESPONSE",""
"REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR_IN_THE_PRESENCE_OF_LIGAND",""
"REACTOME_HSF1_ACTIVATION",""
"REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS","IC"
"REACTOME_ATTENUATION_PHASE",""
"REACTOME_HSF1_DEPENDENT_TRANSACTIVATION","IC"
"REACTOME_NOTCH_HLH_TRANSCRIPTION_PATHWAY",""
"REACTOME_METABOLISM_OF_POLYAMINES",""
"REACTOME_APOPTOTIC_CLEAVAGE_OF_CELL_ADHESION_PROTEINS",""
"REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE","VIC"
"REACTOME_INTEGRIN_SIGNALING",""
"REACTOME_GRB2_SOS_PROVIDES_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS",""
"REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSAMINOGLYCAN_METABOLISM",""
"REACTOME_DEFECTIVE_B4GALT7_CAUSES_EDS_PROGEROID_TYPE",""
"REACTOME_DEFECTIVE_CHST3_CAUSES_SEDCJD",""
"REACTOME_DEFECTIVE_CHST14_CAUSES_EDS_MUSCULOCONTRACTURAL_TYPE",""
"REACTOME_DEFECTIVE_CHSY1_CAUSES_TPBS",""
"REACTOME_DEFECTIVE_CHST6_CAUSES_MCDC1",""
"REACTOME_DEFECTIVE_EXT2_CAUSES_EXOSTOSES_2",""
"REACTOME_DEFECTIVE_ST3GAL3_CAUSES_MCT12_AND_EIEE15",""
"REACTOME_DEFECTIVE_B4GALT1_CAUSES_B4GALT1_CDG_CDG_2D",""
"REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53","I"
"REACTOME_P130CAS_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS",""
"REACTOME_SIGNALING_BY_GPCR","VIC"
"REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS","C"
"REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS",""
"REACTOME_NETRIN_1_SIGNALING","C"
"REACTOME_NEPHRIN_FAMILY_INTERACTIONS",""
"REACTOME_SEMAPHORIN_INTERACTIONS","C"
"REACTOME_L1CAM_INTERACTIONS","IC"
"REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH","C"
"REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS","C"
"REACTOME_AMINE_LIGAND_BINDING_RECEPTORS","C"
"REACTOME_HORMONE_LIGAND_BINDING_RECEPTORS",""
"REACTOME_DSCAM_INTERACTIONS",""
"REACTOME_SIGNALING_BY_ROBO_RECEPTORS","C"
"REACTOME_DEACTIVATION_OF_THE_BETA_CATENIN_TRANSACTIVATING_COMPLEX",""
"REACTOME_NEGATIVE_REGULATION_OF_TCF_DEPENDENT_SIGNALING_BY_WNT_LIGAND_ANTAGONISTS",""
"REACTOME_DISEASES_ASSOCIATED_WITH_N_GLYCOSYLATION_OF_PROTEINS",""
"REACTOME_DISEASES_OF_GLYCOSYLATION",""
"REACTOME_MYOCLONIC_EPILEPSY_OF_LAFORA",""
"REACTOME_DOPAMINE_CLEARANCE_FROM_THE_SYNAPTIC_CLEFT",""
"REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION",""
"REACTOME_TRNA_AMINOACYLATION",""
"REACTOME_MITOCHONDRIAL_TRNA_AMINOACYLATION",""
"REACTOME_TACHYKININ_RECEPTORS_BIND_TACHYKININS",""
"REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES",""
"REACTOME_RECRUITMENT_OF_MITOTIC_CENTROSOME_PROTEINS_AND_COMPLEXES",""
"REACTOME_RECRUITMENT_OF_NUMA_TO_MITOTIC_CENTROSOMES",""
"REACTOME_ENERGY_DEPENDENT_REGULATION_OF_MTOR_BY_LKB1_AMPK",""
"REACTOME_ATF4_ACTIVATES_GENES_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS",""
"REACTOME_ATF6_ATF6_ALPHA_ACTIVATES_CHAPERONES",""
"REACTOME_PERK_REGULATES_GENE_EXPRESSION",""
"REACTOME_IRE1ALPHA_ACTIVATES_CHAPERONES",""
"REACTOME_UNFOLDED_PROTEIN_RESPONSE_UPR",""
"REACTOME_ATF6_ATF6_ALPHA_ACTIVATES_CHAPERONE_GENES",""
"REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION",""
"REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS",""
"REACTOME_GLUCAGON_LIKE_PEPTIDE_1_GLP1_REGULATES_INSULIN_SECRETION","C"
"REACTOME_OLFACTORY_SIGNALING_PATHWAY","I"
"REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLUCAGON_LIKE_PEPTIDE_1_GLP_1",""
"REACTOME_TRANSPORT_OF_SMALL_MOLECULES","V"
"REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT",""
"REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY",""
"REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING","IC"
"REACTOME_VASOPRESSIN_LIKE_RECEPTORS",""
"REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY",""
"REACTOME_RECEPTOR_TYPE_TYROSINE_PROTEIN_PHOSPHATASES",""
"REACTOME_CD28_CO_STIMULATION",""
"REACTOME_CD28_DEPENDENT_PI3K_AKT_SIGNALING",""
"REACTOME_CD28_DEPENDENT_VAV1_PATHWAY",""
"REACTOME_OREXIN_AND_NEUROPEPTIDES_FF_AND_QRFP_BIND_TO_THEIR_RESPECTIVE_RECEPTORS",""
"REACTOME_CTLA4_INHIBITORY_SIGNALING",""
"REACTOME_ALPHA_OXIDATION_OF_PHYTANATE",""
"REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION","IC"
"REACTOME_BETA_OXIDATION_OF_PRISTANOYL_COA",""
"REACTOME_SUMOYLATION_OF_TRANSCRIPTION_COFACTORS",""
"REACTOME_PD_1_SIGNALING",""
"REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING","I"
"REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC",""
"REACTOME_POST_CHAPERONIN_TUBULIN_FOLDING_PATHWAY",""
"REACTOME_BETA_OXIDATION_OF_VERY_LONG_CHAIN_FATTY_ACIDS",""
"REACTOME_FOLDING_OF_ACTIN_BY_CCT_TRIC",""
"REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS",""
"REACTOME_STRIATED_MUSCLE_CONTRACTION","IC"
"REACTOME_MUSCARINIC_ACETYLCHOLINE_RECEPTORS",""
"REACTOME_DOPAMINE_RECEPTORS",""
"REACTOME_SEROTONIN_RECEPTORS",""
"REACTOME_ADRENOCEPTORS",""
"REACTOME_DISEASES_ASSOCIATED_WITH_O_GLYCOSYLATION_OF_PROTEINS",""
"REACTOME_PEROXISOMAL_LIPID_METABOLISM","IC"
"REACTOME_SIGNAL_REGULATORY_PROTEIN_FAMILY_INTERACTIONS",""
"REACTOME_PROTEIN_FOLDING","IC"
"REACTOME_EICOSANOID_LIGAND_BINDING_RECEPTORS",""
"REACTOME_LEUKOTRIENE_RECEPTORS",""
"REACTOME_PROSTANOID_LIGAND_RECEPTORS",""
"REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE",""
"REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_12",""
"REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_PI3KGAMMA","C"
"REACTOME_RAP1_SIGNALLING",""
"REACTOME_SIGNAL_AMPLIFICATION",""
"REACTOME_PROSTACYCLIN_SIGNALLING_THROUGH_PROSTACYCLIN_RECEPTOR","C"
"REACTOME_EPHB_MEDIATED_FORWARD_SIGNALING",""
"REACTOME_EPHA_MEDIATED_GROWTH_CONE_COLLAPSE",""
"REACTOME_EPHRIN_SIGNALING",""
"REACTOME_EPH_EPHRIN_MEDIATED_REPULSION_OF_CELLS",""
"REACTOME_MUSCLE_CONTRACTION","IC"
"REACTOME_G_PROTEIN_BETA_GAMMA_SIGNALLING",""
"REACTOME_TRAFFICKING_OF_AMPA_RECEPTORS",""
"REACTOME_SEMA3A_PAK_DEPENDENT_AXON_REPULSION",""
"REACTOME_SEMA3A_PLEXIN_REPULSION_SIGNALING_BY_INHIBITING_INTEGRIN_ADHESION",""
"REACTOME_CRMPS_IN_SEMA3A_SIGNALING",""
"REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION",""
"REACTOME_ADRENALINE_NORADRENALINE_INHIBITS_INSULIN_SECRETION","C"
"REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA",""
"REACTOME_CIRCADIAN_CLOCK",""
"REACTOME_FREE_FATTY_ACIDS_REGULATE_INSULIN_SECRETION",""
"REACTOME_INCRETIN_SYNTHESIS_SECRETION_AND_INACTIVATION",""
"REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLUCOSE_DEPENDENT_INSULINOTROPIC_POLYPEPTIDE_GIP",""
"REACTOME_SEMA4D_IN_SEMAPHORIN_SIGNALING",""
"REACTOME_SIALIC_ACID_METABOLISM",""
"REACTOME_SUMOYLATION_OF_SUMOYLATION_PROTEINS",""
"REACTOME_CA2_PATHWAY",""
"REACTOME_PCP_CE_PATHWAY",""
"REACTOME_SUMOYLATION_OF_INTRACELLULAR_RECEPTORS",""
"REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS","C"
"REACTOME_G_ALPHA_12_13_SIGNALLING_EVENTS","V"
"REACTOME_SEMA4D_MEDIATED_INHIBITION_OF_CELL_ATTACHMENT_AND_MIGRATION",""
"REACTOME_SEMA4D_INDUCED_CELL_MIGRATION_AND_GROWTH_CONE_COLLAPSE",""
"REACTOME_OTHER_SEMAPHORIN_INTERACTIONS",""
"REACTOME_TRAFFICKING_OF_GLUR2_CONTAINING_AMPA_RECEPTORS",""
"REACTOME_P2Y_RECEPTORS",""
"REACTOME_NUCLEOTIDE_LIKE_PURINERGIC_RECEPTORS",""
