"gmtNames","gmtOverlap"
"REACTOME_ADAPTIVE_IMMUNE_SYSTEM",""
"REACTOME_SPRY_REGULATION_OF_FGF_SIGNALING","C"
"REACTOME_CA2_ACTIVATED_K_CHANNELS",""
"REACTOME_INWARDLY_RECTIFYING_K_CHANNELS","C"
"REACTOME_POTASSIUM_CHANNELS","IC"
"REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS","VIC"
"REACTOME_TANDEM_PORE_DOMAIN_POTASSIUM_CHANNELS",""
"REACTOME_SPERM_MOTILITY_AND_TAXES","VIC"
"REACTOME_ACROSOME_REACTION_AND_SPERM_OOCYTE_MEMBRANE_BINDING",""
"REACTOME_GRB7_EVENTS_IN_ERBB2_SIGNALING",""
"REACTOME_DOWNREGULATION_OF_ERBB2_ERBB3_SIGNALING",""
"REACTOME_TRANSCRIPTION_OF_E2F_TARGETS_UNDER_NEGATIVE_CONTROL_BY_DREAM_COMPLEX",""
"REACTOME_TRANSCRIPTION_OF_E2F_TARGETS_UNDER_NEGATIVE_CONTROL_BY_P107_RBL1_AND_P130_RBL2_IN_COMPLEX_WITH_HDAC1",""
"REACTOME_MITOCHONDRIAL_IRON_SULFUR_CLUSTER_BIOGENESIS",""
"REACTOME_RORA_ACTIVATES_GENE_EXPRESSION",""
"REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_GENE_EXPRESSION",""
"REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS",""
"REACTOME_ELEVATION_OF_CYTOSOLIC_CA2_LEVELS",""
"REACTOME_ACTIVATION_OF_PUMA_AND_TRANSLOCATION_TO_MITOCHONDRIA",""
"REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION",""
"REACTOME_CASPASE_ACTIVATION_VIA_DEATH_RECEPTORS_IN_THE_PRESENCE_OF_LIGAND",""
"REACTOME_EXTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION",""
"REACTOME_INTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION",""
"REACTOME_COMMON_PATHWAY_OF_FIBRIN_CLOT_FORMATION",""
"REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE","I"
"REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS",""
"REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT","VC"
"REACTOME_SIGNALING_BY_SCF_KIT",""
"REACTOME_REGULATION_OF_KIT_SIGNALING",""
"REACTOME_REGULATION_OF_SIGNALING_BY_NODAL",""
"REACTOME_COLLAGEN_DEGRADATION",""
"REACTOME_TRANSLOCATION_OF_SLC2A4_GLUT4_TO_THE_PLASMA_MEMBRANE",""
"REACTOME_BETA_DEFENSINS",""
"REACTOME_DEFENSINS",""
"REACTOME_ALPHA_DEFENSINS",""
"REACTOME_TETRAHYDROBIOPTERIN_BH4_SYNTHESIS_RECYCLING_SALVAGE_AND_REGULATION",""
"REACTOME_REPRODUCTION",""
"REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX","I"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION",""
"REACTOME_COLLAGEN_FORMATION",""
"REACTOME_REVERSIBLE_HYDRATION_OF_CARBON_DIOXIDE",""
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PC",""
"REACTOME_ACYL_CHAIN_REMODELING_OF_CL",""
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PS",""
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PE",""
"REACTOME_ACYL_CHAIN_REMODELING_OF_DAG_AND_TAG",""
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PI",""
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PG",""
"REACTOME_HYDROLYSIS_OF_LPC",""
"REACTOME_SYNTHESIS_OF_PG",""
"REACTOME_SYNTHESIS_OF_PA",""
"REACTOME_SYNTHESIS_OF_PC",""
"REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS","V"
"REACTOME_SYNTHESIS_OF_PE",""
"REACTOME_SYNTHESIS_OF_PI",""
"REACTOME_SYNTHESIS_OF_PIPS_AT_THE_ER_MEMBRANE",""
"REACTOME_INOSITOL_PHOSPHATE_METABOLISM",""
"REACTOME_PI_METABOLISM",""
"REACTOME_PHOSPHOLIPID_METABOLISM",""
"REACTOME_DAG_AND_IP3_SIGNALING","I"
"REACTOME_MEIOSIS","VC"
"REACTOME_CELL_CELL_COMMUNICATION","C"
"REACTOME_SIGNALING_BY_ACTIVIN",""
"REACTOME_G0_AND_EARLY_G1",""
"REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS","VIC"
"REACTOME_METHYLATION",""
"REACTOME_CYTOSOLIC_SULFONATION_OF_SMALL_MOLECULES","IC"
"REACTOME_AMINO_ACID_CONJUGATION",""
"REACTOME_GLUCURONIDATION",""
"REACTOME_GLUTATHIONE_CONJUGATION","V"
"REACTOME_ELASTIC_FIBRE_FORMATION",""
"REACTOME_FIBRONECTIN_MATRIX_FORMATION",""
"REACTOME_POLO_LIKE_KINASE_MEDIATED_EVENTS",""
"REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION","C"
"REACTOME_SIGNALING_BY_NOTCH","I"
"REACTOME_TELOMERE_MAINTENANCE",""
"REACTOME_GAP_JUNCTION_TRAFFICKING_AND_REGULATION",""
"REACTOME_METABOLISM_OF_NUCLEOTIDES",""
"REACTOME_MITOCHONDRIAL_BIOGENESIS",""
"REACTOME_TRANSPORT_OF_THE_SLBP_DEPENDANT_MATURE_MRNA",""
"REACTOME_TRANSPORT_OF_MATURE_MRNAS_DERIVED_FROM_INTRONLESS_TRANSCRIPTS","IC"
"REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES",""
"REACTOME_RECYCLING_OF_BILE_ACIDS_AND_SALTS","IC"
"REACTOME_REMOVAL_OF_AMINOTERMINAL_PROPEPTIDES_FROM_GAMMA_CARBOXYLATED_PROTEINS",""
"REACTOME_GAMMA_CARBOXYLATION_TRANSPORT_AND_AMINO_TERMINAL_CLEAVAGE_OF_PROTEINS",""
"REACTOME_ZBP1_DAI_MEDIATED_INDUCTION_OF_TYPE_I_IFNS",""
"REACTOME_IRF3_MEDIATED_ACTIVATION_OF_TYPE_1_IFN",""
"REACTOME_SULFIDE_OXIDATION_TO_SULFATE",""
"REACTOME_DEGRADATION_OF_CYSTEINE_AND_HOMOCYSTEINE","C"
"REACTOME_SULFUR_AMINO_ACID_METABOLISM","C"
"REACTOME_HIV_LIFE_CYCLE","IC"
"REACTOME_BUDDING_AND_MATURATION_OF_HIV_VIRION",""
"REACTOME_INTEGRATION_OF_PROVIRUS",""
"REACTOME_EARLY_PHASE_OF_HIV_LIFE_CYCLE",""
"REACTOME_GOLGI_CISTERNAE_PERICENTRIOLAR_STACK_REORGANIZATION",""
"REACTOME_SYNTHESIS_OF_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI",""
"REACTOME_ATTACHMENT_OF_GPI_ANCHOR_TO_UPAR",""
"REACTOME_HIV_INFECTION","IC"
"REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS","IC"
"REACTOME_GLYCOSAMINOGLYCAN_METABOLISM",""
"REACTOME_POST_TRANSLATIONAL_MODIFICATION_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS",""
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS","IC"
"REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING",""
"REACTOME_PKA_MEDIATED_PHOSPHORYLATION_OF_KEY_METABOLIC_FACTORS",""
"REACTOME_GLUCAGON_SIGNALING_IN_METABOLIC_REGULATION",""
"REACTOME_TRIGLYCERIDE_CATABOLISM",""
"REACTOME_AMPK_INHIBITS_CHREBP_TRANSCRIPTIONAL_ACTIVATION_ACTIVITY",""
"REACTOME_INTEGRATION_OF_ENERGY_METABOLISM","IC"
"REACTOME_CHREBP_ACTIVATES_METABOLIC_GENE_EXPRESSION",""
"REACTOME_PP2A_MEDIATED_DEPHOSPHORYLATION_OF_KEY_METABOLIC_FACTORS",""
"REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM",""
"REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM",""
"REACTOME_GAMMA_CARBOXYLATION_HYPUSINE_FORMATION_AND_ARYLSULFATASE_ACTIVATION",""
"REACTOME_CELL_CYCLE",""
"REACTOME_SIGNALING_BY_EGFR_IN_CANCER",""
"REACTOME_PKA_ACTIVATION_IN_GLUCAGON_SIGNALLING",""
"REACTOME_2_LTR_CIRCLE_FORMATION",""
"REACTOME_NEF_MEDIATES_DOWN_MODULATION_OF_CELL_SURFACE_RECEPTORS_BY_RECRUITING_THEM_TO_CLATHRIN_ADAPTERS",""
"REACTOME_NEF_MEDIATED_DOWNREGULATION_OF_MHC_CLASS_I_COMPLEX_CELL_SURFACE_EXPRESSION",""
"REACTOME_NEF_AND_SIGNAL_TRANSDUCTION",""
"REACTOME_THE_ROLE_OF_NEF_IN_HIV_1_REPLICATION_AND_DISEASE_PATHOGENESIS",""
"REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES",""
"REACTOME_MTOR_SIGNALLING",""
"REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF",""
"REACTOME_SYNTHESIS_OF_PIPS_AT_THE_PLASMA_MEMBRANE",""
"REACTOME_SYNTHESIS_OF_PIPS_AT_THE_GOLGI_MEMBRANE",""
