"gmtNames","gmtDriver"
"REACTOME_PI3K_EVENTS_IN_ERBB4_SIGNALING","Both"
"REACTOME_SHC1_EVENTS_IN_ERBB4_SIGNALING","Both"
"REACTOME_NUCLEAR_SIGNALING_BY_ERBB4","Both"
"REACTOME_DOWNREGULATION_OF_ERBB4_SIGNALING","Unclear"
"REACTOME_INTERLEUKIN_7_SIGNALING","Herbivore"
"REACTOME_DEVELOPMENTAL_BIOLOGY","Unclear"
"REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT","Unclear"
"REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM","Unclear"
"REACTOME_ADAPTIVE_IMMUNE_SYSTEM","Unclear"
"REACTOME_SPRY_REGULATION_OF_FGF_SIGNALING","Unclear"
"REACTOME_CA2_ACTIVATED_K_CHANNELS","Unclear"
"REACTOME_INWARDLY_RECTIFYING_K_CHANNELS","Unclear"
"REACTOME_POTASSIUM_CHANNELS","Carnivore"
"REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS","Carnivore"
"REACTOME_TANDEM_PORE_DOMAIN_POTASSIUM_CHANNELS","Both"
"REACTOME_SPERM_MOTILITY_AND_TAXES","Carnivore"
"REACTOME_ACROSOME_REACTION_AND_SPERM_OOCYTE_MEMBRANE_BINDING","Unclear"
"REACTOME_GRB7_EVENTS_IN_ERBB2_SIGNALING","Unclear"
"REACTOME_DOWNREGULATION_OF_ERBB2_ERBB3_SIGNALING","Unclear"
"REACTOME_TRANSCRIPTION_OF_E2F_TARGETS_UNDER_NEGATIVE_CONTROL_BY_DREAM_COMPLEX","Unclear"
"REACTOME_TRANSCRIPTION_OF_E2F_TARGETS_UNDER_NEGATIVE_CONTROL_BY_P107_RBL1_AND_P130_RBL2_IN_COMPLEX_WITH_HDAC1","Unclear"
"REACTOME_MITOCHONDRIAL_IRON_SULFUR_CLUSTER_BIOGENESIS","Unclear"
"REACTOME_RORA_ACTIVATES_GENE_EXPRESSION","Unclear"
"REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_GENE_EXPRESSION","Both"
"REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS","Unclear"
"REACTOME_ELEVATION_OF_CYTOSOLIC_CA2_LEVELS","Carnivore"
"REACTOME_ACTIVATION_OF_PUMA_AND_TRANSLOCATION_TO_MITOCHONDRIA","Both"
"REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION","Unclear"
"REACTOME_CASPASE_ACTIVATION_VIA_DEATH_RECEPTORS_IN_THE_PRESENCE_OF_LIGAND","Unclear"
"REACTOME_EXTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION","Both"
"REACTOME_INTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION","Carnivore"
"REACTOME_COMMON_PATHWAY_OF_FIBRIN_CLOT_FORMATION","Both"
"REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE","Carnivore"
"REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS","Unclear"
"REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT","Carnivore"
"REACTOME_SIGNALING_BY_SCF_KIT","Both"
"REACTOME_REGULATION_OF_KIT_SIGNALING","Both"
"REACTOME_REGULATION_OF_SIGNALING_BY_NODAL","Both"
"REACTOME_COLLAGEN_DEGRADATION","Carnivore"
"REACTOME_TRANSLOCATION_OF_SLC2A4_GLUT4_TO_THE_PLASMA_MEMBRANE","Unclear"
"REACTOME_BETA_DEFENSINS","Both"
"REACTOME_DEFENSINS","Herbivore"
"REACTOME_ALPHA_DEFENSINS","Herbivore"
"REACTOME_TETRAHYDROBIOPTERIN_BH4_SYNTHESIS_RECYCLING_SALVAGE_AND_REGULATION","Unclear"
"REACTOME_REPRODUCTION","Unclear"
"REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX","Carnivore"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","Carnivore"
"REACTOME_COLLAGEN_FORMATION","Unclear"
"REACTOME_REVERSIBLE_HYDRATION_OF_CARBON_DIOXIDE","Unclear"
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PC","Carnivore"
"REACTOME_ACYL_CHAIN_REMODELING_OF_CL","Unclear"
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PS","Carnivore"
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PE","Carnivore"
"REACTOME_ACYL_CHAIN_REMODELING_OF_DAG_AND_TAG","Unclear"
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PI","Carnivore"
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PG","Carnivore"
"REACTOME_HYDROLYSIS_OF_LPC","Both"
"REACTOME_SYNTHESIS_OF_PG","Both"
"REACTOME_SYNTHESIS_OF_PA","Carnivore"
"REACTOME_SYNTHESIS_OF_PC","Unclear"
"REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS","Unclear"
"REACTOME_SYNTHESIS_OF_PE","Carnivore"
"REACTOME_SYNTHESIS_OF_PI","Unclear"
"REACTOME_SYNTHESIS_OF_PIPS_AT_THE_ER_MEMBRANE","Carnivore"
"REACTOME_INOSITOL_PHOSPHATE_METABOLISM","Both"
"REACTOME_PI_METABOLISM","Carnivore"
"REACTOME_PHOSPHOLIPID_METABOLISM","Carnivore"
"REACTOME_DAG_AND_IP3_SIGNALING","Unclear"
"REACTOME_MEIOSIS","Unclear"
"REACTOME_CELL_CELL_COMMUNICATION","Unclear"
"REACTOME_SIGNALING_BY_ACTIVIN","Both"
"REACTOME_G0_AND_EARLY_G1","Unclear"
"REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS","Unclear"
"REACTOME_METHYLATION","Unclear"
"REACTOME_CYTOSOLIC_SULFONATION_OF_SMALL_MOLECULES","Unclear"
"REACTOME_AMINO_ACID_CONJUGATION","Unclear"
"REACTOME_GLUCURONIDATION","Unclear"
"REACTOME_GLUTATHIONE_CONJUGATION","Unclear"
"REACTOME_ELASTIC_FIBRE_FORMATION","Both"
"REACTOME_FIBRONECTIN_MATRIX_FORMATION","Unclear"
"REACTOME_POLO_LIKE_KINASE_MEDIATED_EVENTS","Unclear"
"REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION","Unclear"
"REACTOME_SIGNALING_BY_NOTCH","Unclear"
"REACTOME_TELOMERE_MAINTENANCE","Unclear"
"REACTOME_GAP_JUNCTION_TRAFFICKING_AND_REGULATION","Unclear"
"REACTOME_METABOLISM_OF_NUCLEOTIDES","Unclear"
"REACTOME_MITOCHONDRIAL_BIOGENESIS","Both"
"REACTOME_TRANSPORT_OF_THE_SLBP_DEPENDANT_MATURE_MRNA","Both"
"REACTOME_TRANSPORT_OF_MATURE_MRNAS_DERIVED_FROM_INTRONLESS_TRANSCRIPTS","Both"
