GO.ID	Description	pVal	p.adj	Phenotype	Gene.vals
REACTOME_ROS_AND_RNS_PRODUCTION_IN_PHAGOCYTES	REACTOME_ROS_AND_RNS_PRODUCTION_IN_PHAGOCYTES	0.978939383771017	0.991651455532959	-1	ATP6V1B2:2074, ATP6V1G3:2959, HVCN1:3309, NOS2:3661, ATP6V0A1:3731, NCF4:3903, ATP6V0A2:3945, CYBB:4064, ATP6V0C:4340, ATP6V0B:4912, ATP6V1F:5515, MPO:8643.5, SLC11A1:8643.5, ATP6V1H:8643.5, CYBA:8643.5, ATP6V0A4:8643.5, ATP6V1A:8643.5, ATP6V1B1:8643.5, NCF2:8643.5, ATP6V1G1:8643.5, ATP6V1C2:8643.5, ATP6V0D2:8643.5, ATP6V1C1:8643.5, NCF1:8643.5, ATP6V0D1:8643.5, LPO:8643.5, ATP6V1E2:8643.5, ATP6V1G2:12418, ATP6V1E1:12505, NOS3:12563, NOS1:12814, TCIRG1:14277
REACTOME_REGULATION_OF_GENE_EXPRESSION_BY_HYPOXIA_INDUCIBLE_FACTOR	REACTOME_REGULATION_OF_GENE_EXPRESSION_BY_HYPOXIA_INDUCIBLE_FACTOR	0.346043475556168	0.586939215830453	-1	HIF3A:2256, CA9:2673, VEGFA:3550, HIF1A:4207, EP300:4787, EPO:5014, EPAS1:8643.5, ARNT:8643.5, CITED2:8643.5, HIGD1A:8643.5, CREBBP:13603
REACTOME_CROSS_PRESENTATION_OF_PARTICULATE_EXOGENOUS_ANTIGENS_PHAGOSOMES	REACTOME_CROSS_PRESENTATION_OF_PARTICULATE_EXOGENOUS_ANTIGENS_PHAGOSOMES	0.382227905403849	0.620769910770427	-1	ITGAV:2560, NCF4:3903, CYBB:4064, CD36:5508, CYBA:8643.5, NCF2:8643.5, NCF1:8643.5, ITGB5:8643.5
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION	REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION	0.598246054430188	0.79307337900979	-1	IKBKB:411, TAP1:414, PSME2:2411, ITGAV:2560, PSME1:2588, TLR2:2821, SEM1:3096, CTSS:3203, MYD88:3685, FGG:3823, NCF4:3903, B2M:3916, CYBB:4064, S100A8:4070, PSMD6:4104, PSME4:4247, VAMP8:4299, TAPBP:4324, SNAP23:4776, TLR1:4879, PSMD8:4991, PSMD7:5137, FGB:5244, PSMD2:5298, PSMD5:5436, CD36:5508, PSMB8:5562, PSMB1:8643.5, PSMB5:8643.5, PSMD10:8643.5, PSMD3:8643.5, PSMD9:8643.5, PSMB2:8643.5, PSME3:8643.5, TLR4:8643.5, PSMB7:8643.5, PSMB6:8643.5, LY96:8643.5, PSMD4:8643.5, PSMB4:8643.5, PSMC3:8643.5, UBB:8643.5, CD14:8643.5, PSMD1:8643.5, PSMD13:8643.5, PSMB10:8643.5, PSMB9:8643.5, STX4:8643.5, CHUK:8643.5, CYBA:8643.5, NCF2:8643.5, NCF1:8643.5, ITGB5:8643.5, BTK:8643.5, MRC2:8643.5, VAMP3:8643.5, LNPEP:8643.5, CD207:8643.5, FCGR1A:8643.5, PDIA3:8643.5, TLR6:8643.5, CALR:8643.5, TAP2:8643.5, MRC1:8643.5, PSMA8:11780, PSMB11:12122, PSMD12:13317, PSMA1:13479, PSMF1:14113, IKBKG:14139, UBA52:14871, RPS27A:14930
REACTOME_ENDOSOMAL_VACUOLAR_PATHWAY	REACTOME_ENDOSOMAL_VACUOLAR_PATHWAY	0.341281523364559	0.579557287647508	-1	CTSS:3203, B2M:3916, LNPEP:8643.5
REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN	REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN	0.00314871387466751	0.0348290252516903	-1	CA4:166, RHAG:255, SLC4A1:271, CA2:1173, CA1:3560, CYB5RL:3865, AQP1:3939, CYB5R4:4868, CYB5R1:8643.5, CYB5R2:8643.5
REACTOME_METHIONINE_SALVAGE_PATHWAY	REACTOME_METHIONINE_SALVAGE_PATHWAY	0.309889662275944	0.557059881439209	-1	GOT1:2568, ENOPH1:2817, MTAP:3996, MRI1:4837, ADI1:8643.5, APIP:12253
REACTOME_ERYTHROCYTES_TAKE_UP_OXYGEN_AND_RELEASE_CARBON_DIOXIDE	REACTOME_ERYTHROCYTES_TAKE_UP_OXYGEN_AND_RELEASE_CARBON_DIOXIDE	0.000730861401699305	0.0125499343548938	-1	CA4:166, RHAG:255, SLC4A1:271, CA2:1173, CA1:3560, AQP1:3939
REACTOME_SHC1_EVENTS_IN_ERBB2_SIGNALING	REACTOME_SHC1_EVENTS_IN_ERBB2_SIGNALING	0.991899702586369	0.996320425494832	-1	PTPN12:1029, EGF:1100, PRKCD:1978, HBEGF:2746, BTC:3411, NRG1:4846, ERBB4:5197, SOS1:8643.5, ERBB3:8643.5, ERBB2:8643.5, NRG2:8643.5, NRG4:8643.5, NRG3:8643.5, PRKCE:12201, SHC1:13128, EGFR:13149, PRKCA:13443, EREG:13876
REACTOME_PI3K_EVENTS_IN_ERBB4_SIGNALING	REACTOME_PI3K_EVENTS_IN_ERBB4_SIGNALING	0.591565048241758	0.789483184293035	-1	HBEGF:2746, BTC:3411, PIK3R1:4605, NRG1:4846, ERBB4:5197, PIK3CA:8643.5, NRG2:8643.5, NRG4:8643.5, NRG3:8643.5, EREG:13876
