"","CH-Rho","CH-P","CH-p.adj","CH-significant","CO-Rho","CO-P","CO-p.adj","CO-significant","HO-Rho","HO-P","HO-p.adj","HO-significant","CH-CO-Overlap","CH-HO-Overlap","CO-HO-Overlap","CH-CO-HO-Overlap","CH-CO-Delta","CH-HO-Delta","CO-HO-Delta"
"ARF5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M6PR",1.62054584640939,0.315345222901535,0.835357012628181,FALSE,1.29052162009028,0.59060883056302,1,FALSE,-0.213987328097756,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.233362368386087,1.29721084800569,1.0638484796196
"FKBP4",0.600698922059664,1,1,FALSE,2.67545016739931,0.0223886900809628,0.217022376204945,FALSE,2.12857043694989,0.099869449743224,0.804921133077121,FALSE,FALSE,FALSE,FALSE,FALSE,1.46707067485489,1.08036830896064,0.386702365894251
"CYP26B1",0.0121510944151989,1,1,FALSE,-0.583847881476363,1,1,FALSE,-0.59777884874641,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.421434917433161,0.431285598858299,0.00985068142513859
"NDUFAF7",-0.549020616075147,1,1,FALSE,-1.47319810333904,0.422092879090263,1,FALSE,-0.975234312602939,0.988332136233578,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.653492168264246,0.301378595049387,0.352113573214859
"FUCA2",-1.60657538807527,0.324442635333269,0.850325547200203,FALSE,-1.80244463277103,0.214426435079585,0.783086584563239,FALSE,-0.325694388765295,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.138500471150255,0.905719640505086,1.04422011165534
"DBNDD1",1.04644936872388,0.886060828681476,1,FALSE,0.931004783907914,1,1,FALSE,-0.0102560523026979,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.0816316487746346,0.747203568924478,0.665571920149844
"HS3ST1",-0.167276017834515,1,1,FALSE,0.678844652632834,1,1,FALSE,0.836268564168569,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.598297663789571,0.7096131791574,0.11131551536783
"SEMA3F",-2.25773525374256,0.0718865098465451,0.332521866177224,FALSE,-1.10124295441121,0.812372794316658,1,FALSE,0.981337104695638,0.979279592515326,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.817763547247217,2.29037002940555,1.47260648215833
"CFTR",1.49941263196209,0.401299855698974,0.975700429068886,FALSE,0.909174448629723,1,1,FALSE,-0.480945503261599,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.417361421949543,1.40032466659461,0.982963244645071
"CYP51A1",-1.75960288009437,0.235425488611079,0.695416337742498,FALSE,-0.301599883279965,1,1,FALSE,1.34046416973792,0.540283456742199,1,FALSE,FALSE,FALSE,FALSE,FALSE,1.03096380603778,2.19207843306939,1.16111462703161
"USP28",2.33119062921668,0.0592299301434499,0.294920166170615,FALSE,1.26509324550853,0.617513711722388,1,FALSE,-0.878183262693945,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.75384468942527,2.26937004233306,1.51552535290779
"SLC7A2",-0.824333662347119,1,1,FALSE,-0.818418164225756,1,1,FALSE,-0.0574737350032753,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.00418288883571186,0.542251854845055,0.538068966009343
"HSPB6",-0.122488639524656,1,1,FALSE,0.186524870248239,1,1,FALSE,0.303975787057064,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.21850554823867,0.301555887970767,0.0830503397320967
"PDK4",-0.751487040416448,1,1,FALSE,2.44179116665611,0.043843793719165,0.319155785493266,FALSE,3.14027629999495,0.00506365679071995,0.208506761366103,FALSE,FALSE,FALSE,FALSE,FALSE,2.25798867443623,2.75189224877811,0.493903574341887
"USH1C",0.945995618179514,1,1,FALSE,0.595387999895663,1,1,FALSE,-0.278254372494557,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.247917024424176,0.865675470273203,0.617758445849027
"RALA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BAIAP2L1",-0.128617466674719,1,1,FALSE,1.53591054112961,0.373680967414423,1,FALSE,1.63219016818903,0.30791829394825,1,FALSE,FALSE,FALSE,FALSE,FALSE,1.17699904179337,1.24507901897721,0.0680799771838322
"CACNG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TMEM132A",0.967810238896871,0.999417447963571,1,FALSE,1.46972781704678,0.424906457123026,1,FALSE,0.615285347803434,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.35490932310653,0.249272741029219,0.604182064135748
"DVL2",0.884070360173625,1,1,FALSE,-2.38745500484715,0.0508964381153692,0.347872895883971,FALSE,-3.1676327920264,0.00461056514161923,0.200021099969352,FALSE,FALSE,FALSE,FALSE,FALSE,2.31331777042998,2.86498677427555,0.551669003845564
"RPAP3",-0.532720987203664,1,1,FALSE,-0.962752565635104,1,1,FALSE,-0.464719186255634,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.304078245233226,0.0480845345832499,0.352162779816476
"HOXA11",1.90583967513114,0.170013028984227,0.571521159066509,FALSE,0.793643285439444,1,1,FALSE,-0.900866936463308,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.786441609162194,1.98464127785955,1.19819966869736
"TRAPPC6A",-0.706921219462091,1,1,FALSE,0.00456891308456023,1,1,FALSE,0.635870700324619,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.503099497471052,0.949497272203685,0.446397774732632
"SPATA20",-1.12762402922925,0.778436202459733,1,FALSE,-1.71273888111672,0.260281766104072,0.872726436513142,FALSE,-0.661398038147463,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.413738679542588,0.329671559859352,0.74341023940194
"CD79B",-1.12816709788797,0.77774806921182,1,FALSE,-0.361521668457418,1,1,FALSE,0.691635502790251,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.542100181916016,1.28679475936049,0.744694577444469
"RHBDD2",-1.51402111268051,0.390061454470092,0.958161362150849,FALSE,1.63487549764864,0.306225449696658,0.959701160476131,FALSE,3.00208618157663,0.00804408761797017,0.260863201894346,FALSE,FALSE,FALSE,FALSE,FALSE,2.22660614641908,3.19337009233526,0.966763945916174
"RPUSD1",-0.349048408507817,1,1,FALSE,1.30941833519295,0.57117805200992,1,FALSE,1.65856397262191,0.291611059781537,1,FALSE,FALSE,FALSE,FALSE,FALSE,1.17271308084318,1.4195963286909,0.246883247847716
"TSR3",-2.07287030991934,0.114553052432,0.442741324706134,FALSE,-0.833937754022467,1,1,FALSE,1.12726011836454,0.778897557123582,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.87605761170746,2.26283392652095,1.38677631481348
"NDUFAB1",-2.606671231051,0.0274281294347012,0.179512296239586,FALSE,-0.960717926332479,1,1,FALSE,1.4037530422404,0.481177204407681,1,FALSE,FALSE,FALSE,FALSE,FALSE,1.16386474328288,2.83579819907948,1.67193345579661
"YBX2",2.46529258126846,0.0410704236699775,0.232717001312598,FALSE,1.54999293409341,0.363429635874552,1,FALSE,-0.591134831634238,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.647214587335137,2.16122054986796,1.51400596253282
"ITGA3",3.22984850743476,0.00371567480674637,0.0460633943228476,TRUE,3.3405580480797,0.00250830600772104,0.0576261288691599,FALSE,0.392790186674593,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.0782834669320853,2.00610317723123,2.08438664416332
"KRT33A",-2.36873175520365,0.0535475812501799,0.276098229103957,FALSE,0.253989529803444,1,1,FALSE,2.57827897094232,0.0297881399595877,0.480940056178267,FALSE,FALSE,FALSE,FALSE,FALSE,1.85454400579081,3.49806483106041,1.64352082526959
"LRRC23",-0.19057924176828,1,1,FALSE,-2.66839453882705,0.0228644103901922,0.219382203058149,FALSE,-2.49853866021205,0.0374119617990364,0.543102369555272,FALSE,FALSE,FALSE,FALSE,FALSE,1.75207999907802,1.63197375548495,0.120106243593064
"TFAP2D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CRY1",-1.17238320308327,0.723129720417494,1,FALSE,-1.57144902939283,0.34823515511516,1,FALSE,-0.505557304040309,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.282182151923303,0.471517115084097,0.7536992670074
"PGLYRP1",-1.59279972626725,0.333615379723135,0.865212908593789,FALSE,0.608675129444911,1,1,FALSE,2.14460494610745,0.095953339538994,0.792853847077905,FALSE,FALSE,FALSE,FALSE,FALSE,1.55667779908574,2.64274418787444,1.08606638878869
"STARD3NL",1.30937566543714,0.571221390929127,1,FALSE,0.346454709779019,1,1,FALSE,-0.843573475656913,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.680887937492489,1.52236493721736,0.84147699972487
"CD74",1.2359307192801,0.649452951466485,1,FALSE,1.1982654079396,0.692441126678571,1,FALSE,0.034901459429378,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.026633397064374,0.849255934043908,0.822622536979534
"RPS20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MGST1",-4.13020422007523,0.000108732339005845,0.00379636837892976,TRUE,-2.0082055045934,0.133864374952612,0.607125494576605,FALSE,1.77011351918666,0.23012469562813,1,FALSE,FALSE,FALSE,FALSE,FALSE,1.50047968138634,4.17215468458736,2.67167500320102
"CPA1",-2.80230355466661,0.0152217320879798,0.120120530189844,FALSE,-0.279281791992414,1,1,FALSE,2.33454075781724,0.0587022734588212,0.659475591425665,FALSE,FALSE,FALSE,FALSE,FALSE,1.78404579746816,3.63229744725688,1.84825164978872
"SYPL1",-1.68373972580095,0.276695940984453,0.770486283426766,FALSE,1.22850401109528,0.657773473743559,1,FALSE,2.70126367188295,0.0207229656229655,0.399445735324305,FALSE,FALSE,FALSE,FALSE,FALSE,2.05926729482738,3.10066563802834,1.04139834320096
"RANBP9",-1.39578528962754,0.488337484412109,1,FALSE,0.0446423557755183,1,1,FALSE,1.33529621299514,0.545338252805422,1,FALSE,FALSE,FALSE,FALSE,FALSE,1.01853615587307,1.93116625047764,0.912630094604568
"CD4",0.212777023076945,1,1,FALSE,-1.75465006238364,0.237957548104966,0.827811801786889,FALSE,-1.97136617292299,0.146046022046362,0.940369614471503,FALSE,FALSE,FALSE,FALSE,FALSE,1.39118103361927,1.54442246497402,0.15324143135475
"PLEKHG6",2.47279054737406,0.0402188067278614,0.229700153919668,FALSE,1.39657960711066,0.487620078733551,1,FALSE,-0.880044500159066,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.760996053847406,2.3708123983106,1.60981634446319
"QPCTL",-1.41915422678577,0.467562172281455,1,FALSE,-0.229444534862336,1,1,FALSE,1.10209399965021,0.811262423272126,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.84125179080242,1.78279171796744,0.941539927165019
"PPP5C",-1.48494035373385,0.412678875261179,0.993215983906186,FALSE,0.282298670159916,1,1,FALSE,1.62244116085583,0.314126765847786,1,FALSE,FALSE,FALSE,FALSE,FALSE,1.24962669777278,2.19725054070009,0.947623842927308
"UBR7",2.32613441484441,0.0600341433456441,0.297649597847564,FALSE,0.108628146681004,1,1,FALSE,-2.09372860939974,0.108852488589678,0.832073176083888,FALSE,FALSE,FALSE,FALSE,FALSE,1.56801371954202,3.12531511635872,1.5573013968167
"MAP4K5",-1.42130990601358,0.465680054857207,1,FALSE,-2.30729539798986,0.063115073717028,0.395765557681214,FALSE,-1.03599654185962,0.900611267506045,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.626486349409325,0.272457692675064,0.898944042084389
"ERCC1",-1.01068145335619,0.936506749793361,1,FALSE,-0.0432785749504216,1,1,FALSE,0.791924303376859,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.684057135460104,1.27463475439185,0.590577618931743
"GPRC5A",-3.61741650157309,0.000892674831117396,0.0166084763371794,TRUE,0.762794188751054,1,1,FALSE,4.08871852658205,0.000130128840301299,0.0378174429737161,TRUE,FALSE,TRUE,FALSE,FALSE,3.09727668215401,5.44906033514768,2.35178365299367
"HEBP1",-0.0573473319950951,1,1,FALSE,-0.21805927501651,1,1,FALSE,-0.165767614914492,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.113640504728109,0.0766647172704692,0.0369757874576396
"COX15",-0.167951344161473,1,1,FALSE,0.934840567868593,1,1,FALSE,1.09833383164168,0.816176232098396,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.779791639234138,0.895398834726406,0.115607195492268
"MS4A12",-0.327551015852838,1,1,FALSE,1.26414568000251,0.618533230324201,1,FALSE,1.73298749783467,0.24929367283972,1,FALSE,FALSE,FALSE,FALSE,FALSE,1.12549952723154,1.45702075592449,0.33152122869295
"XYLT2",0.314827122965388,1,1,FALSE,1.53925579523971,0.371225583252588,1,FALSE,1.26257484199007,0.620226041670966,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.865801817244416,0.670158838976436,0.19564297826798
"FTSJ1",-4.67785238843718,8.69685316503898e-06,0.000652318587704347,TRUE,-3.59279435280198,0.000981452314719938,0.0319437892387437,TRUE,0.682570647698096,1,1,FALSE,TRUE,FALSE,FALSE,FALSE,0.767251894978604,3.79039147887983,3.02313958390123
"SCTR",0.121343821446311,1,1,FALSE,-1.0181542112399,0.925814027399328,1,FALSE,-1.13832553870784,0.764953721133995,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.80574678606115,0.890720746617917,0.0849739605567669
"RALBP1",-3.9668364686756,0.000218498786456793,0.00608094596857285,TRUE,-2.54809339182389,0.0324940410532881,0.269879223609522,FALSE,1.10448706533832,0.808145734189249,1,FALSE,FALSE,FALSE,FALSE,FALSE,1.00320285040332,3.58596726049217,2.58276441008885
"SYT13",-0.877063130827764,1,1,FALSE,0.846768195406144,1,1,FALSE,1.66743094644983,0.28628623389625,1,FALSE,FALSE,FALSE,FALSE,FALSE,1.2189328204018,1.799229016732,0.580296196330201
"SNAI2",0.306643516249733,1,1,FALSE,0.516697753545263,1,1,FALSE,0.265467143614095,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.148530775608638,0.0291160923153236,0.177646867923961
"SLC7A9",-4.38570787467634,3.46827571203662e-05,0.00174708608534325,TRUE,-1.89627430882901,0.173771344877563,0.696745174791649,FALSE,2.17530293384084,0.0888222684783541,0.762660296161868,FALSE,FALSE,FALSE,FALSE,FALSE,1.76029535572406,4.63933523414073,2.87903987841668
"RTF2",-0.37678562925475,1,1,FALSE,0.260918997952895,1,1,FALSE,0.61083665650869,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.450925266292565,0.698354415514287,0.247429149221722
"RB1CC1",-0.186806896878361,1,1,FALSE,1.4056929765202,0.479445940337319,1,FALSE,1.57449383873477,0.346119974459946,1,FALSE,FALSE,FALSE,FALSE,FALSE,1.12606745951884,1.2454276938609,0.119360234342059
"AKAP11",1.93650200437899,0.158418741895372,0.544220056267983,FALSE,0.597814710337986,1,1,FALSE,-1.17707338688512,0.71749864875486,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.946594863504664,2.20163027289841,1.25503540939375
"B4GALT7",-0.761158067827584,1,1,FALSE,-0.0541426727314401,1,1,FALSE,0.670452368154472,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.499935380275769,1.01230144730034,0.512366067024572
"FAM13B",-4.62932320158525,1.10058838123806e-05,0.0007808493717028,TRUE,-2.66265856005416,0.0232578104641888,0.220995205802062,FALSE,1.58082267590377,0.341755764623572,1,FALSE,FALSE,FALSE,FALSE,FALSE,1.39064190434645,4.39123626213017,3.00059435778373
"CHPF2",0.0030464533519741,1,1,FALSE,0.0632982404882321,1,1,FALSE,0.0609579227237747,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.0426044472626564,0.0409495927012772,0.00165485456137919
"GABARAPL2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MYOC",2.87378710046579,0.0121674678678087,0.103242433699228,FALSE,1.89879129411543,0.172775766944675,0.694712051053271,FALSE,-0.728493427007286,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.689426146298783,2.54719698871246,1.85777084241368
"FAM136A",-1.65868465781594,0.291538057617824,0.793823986796498,FALSE,-1.17539553279034,0.719509529647602,1,FALSE,0.260380472283321,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.34173701757931,1.35698396703183,1.01524694945252
"NSMAF",0.789836110053857,1,1,FALSE,3.04038621516521,0.00708824851500251,0.106255784103619,FALSE,2.3037847818758,0.0637041834269894,0.678565179086705,FALSE,FALSE,FALSE,FALSE,FALSE,1.59137924072433,1.07052337221366,0.520855868510668
"OTC",-1.45747184237796,0.43495853532653,1,FALSE,-0.140529233937256,1,1,FALSE,1.19820853945701,0.692507525299842,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.93121904886192,1.87784960665959,0.946630557797668
"TTC17",-0.304168904791171,1,1,FALSE,-0.410064565099993,1,1,FALSE,-0.135893950797889,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.0748795395025945,0.118988361072504,0.193867900575099
"HOXC8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MRI1",-1.30147924884648,0.579283388818783,1,FALSE,-0.673094188534039,1,1,FALSE,0.546101549318179,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.444335337343243,1.30643691117228,0.86210157382904
"TARBP1",-2.01799898421232,0.130774101351298,0.482956554159533,FALSE,-1.45280751691554,0.438831612916016,1,FALSE,0.416081121847852,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.399650719194331,1.72115454894642,1.32150382975209
"RTN4R",0.121620838995512,1,1,FALSE,1.91110180190536,0.167974498944498,0.684211071307403,FALSE,1.762919243416,0.233742332896464,1,FALSE,FALSE,FALSE,FALSE,FALSE,1.26535412367778,1.16057323171639,0.104780891961398
"PSMA4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZPBP",0.155369289569155,1,1,FALSE,1.29342060683618,0.587596880382962,1,FALSE,1.13343186768842,0.771098813370901,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.804723803777797,0.691594681412929,0.113129122364868
"LCP2",-0.258128263048002,1,1,FALSE,0.57952101503276,1,1,FALSE,0.815453728958389,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.592307484786923,0.759137106707481,0.166829621920558
"DCN",1.32090779845595,0.559596327522722,1,FALSE,-1.50770806478955,0.394887781595135,1,FALSE,-2.74356791423737,0.0182326425681152,0.377764825634457,FALSE,FALSE,FALSE,FALSE,FALSE,2.00013345827273,2.87401833841347,0.873884880140741
"TNFRSF17",0.299819142447329,1,1,FALSE,-0.218511659510023,1,1,FALSE,-0.494985653486726,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.366515224961905,0.56201186092456,0.195496635962655
"MRPS10",-2.72097753659838,0.0195267553222292,0.142692614327625,FALSE,-0.855063075487969,1,1,FALSE,1.53148048968859,0.376952054169605,1,FALSE,FALSE,FALSE,FALSE,FALSE,1.31940076856522,3.00694190709868,1.68754113853346
"GRN",-3.19054816199591,0.00426009511571209,0.0502230666182576,FALSE,-2.62438254487812,0.026041868064767,0.233974262898192,FALSE,0.301642431629361,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.400339547138657,2.4693516499483,2.06901210280964
"THAP3",0.132706111079832,1,1,FALSE,0.0602192717231296,1,1,FALSE,-0.0629227394691814,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.0512559356559041,0.138330486818937,0.0870745511630328
"VAMP3",0.765623780611024,1,1,FALSE,1.65238654495407,0.295367329944847,0.939505596743112,FALSE,0.959853778355851,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.627035963970698,0.137341348515215,0.489694615455483
"RCN1",-1.12425249833037,0.782717771282426,1,FALSE,-0.216189840256238,1,1,FALSE,0.827652399113029,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.642097263266499,1.38020518921346,0.73810792594696
"RFC2",-2.32199847491287,0.0606990532475958,0.299133627747346,FALSE,-1.13520828892117,0.768864172008939,1,FALSE,0.962855428714018,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.839187388360376,2.32274247046167,1.4835550821013
"PPP1R3F",-0.220197744750157,1,1,FALSE,-0.871379442765476,1,1,FALSE,-0.650385385820722,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.460454994451203,0.304188598183641,0.156266396267562
"NFE2L3",-2.94182105986215,0.00978865232023025,0.0882614044530546,FALSE,-3.03774923358526,0.00715056632169725,0.106558836793561,FALSE,-0.32155240736631,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.0678314621464468,1.85280973271035,1.9206411948568
"CBLN4",2.38207559679929,0.0516460888690445,0.269501275893992,FALSE,0.659026813600301,1,1,FALSE,-1.41045354337654,0.475217414375787,1,FALSE,FALSE,FALSE,FALSE,FALSE,1.21837947891523,2.68172307286591,1.46334359395068
"CLDN11",-0.228091054939604,1,1,FALSE,-0.184553392095235,1,1,FALSE,0.018160915326555,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.0307857766342664,0.174126438055749,0.143340661421482
"FAM168A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RELT",-0.691297829478215,1,1,FALSE,-0.925691485645849,1,1,FALSE,-0.285862452161031,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.165741343743242,0.286686104633908,0.45242744837715
"PKP2",0.976396454427836,0.986604113536167,1,FALSE,0.384931880708401,1,1,FALSE,-0.512260960281507,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.418228610908624,1.05263975280461,0.634411141895988
"YIPF1",-1.23266524035533,0.653102056180072,1,FALSE,-1.45177884581393,0.439689323131461,1,FALSE,-0.277942198898588,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.154936716270011,0.675091136769105,0.830027853039116
"ADCK2",-1.92967195329202,0.160942491603853,0.550115215892216,FALSE,-0.222595832699976,1,1,FALSE,1.53599925139602,0.373615691844837,1,FALSE,FALSE,FALSE,FALSE,FALSE,1.20708510087226,2.45059961019787,1.24351450932561
"INPP4A",-0.267443172700581,1,1,FALSE,1.21113878866651,0.677526652700777,1,FALSE,1.47101905785439,0.423857888921077,1,FALSE,FALSE,FALSE,FALSE,FALSE,1.04551533142278,1.22927843206211,0.183763100639332
"SLC2A3",-0.887705171366288,1,1,FALSE,-0.174875375020189,1,1,FALSE,0.619788872996527,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.504046782828152,1.06595926136728,0.561912478539129
"STYK1",-1.40018371867756,0.484374930235322,1,FALSE,0.984438248582076,0.974700238840948,1,FALSE,2.29162871444514,0.0657812312226638,0.686030619112125,FALSE,FALSE,FALSE,FALSE,FALSE,1.68618236361569,2.61050560632987,0.924323242714177
"GNA11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CREB3L3",-3.04218867420089,0.00704593889283225,0.0700514661503164,FALSE,-0.924827212123746,1,1,FALSE,1.61385268179535,0.319678153042464,1,FALSE,FALSE,FALSE,FALSE,FALSE,1.49720064805781,3.29231841630995,1.79511776825214
"HDAC7",0.295695685862444,1,1,FALSE,-0.421065580636656,1,1,FALSE,-0.694198298492014,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.506826752033372,0.699960748992808,0.193133996959436
"MRPS35",-3.40262677285083,0.0020022415222742,0.0296890215516383,TRUE,-4.01154043010807,0.000180971530601341,0.0116873579933652,TRUE,-0.864219482425479,1,1,FALSE,TRUE,FALSE,FALSE,FALSE,0.430566976203697,1.79492500847314,2.22549198467683
"APPBP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA11",1.50376539698184,0.397925351456924,0.969754541399296,FALSE,1.16210066068088,0.735583737322661,1,FALSE,-0.167496165215564,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.241593451930721,1.18176038376621,0.940166931835488
"ISOC2",-1.67649128438758,0.280926005900175,0.777394946193636,FALSE,-0.408761821678842,1,1,FALSE,1.115410018016,0.794024275516285,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.89642009979133,1.97417234333313,1.0777522435418
"CD22",-4.14202453164875,0.000103276053265381,0.00367225345163868,TRUE,-2.63035773861301,0.0255885180044257,0.231830745853046,FALSE,1.12028151773753,0.787781446528004,1,FALSE,FALSE,FALSE,FALSE,FALSE,1.06890984025009,3.72101229220003,2.65210245194994
"GSC2",-1.70905017697923,0.262324966087044,0.743256159873527,FALSE,-1.13943279611648,0.763568050510629,1,FALSE,0.407630547263747,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.402780312689769,1.49671929371906,1.09393898102929
"KCNQ1",0.511111338758496,1,1,FALSE,0.487264985814718,1,1,FALSE,0.0301021317100299,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.0168619178731131,0.340124872117135,0.323262954244021
"TRIB2",1.88296013557823,0.179117311773993,0.589849818158331,FALSE,0.234745663835538,1,1,FALSE,-1.37609855110122,0.506373372223461,1,FALSE,FALSE,FALSE,FALSE,FALSE,1.16546362981906,2.30450249763597,1.1390388678169
"OTUD5",0.25087882467996,1,1,FALSE,-0.157826603166149,1,1,FALSE,-0.381285289087412,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.288998379537733,0.447007531667693,0.15800915212996
"GPKOW",-1.66787830602591,0.28601966101904,0.784982892738965,FALSE,-0.812356731400986,1,1,FALSE,0.721969396120524,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.60494510686868,1.68987751619084,1.08493240932216
"AQR",-0.0547410989201025,1,1,FALSE,-0.16230176530858,1,1,FALSE,-0.112442700925655,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.0760568765922365,0.0408011940634535,0.035255682528783
"LMCD1",0.173361500834555,1,1,FALSE,-0.0932359915917505,1,1,FALSE,-0.255918465706491,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.18851289474197,0.303546775368708,0.115033880626738
"PSMC4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FNDC8",-1.15350337894449,0.746111494420118,1,FALSE,-0.42248667514362,1,1,FALSE,0.649787240532521,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.516906868418234,1.27511902548229,0.758212157064052
"ACAP1",2.30363184848739,0.0637299553951608,0.308879758156405,FALSE,1.65014350034176,0.296740768315697,0.941496218934875,FALSE,-0.484063311450743,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.462086042400165,1.97119815147317,1.509112109073
"DERL2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NOX3",-2.33905519199793,0.0579977317914487,0.290219113520653,FALSE,-1.43935257896732,0.450151958335742,1,FALSE,0.718077156688517,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.636185818725204,2.16171901474095,1.52553319601574
"ANO8",-3.13333110576428,0.00518503060874879,0.0572360719937267,FALSE,0.0685513519097928,1,1,FALSE,2.92319318840791,0.010393844460716,0.294593179121336,FALSE,FALSE,FALSE,FALSE,FALSE,2.26407279838358,4.28260939883022,2.01853660044664
