"","CH-Rho","CH-P","CH-p.adj","CH-significant","CO-Rho","CO-P","CO-p.adj","CO-significant","HO-Rho","HO-P","HO-p.adj","HO-significant","CH-CO-Overlap","CH-HO-Overlap","CO-HO-Overlap","CH-CO-HO-Overlap","CH-CO-Delta","CH-HO-Delta","CO-HO-Delta"
"MITF",0.694253714516383,1,1,FALSE,1.97672303149537,0.144218837889095,0.631537258238192,FALSE,1.35814614054387,0.523251950328685,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.906842750699523,0.469442836422427,0.437399914277095
"PROSER1",0.87222354976565,1,1,FALSE,0.0789880065139551,1,1,FALSE,-0.739689754482062,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.560902231711468,1.13979482811837,0.578892596406903
"CFAP100",-3.01528973261909,0.00770201641732293,0.0739471868478934,FALSE,0.0986579386436955,1,1,FALSE,2.84517787251275,0.0133159887662405,0.328272793206242,FALSE,FALSE,FALSE,FALSE,FALSE,2.20189351460997,4.14397638451281,1.94208286990284
"IGDCC4",-2.18435868898138,0.0868077039548056,0.37664025901953,FALSE,-2.16099422835826,0.0920873557733918,0.491566273559695,FALSE,-0.142490236975667,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.016521168545372,1.44381902870412,1.42729786015874
"MPI",0.62852490350062,1,1,FALSE,-0.195923399530736,1,1,FALSE,-0.781299177420807,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.582972985811213,0.996896167899633,0.413923182088419
"PTTG1",-1.21741255176673,0.67034186937513,1,FALSE,-2.535029468334,0.0337313601326093,0.275093531745274,FALSE,-1.37671208623144,0.5058038415317,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.93169585671083,0.112641781059856,0.819054075650975
"MYL1",1.08253306601527,0.837047192651469,1,FALSE,2.5486051861855,0.0324463996665148,0.269708466314836,FALSE,1.59548796708491,0.33180947606754,1,FALSE,FALSE,FALSE,FALSE,FALSE,1.03666953788091,0.362713888989217,0.673955648891697
"ASS1",-2.67613811851165,0.0223427838119503,0.157190013485192,FALSE,-0.408468063820572,1,1,FALSE,1.97923529639385,0.143368561984321,0.932667115241954,FALSE,FALSE,FALSE,FALSE,FALSE,1.60348487316573,3.29184611063526,1.68836123746953
"RIPK4",1.33156884094606,0.549005728762323,1,FALSE,1.6086886322319,0.323053328179248,0.984469025094735,FALSE,0.36965743059685,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.195953283619216,0.680174081158643,0.876127364777859
"ACVR2B",1.75045638789453,0.240118779968826,0.703504265779159,FALSE,-0.86111977945806,1,1,FALSE,-2.45191181101669,0.0426298450014338,0.576590374328136,FALSE,FALSE,FALSE,FALSE,FALSE,1.84666321752019,2.97152305049282,1.12485983297263
"SPTBN4",0.823354020383578,1,1,FALSE,0.561695411372017,1,1,FALSE,-0.183834067459704,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.185020576787915,0.712189526844297,0.527168950056382
"ZC3H7B",-0.517499461725308,1,1,FALSE,-0.292607141536407,1,1,FALSE,0.163666443106011,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.159022884642348,0.481657030419296,0.322634145776948
"CFAP52",2.55166415365417,0.0321629421172988,0.199362748677858,FALSE,2.21022288719345,0.0812690919371071,0.456557069648165,FALSE,-0.194160174110924,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.241435434891295,1.94159100210969,1.70015556721839
"ABHD2",2.11492488583946,0.103309049370488,0.416917400627156,FALSE,0.00649798323067613,1,1,FALSE,-1.97969761281361,0.143212550942219,0.932455006393282,FALSE,FALSE,FALSE,FALSE,FALSE,1.49088296047082,2.89533533519659,1.40445237472577
"EIF4G1",0.334133907558952,1,1,FALSE,1.58971097276598,0.335699907540785,1,FALSE,1.30306343400312,0.577659317974969,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.887827057110191,0.685136638640541,0.202690418469649
"TEX9",-1.43456725494582,0.454231353728038,1,FALSE,0.0374405873853424,1,1,FALSE,1.37091210083249,0.511207075977778,1,FALSE,FALSE,FALSE,FALSE,FALSE,1.04086672727215,1.98377347694971,0.942906749677568
"RPL7",-1.49969560613702,0.401079807787724,0.975397176583214,FALSE,-0.818501292626815,1,1,FALSE,0.437103728272795,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.481677118388784,1.36952394315877,0.887846824769991
"CTSB",-1.22294037046717,0.664056657519531,1,FALSE,-0.9339768459951,1,1,FALSE,0.193370919677024,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.204328067669766,1.00148331753203,0.797155249862262
"KCTD14",-0.583588947992065,1,1,FALSE,1.25500959846451,0.628425826724706,1,FALSE,1.73719085865178,0.247060463787865,1,FALSE,FALSE,FALSE,FALSE,FALSE,1.30008550007918,1.64103913891867,0.340953638839494
"ARPC5L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANKS6",-2.23963560529562,0.0753437676798715,0.343157027479873,FALSE,-3.28099787139809,0.00310321574651794,0.064630400174267,FALSE,-1.19370226759626,0.697783359503554,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.736354320032848,0.739586555756294,1.47594087578914
"GDE1",-1.36396130959848,0.517739229092064,1,FALSE,-0.747309961046428,1,1,FALSE,0.519182207054417,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.436038350188984,1.33158355057274,0.89554520038376
"PARD6G",1.28115797075563,0.600414555907526,1,FALSE,1.70241432056399,0.266033182175001,0.885332184326937,FALSE,0.564360819570427,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.29787322156738,0.506852126338258,0.804725347905638
"MFF",1.66045847048338,0.290466767588587,0.792334619458253,FALSE,1.44972320456589,0.441407166595345,1,FALSE,-0.0565031412340129,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.14901233556541,1.21407519868235,1.06506286311694
"USP15",-1.53006990369736,0.37799828070021,0.938135985866575,FALSE,-1.61369429972392,0.319781252980035,0.979580059270662,FALSE,-0.233028843355534,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.059131377503011,0.917146529245095,0.976277906748106
"CDK10",2.89296004789286,0.0114488951215886,0.0988096533851784,FALSE,1.88404266450933,0.178677614056932,0.706667391684993,FALSE,-0.65202590559106,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.713412323447488,2.50668360691954,1.79327128347205
"SKP1",3.19330762614139,0.00421959058649032,0.0498564917459279,TRUE,-0.191959796257382,1,1,FALSE,-2.86671250004866,0.0124427882142096,0.319789880436283,FALSE,FALSE,FALSE,FALSE,FALSE,2.39374555050808,4.28508132535594,1.89133577484786
"LMBR1",2.17236368550142,0.0894847255834612,0.383319193104525,FALSE,1.37855307485199,0.504097779139799,1,FALSE,-0.677239348034435,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.561308865768052,2.01497362870296,1.45366476293491
"SPPL3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARFGAP1",2.71382098551545,0.0199536292163133,0.144970790729292,FALSE,3.01981286572111,0.00758792727181849,0.110364539876536,FALSE,0.517139107344695,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.216368933481448,1.55328865216414,1.76965758564559
"FOSB",-0.249079498876491,1,1,FALSE,-0.199223115602287,1,1,FALSE,0.0295390006210425,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.0352537866986247,0.197013030358726,0.161759243660102
"CCNB1IP1",-0.234662830983665,1,1,FALSE,0.343044687156882,1,1,FALSE,0.55640716700575,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.408500903619632,0.559370959971544,0.150870056351913
"YWHAB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CREB3",-1.25647010592697,0.626836733346128,1,FALSE,-0.624853756774312,1,1,FALSE,0.528561264482541,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.446620203594135,1.26220778664728,0.815587583053147
