"X","stat","pval","p.adj","num.genes","gene.vals","Driver","DriverNumeric"
"REACTOME_POLB_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR",-0.0189474568675779,0.11,0.11,8,"PARG:329, POLB:1639, PARP2:4962, APEX1:5436, ADPRS:9137.5, PARP1:9137.5, LIG1:13536, FEN1:13984","Both",3
"REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY",0.0332538346427236,0.573062987953499,0.756887107165607,24,"POLD2:165, POLE:183, RFC3:733, FEN1:1129, RFC5:1424, LIG1:1577, POLE2:5975.5, POLE4:5975.5, RPA1:5975.5, POLE3:5975.5, RFC4:5975.5, POLD4:5975.5, ADPRS:5975.5, PARP1:5975.5, POLD3:9171, APEX1:9677, PARP2:10151, POLD1:10829, RPA2:10933, RFC1:11632, RPA3:12807, RFC2:12892, POLB:13474, PARG:14784","Carnivore",1
"REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA",-0.0211670961236836,0.11,0.11,8,"PPP3CC:283, BAD:2219, BID:2718, AKT2:9137.5, BCL2:9137.5, SFN:9137.5, PPP3R1:12223, AKT1:13134","Carnivore",1
"REACTOME_ACTIVATION_OF_NOXA_AND_TRANSLOCATION_TO_MITOCHONDRIA",-0.0773516237402015,0.11,0.11,4,"E2F1:2962, TFDP1:4304, TFDP2:9137.5, TP53:9137.5","Unclear",0
"REACTOME_BH3_ONLY_PROTEINS_ASSOCIATE_WITH_AND_INACTIVATE_ANTI_APOPTOTIC_BCL_2_MEMBERS",-0.118900926563075,0.11,0.11,7,"BAD:2219, BID:2718, BCL2L11:3003, BMF:4892, BBC3:9137.5, BCL2L1:9137.5, BCL2:9137.5","Unclear",0
"REACTOME_RELEASE_OF_APOPTOTIC_FACTORS_FROM_THE_MITOCHONDRIA",0.0463433755179752,0.71970454194147,0.863358143127392,5,"GSDME:2851, BAX:5975.5, GSDMD:5975.5, DIABLO:5975.5, BAK1:13358","Unclear",0
"REACTOME_FORMATION_OF_APOPTOSOME",0.224988796773471,0.0275721680610029,0.127082219598587,8,"XIAP:1304, UACA:2462, APIP:2572, CASP9:2689, MAPK3:5975.5, APAF1:5975.5, AVEN:5975.5, DIABLO:5975.5","Unclear",0
"REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE",0.181095307425244,0.160829515260806,0.366368935514286,5,"XIAP:1304, CASP7:1940, CASP9:2689, APAF1:5975.5, CASP3:12131","Unclear",0
"REACTOME_CYTOCHROME_C_MEDIATED_APOPTOTIC_RESPONSE",0.187203047960556,0.0404187254159247,0.159463811651887,10,"XIAP:1304, CASP7:1940, UACA:2462, APIP:2572, CASP9:2689, MAPK3:5975.5, APAF1:5975.5, AVEN:5975.5, DIABLO:5975.5, CASP3:12131","Unclear",0
"REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS",0.0933005051809143,0.0497882638681339,0.178465685396114,37,"PLEC:2, DBNL:81, PTK2:224, BCAP31:427, DSG2:551, DSP:601, VIM:855, SPTAN1:857, PKP1:1193, CASP7:1940, DSG3:2280, BMX:2356, SATB1:2440, ROCK1:2612, DSG1:2906, CDH1:5975.5, ADD1:5975.5, STK24:5975.5, TJP1:5975.5, BIRC2:5975.5, LMNB1:5975.5, TJP2:5975.5, STK26:5975.5, GSN:5975.5, LMNA:5975.5, CASP6:9109, GAS2:9900, MAPT:10451, APC:10734, CASP3:12131, OCLN:12520, CASP8:12907, FNTA:12971, PRKCQ:14160, PRKCD:14162, ACIN1:14519, CLSPN:14770","Carnivore",1
"REACTOME_SMAC_XIAP_REGULATED_APOPTOTIC_RESPONSE",0.167898745519713,0.154414655046627,0.361030310992975,6,"XIAP:1304, CASP7:1940, CASP9:2689, APAF1:5975.5, DIABLO:5975.5, CASP3:12131","Unclear",0
"REACTOME_APOPTOTIC_FACTOR_MEDIATED_RESPONSE",0.121751653958287,0.0919047270801396,0.258280472233051,16,"XIAP:1304, CASP7:1940, UACA:2462, APIP:2572, CASP9:2689, GSDME:2851, BAX:5975.5, MAPK3:5975.5, GSDMD:5975.5, APAF1:5975.5, CDKN2A:5975.5, AVEN:5975.5, DIABLO:5975.5, C1QBP:9944, CASP3:12131, BAK1:13358","Unclear",0
"REACTOME_OPIOID_SIGNALLING",0.105415999751364,0.00557356598452444,0.0450620936969651,58,"CAMK2B:3, ADCY1:24, NBEA:58, ITPR1:151, PRKCG:239, GNAT3:402, ADCY2:627, ADCY8:655, PPP2R1B:909, ADCY3:1029, CAMK2D:1106, PRKCA:1446, PDE1B:1508, GNB3:1522, GRK2:1654, GNA14:1818, ADCY9:2606, PRKAR1B:2785, PPP3R1:2890, PRKAR2B:5975.5, GNA15:5975.5, GNB5:5975.5, PRKACA:5975.5, PRKAR1A:5975.5, PPP2R5D:5975.5, ITPR2:5975.5, CAMKK1:5975.5, CAMK2A:5975.5, PDYN:5975.5, PLCB4:5975.5, CAMKK2:5975.5, OPRM1:5975.5, PDE4D:5975.5, ADCY7:5975.5, PPP1R1B:5975.5, GNAL:5975.5, CAMK2G:5975.5, PLCB3:5975.5, PDE1C:5975.5, PPP1CA:5975.5, ADCY5:5975.5, ADCY6:5975.5, PLCB1:5975.5, PLCB2:9090, PDE4B:9098, PLA2G4A:9213, PRKACB:9240, KPNA2:9958, PRKAR2A:11400, ITPR3:11507, PDE1A:12246, CAMK4:13194, PRKX:13272, PRKCD:14162, PDE4A:14216, PDE4C:14659, ADCY4:14726, PPP3CC:14830","Unclear",0
"REACTOME_PKA_MEDIATED_PHOSPHORYLATION_OF_CREB",0.14015858670484,0.0455167243092342,0.169559202333779,17,"ADCY1:24, NBEA:58, ADCY2:627, ADCY8:655, ADCY3:1029, ADCY9:2606, PRKAR1B:2785, PRKAR2B:5975.5, PRKACA:5975.5, PRKAR1A:5975.5, ADCY7:5975.5, ADCY5:5975.5, ADCY6:5975.5, PRKACB:9240, PRKAR2A:11400, PRKX:13272, ADCY4:14726","Unclear",0
"REACTOME_CAMK_IV_MEDIATED_PHOSPHORYLATION_OF_CREB",0.10070300246471,0.324041440635052,0.555896020423406,8,"CAMK2B:3, CAMK2D:1106, CAMKK1:5975.5, CAMK2A:5975.5, CAMKK2:5975.5, CAMK2G:5975.5, KPNA2:9958, CAMK4:13194","Both",3
"REACTOME_CA_DEPENDENT_EVENTS",0.125035321193056,0.0130122849100339,0.0806225075353644,33,"CAMK2B:3, ADCY1:24, NBEA:58, PRKCG:239, ADCY2:627, ADCY8:655, ADCY3:1029, CAMK2D:1106, PRKCA:1446, PDE1B:1508, GRK2:1654, ADCY9:2606, PRKAR1B:2785, PRKAR2B:5975.5, PRKACA:5975.5, PRKAR1A:5975.5, CAMKK1:5975.5, CAMK2A:5975.5, CAMKK2:5975.5, ADCY7:5975.5, CAMK2G:5975.5, PDE1C:5975.5, ADCY5:5975.5, ADCY6:5975.5, PLA2G4A:9213, PRKACB:9240, KPNA2:9958, PRKAR2A:11400, PDE1A:12246, CAMK4:13194, PRKX:13272, PRKCD:14162, ADCY4:14726","Unclear",0
"REACTOME_G_PROTEIN_MEDIATED_EVENTS",0.130334134369567,0.00281454039946478,0.0275794366317119,44,"CAMK2B:3, ADCY1:24, NBEA:58, ITPR1:151, PRKCG:239, GNAT3:402, ADCY2:627, ADCY8:655, ADCY3:1029, CAMK2D:1106, PRKCA:1446, PDE1B:1508, GRK2:1654, GNA14:1818, ADCY9:2606, PRKAR1B:2785, PRKAR2B:5975.5, GNA15:5975.5, PRKACA:5975.5, PRKAR1A:5975.5, ITPR2:5975.5, CAMKK1:5975.5, CAMK2A:5975.5, PLCB4:5975.5, CAMKK2:5975.5, ADCY7:5975.5, GNAL:5975.5, CAMK2G:5975.5, PLCB3:5975.5, PDE1C:5975.5, ADCY5:5975.5, ADCY6:5975.5, PLCB1:5975.5, PLCB2:9090, PLA2G4A:9213, PRKACB:9240, KPNA2:9958, PRKAR2A:11400, ITPR3:11507, PDE1A:12246, CAMK4:13194, PRKX:13272, PRKCD:14162, ADCY4:14726","Unclear",0
"REACTOME_ELECTRIC_TRANSMISSION_ACROSS_GAP_JUNCTIONS",0.220674207638033,0.0874952217280157,0.251200453464351,5,"GJC1:973, GJA10:2049, PANX2:5975.5, PANX1:5975.5, GJD2:5975.5","Unclear",0
"REACTOME_PRESYNAPTIC_DEPOLARIZATION_AND_CALCIUM_CHANNEL_OPENING",0.152106678619453,0.0958690325510239,0.264299488821859,10,"CACNB2:207, CACNA1E:914, CACNB4:1231, CACNG4:1714, CACNA1B:2016, CACNB1:5975.5, CACNA2D3:5975.5, CACNB3:9428, CACNA2D2:10572, CACNA1A:14540","MixOfBoth",4
"REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE",-0.0103651222072275,0.11,0.11,42,"SLC6A12:172, GLS2:353, ABAT:1025, PPFIA3:1218, SLC1A1:1266, MAOA:1738, SLC22A1:1863, GAD2:2170, SLC5A7:2675, ALDH5A1:2854, GAD1:2895, SLC6A1:3006, SLC1A6:3354, SLC6A13:4385, SLC38A2:4543, SLC18A3:4571, SLC6A11:5342, UNC13B:5692, SYN2:6044, SYN1:9137.5, CHAT:9137.5, SLC1A3:9137.5, RIMS1:9137.5, STX1A:9137.5, APBA1:9137.5, SLC1A2:9137.5, SLC22A2:9137.5, GLS:9137.5, NAAA:9137.5, PPFIA2:9137.5, PPFIA4:9137.5, ARL6IP5:9137.5, SLC1A7:9137.5, SYN3:12824, SLC17A7:12995, SLC32A1:13674, TSPOAP1:14105, LIN7C:14592, SLC18A2:14701, SYT1:14709, DNAJC5:14961, SNAP25:15066","Unclear",0
"REACTOME_NEUROTRANSMITTER_CLEARANCE",-0.136116091438817,0.11,0.11,10,"COMT:124, MAOA:1738, SLC22A1:1863, LRTOMT:4224, ACHE:5187, SLC6A3:5337, SLC22A2:9137.5, SLC6A4:9137.5, ALDH2:9137.5, BCHE:9137.5","Both",3
