"X","stat","pval","p.adj","num.genes","gene.vals","Driver","DriverNumeric"
"REACTOME_POLB_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR",-0.112968101805135,0.11,0.11,8,"LIG1:126, PARP1:1225, PARP2:1629, APEX1:6764.5, FEN1:6764.5, PARG:6764.5, ADPRS:12124, POLB:13085","Unclear",0
"REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY",-0.0671122093676289,0.11,0.11,24,"LIG1:126, RPA2:720, PARP1:1225, PARP2:1629, RFC1:6764.5, RFC2:6764.5, POLD1:6764.5, POLD3:6764.5, POLE2:6764.5, RPA3:6764.5, POLD2:6764.5, RFC5:6764.5, POLE4:6764.5, RPA1:6764.5, POLE3:6764.5, RFC4:6764.5, POLE:6764.5, APEX1:6764.5, FEN1:6764.5, PARG:6764.5, POLD4:12026, ADPRS:12124, POLB:13085, RFC3:13546","Unclear",0
"REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA",0.000175187801322974,0.99863113594906,0.999531745334811,8,"BID:149, BAD:8340.5, AKT2:8340.5, PPP3CC:8340.5, AKT1:8340.5, BCL2:8340.5, SFN:8340.5, PPP3R1:8340.5","Unclear",0
"REACTOME_ACTIVATION_OF_NOXA_AND_TRANSLOCATION_TO_MITOCHONDRIA",0.29321696738765,0.0422653616042497,0.295366073536676,4,"TFDP2:545, E2F1:844, TP53:2043, TFDP1:8340.5","Unclear",0
"REACTOME_BH3_ONLY_PROTEINS_ASSOCIATE_WITH_AND_INACTIVATE_ANTI_APOPTOTIC_BCL_2_MEMBERS",0.140550928891736,0.197887581682452,0.587794579527943,7,"BID:149, BCL2L11:440, BCL2L1:2620, BAD:8340.5, BMF:8340.5, BBC3:8340.5, BCL2:8340.5","Unclear",0
"REACTOME_RELEASE_OF_APOPTOTIC_FACTORS_FROM_THE_MITOCHONDRIA",0.100504371217216,0.436426435175085,0.784876748599544,5,"BAX:826, DIABLO:3124, BAK1:8340.5, GSDMD:8340.5, GSDME:8340.5","Unclear",0
"REACTOME_FORMATION_OF_APOPTOSOME",-0.0772508128713981,0.11,0.11,8,"UACA:468, XIAP:6764.5, MAPK3:6764.5, APAF1:6764.5, CASP9:6764.5, APIP:6764.5, AVEN:6764.5, DIABLO:11981","Unclear",0
"REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE",0.033109168347904,0.797660267903901,0.938266474601013,5,"CASP3:734, XIAP:8340.5, APAF1:8340.5, CASP9:8340.5, CASP7:8340.5","Unclear",0
"REACTOME_CYTOCHROME_C_MEDIATED_APOPTOTIC_RESPONSE",-0.0243747897274868,0.11,0.11,10,"UACA:468, XIAP:6764.5, MAPK3:6764.5, APAF1:6764.5, CASP9:6764.5, APIP:6764.5, CASP7:6764.5, AVEN:6764.5, DIABLO:11981, CASP3:14371","Unclear",0
"REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS",0.0862219925212051,0.0698411413645744,0.370101300101743,37,"DSG3:32, LMNB1:430, CASP3:734, CDH1:854, PTK2:1426, TJP2:1442, TJP1:1828, SATB1:1947, ADD1:2243, BCAP31:2700, GAS2:2790, PKP1:2891, DBNL:3018, PRKCD:3129, VIM:3294, DSG2:8340.5, CASP8:8340.5, PRKCQ:8340.5, ROCK1:8340.5, DSP:8340.5, ACIN1:8340.5, BMX:8340.5, STK24:8340.5, BIRC2:8340.5, STK26:8340.5, DSG1:8340.5, APC:8340.5, CASP6:8340.5, GSN:8340.5, LMNA:8340.5, CASP7:8340.5, FNTA:8340.5, MAPT:8340.5, SPTAN1:8340.5, OCLN:8340.5, PLEC:13314, CLSPN:13743","Insectivore",1
"REACTOME_SMAC_XIAP_REGULATED_APOPTOTIC_RESPONSE",0.073272802002765,0.534272959500706,0.860084058910512,6,"CASP3:734, DIABLO:3124, XIAP:8340.5, APAF1:8340.5, CASP9:8340.5, CASP7:8340.5","Unclear",0
"REACTOME_APOPTOTIC_FACTOR_MEDIATED_RESPONSE",-0.0312079171810122,0.11,0.11,16,"UACA:468, C1QBP:1476, BAK1:6764.5, XIAP:6764.5, MAPK3:6764.5, GSDMD:6764.5, GSDME:6764.5, APAF1:6764.5, CASP9:6764.5, CDKN2A:6764.5, APIP:6764.5, CASP7:6764.5, AVEN:6764.5, DIABLO:11981, BAX:14279, CASP3:14371","Unclear",0
