,Rho,N,P,p.adj
SLC2A3,0.00541999257632683,295,0.206829953645848,0.496812916645497
STYK1,0.00556451145358117,336,0.1721510420185,0.459344576672862
GNA11,NA,NA,NA,NA
CREB3L3,6.44095066310296e-05,303,0.889079355334654,0.957643323547445
HDAC7,0.000131686645050465,346,0.831211850682013,0.932871024818916
MRPS35,0.00442043850338144,317,0.237250257784027,0.528763153839449
APPBP2,NA,NA,NA,NA
CA11,0.00463855125860953,213,0.32136751592365,0.609408030195958
ISOC2,0.000659888804451175,264,0.676975227759884,0.858669284521774
CD22,0.0286973748206489,354,0.00145861692162874,0.0488940369832386
GSC2,0.000382361669329664,219,0.772801480738545,0.906749291808957
KCNQ1,0.000921388849459061,305,0.596634232357833,0.812204370561961
TRIB2,0.000738912294480087,175,0.71991857239155,0.879531676567335
OTUD5,0.00353301500365433,225,0.373678532285365,0.655544231972588
GPKOW,7.47315413094932e-05,313,0.878637569923113,0.953303775312025
AQR,0.000172787361549268,334,0.810430110116221,0.924424696297274
LMCD1,0.00846119556375549,284,0.121761247231814,0.392295622480657
PSMC4,NA,NA,NA,NA
FNDC8,0.00183628612918199,318,0.445489306784154,0.712072637868333
ACAP1,0.0100870567845696,340,0.0644300467765478,0.289284015015749
DERL2,NA,NA,NA,NA
NOX3,0.000116505376584966,349,0.840420931320148,0.936934974678588
ANO8,0.0243153205001226,291,0.00792014252503917,0.105222802247966
ICAM3,9.09166672985822e-05,285,0.872339876071493,0.951432762207672
CTTNBP2,0.00223744415381563,356,0.372805263079382,0.654981639005962
ACTL6B,NA,NA,NA,NA
KIF22,0.00481748734070688,324,0.212244748129457,0.50254658657271
PRSS22,0.00174282190830612,303,0.468152966848099,0.72881698735041
YTHDC2,1.9213275893563e-05,285,0.941114939586502,0.977956659615723
TMEM161A,0.00568545290544091,313,0.182904932984014,0.468932940731773
FOXJ2,0.000695423748625709,315,0.640290027264452,0.840001786832476
GOLGA5,0.0221323871982602,347,0.00565272052204196,0.0901365380040492
PPP2R5B,0.000987938159468111,194,0.66235785155358,0.851444047738035
PYGM,0.000148650015168565,309,0.830568549885723,0.932606491139942
BCL3,0.00195548795175805,292,0.450637864273904,0.716264095799363
PRLH,0.00140131554304766,275,0.535491250173904,0.778146992748379
FSTL3,0.00877214638284,238,0.149338111896357,0.43142242618523
EPHA8,0.000797892102497967,312,0.618384672610775,0.826921832236667
TRIP13,0.00191289088889811,294,0.454068103600149,0.71872794447921
VASH1,0.00501389203455184,289,0.229493002625806,0.520381671169521
KRT14,0.00454443425637253,286,0.255098511203093,0.548548962587061
KRT20,0.00960233204269956,326,0.0773008215446811,0.31725080984408
HSD17B10,0.000799814857671681,299,0.625404131538785,0.830599884343634
FGF4,0.00193540489976696,237,0.499144184593442,0.753380010402653
ST6GAL1,0.0015904731575091,312,0.481866036921839,0.73987034885305
TIMM21,0.00193242426038156,334,0.422447212009912,0.694762233228616
BPIFB2,0.00446908746432448,331,0.22459006484781,0.515454845686267
REXO1,0.00464488396377961,298,0.240181130094337,0.532076237744919
MKRN2,0.0125064510134629,290,0.057282608414436,0.271552636800559
GPATCH1,5.5579544729792e-06,340,0.965377291352456,0.98647308088678
KEAP1,0.0161242913823437,235,0.0520835134655677,0.260324400101375
P2RY10,0.0438228775278325,253,0.000890051564524963,0.0403703868786338
TNS1,0.00395252616011333,357,0.235538521213912,0.527141781641631
NGFR,0.00674828800734359,295,0.158969997879888,0.4426775162201
NTN1,0.00711367412508927,173,0.268664705215174,0.56118264521781
ISOC1,0.0268232497820114,208,0.0184552308839425,0.156887691041501
MNT,0.00733709712860017,247,0.179118117325566,0.46556531476258
AP3M2,0.0238294092144637,187,0.0352655735162421,0.214627302165709
LAPTM4A,0.00217076459880964,185,0.527388590349434,0.772512326617395
PTPN18,0.00361526217425993,240,0.352608456281816,0.638085819981376
STK10,0.000628403854210496,342,0.64342884356357,0.841707020022879
TBX21,0.000145321662108824,275,0.841836586492038,0.937796545107422
MRPS34,0.000270226231194941,275,0.785540075259171,0.912966706870111
MAP2K5,0.00622178546178926,235,0.227583953481064,0.518231272935019
TIGAR,0.0325371969664782,306,0.00163151189688715,0.052156999309737
FGF20,0.0104305760676394,192,0.158106861594074,0.441826862055677
MTMR7,0.000382665556426076,289,0.739907818600904,0.890057955730174
CPB2,0.000322351545200111,350,0.737314902225835,0.888550663415362
FAM107B,0.000178328804348027,321,0.811196097508882,0.924424696297274
CDK13,0.00551170058696164,297,0.201500762837542,0.490249278656288
TSPAN32,0.000133407980252985,277,0.847830757903168,0.940691674676372
TRAM2,0.0206739576213262,265,0.0194797681602563,0.160339192529979
CLDN18,0.00613903443018243,297,0.1776523948875,0.464860386319575
NDUFB4,0.0134941676650337,284,0.0506790269634407,0.256801056593443
HEATR6,0.0017437725130033,337,0.444006015860586,0.710872788347031
ERLEC1,0.0486475665956395,255,0.000439458023360811,0.0322212329361247
TMEM131,0.0090342359946881,349,0.0762107123382563,0.315156337780154
TMEM38A,0.011720893643801,251,0.0869354613829166,0.333748877212754
ACTR6,0.00883017780161319,172,0.219145128458335,0.508718712801999
FAP,5.50160357316962e-05,330,0.892977745481689,0.959011367161223
DMRT3,0.00433966898826023,263,0.286288561282197,0.578408875114826
GAL3ST2,0.00019639585284881,248,0.82567696529989,0.930934909806379
UHRF1BP1,0.0025568698591144,352,0.343463337659207,0.631257027501175
OSTM1,0.00323432604214476,284,0.338708307289998,0.626098430217615
SLC13A1,0.0143117192894359,357,0.0239953005838182,0.176191064666013
HSPB11,0.00921823344627483,270,0.115323896183015,0.381875663204327
STRADB,0.0143103626360375,304,0.0373136163862957,0.219697930461597
DLG3,0.00165561211823205,248,0.522509946053167,0.770055031208232
PLOD1,0.00183563904038852,338,0.431564155299636,0.701198902930906
OXCT1,0.00360220589574595,307,0.293767377597802,0.58497550295124
FAM234B,0.00175480986068284,330,0.447359821281161,0.71365892909069
RRN3,5.02412432007558e-05,315,0.900047332792129,0.962584962862442
MOGAT2,0.0120833197624155,310,0.0533236848944718,0.262758765233195
CHERP,0.00842943835361922,237,0.158409125762714,0.441930446161808
AQP2,0.0219367651221501,264,0.0163078869501731,0.147738719410402
DIMT1,0.0422168077510952,234,0.00171081205182509,0.0533886471710046
EIF2AK1,0.00827320242113563,328,0.100012933980994,0.356020587991735
NME8,0.0123211080362629,354,0.0370230492921032,0.219212764085387
