"","main_Rho","Carnivore_Rho","Herbivore_Rho","main_P","Carnivore_P","Herbivore_P","main_p.adj","Carnivore_p.adj","Herbivore_p.adj","Driver","DriverNumeric"
"TSPAN17",-0.560264472800654,0.304828070708889,0.557047652349243,1,0.760497101021294,0.577494871851467,1,0.875630657022357,0.799505840266521,"Both",3
"DSEL",2.31683486079407,-1.95335260038271,1.64957387612518,0.0615381877329141,0.0507778286662044,0.0990301217632154,0.301229736861602,0.179014433498446,0.325462133751005,"Both",3
"RBM4B",-0.0197927552142629,0.720812370050089,0.913681895629241,1,0.471024963575952,0.360884019760712,1,0.680019299329915,0.640908192867468,"Unclear",0
"HLTF",-4.23814265590531,3.84765729705919,-2.52164800946479,6.76129657332771e-05,0.000119252710000975,0.0116806524225453,0.00276153280584131,0.00312710828712827,0.0959685883221355,"Both",3
"CYP2S1",-1.06270233141211,0.217458869187623,-1.59876035615645,0.863750889781252,0.827850757649174,0.109873860894908,1,0.913102269935398,0.345412220955307,"Herbivore",2
"TADA2B",2.84038057686615,-3.42083790248818,2.25476129666989,0.0135179222788025,0.000624285294610466,0.024148315836382,0.11000691517354,0.00960256621249329,0.146215932533401,"Carnivore",1
"LIPT2",-0.454891908675047,0.58417800413953,-0.149323140443823,1,0.559100558537776,0.881298656538279,1,0.74693809408184,0.953984902085546,"Carnivore",1
"PSMD2",-2.06177518339103,1.07501042618822,-1.52812461375532,0.117687434411945,0.282370060420966,0.12648160134158,0.450707680900484,0.510267938219899,0.373622410926566,"Both",3
"LGI4",-2.4701814484948,2.14555240783637,-1.79125835253851,0.0405133603454544,0.031908705934427,0.0732518460788067,0.230775113290759,0.134438557337063,0.275356951087982,"Both",3
"ATP8B3",-1.13457011759229,-0.254998005228643,-1.27166769910149,0.769666438613233,0.798724639914254,0.203491211845314,1,0.89670168809845,0.480114854847264,"Herbivore",2
"KCNE3",1.73574392715272,-1.45807376946179,1.93901112708086,0.247827368066638,0.144820210574357,0.0524999832706578,0.716915617577149,0.341593961789272,0.229385753311569,"Unclear",0
"MATK",-1.08699332158878,-0.343411114729409,-1.47949283246322,0.831119283532574,0.731289199045215,0.139008645579102,1,0.858154806152872,0.393807978074498,"Herbivore",2
"RBM14",1.24067612500103,-1.32418642016714,1.19106557179368,0.644176252601628,0.185441139752427,0.233627844146335,1,0.395641092289621,0.515501460082758,"Unclear",0
"PSMC5",NA,NA,4.20357391632807,NA,NA,2.62733300369249e-05,NA,NA,0.00178185944170927,"MissingData",5
"KLK6",-0.899654889798969,0.739090743548592,-0.676920249555854,1,0.459851897233684,0.498456555473476,1,0.672122179111869,0.748654772764045,"Both",3
"FUT1",0.69683684018275,-2.18564023095509,-0.618839423429592,1,0.0288419368339527,0.536022148118775,1,0.126811755605891,0.773813947172891,"Carnivore",1
"CHRNA9",-0.538752127740413,2.04635174973864,-0.0488609717130185,1,0.0407217756189898,0.961030091752095,1,0.156887865739879,0.985213059694365,"Carnivore",1
"CYP7B1",-2.43204103208012,1.8463401695991,-1.61251941235411,0.0450420190217554,0.0648428286167019,0.106848959131811,0.247338296314233,0.209776595075161,0.339020616563371,"Both",3
"INSM1",-0.19932790888243,0.371714811441077,-0.357593527043146,1,0.710105196036122,0.720647523100275,1,0.846172583627479,0.881091068112787,"Unclear",0
"CCDC13",0.679403545803696,-0.663089637849482,0.331324901243238,1,0.507273146741852,0.74039908405608,1,0.708546740994802,0.889104816480567,"Both",3
"OR10AD1",-1.17307554113992,0.552383674194083,-2.0451983543768,0.722296541662557,0.580685513536255,0.0408353066728709,1,0.762927719587602,0.197936449120982,"Herbivore",2
"ARV1",0.0763354536655062,0.100045362637999,-0.5709912130862,1,0.92030831189821,0.568005599171481,1,0.962489642927625,0.794132451496786,"Herbivore",2
"PDE8A",0.6604726755722,0.450666052375193,0.69366100309308,1,0.652230252897386,0.487894827370636,1,0.811508344651802,0.740823162234252,"Herbivore",2
"LRCH4",-1.1114158283359,1.30274527207234,0.453508726948235,0.799168206920453,0.192661740514097,0.650182460700632,1,0.404123359706655,0.839881569274258,"Carnivore",1
"VPS41",1.44873957832378,-1.18184700915917,1.21203935945455,0.442230969375707,0.237266411264273,0.225497314506868,1,0.45715059737367,0.505728826917108,"Both",3
"CTSF",-0.582143134138889,0.361475900050059,0.0716213535016972,1,0.717743717763903,0.942903246076964,1,0.850743715927758,0.97620840033607,"DoubleBoth",4
"EIF4EBP3",-3.35520072471329,3.71473753684381,-3.00246699052743,0.00237922250035078,0.000203414713766197,0.00267801014721208,0.0335712515642399,0.00449815742779751,0.0381105061248117,"Unclear",0
"NBEA",4.47043797974131,-3.64139895854151,3.44733764007604,2.34178734443657e-05,0.000271160548032285,0.000566140572285296,0.00132543409547286,0.00539344068883791,0.0136759650315535,"Both",3
"ARHGAP32",2.63897785631981,-2.35133938586565,1.42962272183671,0.0249469237198515,0.0187059634385456,0.152825330552227,0.168905874217919,0.0951751592419628,0.414099930277675,"Both",3
"TBX5",-2.32841978053756,1.47644651854304,-1.67798273882834,0.0596694729632455,0.139824062476027,0.0933504687715483,0.29662009059887,0.334520329411817,0.315693250222831,"Both",3
"GPRC6A",-0.346409773627524,1.42292246669706,0.575062899459142,1,0.154758632571102,0.56524875823577,1,0.355826537916156,0.792641940490378,"Carnivore",1
"XXYLT1",-1.60369757948348,1.55443699255194,-0.827043166091349,0.326342189126881,0.120080215053887,0.408212595550457,0.853823262133904,0.305109497508253,0.681947307330352,"Both",3
"ARL10",-1.14935142235494,0.597583446845661,0.116947035469823,0.751233306667769,0.550117911990753,0.906902024934719,1,0.740036056772674,0.961914338579169,"DoubleBoth",4
"METTL18",0.50207873866802,0.74335255435569,1.08614184561467,1,0.457268261303851,0.277416241348713,1,0.670300530827258,0.565113759230217,"Unclear",0
"CPED1",-0.870492665861844,1.92406683301568,-0.389051919941297,1,0.0543462067720933,0.6972377393373,1,0.187088807516476,0.868479713895204,"Carnivore",1
"SNED1",-0.212838856412912,-0.788325098722057,-1.31328164948279,1,0.430506570295661,0.189088059668789,1,0.648780045854465,0.463407029494318,"Herbivore",2
"AGR3",-1.00851420639532,1.05799096884877,-0.691724805269715,0.939623013428121,0.290059559759523,0.489110166311393,1,0.517700367964861,0.741834629525719,"Carnivore",1
"CLTB",-0.19961271705731,0.786871606351119,1.02244070476096,1,0.431357030400381,0.30657236338565,1,0.649403806391485,0.590590853115997,"Unclear",0
"VCPIP1",-0.578643737714686,-0.321313430810342,-0.375860217381453,1,0.747972879305049,0.707020817478237,1,0.867468368084678,0.873949548578109,"Both",3
"TNKS",-0.181104762032548,0.132543908991934,0.0736218700260448,1,0.894554095008825,0.941311268596915,1,0.950935455732076,0.975557183675665,"Both",3
"ZDHHC24",-1.0788827309934,0.86741711347332,-0.637383039654289,0.841920024217423,0.385713508461678,0.523875373104131,1,0.609113004278329,0.765827554351087,"Both",3
"CASP2",3.02874463223335,-4.03235158341724,2.0286911627968,0.00736716498213055,5.52214895872183e-05,0.0424897565702741,0.0720960385966501,0.0018289989844119,0.203101287009016,"Carnivore",1
"GPD2",-1.1274086265209,1.89044551435542,-0.191601578930196,0.77870926032679,0.0586984010996133,0.848054305621849,1,0.196638302390188,0.938795170434777,"Carnivore",1
"PPP1R3B",-0.129314917737022,0.143311261878559,0.0953419016469916,1,0.886044361948591,0.924043261519752,1,0.946671100655177,0.969357069893749,"Carnivore",1
"RFNG",0.216941496192115,-0.24895233563798,1.41445700804224,1,0.803397651408773,0.157227761880934,1,0.899200007869626,0.421000312609643,"Herbivore",2
"MEPCE",-2.0236547642392,0.633280309991863,-1.72064131062684,0.129017058049591,0.526550609059553,0.0853159322895275,0.478308089421738,0.722106121472799,0.301762115877686,"Both",3
"SUGT1",-1.96515160674765,1.42013427035361,-1.58909603257485,0.14819007931056,0.155568594885063,0.112038713378482,0.521529687596922,0.357033724250106,0.349237597144581,"Both",3
"SPSB4",2.24975444377159,-2.39939677555136,2.09741098145302,0.0733936120657264,0.0164221092707704,0.0359572098131178,0.337222336739817,0.0875086836096617,0.183953357581225,"Unclear",0
"SLC5A6",-2.78837411682693,2.41597088084527,-1.30212555813348,0.0158919990802135,0.0156933163173424,0.19287346749862,0.123721340060806,0.0850686364325442,0.468147055208914,"Both",3
"ZNHIT2",-0.957268549674934,1.52532343371523,-0.928963835572404,1,0.127178445648936,0.352907828592141,1,0.316288141048101,0.634641295860614,"Carnivore",1
"DCAKD",-1.05906370502654,-0.837129129664324,-1.23585896264393,0.868712304173893,0.402519988201871,0.21651099333354,1,0.624147575246014,0.494703508731793,"Unclear",0
"SULT1B1",-4.43823818876178,4.19041361847032,-2.73627285752388,2.72094657853697e-05,2.78446406215713e-05,0.00621394775535684,0.00146330764038614,0.00115027434347958,0.0647500715892272,"Both",3
"MRPL48",-2.07390509929924,1.13856426785794,-0.185383628245819,0.114264376134151,0.254884939071333,0.852928148623721,0.442419485559643,0.477139103784446,0.941308929201126,"DoubleBoth",4
"RAB6A",NA,NA,3.26760141299234,NA,NA,0.00108462999799255,NA,NA,0.0209231131638,"MissingData",5
"ADCY4",-4.01776932332665,3.23341157361676,-4.12174135846439,0.000176255004995511,0.00122321197473346,3.76019233748744e-05,0.00516194890599257,0.0153128969513351,0.00225041920071861,"Unclear",0
"CFAP70",-1.563884035142,1.51924590113257,-0.287558471130158,0.353534413168105,0.128700611402827,0.77368473789258,0.899278244705672,0.318721949907297,0.906811147664351,"Both",3
"TRAM1L1",-1.01127731031739,-0.190301821124254,-1.53444165088215,0.935651167808539,0.849072626677918,0.124921037556088,1,0.925852435631316,0.371017525505806,"Herbivore",2
"ELMO1",1.156875789357,-1.52530640933195,0.481889086658588,0.741969334583438,0.127182689887663,0.629884739144101,1,0.316288141048101,0.830042987859037,"Carnivore",1
"HAP1",1.25622992391795,-1.70248714176719,0.829476012202084,0.627097861230106,0.0886640868472167,0.406835104992714,1,0.253269191774671,0.68102759649147,"Carnivore",1
"CD164",-0.70461564312712,0.889539239706795,-0.8629854893305,1,0.373713344253276,0.388145445162557,1,0.599036135454702,0.665902785842495,"Unclear",0
"REP15",0.871143767164953,-0.887349622576692,0.961028352256443,1,0.374890697083047,0.336537912360157,1,0.600024631403702,0.619828147026418,"Unclear",0
"MIS18BP1",-4.5045669807305,5.26512258854102,-1.72390901243196,1.99525255498576e-05,1.40095842878779e-07,0.0847242700912201,0.00119178879885158,3.00945884195458e-05,0.300852013038501,"Carnivore",1
"ADAM17",2.72935942485531,-2.44507785912836,1.86660845635541,0.0190372493701335,0.0144820874198998,0.0619562858238971,0.139927486615495,0.0807142878180254,0.251754684612571,"Both",3
"ZBTB21",1.45075663809458,-2.16795502652606,-1.64918627648511,0.440542913957687,0.0301621085143311,0.0991094785752692,1,0.130078086622435,0.325590907625971,"Unclear",0
"CD34",-2.97769461026428,2.27033526688938,-2.4586949226961,0.00871275607739254,0.0231872488269978,0.0139443056262316,0.0807278785049393,0.110487013541329,0.107439267167468,"Both",3
"UGT8",-0.0719883913280405,0.0565288096393201,0.146870312788601,1,0.954920545439466,0.883234384737408,1,0.978310062374223,0.954939164904546,"Herbivore",2
"POMZP3",-3.19582499698813,1.8966637261619,-2.86068191681746,0.00418294962693327,0.0578723340728578,0.00422730947240223,0.0496270192024212,0.195019952171202,0.0511034211693007,"Both",3
"DTD2",-0.0918578321193238,1.41786427744195,1.63137828941047,1,0.156230393553309,0.102810523046846,1,0.35796247632215,0.33205884374779,"Unclear",0
"IQCB1",-0.537902429947914,-0.930115650237864,-0.721330876364734,1,0.352311208517063,0.470705964340731,1,0.579173897722869,0.728154757381965,"Unclear",0
"MYO1H",1.05544218456119,-0.842218675703241,0.675604467627497,0.873669414926509,0.399665562015717,0.499291804244295,1,0.621424436738178,0.749284404684361,"Both",3
"TBC1D16",2.7936497143039,-2.6546059252118,2.26974211663029,0.0156350694407215,0.0079401106363284,0.023223234418853,0.122613995530972,0.0548440255574047,0.143018771540725,"Both",3
"SLCO2A1",-1.70922672004086,1.69154043794817,-2.01172895483643,0.26222688361833,0.0907336313200444,0.0442485166355697,0.743256159873527,0.256567253150199,0.206851299333418,"Unclear",0
"HDLBP",0.134839856675583,-0.77868483762165,-0.144090382598513,1,0.436165389945154,0.885429099045513,1,0.653313972368292,0.955139109971297,"Carnivore",1
"CBX2",1.57822253431816,-0.995424154797656,1.94935172587315,0.343543485270222,0.319530015472989,0.0512534353087317,0.883901606968386,0.548189484785006,0.225936070959813,"Herbivore",2
"SLCO4C1",-0.452949683103065,-0.50985587847453,-0.969642235793553,1,0.610152434705303,0.332224852536416,1,0.784076917227439,0.615058722832186,"Herbivore",2
"CDC20",1.04487935074864,-1.34584856807146,1.48998394581772,0.888236203624977,0.178351358492667,0.136228457220212,1,0.387424227639274,0.390284792933344,"Unclear",0
"DPY19L1",-2.45438624480383,3.08506337419034,-1.68587490129494,0.0423375922498217,0.00203508785012247,0.0918198971261423,0.237492833733967,0.0220790880247414,0.313004423244132,"Carnivore",1
"SFT2D3",0.317155855393935,-1.10274157517028,0.197755117974076,1,0.270139406508654,0.843236663267372,1,0.495665631220793,0.937128767562621,"Carnivore",1
