"","stat","pval","p.adj","num.genes","gene.vals","Driver","DriverNumeric"
"REACTOME_PD_1_SIGNALING",-0.143618470612749,0.0628934902194012,0.365998883444552,14,"PDCD1LG2:1065, CD3E:1451, PTPN11:6282.5, CSK:6282.5, PTPN6:6282.5, LCK:6282.5, CD4:6282.5, HLA-DPA1:6282.5, HLA-DRA:6282.5, CD274:6282.5, CD3G:6282.5, CD3D:6282.5, PDCD1:6282.5, CD247:6282.5","Unclear",0
"REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING",-0.0552529110037815,0.349088253194503,0.703949987072684,24,"TUBB4A:543, PFDN2:593, TUBA4A:786, ACTB:6282.5, TUBB1:6282.5, TUBA1B:6282.5, TUBB2A:6282.5, TUBB2B:6282.5, TUBAL3:6282.5, TUBA8:6282.5, TUBB4B:6282.5, TCP1:6282.5, CCT8:6282.5, CCT4:6282.5, CCT3:6282.5, PFDN4:6282.5, PFDN5:6282.5, CCT6B:6282.5, VBP1:6282.5, CCT7:12163, CCT5:12181, TUBA1A:12546, CCT2:12782, CCT6A:13410","Unclear",0
"REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC",-0.0249214189492591,0.707003545664444,0.899052538991965,19,"TUBB4A:543, TUBA4A:786, TUBB1:6282.5, TUBA1B:6282.5, TUBB2A:6282.5, TUBB2B:6282.5, TUBAL3:6282.5, TUBA8:6282.5, TUBB4B:6282.5, TCP1:6282.5, CCT8:6282.5, CCT4:6282.5, CCT3:6282.5, CCT6B:6282.5, CCT7:12163, CCT5:12181, TUBA1A:12546, CCT2:12782, CCT6A:13410","Unclear",0
"REACTOME_POST_CHAPERONIN_TUBULIN_FOLDING_PATHWAY",-0.0901694534844574,0.211945192109927,0.586051598221008,16,"TUBB4A:543, TUBA4A:786, TUBB1:6282.5, TUBA1B:6282.5, TUBB2A:6282.5, TUBB2B:6282.5, TUBAL3:6282.5, TUBA8:6282.5, TUBB4B:6282.5, ARL2:6282.5, TBCB:6282.5, TBCD:6282.5, TBCA:6282.5, TBCE:6282.5, TUBA1A:12546, TBCC:12655","Unclear",0
"REACTOME_BETA_OXIDATION_OF_VERY_LONG_CHAIN_FATTY_ACIDS",-0.0418247073697949,0.631080737172668,0.860694832921574,11,"ACOT6:577, HSD17B4:1037, ABCD1:6282.5, ACOT8:6282.5, ACOX1:6282.5, MLYCD:6282.5, ACOT4:6282.5, DECR2:6282.5, ACAA1:11783, ECI2:12373, EHHADH:14502","Unclear",0
"REACTOME_FOLDING_OF_ACTIN_BY_CCT_TRIC",0.0709655713805092,0.437211968183673,0.769615051747319,10,"CCT6A:1695, CCT2:2323, CCT5:2924, CCT7:2942, ACTB:8822.5, TCP1:8822.5, CCT8:8822.5, CCT4:8822.5, CCT3:8822.5, CCT6B:8822.5","Unclear",0
"REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS",0.00376828777998106,0.940337991583161,0.987968538937784,33,"FBXW7:877, ARFGEF2:1159, FBXW2:1562, CCT6A:1695, CCT2:2323, FBXL5:2636, DCAF7:2690, CCT5:2924, CCT7:2942, FBXL3:3027, LONP2:3688, XRN2:3837, TP53:8822.5, TCP1:8822.5, FBXW4:8822.5, FBXO6:8822.5, FBXW9:8822.5, FBXO4:8822.5, CCNE1:8822.5, CCNE2:8822.5, SPHK1:8822.5, CCT8:8822.5, CCT4:8822.5, CCT3:8822.5, CCT6B:8822.5, NOP56:8822.5, USP11:8822.5, FKBP9:8822.5, KIF13A:13701, FBXW5:13998, KIFC3:14131, FBXW10:14427, WRAP53:14781","Unclear",0
"REACTOME_STRIATED_MUSCLE_CONTRACTION",-0.0396336156880947,0.445430996193736,0.772278509992157,31,"ACTC1:37, DMD:232, MYH8:586, NEB:906, VIM:6282.5, ACTN2:6282.5, ACTN3:6282.5, MYBPC2:6282.5, TNNT1:6282.5, MYH3:6282.5, TNNT2:6282.5, TMOD2:6282.5, TNNI3:6282.5, TNNT3:6282.5, TNNI2:6282.5, MYBPC3:6282.5, TMOD1:6282.5, TPM1:6282.5, TNNI1:6282.5, MYL3:6282.5, TMOD4:6282.5, TCAP:6282.5, DES:6282.5, MYBPC1:6282.5, MYL1:10885, MYH6:11080, MYL2:12610, TMOD3:14215, TPM4:14631, ACTA1:14790, MYL4:14986","Both",3
"REACTOME_MUSCARINIC_ACETYLCHOLINE_RECEPTORS",-0.221676754091011,0.0860662387965545,0.40119395285502,5,"CHRM2:1264, CHRM1:1674, CHRM3:6282.5, CHRM4:6282.5, CHRM5:6282.5","Unclear",0
"REACTOME_DOPAMINE_RECEPTORS",0.10582203294856,0.463588178657251,0.774651979721059,4,"DRD1:2520, DRD3:2809, DRD2:8822.5, DRD5:8822.5","Unclear",0
"REACTOME_SEROTONIN_RECEPTORS",-0.153767059263414,0.0652034253149891,0.371943292552088,12,"HTR1D:274, HTR6:1746, HTR2A:6282.5, HTR1B:6282.5, HTR2B:6282.5, HTR2C:6282.5, HTR7:6282.5, HTR5A:6282.5, HTR4:6282.5, HTR1E:6282.5, HTR1A:6282.5, HTR1F:6282.5","Unclear",0
"REACTOME_ADRENOCEPTORS",0.00718895616854798,0.940478891055732,0.987968538937784,9,"ADRA1A:2147, ADRA2B:2586, ADRA1D:2934, ADRA2A:8822.5, ADRB2:8822.5, ADRB1:8822.5, ADRA1B:8822.5, ADRB3:8822.5, ADRA2C:13488","Unclear",0
"REACTOME_DISEASES_ASSOCIATED_WITH_O_GLYCOSYLATION_OF_PROTEINS",-0.0997622755963604,0.0106221747977434,0.153214249282651,55,"ADAMTSL3:36, ADAMTS7:57, ADAMTS12:304, THSD4:436, ADAMTS18:609, THSD1:846, LFNG:1229, ADAMTSL1:1258, ADAMTS4:1292, ADAMTS1:1453, THBS2:1590, ADAMTSL5:1749, THBS1:6282.5, SEMA5A:6282.5, NOTCH1:6282.5, DAG1:6282.5, ADAMTS16:6282.5, ADAMTS5:6282.5, ADAMTS9:6282.5, ADAMTS2:6282.5, ADAMTS14:6282.5, ADAMTS3:6282.5, NOTCH2:6282.5, NOTCH4:6282.5, B4GAT1:6282.5, CFP:6282.5, GALNT3:6282.5, THSD7A:6282.5, POMT2:6282.5, ADAMTS6:6282.5, SEMA5B:6282.5, POMGNT1:6282.5, POMT1:6282.5, LARGE1:6282.5, ADAMTS17:6282.5, ADAMTS10:6282.5, ADAMTSL4:6282.5, THSD7B:6282.5, ADAMTS19:6282.5, SPON2:6282.5, ADAMTS13:6282.5, SBSPON:6282.5, ADAMTS15:6282.5, C1GALT1C1:6282.5, ADAMTSL2:6282.5, SPON1:6282.5, NOTCH3:11295, ADAMTS20:11927, ADAMTS8:11963, MUC4:12747, MUC20:12957, MUC15:13272, GALNT12:13988, C1GALT1:14356, B3GLCT:14872","Both",3
"REACTOME_PEROXISOMAL_LIPID_METABOLISM",0.00148425450120526,0.977947802901163,0.997307629316061,29,"EHHADH:603, ACBD4:1658, SLC25A17:1975, ECI2:2732, ACOXL:3283, ACAA1:3322, NUDT19:3588, HAO2:3788, NUDT7:3806, CROT:4105, ABCD1:8822.5, ALDH3A2:8822.5, SLC27A2:8822.5, ACOT8:8822.5, SCP2:8822.5, ACOX2:8822.5, AMACR:8822.5, ACOX1:8822.5, PHYH:8822.5, HACL1:8822.5, ACOX3:8822.5, CRAT:8822.5, MLYCD:8822.5, ACOT4:8822.5, DECR2:8822.5, ACBD5:8822.5, HSD17B4:14068, PECR:14149, ACOT6:14528","Unclear",0
"REACTOME_SIGNAL_REGULATORY_PROTEIN_FAMILY_INTERACTIONS",-0.0435988417145887,0.616669692391025,0.854941156448105,11,"SFTPA2:1707, PTPN11:6282.5, PTK2:6282.5, PTPN6:6282.5, SRC:6282.5, PTK2B:6282.5, FYB1:6282.5, SKAP2:6282.5, SFTPA1:6282.5, CD47:11140, TYROBP:14731","Both",3
"REACTOME_PROTEIN_FOLDING",-0.0493589924404829,0.17291779919969,0.539979334175454,64,"WRAP53:324, TUBB4A:543, PFDN2:593, FBXW10:678, TUBA4A:786, KIFC3:974, FBXW5:1107, KIF13A:1404, TP53:6282.5, GNA15:6282.5, GNB5:6282.5, ACTB:6282.5, TUBB1:6282.5, GNB3:6282.5, TUBA1B:6282.5, TUBB2A:6282.5, TUBB2B:6282.5, GNA14:6282.5, TUBAL3:6282.5, TUBA8:6282.5, TUBB4B:6282.5, CSNK2B:6282.5, TCP1:6282.5, FBXW4:6282.5, FBXO6:6282.5, FBXW9:6282.5, FBXO4:6282.5, CCNE1:6282.5, CCNE2:6282.5, SPHK1:6282.5, CCT8:6282.5, CCT4:6282.5, CCT3:6282.5, RGS9:6282.5, RGS11:6282.5, RGS6:6282.5, RGS7:6282.5, ARL2:6282.5, PFDN4:6282.5, PFDN5:6282.5, CCT6B:6282.5, VBP1:6282.5, TBCB:6282.5, TBCD:6282.5, TBCA:6282.5, TBCE:6282.5, NOP56:6282.5, USP11:6282.5, FKBP9:6282.5, PDCL:6282.5, XRN2:11268, LONP2:11417, FBXL3:12078, CCT7:12163, CCT5:12181, DCAF7:12415, FBXL5:12469, TUBA1A:12546, TBCC:12655, CCT2:12782, CCT6A:13410, FBXW2:13543, ARFGEF2:13946, FBXW7:14228","Unclear",0
"REACTOME_EICOSANOID_LIGAND_BINDING_RECEPTORS",-0.0566588129698193,0.463091993357637,0.774540690189072,14,"TBXA2R:6282.5, PTGIR:6282.5, PTGER3:6282.5, PTGER2:6282.5, GPR17:6282.5, CYSLTR2:6282.5, PTGER1:6282.5, PTGDR:6282.5, PTGER4:6282.5, CYSLTR1:6282.5, PTGDR2:6282.5, LTB4R:6282.5, LTB4R2:6282.5, PTGFR:14688","Unclear",0
"REACTOME_LEUKOTRIENE_RECEPTORS",-0.0970634386908765,0.452293157521604,0.772278509992157,5,"GPR17:6282.5, CYSLTR2:6282.5, CYSLTR1:6282.5, LTB4R:6282.5, LTB4R2:6282.5","Unclear",0
"REACTOME_PROSTANOID_LIGAND_RECEPTORS",-0.0341381974035035,0.722907399349675,0.901960889070325,9,"TBXA2R:6282.5, PTGIR:6282.5, PTGER3:6282.5, PTGER2:6282.5, PTGER1:6282.5, PTGDR:6282.5, PTGER4:6282.5, PTGDR2:6282.5, PTGFR:14688","Unclear",0
