,Rho,N,P,p.adj
IMPDH1,0.0347938196471235,260,0.0291370645251545,0.116436804848336
CRTC1,0.0528402187776097,264,0.00304879118708085,0.0286876015532732
DNAJB12,0.00112269774666144,259,0.961962018289011,0.973948254153058
ATP9A,0.0161856344266513,221,0.312956734491334,0.496238638190617
EIF4EBP1,0.0117372258287062,185,0.539939816586686,0.683677582667897
OLFM3,NA,NA,NA,NA
TEAD3,NA,NA,NA,NA
HELT,0.0098951155672806,299,0.399595473979011,0.573944649624501
METTL24,0.0883858208228542,262,3.90731618742097e-05,0.0016281597309749
MAP3K15,0.0324109561129911,318,0.0163729795998898,0.081513891817071
FAM184A,0.0161336080069998,340,0.140486808424821,0.303672345364051
DFFB,0.0117621885708163,326,0.281255456310178,0.46523889436696
CLEC12B,0.0280106568097584,268,0.0581045035713738,0.178895067438012
KRTDAP,0.000412750433864645,240,0.991999251055293,0.994378798295848
PSPC1,0.0245484589668026,183,0.215178735550828,0.393646552366031
ZC3H12B,0.0273807622810591,282,0.0527779301574505,0.168949443309886
PTGES2,0.010950256349495,287,0.371751157052485,0.549909617108729
TRIM9,0.0233974926963204,279,0.0894850870617137,0.23164758997604
RPL14,0.0315246595050069,212,0.0838679142895078,0.222295793162904
LRRC25,0.03901186190599,296,0.0092712708932166,0.0576047612931971
CFAP36,0.0154717168506201,291,0.213470913044143,0.391550736667123
OSTN,0.0275028602011578,254,0.0732413150657593,0.205272408251167
KLHL7,NA,NA,NA,NA
NOSIP,0.011410563543253,217,0.481707712861357,0.638348918031187
CERKL,0.0597203721111238,343,0.000138613054904991,0.00373361793930092
NANOS3,0.00713213720582014,214,0.677858724052374,0.783783171923517
FOXR2,0.0446044129845348,203,0.0291570160137768,0.116462963670143
ABHD12,0.00740555012079532,245,0.613422788023056,0.737579883066855
NRN1L,NA,NA,NA,NA
PHF10,0.0339293264985335,245,0.040588629139058,0.142772796966778
FBXL14,0.0291527659713377,66,0.594498109538909,0.724410677992103
DLGAP4,0.00717811301377651,271,0.585355149712704,0.716795413571501
SFN,0.0241576578367016,185,0.217248117094779,0.3962427934441
AMTN,0.0218937648065147,303,0.0853517436937372,0.22444747325464
RAP1GDS1,0.0058007960681564,233,0.718290814755459,0.811315271960255
NEO1,0.0139253076132464,338,0.195721924448683,0.371578036190252
RPGR,0.0138666212131859,288,0.26366231560862,0.447421397852613
PIK3AP1,0.0041034911761632,341,0.706663312118766,0.803622176998122
TAS1R3,0.0117167375593039,318,0.294024385322897,0.47832557060389
SDC3,0.0263037488714611,289,0.0556504459925836,0.174628496693312
SRFBP1,0.0457475463252325,343,0.00134032320796686,0.0168415526114462
ANP32B,NA,NA,NA,NA
YIF1B,0.00818888454672771,232,0.595200495929248,0.725027271879835
LRRC17,0.0239797472310395,307,0.0618757737593799,0.186098101378715
ERMP1,0.0410661943121594,351,0.00243880093072481,0.0247992604017833
SAXO2,0.0230791730603929,279,0.0930343641006513,0.236940864603963
RPS16,NA,NA,NA,NA
GJB4,0.0640915607600436,276,0.000525495168912878,0.00905939713480797
VMAC,0.0200248527814559,250,0.172811299916513,0.343543958777661
RIOK3,0.0108547101723997,255,0.430611399013639,0.599764053135271
PTCHD4,0.0122086383101916,257,0.372690462467155,0.550447133406846
ZCCHC13,0.0833459766328424,220,0.000390081544227044,0.00742531177317625
CLIC5,0.020616425132526,223,0.205537337231424,0.382905247019082
GRM8,0.0562474267918716,235,0.00429925707904092,0.0353661046333254
ALDH3A2,0.0212484543165785,316,0.0823444830335473,0.219575279644241
ZNF189,0.0622761964724576,234,0.00228670639628955,0.0238818289090171
SERINC1,0.00338518240685431,204,0.876212298692893,0.917882902211879
GALNT15,0.0181883158047986,349,0.0966332114777472,0.242013245046837
DUSP15,0.00586990155568191,218,0.735371195685448,0.822560066929744
ANKRD6,0.0147156738087298,317,0.199281694077117,0.375992525486573
SLC35F4,0.0232253743026389,302,0.072190381344012,0.203387589599388
DNAJB13,0.010732718274411,279,0.394145818805013,0.569530780656506
KSR2,0.021586565317871,242,0.157564912723473,0.326077035351225
BORCS7,0.0658988608028627,75,0.181065823253408,0.353290919277527
ELSPBP1,0.0053857316210498,183,0.806042055811179,0.871078107602652
NCCRP1,0.0306288506045576,259,0.0480758384839271,0.158833795723045
USP54,0.0359329632810292,370,0.0041081963252612,0.0343351311161544
NFASC,0.0182786481695315,317,0.123028883957935,0.279924803564263
ZNF292,0.101454781172225,360,6.09672306665574e-08,2.44059685560345e-05
TSSK4,0.00976188656320968,295,0.412106784281418,0.584397307242585
ZNF648,0.0185895835985124,237,0.222580613177315,0.402052476074994
CLEC18B,0.00612259550571858,324,0.577069246189017,0.710689518769404
HMX2,0.0196327236507305,211,0.248498202526705,0.431398778653482
KCNJ11,0.0275115021880402,236,0.0910449589153492,0.233905422289812
MYMK,0.00897410853836139,259,0.509592356160904,0.661163647760966
ABCA9,0.0160100135184405,297,0.19194022411797,0.366830541858009
SLC26A3,0.077170414725147,360,4.19016047522398e-06,0.000422657152487075
AIDA,NA,NA,NA,NA
FPR2,0.0131953710392548,231,0.386270135064626,0.562595797197294
TRAF3IP2,0.0249286077179796,340,0.0375583379246745,0.135770699576443
GLI4,0.0162976394322494,258,0.24181644849072,0.424556443657935
PLCH1,0.0164501181947753,351,0.124021028179061,0.281098955237401
KCTD21,0.0505265033686084,75,0.291066236962107,0.475391935433588
MIOS,0.00237504987081094,195,0.927423781103114,0.951494123345549
DOK7,0.00597714885687687,258,0.673957627278843,0.78114450294511
PLAUR,0.0546602043643852,317,0.000621112257223945,0.0101615076892141
DOK4,0.0473621491193784,181,0.0363175575735505,0.132874891593824
FGFR3,0.0180857005355721,284,0.163340047088779,0.333009691764774
RNF133,0.00872114991700998,330,0.412225296175065,0.584452033913969
ENOSF1,0.0318834237365403,290,0.0265731405101904,0.1098216312806
GPT2,0.0176505001644109,257,0.210643570342927,0.388459571281761
IFITM10,0.0380350997802101,202,0.0539461978876862,0.171190516447233
C3orf33,0.0447035537182763,300,0.00390773341309148,0.0333068233682261
HRH3,0.0652416395733282,236,0.00155398559395866,0.0182852721618981
ETV7,0.00486493619571073,231,0.772505099033931,0.848425166871244
MEF2C,0.0476107968713604,71,0.34310960833056,0.523944129934913
NAALADL1,0.0346390150133346,328,0.0100831082992821,0.060639614303166
FBXO38,0.0051083421142134,259,0.724874611928359,0.815665184956469
RASSF4,0.023824568247417,292,0.0740658901681985,0.206616004119792
ZNF326,0.0163505762439753,243,0.266162563801584,0.449726679178072
UBE2V1,NA,NA,NA,NA
KCNK7,0.031740402667288,323,0.0167825590863859,0.0825166799015543
KRTAP24-1,0.00859017566614947,284,0.487886434797281,0.64323144743642
SOX18,0.0104189845712336,220,0.516024668076796,0.666192280686471
XRRA1,0.00675649567653226,356,0.493903485949751,0.647682632623944
INSIG1,0.0130340813525284,255,0.346162187549765,0.526642908391535
XIRP1,0.0746069801054493,319,2.85094057502962e-05,0.00133705077876653
TMEM201,0.0241378604381632,355,0.0359971022826037,0.132218387238915
TUBB4B,0.543650793650794,8,0.149153727341406,0.315246015679092
PRDX6,0.0117762751245211,190,0.526900899439901,0.674112364871238
NUP43,0.0316642101868682,247,0.0505708125816561,0.164402912829362
LIN54,0.105010027128576,207,7.78010237193848e-05,0.00249948020988121
RTL4,0.0543116623302003,246,0.00401882425526212,0.033956859363064
PTAR1,0.0294640035986452,283,0.0400418849388215,0.141460058141309
CPSF7,0.0498061558116417,216,0.0134123082587813,0.0724938730942113
GSPT2,0.0122415258442167,234,0.414966575011091,0.586575927912653
UPK3BL1,0.0271623836398201,286,0.0516725270738459,0.166687777014131
GFRAL,0.0736293496151987,323,2.87345282815498e-05,0.0013384433460062
GTF2F2,NA,NA,NA,NA
UTS2B,0.0118394742991718,197,0.508597991259564,0.660257747947976
CYB5A,0.0118692095518659,237,0.423313364293711,0.59372937242614
VAPA,0.0132827599086153,250,0.346613027888833,0.526926737958848
FOXN2,0.0275411114311092,277,0.0550108111074482,0.173253690162509
RANBP3,0.0189942759976767,315,0.113364891507959,0.266442266679783
SOCS2,0.0327861661834644,199,0.0899919580851446,0.232260875057936
PTGES,0.0147234116868244,232,0.333816366882747,0.515673656741346
BRAT1,0.0299787374261132,326,0.0208810794143676,0.0946703867063051
IFT27,0.00301320893733956,268,0.848383982213957,0.898923968213385
PAQR9,0.00671500490869005,229,0.675129400145122,0.781886341477753
PDE4D,0.00896173191503302,248,0.529284812573982,0.675979712601035
RRP1B,0.0384092296252454,329,0.00559115766263073,0.0418703491075554
NHLRC1,0.0215255388357565,270,0.122266730180742,0.279011644222069
VWC2,0.0275866802717119,224,0.104452555878769,0.252599715985926
MOCS1,0.0207066702678924,355,0.0620867326821641,0.186425898626428
ADGRL1,0.00263296195510118,219,0.902361058366376,0.934701042546178
DNMT1,0.0759611481529814,306,3.72516299952211e-05,0.00157015083662854
OR1J4,0.0284638770286552,217,0.104618540128005,0.252875684665709
PPP1CC,NA,NA,NA,NA
ACSL4,0.0129140995159629,257,0.346807112979164,0.527085297309331
LRRIQ4,0.0147351390085901,349,0.162672680571742,0.332251169674948
GPR18,0.00745993466616936,283,0.551164272395256,0.691238203507653
TERB2,0.0200208184167292,282,0.131302191032963,0.290973613037594
IDS,0.000264499132069429,334,0.993228655875623,0.99533828851229
H1-0,NA,NA,NA,NA
HNRNPA1,0.198873264818692,47,0.027384390175603,0.111881323640971
BROX,0.00677295881691659,270,0.61017527273092,0.735186056426594
KLRG2,0.0416584368596828,271,0.0104587934070671,0.0619401919229984
MCCC2,0.0107028099953969,319,0.333496055947089,0.515451052972855
EXD3,0.0381366183389352,185,0.0713535347179716,0.202172955983156
ACER2,NA,NA,NA,NA
ADIPOR1,0.0547444446650481,178,0.0213959429402307,0.0959929636330719
IL1F10,0.00158847701231535,257,0.938865336462161,0.958994651239302
ANKRD55,0.0225687491082194,338,0.0549046438782012,0.172993391073367
CAV1,NA,NA,NA,NA
ANAPC1,0.0320954287291233,319,0.0168911457722271,0.0828192752479363
BSDC1,0.0139607568004526,315,0.22290363006012,0.40228820891006
BEND7,NA,NA,NA,NA
RNF19A,0.0204489967703492,283,0.123533655203959,0.280472406242332
ESR2,0.0072344887463531,310,0.524998251345387,0.672678442766328
GATA2,0.0297736874592427,196,0.121446727313115,0.277891087872594
IL4I1,0.0251236849668983,322,0.044693248696886,0.152196380777801
SLC25A40,0.014144694258171,299,0.239152550246806,0.421811959518225
TMEM221,0.0568784266360124,253,0.00248477909677765,0.0250657536449044
B4GALNT1,0.00303906015404456,309,0.816725244296698,0.877846547496356
