"","x"
"1",1020
"2",1355
"3",557
"4",1099
"5",1351
"6",1333
"7",138
"8",1380
"9",606
"10",1728
"11",1168
"12",86
"13",1664
"14",1216
"15",999
"16",862
"17",851
"18",755
"19",372
"20",904
"21",1778
"22",244
"23",82
"24",925
"25",1448
"26",1010
"27",348
"28",363
"29",186
"30",168
"31",1317
"32",1506
"33",1200
"34",1323
"35",410
"36",176
"37",35
"38",33
"39",1141
"40",508
"41",80
"42",1697
"43",1717
"44",826
"45",928
"46",564
"47",1373
"48",1514
"49",1281
"50",1280
"51",1443
"52",599
"53",677
"54",650
"55",965
"56",26
"57",966
"58",353
"59",556
"60",223
"61",1637
"62",1081
"63",1109
"64",1721
"65",1651
"66",1153
"67",1250
"68",474
"69",76
"70",1504
"71",446
"72",600
"73",1740
"74",23
"75",324
"76",1008
"77",542
"78",1044
"79",1493
"80",791
"81",1013
"82",1040
"83",558
"84",245
"85",1016
"86",32
"87",1715
"88",821
"89",1240
"90",892
"91",431
"92",891
"93",1563
"94",1165
"95",109
"96",811
"97",1763
"98",1699
"99",339
"100",42
"101",1121
"102",1291
"103",1525
"104",1386
"105",338
"106",681
"107",850
"108",1150
"109",1474
"110",555
"111",148
"112",859
"113",1591
"114",486
"115",820
"116",621
"117",1707
"118",882
"119",1629
"120",545
"121",523
"122",1547
"123",510
"124",213
"125",1744
"126",1764
"127",237
"128",434
"129",1404
"130",1477
"131",854
"132",292
"133",1237
"134",808
"135",994
"136",1766
"137",1045
"138",105
"139",943
"140",509
"141",1657
"142",1063
"143",158
"144",83
"145",687
"146",643
"147",781
"148",924
"149",1340
"150",674
"151",40
"152",843
"153",810
"154",698
"155",1068
"156",717
"157",1012
"158",1801
"159",1584
"160",1696
"161",1018
"162",1073
"163",1487
"164",702
"165",602
"166",874
"167",110
"168",1737
"169",1528
"170",1194
"171",842
"172",1102
"173",1391
"174",1043
"175",812
"176",682
"177",635
"178",539
"179",637
"180",432
"181",1058
"182",464
"183",901
"184",711
"185",1061
"186",873
"187",116
"188",1174
"189",1116
"190",1519
"191",981
"192",1702
"193",1377
"194",103
"195",700
"196",580
"197",576
"198",1507
"199",438
"200",1475
"201",1486
"202",585
"203",1259
"204",908
"205",343
"206",357
"207",302
"208",1139
"209",1607
"210",507
"211",1602
"212",1087
"213",806
"214",745
"215",345
"216",1100
"217",1249
"218",1032
"219",1230
"220",1137
"221",1092
"222",1522
"223",732
"224",733
"225",1617
"226",9
"227",152
"228",383
"229",139
"230",752
"231",1136
"232",634
"233",54
"234",772
"235",579
"236",1381
"237",243
"238",1034
"239",161
"240",271
"241",1217
"242",242
"243",737
"244",665
"245",722
"246",661
"247",1710
"248",69
"249",512
"250",78
"251",329
"252",1017
"253",1776
"254",140
"255",1594
"256",1471
"257",749
"258",1382
"259",1752
"260",445
"261",1687
"262",1330
"263",715
"264",1328
"265",235
"266",1162
"267",611
"268",1666
"269",310
"270",1160
"271",1090
"272",130
"273",34
"274",433
"275",566
"276",1636
"277",568
"278",1796
"279",701
"280",159
"281",1082
"282",1672
"283",885
"284",67
"285",721
"286",239
"287",332
"288",114
"289",1676
"290",1004
"291",1669
"292",1171
"293",1674
"294",554
"295",167
"296",1059
"297",180
"298",1176
"299",377
"300",1209
"301",153
"302",436
"303",801
"304",1151
"305",1097
"306",780
"307",309
"308",655
"309",481
"310",676
"311",264
"312",221
"313",668
"314",347
"315",1503
"316",1589
"317",898
"318",1308
"319",654
"320",1022
"321",1760
"322",177
"323",473
"324",101
"325",209
"326",1130
"327",1367
"328",525
"329",640
"330",666
"331",342
"332",620
"333",771
"334",1668
"335",131
"336",333
"337",1771
"338",1667
"339",1783
"340",84
"341",1154
"342",337
"343",888
"344",201
"345",378
"346",607
"347",1659
"348",779
"349",1724
"350",1745
"351",961
"352",604
"353",1143
"354",788
"355",861
"356",720
"357",1436
"358",660
"359",231
"360",1618
"361",1227
"362",1498
"363",1366
"364",331
"365",355
"366",1590
"367",27
"368",1284
"369",608
"370",1101
"371",746
"372",540
"373",1169
"374",1775
"375",1190
"376",1036
"377",1803
"378",1002
"379",581
"380",1093
"381",761
"382",713
"383",909
"384",716
"385",1698
"386",1473
"387",1743
"388",860
"389",1322
"390",899
"391",61
"392",1663
"393",511
"394",1006
"395",897
"396",1662
"397",1736
"398",786
"399",1800
"400",895
"401",169
"402",222
"403",1310
"404",1364
"405",328
"406",1632
"407",747
"408",1327
"409",362
"410",1533
"411",340
"412",385
"413",143
"414",1688
"415",735
"416",53
"417",1614
"418",1679
"419",1347
"420",1286
"421",574
"422",1677
"423",470
"424",709
"425",1288
"426",1739
"427",1365
"428",866
"429",145
"430",962
"431",326
"432",530
"433",455
"434",414
"435",299
"436",418
"437",876
"438",1545
"439",1370
"440",1476
"441",1518
"442",1631
"443",1354
"444",1539
"445",341
"446",1331
"447",1290
"448",1511
"449",407
"450",730
"451",605
"452",1620
"453",982
"454",1039
