GO.ID	Description	pVal	p.adj	Phenotype	Gene.vals
REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE	Unclear	0.066614644759656	0.235965038313673	-1	CASP7:1310, CASP9:1643, XIAP:2414, APAF1:6991.5, CASP3:6991.5
REACTOME_CYTOCHROME_C_MEDIATED_APOPTOTIC_RESPONSE	Unclear	0.146313797589835	0.363867278695823	-1	CASP7:1310, CASP9:1643, XIAP:2414, MAPK3:6991.5, APAF1:6991.5, UACA:6991.5, APIP:6991.5, CASP3:6991.5, AVEN:6991.5, DIABLO:6991.5
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS	Both	0.0315003095484026	0.150650021527241	-1	DBNL:51, PLEC:87, BCAP31:151, PTK2:182, DSG3:589, VIM:828, LMNB1:849, DSG2:1184, DSP:1262, CASP7:1310, TJP1:1495, PKP1:1611, BMX:2175, CDH1:2508, CASP8:6991.5, ROCK1:6991.5, ADD1:6991.5, STK24:6991.5, BIRC2:6991.5, TJP2:6991.5, STK26:6991.5, DSG1:6991.5, CASP6:6991.5, GSN:6991.5, GAS2:6991.5, LMNA:6991.5, CASP3:6991.5, SATB1:6991.5, MAPT:6991.5, SPTAN1:6991.5, PRKCD:12216, APC:12387, PRKCQ:12806, FNTA:12961, OCLN:13479, ACIN1:14539, CLSPN:14988
REACTOME_SMAC_XIAP_REGULATED_APOPTOTIC_RESPONSE	Unclear	0.0864134306598597	0.274785565219977	-1	CASP7:1310, CASP9:1643, XIAP:2414, APAF1:6991.5, CASP3:6991.5, DIABLO:6991.5
REACTOME_APOPTOTIC_FACTOR_MEDIATED_RESPONSE	Unclear	0.589382555470188	0.787128001250227	-1	CASP7:1310, CASP9:1643, XIAP:2414, BAX:6991.5, MAPK3:6991.5, GSDMD:6991.5, GSDME:6991.5, APAF1:6991.5, UACA:6991.5, CDKN2A:6991.5, APIP:6991.5, CASP3:6991.5, AVEN:6991.5, DIABLO:6991.5, C1QBP:13411, BAK1:13977
REACTOME_OPIOID_SIGNALLING	Both	0.00118986301248589	0.017300992028323	-1	ADCY1:7, CAMK2B:8, PRKCG:10, ITPR1:92, NBEA:139, CAMK2D:299, GNB3:613, ADCY9:678, GNAT3:1047, PPP2R5D:1093, PDE1B:1210, ADCY2:1221, GRK2:1263, ADCY8:1328, CAMKK2:1334, ADCY3:1523, PRKCA:1644, GNA14:1937, GNB5:2041, PRKAR1B:2217, PPP2R1B:2343, PPP3R1:6991.5, PRKAR2B:6991.5, GNA15:6991.5, PRKACA:6991.5, PRKAR1A:6991.5, PRKAR2A:6991.5, PDE1A:6991.5, PLA2G4A:6991.5, ITPR2:6991.5, PRKACB:6991.5, CAMKK1:6991.5, CAMK2A:6991.5, PDYN:6991.5, PLCB4:6991.5, OPRM1:6991.5, PDE4D:6991.5, ADCY7:6991.5, PPP1R1B:6991.5, PLCB2:6991.5, GNAL:6991.5, CAMK2G:6991.5, PLCB3:6991.5, PDE1C:6991.5, PPP1CA:6991.5, ADCY5:6991.5, ADCY6:6991.5, KPNA2:6991.5, PLCB1:6991.5, PRKX:6991.5, PDE4B:6991.5, ITPR3:11705, PRKCD:12216, CAMK4:12996, PDE4A:13764, PDE4C:13828, PPP3CC:14288, ADCY4:14927
REACTOME_PKA_MEDIATED_PHOSPHORYLATION_OF_CREB	Unclear	0.0195902336243169	0.114308062215675	-1	ADCY1:7, NBEA:139, ADCY9:678, ADCY2:1221, ADCY8:1328, ADCY3:1523, PRKAR1B:2217, PRKAR2B:6991.5, PRKACA:6991.5, PRKAR1A:6991.5, PRKAR2A:6991.5, PRKACB:6991.5, ADCY7:6991.5, ADCY5:6991.5, ADCY6:6991.5, PRKX:6991.5, ADCY4:14927
REACTOME_CAMK_IV_MEDIATED_PHOSPHORYLATION_OF_CREB	Both	0.163393496871547	0.391753291036435	-1	CAMK2B:8, CAMK2D:299, CAMKK2:1334, CAMKK1:6991.5, CAMK2A:6991.5, CAMK2G:6991.5, KPNA2:6991.5, CAMK4:12996
REACTOME_CA_DEPENDENT_EVENTS	Both	0.00110817281809862	0.0167660128880948	-1	ADCY1:7, CAMK2B:8, PRKCG:10, NBEA:139, CAMK2D:299, ADCY9:678, PDE1B:1210, ADCY2:1221, GRK2:1263, ADCY8:1328, CAMKK2:1334, ADCY3:1523, PRKCA:1644, PRKAR1B:2217, PRKAR2B:6991.5, PRKACA:6991.5, PRKAR1A:6991.5, PRKAR2A:6991.5, PDE1A:6991.5, PLA2G4A:6991.5, PRKACB:6991.5, CAMKK1:6991.5, CAMK2A:6991.5, ADCY7:6991.5, CAMK2G:6991.5, PDE1C:6991.5, ADCY5:6991.5, ADCY6:6991.5, KPNA2:6991.5, PRKX:6991.5, PRKCD:12216, CAMK4:12996, ADCY4:14927
REACTOME_G_PROTEIN_MEDIATED_EVENTS	Both	0.000546847212863394	0.0101093627164797	-1	ADCY1:7, CAMK2B:8, PRKCG:10, ITPR1:92, NBEA:139, CAMK2D:299, ADCY9:678, GNAT3:1047, PDE1B:1210, ADCY2:1221, GRK2:1263, ADCY8:1328, CAMKK2:1334, ADCY3:1523, PRKCA:1644, GNA14:1937, PRKAR1B:2217, PRKAR2B:6991.5, GNA15:6991.5, PRKACA:6991.5, PRKAR1A:6991.5, PRKAR2A:6991.5, PDE1A:6991.5, PLA2G4A:6991.5, ITPR2:6991.5, PRKACB:6991.5, CAMKK1:6991.5, CAMK2A:6991.5, PLCB4:6991.5, ADCY7:6991.5, PLCB2:6991.5, GNAL:6991.5, CAMK2G:6991.5, PLCB3:6991.5, PDE1C:6991.5, ADCY5:6991.5, ADCY6:6991.5, KPNA2:6991.5, PLCB1:6991.5, PRKX:6991.5, ITPR3:11705, PRKCD:12216, CAMK4:12996, ADCY4:14927
REACTOME_ELECTRIC_TRANSMISSION_ACROSS_GAP_JUNCTIONS	Unclear	0.0588538434931673	0.217000981223273	-1	PANX2:1154, GJC1:1193, GJD2:2504, PANX1:6991.5, GJA10:6991.5
REACTOME_PRESYNAPTIC_DEPOLARIZATION_AND_CALCIUM_CHANNEL_OPENING	Unclear	0.0381684243531166	0.169249505775853	-1	CACNA1B:341, CACNG4:525, CACNB2:636, CACNA1E:1655, CACNB4:1763, CACNA2D2:6991.5, CACNB1:6991.5, CACNA2D3:6991.5, CACNB3:6991.5, CACNA1A:13356
REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE	Herbivore	0.634191283331796	0.821428859834474	-1	SYT1:166, DNAJC5:364, SLC17A7:369, SLC32A1:439, SNAP25:990, SLC18A2:1264, SYN3:1726, TSPOAP1:6991.5, SYN1:6991.5, SLC6A13:6991.5, CHAT:6991.5, SLC1A3:6991.5, RIMS1:6991.5, SLC1A6:6991.5, STX1A:6991.5, APBA1:6991.5, SLC1A2:6991.5, GLS:6991.5, SLC5A7:6991.5, GAD1:6991.5, SLC6A11:6991.5, SLC38A2:6991.5, NAAA:6991.5, PPFIA2:6991.5, PPFIA4:6991.5, ARL6IP5:6991.5, LIN7C:6991.5, SLC6A1:6991.5, SYN2:6991.5, SLC1A7:6991.5, SLC22A1:6991.5, PPFIA3:6991.5, SLC18A3:6991.5, UNC13B:6991.5, SLC22A2:11896, GAD2:11932, MAOA:12353, ABAT:12705, ALDH5A1:13303, GLS2:14231, SLC1A1:14262, SLC6A12:14960
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	Both	4.97575666814402e-10	2.99042975755456e-07	-1	ADCY1:7, CAMK2B:8, PRKCG:10, GABRR1:17, KCNJ9:133, NBEA:139, CHRNA4:145, RPS6KA2:156, GRIK1:201, KCNJ12:220, TUBA4A:246, GRIK3:265, AP2A2:277, CAMK2D:299, GABRG3:367, KCNJ6:386, GABRB3:409, GRIN2B:441, CACNG4:525, GABBR1:597, GNB3:613, ADCY9:678, GRIN2A:715, TUBA1B:741, DLG3:797, GLRA3:819, GABRR3:833, GRIN1:837, KCNJ3:881, GNAT3:1047, GRIK2:1064, KCNJ5:1106, ADCY2:1221, CHRNA3:1287, ADCY8:1328, CAMKK2:1334, RPS6KA6:1371, GABRQ:1390, ACTN2:1401, TUBB2A:1438, DLG4:1465, NSF:1518, ADCY3:1523, GABRA5:1567, TUBA8:1597, PRKCA:1644, NPTN:1819, DLG2:1946, TUBB4A:1954, PRKAB2:1958, CHRNB2:1997, GNB5:2041, GABRG2:2090, GLRA2:2155, PRKAA1:2172, CHRNA5:2174, PRKAR1B:2217, GLRA1:2250, GABRA3:2293, RASGRF1:2440, KCNJ4:2467, GABRB2:2496, ARHGEF9:2549, MAPK3:6991.5, MAPT:6991.5, PRKAR2B:6991.5, PRKACA:6991.5, PICK1:6991.5, TUBB1:6991.5, PRKAR1A:6991.5, PRKAR2A:6991.5, TUBB2B:6991.5, PDPK1:6991.5, PRKACB:6991.5, TSPAN7:6991.5, PRKCB:6991.5, TUBA1A:6991.5, TUBAL3:6991.5, TUBB4B:6991.5, SRC:6991.5, CAMKK1:6991.5, CAMK2A:6991.5, ADCY7:6991.5, PLCB2:6991.5, GNAL:6991.5, CAMK2G:6991.5, PLCB3:6991.5, ADCY5:6991.5, ADCY6:6991.5, KPNA2:6991.5, PLCB1:6991.5, PRKX:6991.5, APBA1:6991.5, LIN7C:6991.5, GABRA1:6991.5, LRRC7:6991.5, DLG1:6991.5, EPB41L1:6991.5, GRIN2D:6991.5, GRIK5:6991.5, PRKAG2:6991.5, GIT1:6991.5, CHRNE:6991.5, GABRA4:6991.5, GLRB:6991.5, PRKAB1:6991.5, GABRR2:6991.5, RASGRF2:6991.5, KIF17:6991.5, RPS6KA1:6991.5, CHRNB4:6991.5, GRIA2:6991.5, CHRNA2:6991.5, KCNJ2:6991.5, GRIA3:6991.5, MDM2:6991.5, CHRND:6991.5, GABBR2:6991.5, CHRNA1:6991.5, CACNG8:6991.5, GABRA6:6991.5, CHRNB3:6991.5, HTR3B:6991.5, GABRA2:6991.5, GRIA4:6991.5, GRIA1:6991.5, GRIP1:6991.5, AP2M1:6991.5, GRIN2C:6991.5, PRKAA2:6991.5, GABRB1:6991.5, HTR3A:6991.5, CHRNA9:6991.5, PPM1E:6991.5, CHRNA7:6991.5, KCNJ10:6991.5, ERBB4:6991.5, PRKAG1:6991.5, CHRNG:6991.5, AP2A1:6991.5, GRIN3A:6991.5, NEFL:6991.5, PPM1F:11617, MYO6:11857, CAMK1:11890, TUBB8B:12045, KCNJ15:12317, TUBB8:12332, NCALD:12537, NRG1:12819, GRIN3B:12888, CAMK4:12996, HTR3D:13421, KCNJ16:13525, GRIP2:13561, ARHGEF7:14658, CHRNA6:14810, ADCY4:14927, HTR3C:14935
