,Rho,N,P,p.adj
CMC2,0.0693686343620114,217,0.00473530071304664,0.0232310276843509
SPNS1,0.00922651720131691,323,0.562700487107633,0.639483108229294
OGFOD1,0.0205740193835971,343,0.13398156305562,0.228627279983157
SNX29,0.014353714274178,319,0.334970007867371,0.437995227188022
HEXA,0.0305725558731954,317,0.0465435301541787,0.110605099803473
SPSB3,0.0616753301819343,295,0.00116261563505398,0.00893512505655205
NPW,0.0233003914366201,226,0.263299633091858,0.369408747935896
WWOX,0.013793264252738,292,0.404136063554268,0.501047599031455
SNUPN,0.0621520743384027,283,0.00152646995206113,0.0108034658892359
SCX,0.040104157400362,174,0.139200102648473,0.234715232380301
MDFIC2,0.0343901137522593,289,0.0420700392066207,0.103203410197295
CDIP1,0.0443277476337042,222,0.0439999772561072,0.106252789172695
INTS14,0.0191016065287107,266,0.281002344856367,0.387145656762986
TAF1C,0.0744720921686356,344,3.91023148473924e-05,0.000852837897344502
ABAT,0.0713282969660972,313,0.000178350065005243,0.00245024050108844
MACF1,0.0667664699379758,363,7.38639938760963e-05,0.00133729626608487
CTU2,0.0394717676951314,348,0.00832869780874178,0.0343748730193386
KCTD13,0.0207838645105864,247,0.2759150568536,0.382338711092369
ZNF747,0.0361582473210748,255,0.0566568157448421,0.126368931491862
METRN,0.0518457127198386,221,0.0223602829824978,0.0672181805662895
ASIP,0.00888830289407411,270,0.664262734667972,0.725232083032527
SYT16,0.0151231422313575,340,0.274538121933632,0.380815833931134
TMEM231,0.0433740122471422,239,0.0353242354947566,0.0914727754538621
EME2,0.0668718641653263,272,0.00116800588604251,0.00895372162184467
PDK3,0.0308565138013253,216,0.156531644224539,0.254843730161826
TBL3,0.0328628188218917,352,0.0211671656708848,0.0649186719222435
TUBB8,NA,NA,NA,NA
SQOR,0.0138301074807005,328,0.339894356579217,0.442309377938647
WFDC1,0.0414805083695558,266,0.0266502967579113,0.0753699798158156
ULK3,0.00553495792324443,320,0.778760238759566,0.817147918843237
FUS,0.0223053620001858,273,0.194195965299672,0.296966596713681
NUB1,0.0578704637512624,320,0.0010027778759712,0.0080671142902546
COX5A,0.0431614882457231,237,0.0374066824865214,0.0953188915604793
ADGRG1,0.0351074740530604,339,0.0183734798243117,0.0590297288816148
PHLPP2,0.0353879301322467,348,0.0153887233171098,0.0522232490682642
ZNF865,0.0593384544791751,249,0.00532814049163252,0.0251095701530312
HAS3,0.0412835557769094,247,0.037884173348168,0.096103749626366
CNOT1,0.0905990634470831,200,0.00121797930056425,0.00921494279056414
SERTM2,NA,NA,NA,NA
C15orf41,0.0325643753817829,241,0.0985772728747679,0.184875320992487
CLN3,0.0222038521987973,326,0.124892149341961,0.217752149783976
SCRT1,0.038818143143656,186,0.126609154336106,0.219982310929151
ANTKMT,0.0523754813347738,303,0.00327423961840734,0.0180556404277413
TMC7,0.00381591275170298,308,0.882770706384063,0.90253288894337
MRC1,0.0499853259943329,365,0.00113054171789586,0.00874212120595616
BOP1,0.0183577996897793,340,0.183081593805477,0.28448527685765
INSYN1,0.00387489705436439,297,0.886750155992227,0.905802602749007
C15orf65,0.0283397294383821,247,0.137398086028229,0.232770520968013
PARP6,NA,NA,NA,NA
NUP93,0.0210270216274463,304,0.173089720971457,0.273212734055387
CDYL2,0.0292361496267252,270,0.0966688176721754,0.182659948738385
OBSCN,0.0360701538777007,243,0.068242511973408,0.143402523417629
ZFP90,0.092815322994918,296,1.66504145665331e-05,0.00044691911057444
ANKFY1,0.0144876812503546,336,0.302675859044251,0.407688611283932
GPR139,0.0577111514423843,240,0.00798600073838674,0.0334139414570313
PRSS33,0.0189657060850905,235,0.349965497454173,0.452227558272472
ALOX15,0.0197726510321213,246,0.303649617733435,0.408671493915038
GCGR,0.0786038163063377,177,0.00784321594596635,0.0329717394650475
RSL1D1,0.0477493632704967,284,0.00902281236430325,0.0363201936812004
PDE6G,NA,NA,NA,NA
MMP12,0.00877766162714754,326,0.582763581679692,0.656905754636846
PCDHGA4,0.0253769729910101,263,0.155654902789898,0.253910059524467
MRTFB,0.00600834106138431,352,0.715732389509122,0.766108156412783
SLC43A2,0.0255548997102604,307,0.0984067233235367,0.184739378077855
RNF167,0.0242270561017556,297,0.127112544723483,0.220421052024313
TOM1L1,0.0358092483353572,344,0.0153691472442701,0.0521920725818825
OVCA2,0.0173366262662048,304,0.262309233011833,0.368335446554418
NLRP1,NA,NA,NA,NA
MYL4,0.121444590296551,217,2.841180783644e-05,0.000672204640350058
OR1R1P,0.0501587998689447,231,0.0211520668678392,0.0648900650392356
PIMREG,0.0411529255519166,271,0.0253413343742224,0.0729241233769073
MCRIP1,0.0276641961260562,228,0.17920624204577,0.280167766999149
CIC,0.0203273001734249,334,0.14861132834339,0.246013385955965
KANSL1,0.0153952543394738,335,0.273033791541442,0.379357635504847
DNAH2,0.0421177004483993,367,0.00391339514197351,0.0203867190406784
SRGAP2,0.0295061871744665,275,0.0885245054897947,0.171683544233264
SPATA22,0.037676576239041,312,0.0195811369447348,0.0615063182355352
ACTG1,NA,NA,NA,NA
MYMX,0.012239152395413,247,0.55601441547891,0.634064815118132
PCDHGA9,0.030799785914985,221,0.148212492468757,0.245525385125797
NUP88,0.0500506134847492,318,0.00320428128031273,0.0178044668091057
CTDNEP1,NA,NA,NA,NA
MIS12,0.0527167636048245,271,0.00658585147700493,0.0291755930658264
ACSM2A,0.00950866009579086,233,0.69792927904072,0.751357016449443
ZP2,0.0273033157822957,339,0.0556345697888674,0.124976688222987
SCIMP,0.0477722906636874,293,0.00745795836144958,0.0318230154205568
GGT6,0.0563144858572247,320,0.00125407009030854,0.00941239558318728
