"X","stat","pval","p.adj","num.genes","gene.vals","Directionality","DirectionalityNumeric"
"REACTOME_POLB_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR",-0.013349310460814,0.11,0.11,8,"LIG1:121, FEN1:1179, APEX1:6330.5, PARP2:6330.5, PARP1:6330.5, ADPRS:11784, POLB:13879, PARG:14169","Both",3
"REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY",-0.0938190310382268,0.11,0.11,24,"LIG1:121, POLD2:188, POLE:341, FEN1:1179, RPA1:1537, RFC1:6330.5, RFC2:6330.5, POLD1:6330.5, POLD3:6330.5, POLE2:6330.5, RFC5:6330.5, POLE4:6330.5, RPA2:6330.5, RFC3:6330.5, POLE3:6330.5, RFC4:6330.5, POLD4:6330.5, APEX1:6330.5, PARP2:6330.5, PARP1:6330.5, ADPRS:11784, RPA3:13571, POLB:13879, PARG:14169","Both",3
"REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA",0.10739012221101,0.292949358115723,0.66522379431064,8,"BID:312, PPP3CC:399, BAD:1457, AKT2:8774.5, AKT1:8774.5, BCL2:8774.5, SFN:8774.5, PPP3R1:8774.5","Vertivore",2
"REACTOME_ACTIVATION_OF_NOXA_AND_TRANSLOCATION_TO_MITOCHONDRIA",0.230261683290373,0.11074512018304,0.481685271472439,4,"E2F1:1054, TFDP2:1855, TP53:3731, TFDP1:8774.5","Unclear",0
"REACTOME_BH3_ONLY_PROTEINS_ASSOCIATE_WITH_AND_INACTIVATE_ANTI_APOPTOTIC_BCL_2_MEMBERS",0.136210762331839,0.212092288036182,0.58680610713327,7,"BID:312, BCL2L11:422, BAD:1457, BMF:8774.5, BBC3:8774.5, BCL2L1:8774.5, BCL2:8774.5","Vertivore",2
"REACTOME_RELEASE_OF_APOPTOTIC_FACTORS_FROM_THE_MITOCHONDRIA",0.130195023537323,0.313383711989448,0.676683631996376,5,"BAX:2439, BAK1:3241, DIABLO:3414, GSDMD:8774.5, GSDME:8774.5","Unclear",0
"REACTOME_FORMATION_OF_APOPTOSOME",-0.143212523825541,0.11,0.11,8,"UACA:510, XIAP:797, MAPK3:6330.5, APAF1:6330.5, CASP9:6330.5, APIP:6330.5, AVEN:6330.5, DIABLO:11691","Unclear",0
"REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE",-0.114144810580587,0.11,0.11,5,"XIAP:797, CASP7:1664, APAF1:6330.5, CASP9:6330.5, CASP3:14697","Unclear",0
"REACTOME_CYTOCHROME_C_MEDIATED_APOPTOTIC_RESPONSE",-0.107351127060671,0.11,0.11,10,"UACA:510, XIAP:797, CASP7:1664, MAPK3:6330.5, APAF1:6330.5, CASP9:6330.5, APIP:6330.5, AVEN:6330.5, DIABLO:11691, CASP3:14697","Unclear",0
"REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS",0.00101389353357861,0.982991547791313,0.995134059892048,37,"CASP3:408, PRKCD:533, PRKCQ:911, FNTA:1980, CLSPN:2496, DSG3:2795, GAS2:3033, ACIN1:3179, CDH1:3379, CASP6:3496, OCLN:3512, TJP2:4004, CASP8:4018, VIM:8774.5, ROCK1:8774.5, PKP1:8774.5, ADD1:8774.5, DSP:8774.5, STK24:8774.5, TJP1:8774.5, BIRC2:8774.5, LMNB1:8774.5, STK26:8774.5, DSG1:8774.5, APC:8774.5, GSN:8774.5, LMNA:8774.5, PTK2:8774.5, SATB1:8774.5, BCAP31:8774.5, MAPT:8774.5, SPTAN1:8774.5, CASP7:13441, BMX:13627, DBNL:14174, DSG2:14300, PLEC:15091","Both",3
