,Rho,N,P,p.adj
SLCO4C1,0.00354081753087797,345,0.269745404085751,0.67172508046268
CDC20,0.00104515964917754,260,0.602865037543779,0.870901103848733
DPY19L1,0.0108205506845292,305,0.0697264850483051,0.399019932582111
SFT2D3,0.0078351055452513,271,0.145816472038578,0.535759427533914
MRPL11,0.00253272802853324,265,0.413526097395398,0.773895527410434
NPAS4,0.012551128150895,312,0.0481884676659954,0.346608340489539
MOBP,0.000666413974976837,231,0.695424890924716,0.907234945996526
PCP2,0.00833703752690504,275,0.130685025978933,0.513631238645941
BOD1,7.1351683576637e-05,193,0.90682442339799,0.975236807223062
GPR151,0.000892059889872015,332,0.586861859542005,0.863802125391913
PCSK1,0.0116620257961243,326,0.0515547699124174,0.35564917242775
RPL38,0.0149157054125996,91,0.246608792983559,0.650337748653046
KMT2E,0.00371738463867385,353,0.25266290239526,0.655042336763968
SLC19A1,0.000602408479901322,267,0.688935047625507,0.905061447686826
HEG1,0.00210316727650294,345,0.395001655775243,0.762650031330719
DENND6A,0.00188912776341308,291,0.459198724513487,0.802708053770713
PPP2R1B,0.000699578339330336,295,0.650177804544144,0.890877412482647
ACOT1,NA,NA,NA,NA
TNS3,0.0130249128413138,329,0.0387413935995819,0.321953007469414
HOXB9,NA,NA,NA,NA
PDE12,0.0170037913731615,283,0.0285413105961858,0.287149176002064
B4GAT1,0.0108085728795858,212,0.131000435949764,0.513935251316936
KRT17,0.0180196092677833,305,0.0192577074068282,0.249163077339031
CD84,0.00835890274792543,302,0.112693998759466,0.48694424276007
INTS6,0.0157948670573622,272,0.0385540706499554,0.32180348400447
GPR162,0.00492497880102672,288,0.234481386017147,0.639686434114673
MAP9,0.00574886094717672,343,0.160861322336988,0.559234914146501
ABCC12,0.00353511271193029,296,0.307157649100359,0.702315768633544
TTC9B,5.11562496602177e-05,225,0.914751916720913,0.97734435721661
RIN1,0.00217462423565915,341,0.389862046208593,0.758151491739062
ZNF624,0.00475074962518756,231,0.295879846049643,0.694091312248091
HERPUD2,0.0044752999864148,283,0.26126632039372,0.664801588447532
LSM1,NA,NA,NA,NA
OR52W1,0.00275905287621319,294,0.368592976065629,0.742888377474498
RFESD,2.58830553033316e-05,273,0.933131291283436,0.981860470260081
WFIKKN2,0.000169091175619236,322,0.815779290979521,0.946637229922639
ZBTB4,0.00860223931849993,313,0.101367287341189,0.463358271718103
RNF26,0.0110693732286189,309,0.0648273112887054,0.389221425583995
ZMAT3,0.00313120321749763,272,0.356961139157194,0.735405821018948
CNIH2,0.000113189266035641,98,0.916548447695852,0.97734435721661
PLAC8L1,0.00192397428393941,302,0.446658927619761,0.793961529814401
COQ2,0.00628257732371672,277,0.18790196798783,0.58875690239106
RAB1B,NA,NA,NA,NA
HMGA1,NA,NA,NA,NA
