,Rho,N,P,p.adj
CCR7,-0.0770106772366383,121,0.30349683194224,0.511152559060615
NR1D1,-0.174852954456651,120,0.0199956132126623,0.0870716595383449
ARL2,0.111483959631507,66,0.274582653544136,0.481779336397583
RRAS,0.0407581421438965,91,0.637650695102279,0.789084034980772
PRRG2,-0.173985585604677,131,0.0155053171720495,0.0735946154769048
TSKS,0.0460983882594034,135,0.514949512649735,0.698212768219426
NOP53,-0.106264028416489,137,0.130471597895345,0.302622417330837
FLRT1,0.149337589570642,134,0.0355984949724306,0.126714870719534
SBDS,0.189061329193152,72,0.052662127178,0.165515501498855
MLX,0.200131324568194,125,0.00655638433703023,0.0408934617295943
WNK4,-0.424804393923629,165,3.07993347456225e-11,6.98352915832173e-08
TRAP1,-0.0862518667012384,157,0.188436677385057,0.382362396696854
SUGP1,-0.237711245912029,134,0.000822584183204209,0.00935918004001233
DDX49,-0.0793907847574785,146,0.243268286167341,0.44647944473266
GDF1,-0.0591522834968995,125,0.421673140993095,0.621775928450613
SDF2,0.166963217136937,91,0.0536855240985801,0.167636560789428
NSRP1,-0.265102194537723,154,6.25111845968821e-05,0.00147280840145846
ATG14,-0.260271970142667,122,0.000479146434587301,0.00637186128783541
DLGAP5,-0.359512329008122,162,2.5509836732649e-08,5.95429600912654e-06
L3HYPDH,-0.186484279241692,129,0.0100517397418219,0.0540268246468667
TBPL2,-0.158847707286398,148,0.0187311136256934,0.0835113020974736
SGPP1,-0.156871197336471,99,0.0584339139966602,0.177913501430077
PLEKHG3,-0.0627201092621427,156,0.340436796413302,0.54676188646731
EVI2A,-0.0528982728102948,141,0.444947788669566,0.640385325671737
OMG,0.0481937695439218,135,0.496030976963489,0.682709301627168
AIF1L,0.194868748134812,62,0.0644323636928325,0.189629237258045
CANX,0,129,1,1
PYCARD,0.14845499694137,132,0.0381554278034947,0.13245908794774
PHPT1,0.0458962605269287,86,0.60637502326002,0.765134678938928
TRAF2,0.185932902988152,132,0.00941619504916859,0.0519346261800915
ABHD8,-0.267414581937285,116,0.000470236917736401,0.00628249188410115
HELB,0.0480295221242553,166,0.451244952633077,0.645996201694976
YEATS4,NA,NA,NA,NA
TAS2R3,0.204779508427331,153,0.00205582289560117,0.0177868837135882
TAS2R4,0.163315780299736,145,0.0167564843675846,0.0773212055527492
TAS2R5,-0.0636841273613945,101,0.437669106699994,0.635096366935665
ZNF777,-0.0821243342257491,129,0.256977908109132,0.462593002989935
IDUA,-0.0425799318460241,145,0.532858896269964,0.712654627699549
ZNF317,-0.195741432131157,137,0.00534289349521497,0.0354228928805564
PIN1,-0.0971212214026373,60,0.364860456729834,0.570942045668533
FBXL12,0.309165351066047,111,7.7005938207478e-05,0.00171997029512104
KIF17,0.100627244509786,152,0.131177583498929,0.303451671272097
KLF2,-0.123015381951024,67,0.224383501344826,0.425904679902544
F2RL3,0.0204739704390986,151,0.75953028896691,0.869725470491508
JPT2,0.104653932947287,132,0.143879053731686,0.322139701062113
GFER,-0.215182673994555,114,0.0052821659798958,0.0351524270158936
SYNGR3,0.0639445456801302,100,0.438124165651576,0.635486256979024
WDR24,-0.10750910960373,152,0.106808198614758,0.266048293850196
MON1B,-0.0871213446283853,150,0.194240302291315,0.389795614359093
METTL25,-0.229805020717977,155,0.000498574184599557,0.00652380004778579
EIF3K,-0.0823455278505599,57,0.454354712680399,0.648459491022687
EMC6,0.0203520836957555,37,0.882677641268525,0.938947962486924
CACTIN,-0.250385826899669,138,0.000348339710779155,0.00513833446978322
TUBA4A,NA,NA,NA,NA
