"X","stat","pval","p.adj","num.genes","gene.vals","Driver","DriverNumeric"
"REACTOME_POLB_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR",-0.159280748962888,0.11,0.11,8,"LIG1:202, PARP1:808, PARP2:1569, APEX1:6821, ADPRS:6821, FEN1:6821, PARG:6821, POLB:12997","Unclear",0
"REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY",-0.0817116889438017,0.11,0.11,24,"LIG1:202, PARP1:808, RPA2:863, PARP2:1569, RFC1:6821, RFC2:6821, POLD1:6821, POLD3:6821, POLE2:6821, RPA3:6821, POLD2:6821, RFC5:6821, POLE4:6821, RPA1:6821, POLE3:6821, RFC4:6821, POLE:6821, APEX1:6821, ADPRS:6821, FEN1:6821, PARG:6821, POLD4:12367, RFC3:12801, POLB:12997","Unclear",0
"REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA",0.00292213252606799,0.977170452340384,0.995163755991891,8,"BID:135, BAD:8284, AKT2:8284, PPP3CC:8284, AKT1:8284, BCL2:8284, SFN:8284, PPP3R1:8284","Unclear",0
"REACTOME_ACTIVATION_OF_NOXA_AND_TRANSLOCATION_TO_MITOCHONDRIA",0.278255631514065,0.0539457825396862,0.356547005391071,4,"TFDP2:765, E2F1:1170, TP53:2391, TFDP1:8284","Unclear",0
"REACTOME_BH3_ONLY_PROTEINS_ASSOCIATE_WITH_AND_INACTIVATE_ANTI_APOPTOTIC_BCL_2_MEMBERS",0.135538116591928,0.214358092237945,0.620888095403438,7,"BID:135, BCL2L11:604, BCL2L1:3137, BAD:8284, BMF:8284, BBC3:8284, BCL2:8284","Unclear",0
"REACTOME_RELEASE_OF_APOPTOTIC_FACTORS_FROM_THE_MITOCHONDRIA",0.108394978704326,0.401277580492734,0.766891792718906,5,"BAX:1008, DIABLO:2504, BAK1:8284, GSDMD:8284, GSDME:8284","Unclear",0
"REACTOME_FORMATION_OF_APOPTOSOME",-0.0702713308666891,0.11,0.11,8,"UACA:358, XIAP:6821, MAPK3:6821, APAF1:6821, CASP9:6821, APIP:6821, AVEN:6821, DIABLO:12601","Unclear",0
"REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE",0.0293656130912352,0.820121572427212,0.942854106142592,5,"CASP3:1169, XIAP:8284, APAF1:8284, CASP9:8284, CASP7:8284","Unclear",0
"REACTOME_CYTOCHROME_C_MEDIATED_APOPTOTIC_RESPONSE",-0.0215711562184591,0.11,0.11,10,"UACA:358, XIAP:6821, MAPK3:6821, APAF1:6821, CASP9:6821, APIP:6821, CASP7:6821, AVEN:6821, DIABLO:12601, CASP3:13936","Unclear",0
"REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS",0.0667254431033959,0.160617734653596,0.557676877658461,37,"DSG3:27, LMNB1:422, CDH1:510, CASP3:1169, TJP2:1570, PTK2:1753, SATB1:1756, TJP1:1904, BCAP31:2093, ADD1:2493, PKP1:3167, GAS2:3366, PRKCD:3426, VIM:8284, DSG2:8284, CASP8:8284, PRKCQ:8284, ROCK1:8284, DSP:8284, ACIN1:8284, BMX:8284, STK24:8284, BIRC2:8284, STK26:8284, DSG1:8284, APC:8284, DBNL:8284, CASP6:8284, GSN:8284, LMNA:8284, CASP7:8284, FNTA:8284, MAPT:8284, SPTAN1:8284, OCLN:8284, PLEC:13699, CLSPN:13782","Insectivore",1
"REACTOME_SMAC_XIAP_REGULATED_APOPTOTIC_RESPONSE",0.0773642715689571,0.511695311050383,0.853547044734585,6,"CASP3:1169, DIABLO:2504, XIAP:8284, APAF1:8284, CASP9:8284, CASP7:8284","Unclear",0
"REACTOME_APOPTOTIC_FACTOR_MEDIATED_RESPONSE",-0.0314113174727865,0.11,0.11,16,"UACA:358, C1QBP:966, BAK1:6821, XIAP:6821, MAPK3:6821, GSDMD:6821, GSDME:6821, APAF1:6821, CASP9:6821, CDKN2A:6821, APIP:6821, CASP7:6821, AVEN:6821, DIABLO:12601, CASP3:13936, BAX:14097","Unclear",0
"REACTOME_OPIOID_SIGNALLING",0.0918299306767859,0.0157515566159087,0.222797645624,58,"CAMK2D:14, PRKCG:44, PRKX:115, CAMKK2:482, PLCB1:536, PRKAR2A:977, KPNA2:993, PRKACA:1725, GNB3:1730, ADCY9:1740, PLCB2:1798, PRKACB:1873, ADCY7:1964, PDE4D:2249, GNB5:2574, PPP2R5D:2585, PDE4C:2618, ITPR1:3161, ADCY1:3188, PLA2G4A:3201, PRKCD:3426, GNA14:3506, PPP3CC:8284, PPP3R1:8284, PRKAR2B:8284, GNA15:8284, ITPR3:8284, PRKAR1A:8284, PDE1A:8284, ITPR2:8284, PDE1B:8284, PPP2R1B:8284, PRKCA:8284, PRKAR1B:8284, GNAT3:8284, CAMKK1:8284, CAMK2B:8284, PDE4A:8284, CAMK2A:8284, ADCY2:8284, PDYN:8284, PLCB4:8284, OPRM1:8284, PPP1R1B:8284, ADCY3:8284, GNAL:8284, CAMK2G:8284, PLCB3:8284, CAMK4:8284, PDE1C:8284, ADCY8:8284, PPP1CA:8284, NBEA:8284, GRK2:8284, ADCY5:8284, ADCY6:8284, PDE4B:8284, ADCY4:13631","Both",3
"REACTOME_PKA_MEDIATED_PHOSPHORYLATION_OF_CREB",0.0962401795735129,0.169690695761149,0.564445373475878,17,"PRKX:115, PRKAR2A:977, PRKACA:1725, ADCY9:1740, PRKACB:1873, ADCY7:1964, ADCY1:3188, PRKAR2B:8284, PRKAR1A:8284, PRKAR1B:8284, ADCY2:8284, ADCY3:8284, ADCY8:8284, NBEA:8284, ADCY5:8284, ADCY6:8284, ADCY4:13631","Unclear",0
"REACTOME_CAMK_IV_MEDIATED_PHOSPHORYLATION_OF_CREB",0.131874369323915,0.196548293687096,0.595590879861907,8,"CAMK2D:14, CAMKK2:482, KPNA2:993, CAMKK1:8284, CAMK2B:8284, CAMK2A:8284, CAMK2G:8284, CAMK4:8284","Both",3
"REACTOME_CA_DEPENDENT_EVENTS",0.102549556732152,0.0416679886124978,0.317676576676208,33,"CAMK2D:14, PRKCG:44, PRKX:115, CAMKK2:482, PRKAR2A:977, KPNA2:993, PRKACA:1725, ADCY9:1740, PRKACB:1873, ADCY7:1964, ADCY1:3188, PLA2G4A:3201, PRKCD:3426, PRKAR2B:8284, PRKAR1A:8284, PDE1A:8284, PDE1B:8284, PRKCA:8284, PRKAR1B:8284, CAMKK1:8284, CAMK2B:8284, CAMK2A:8284, ADCY2:8284, ADCY3:8284, CAMK2G:8284, CAMK4:8284, PDE1C:8284, ADCY8:8284, NBEA:8284, GRK2:8284, ADCY5:8284, ADCY6:8284, ADCY4:13631","Both",3
"REACTOME_G_PROTEIN_MEDIATED_EVENTS",0.0970495225814375,0.0261214686653969,0.272280320887463,44,"CAMK2D:14, PRKCG:44, PRKX:115, CAMKK2:482, PLCB1:536, PRKAR2A:977, KPNA2:993, PRKACA:1725, ADCY9:1740, PLCB2:1798, PRKACB:1873, ADCY7:1964, ITPR1:3161, ADCY1:3188, PLA2G4A:3201, PRKCD:3426, GNA14:3506, PRKAR2B:8284, GNA15:8284, ITPR3:8284, PRKAR1A:8284, PDE1A:8284, ITPR2:8284, PDE1B:8284, PRKCA:8284, PRKAR1B:8284, GNAT3:8284, CAMKK1:8284, CAMK2B:8284, CAMK2A:8284, ADCY2:8284, PLCB4:8284, ADCY3:8284, GNAL:8284, CAMK2G:8284, PLCB3:8284, CAMK4:8284, PDE1C:8284, ADCY8:8284, NBEA:8284, GRK2:8284, ADCY5:8284, ADCY6:8284, ADCY4:13631","Both",3
"REACTOME_ELECTRIC_TRANSMISSION_ACROSS_GAP_JUNCTIONS",0.035283568706568,0.784689106141482,0.938737530305068,5,"PANX2:747, PANX1:8284, GJA10:8284, GJD2:8284, GJC1:8284","Unclear",0
