,Rho,N,P,p.adj
SPATA9,0.0138095635216838,117,0.856063708882969,0.950849542272911
SPATC1,0.131889001733601,127,0.0709062500109305,0.345779259141673
SPATC1L,0.150772567504691,113,0.0516973086570685,0.300490716036472
SPATS1,-0.0640016271511026,128,0.378896671311418,0.70976395694742
SPATS2,-0.0995005983264617,131,0.166304213736866,0.502957082549666
SPATS2L,0.021300412736373,125,0.772318275007696,0.922850306592079
SPC24,-0.0535296135992611,111,0.493644459856747,0.783717832812808
SPC25,-0.00608196868725844,112,0.937724176477939,0.979527725450146
SPCS1,-0.0194074169913194,60,0.856311460718777,0.950849542272911
SPCS2,0.0186242400836465,71,0.849691748460922,0.948467219560329
SPCS3,0.174538402631243,35,0.219064406611008,0.568167460961618
SPDEF,0.0562668840694535,105,0.484270641442059,0.778421423969189
SPDL1,-0.183476441779306,126,0.0123339156926483,0.158277038722759
SPDYA,-0.00839310011364977,109,0.915312564782501,0.972157202572727
SPDYC,-0.0386868719031362,41,0.767170313982703,0.920341525049001
SPDYE1,NA,NA,NA,NA
SPDYE11,-0.423911375998397,16,0.051086661103897,0.298291455910752
SPDYE13,-0.158113883008419,16,0.466854270822725,0.769944624759278
SPDYE14,-0.0624187783932359,22,0.731881235719949,0.90660768153237
SPDYE15,-0.234311674451602,21,0.209888893121195,0.558431399544533
SPDYE16,-0.27116307227332,18,0.182602377811364,0.525261557987407
SPDYE17,NA,NA,NA,NA
SPDYE2,NA,NA,NA,NA
SPDYE21,-0.0108147614087175,25,0.949266056872161,0.983682910211657
SPDYE2B,-0.0197449625919697,19,0.920344325445942,0.973543545505904
SPDYE3,0.052704627669473,16,0.80836515591451,0.935388273216827
SPDYE4,0.360041149911548,25,0.0341499763545555,0.249613250749598
SPDYE5,-0.126389478593921,39,0.346081860573087,0.683821853371161
SPDYE6,-0.123718290103829,37,0.369666665282469,0.702235775485504
SPDYE8,NA,NA,NA,NA
SPDYE9,-0.190492255604248,19,0.334663120692419,0.674540264318292
SPECC1,0.0695323923249289,137,0.32241055046872,0.666465318980062
SPECC1L,-0.100512908160425,123,0.17566632616443,0.515748918930188
SPEF1,0.0601473557789297,98,0.470390265613026,0.771911142277595
SPEF2,0.0292878825658545,135,0.679095283650216,0.882667606079567
SPEG,0.0603458183986133,140,0.385246676022047,0.713780175860088
SPEGNB,-0.335991046874227,88,0.000135290499812146,0.0154907622284908
SPEM1,0.21297595104264,123,0.00411193530304702,0.0929453968466829
SPEM2,0.274777042662344,121,0.000241243307187822,0.0216749608725977
SPEM3,0.0281405585551082,126,0.701118964214829,0.89101325866446
SPEN,-0.0242601635932636,147,0.720490982962229,0.90069766846846
SPESP1,-0.101433863139221,124,0.169981939704965,0.507863303704031
SPG11,-0.148462240565954,137,0.0346206197522508,0.251103127735714
SPG21,0.0587467585416045,64,0.570935835172989,0.826219477522506
SPG7,0.0547257400259895,125,0.45724442162388,0.763396727867165
