	Herbivore...Insectivore.Rho	Herbivore...Insectivore.P	Herbivore...Insectivore.p.adj	Herbivore...Omnivore.Rho	Herbivore...Omnivore.P	Herbivore...Omnivore.p.adj	Insectivore...Omnivore.Rho	Insectivore...Omnivore.P	Insectivore...Omnivore.p.adj	Herbivore...Vertivore.Rho	Herbivore...Vertivore.P	Herbivore...Vertivore.p.adj	Insectivore...Vertivore.Rho	Insectivore...Vertivore.P	Insectivore...Vertivore.p.adj	Omnivore...Vertivore.Rho	Omnivore...Vertivore.P	Omnivore...Vertivore.p.adj
COX15	0.109931359	1	1	0.288054122	1	1	0.155304452	1	1	0.20253105	1	1	0.115627682	1	1	0.006077739	1	1
MS4A12	-0.686900915	1	1	-0.149832173	1	1	0.578282317	1	1	0.105601738	1	1	0.572091392	1	1	0.201066283	1	1
XYLT2	-0.615274689	1	1	-0.110229733	1	1	0.533881476	1	1	-0.199320384	1	1	0.268261046	1	1	-0.125388832	1	1
SCTR	0.738963267	1	1	1.352551581	1	1	0.51399553	1	1	0.217075532	1	1	-0.350474489	1	1	-0.765870049	1	1
RALBP1	3.185883361	0.008658766	0.23969723	1.883414561	0.357865251	1	-1.525495485	0.762813353	1	-0.369529712	1	1	-2.716863152	0.039542311	1	-1.71692527	0.515956963	1
SYT13	1.501061423	0.800038053	1	2.470991827	0.080843339	1	0.802624869	1	1	1.810082621	0.421697854	1	0.739882271	1	1	0.218774791	1	1
SNAI2	0.971851135	1	1	1.556818422	0.717081613	1	0.582279595	1	1	0.41161705	1	1	-0.056089322	1	1	-0.332883752	1	1
SLC7A9	1.916687644	0.331665756	1	1.559096902	0.713840681	1	-0.524057065	1	1	1.286058285	1	1	-0.116430105	1	1	0.255758092	1	1
RTF2	1.222198378	1	1	1.426982185	0.921510179	1	0.089616063	1	1	0.544489397	1	1	-0.363679387	1	1	-0.446622389	1	1
RB1CC1	1.118875889	1	1	2.50028289	0.074456502	1	1.22504897	1	1	1.172112168	1	1	0.274890954	1	1	-0.67824053	1	1
AKAP11	-1.05338569	1	1	-0.913057864	1	1	0.236304103	1	1	-1.643384151	0.601820863	1	-0.773622885	1	1	-1.005303827	1	1
B4GALT7	0.239529211	1	1	0.455780749	1	1	0.167624162	1	1	-1.169117163	1	1	-1.305760289	1	1	-1.517602157	0.774688336	1
FAM13B	3.002377274	0.016072798	0.328141977	0.982954911	1	1	-2.210570138	0.162393711	1	1.830582543	0.402977257	1	-0.270802673	1	1	1.235628022	1	1
CHPF2	0.058392149	1	1	0.882662823	1	1	0.790619694	1	1	-1.472696194	0.844997839	1	-1.490678263	0.816275913	1	-2.144410695	0.191999964	1
MYOC	-0.561822285	1	1	0.606169685	1	1	1.120450053	1	1	-1.818300987	0.414108852	1	-1.331951965	1	1	-2.245439718	0.148439509	1
NSMAF	0.902389997	1	1	2.279965133	0.135658539	1	1.248324834	1	1	-0.711644219	1	1	-1.405194285	0.959781079	1	-2.463280596	0.082603276	1
OTC	0.815622529	1	1	1.614453893	0.63857406	1	0.73119443	1	1	0.616747845	1	1	0.000789957	1	1	-0.54183329	1	1
TTC17	0.38860384	1	1	0.826247247	1	1	0.385863674	1	1	0.597353856	1	1	0.329808726	1	1	0.085700554	1	1
