,Herbivore...Insectivore.Rho,Herbivore...Insectivore.P,Herbivore...Insectivore.p.adj,Herbivore...Omnivore.Rho,Herbivore...Omnivore.P,Herbivore...Omnivore.p.adj,Insectivore...Omnivore.Rho,Insectivore...Omnivore.P,Insectivore...Omnivore.p.adj,Herbivore...Vertivore.Rho,Herbivore...Vertivore.P,Herbivore...Vertivore.p.adj,Insectivore...Vertivore.Rho,Insectivore...Vertivore.P,Insectivore...Vertivore.p.adj,Omnivore...Vertivore.Rho,Omnivore...Vertivore.P,Omnivore...Vertivore.p.adj
PRRT2,0.711077208997958,1,1,-0.0778421388592539,1,1,-0.768232903556326,1,1,2.44272380839453,0.0874613288328571,0.679884668394994,1.76332983089927,0.467069261151506,1,2.47158731121834,0.0807088196446278,0.951615986724865
SYN3,-1.54287940083355,0.737160238014957,1,-0.214046223066627,1,1,1.35516083304292,1,1,-0.243598587861378,1,1,0.963586830288942,1,1,-0.0830789320710504,1,1
PBLD,4.69569039898481,1.59424641017047e-05,0.00196644168418038,3.29361800918884,0.00593440879830569,0.345198796840907,-1.75443100007971,0.476140100184113,1,4.789353696463,1.00391601805566e-05,0.002860971233342,0.809184879627819,1,1,2.33477383731576,0.117331431784223,1
ACADSB,3.85927236371783,0.000682350807427679,0.0263603809365603,2.94610228988775,0.0193083576128816,0.589715196662759,-1.21330208187627,1,1,1.87762836644831,0.362592134392358,1,-1.17967909715139,1,1,-0.268404928577124,1,1
FAM76B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FAM3D,0.715666197405262,1,1,1.73068578050022,0.501046936485226,1,0.882698738706865,1,1,0.459390903266334,1,1,-0.109956511027049,1,1,-0.820954096903988,1,1
GTPBP3,2.37962239677222,0.103982319410788,0.622040766217805,0.565572843443876,1,1,-1.85093411463657,0.385074193002407,1,1.68489376313881,0.552054420630656,1,-0.281921537740708,1,1,1.24639637013592,1,1
STIP1,-0.82483228037343,1,1,1.55826899459648,0.715016973741756,1,2.27539222424352,0.137294468504153,0.823498944873378,1.48024939027733,0.832840224081365,1,2.06156658533469,0.235494108306493,1,0.291071989430828,1,1
MANEA,1.50642757804135,0.791744673402771,1,1.7141482761388,0.519008984907588,1,0.0950732735755242,1,1,1.84733968827903,0.388187545722277,1,0.612716172403985,1,1,0.559119301642144,1,1
CCL20,-1.87009300999564,0.368825417988645,1,-0.603976112906809,1,1,1.33532200987328,1,1,1.70390577538738,0.530392151267526,1,3.00152804563561,0.016117697591783,0.367182057958205,2.13405930375289,0.197027559836945,1
CNDP1,-1.23031221431068,1,1,1.03399541008181,1,1,2.12179398379133,0.203130252507858,1,1.94007165827811,0.314225890988747,1,2.73942601020823,0.036927939772006,0.54937136506595,1.18370209272716,1,1
CAMSAP2,-0.546109641020972,1,1,1.2615699460413,1,1,1.6840144878086,0.553073213154807,1,0.57238663619988,1,1,0.963040531744554,1,1,-0.3646839948567,1,1
PRDM10,-1.74012685398925,0.491020475113119,1,2.30246229222692,0.127854693356922,1,3.84899873725112,0.000711609712574336,0.0299411273215469,-0.476884010703262,1,1,0.868254012760578,1,1,-2.17065492640455,0.179743600620487,1
REV3L,2.65357132755249,0.047786961441337,0.394653937983267,0.690855155793382,1,1,-2.04906944363639,0.242731949484811,1,1.68872112488575,0.547637312145118,1,-0.529680933941762,1,1,1.17031358652103,1,1
GK2,-1.75224941728027,0.478385577816381,1,-2.56921835791257,0.0611569249986219,0.994376051780606,-0.564468562302324,1,1,-0.402267078111405,1,1,0.935750069555865,1,1,1.43690224844146,0.904474625810904,1
TMC2,1.91482448940743,0.33308934140209,1,-0.174545807814121,1,1,-2.07419614555541,0.228366588401659,1,0.399066292151764,1,1,-1.15515601560012,1,1,0.53272512349293,1,1
TMEM126B,2.62461721706722,0.0520478569231688,0.417389376260726,-2.01726120861783,0.262009568995493,1,-4.4073647005379,6.27815529265693e-05,0.00680224739120843,0.966951820435459,1,1,-1.09682879975301,1,1,2.40409505536314,0.097275342220896,1
FAM114A1,0.347267307162579,1,1,-1.30579719940162,1,1,-1.52675399792045,0.760933167176432,1,-0.354432035080701,1,1,-0.605185976393189,1,1,0.628884114878192,1,1
TFEB,0.270474119614955,1,1,0.277866027145164,1,1,-0.0139775021939928,1,1,0.87603883295717,1,1,0.641104435728881,1,1,0.679428259641818,1,1
DUS2,1.25451171784256,1,1,0.159407439920642,1,1,-1.11702365263963,1,1,1.16562116560701,1,1,0.158991457030242,1,1,1.0555435972422,1,1
FHAD1,0.713372801674437,1,1,-1.44264474101069,0.894723438097534,1,-2.00974280918069,0.266750499448543,1,-0.193872764684909,1,1,-0.73632947327786,1,1,0.887187410470181,1,1
VCP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PELI1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EDC4,-0.408697291505585,1,1,0.0497553750028798,1,1,0.453208969455505,1,1,0.113498760854299,1,1,0.414662930875776,1,1,0.0775680104006114,1,1
MARCHF5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RAB3GAP2,-1.41748326679139,0.938050099392318,1,0.670588182581396,1,1,2.0115945666074,0.265576155777577,1,-1.38222122460614,1,1,-0.185817774013386,1,1,-1.88033301725647,0.360376236965205,1
GGPS1,-2.20064762069105,0.166565877520055,0.830904088487594,-0.0828871215408955,1,1,2.06525133858278,0.233395351338223,1,0.848776727316154,1,1,2.37745064588261,0.104596654190258,0.882585399379699,0.894784118838336,1,1
TGFBR2,-2.05270916207134,0.240604757600685,1,-0.539563317169837,1,1,1.52709741164927,0.760420742874831,1,1.01389384398449,1,1,2.47265691522482,0.0804676939720762,0.778593241354413,1.38373703642769,0.998633931791111,1
MAP3K5,-1.80270541982193,0.428606943357461,1,0.527358411856863,1,1,2.28943760726559,0.132323635047679,0.806524899860878,0.246320003001446,1,1,1.61697991369822,0.635295700578034,1,-0.140902475372605,1,1
AP2A1,0.159305101094839,1,1,-0.233881181075697,1,1,-0.362360691177722,1,1,1.54816407351759,0.729496792438085,1,1.36198324763538,1,1,1.66199904483077,0.579077795994878,1
