,Rho,N,P,p.adj
EFHD1,0.0227011116261869,232,0.15478056838083,0.292867403907358
DNAJC10,0.0311055744100047,325,0.0179129198567122,0.0750553826451144
TUBB4A,0.0782801680746209,96,0.0592096210720418,0.160666267976367
MCOLN1,0.0343794883453784,303,0.0155787684688271,0.0685161992574716
GPR108,0.0212084685932087,305,0.091761190589238,0.210518345056264
DGUOK,0.00263332912394063,307,0.848079561122435,0.889010300648813
LOXL3,0.0303587215694849,322,0.0208614353411998,0.0827282701047054
HAT1,0.0666088101520125,207,0.00330995682333966,0.0254831952382917
ATF2,0.0248289703969455,222,0.139406058919571,0.274612483043834
LAMC2,0.0153906873794609,361,0.136227562092072,0.270645445929337
OSGEPL1,0.0338378380228564,331,0.0108588564339972,0.0540794679972065
MCM6,0.0105568233014514,284,0.393543908639108,0.535394104295572
CCNT2,0.0127203088095773,304,0.277638285973389,0.42674028056741
RAB3GAP1,0.00695933035669256,321,0.526652604779207,0.647196850938435
ZRANB3,0.0102418866393054,352,0.308660600967742,0.457853125563955
DARS1,0.0313805201432348,261,0.0428386933327666,0.130459367498274
LCT,0.0818476618025739,343,3.6462821870002e-06,0.0002686687435836
AGPS,0.0328304158549398,301,0.0198931435579506,0.0802851121508225
ORC4,0.0135252073404992,309,0.244112002384274,0.390785997865715
KYNU,0.0290588316683559,331,0.0223989214174295,0.0866416665839367
ARID4B,0.0106699941626521,337,0.309889231587678,0.459118565234905
NID1,0.0139569079232488,355,0.176187833631184,0.318453658848753
CYTIP,0.00466361303673435,328,0.676512143170716,0.762022067307507
MUL1,0.00688091913431303,289,0.576212630901833,0.685491989428383
NMU,0.00691496608517479,312,0.541753147025349,0.658818234104975
PPAT,0.0294507751558017,283,0.0401092680430514,0.124655940879341
SRD5A3,0.0256334840055985,313,0.0460603599428392,0.136995656408662
NOA1,0.0663180460041817,338,5.51794455889152e-05,0.00170468816705019
UPK1B,0.0220857327178864,279,0.105001700913921,0.229264338292103
ARHGAP31,0.0383390096708166,353,0.00367915309972208,0.0274352455350279
CD80,0.05220166308979,262,0.0034632800984754,0.026301078877562
