	Herbivore...Insectivore.Rho	Herbivore...Insectivore.P	Herbivore...Insectivore.p.adj														
GATA5	-1.219765575	1	1														
RBBP8NL	1.223298947	1	1														
LAMA5	-1.446089442	0.8889127	1														
PRDM12	-0.191877919	1	1														
TRIM28	-1.386390716	0.993765778	1														
YIPF2	-1.008093371	1	1														
ZC3H4	0.55706831	1	1														
MAP3K10	-0.737866435	1	1														
SESN2	-0.293489987	1	1														
HIP1R	-1.053629417	1	1														
PPAN	1.708915875	0.5247992	1														
EIF3G	0.35640569	1	1														
ANGPTL6	2.534857993	0.067495751	0.66627201														
SLC7A10	1.638704119	0.607649375	1														
LRP3	0.110235212	1	1														
C12orf65	1.184426942	1	1														
GRWD1	0.879284916	1	1														
NOL11	1.367862012	1	1														
SLC35D2	2.592860275	0.057108859	0.616814426														
BPIFB1	6.559790363	3.23E-10	4.12E-06														
ACSS2	-0.006739665	1	1														
C1QL1	-0.016112197	1	1														
CCL25	0.965699324	1	1														
COX4I1	-0.10691925	1	1														
GSE1	0.71065931	1	1														
F12	1.157673339	1	1														
ABCB7	-0.697218076	1	1														
HAUS8	1.782546747	0.447960691	1														
ADGRE3	1.389520367	0.988047432	1														
CAPN7	0.702072001	1	1														
C3orf20	1.422799903	0.928765018	1														
RBSN	1.641147232	0.604601138	1														
PDLIM4	1.712229168	0.521126665	1														
PSMC3IP	1.102298448	1	1														
VPS25	-0.43921765	1	1														
AOC2	1.388503131	0.989903352	1														
G6PC	0.477432283	1	1														
PCDHAC1	1.309169139	1	1														
PCDHGA3	-0.082052552	1	1														
NDFIP1	-0.376809692	1	1														
EXOC4	-1.874554486	0.365124238	1														
FLYWCH1	1.899611081	0.344905062	1														
WDR44	0.712927731	1	1														
CKMT2	-1.588083803	0.673604343	1														
TNS4	1.53609028	0.747097439	1														
PPP1R1B	-0.885421682	1	1														
FMO5	0.879448584	1	1														
CHSY1	-0.220853134	1	1														
SNRPA1	-1.405456968	0.959312622	1														
NR0B2	-0.592136666	1	1														
RHPN2	1.870956345	0.368106793	1														
ZSWIM4	1.977953559	0.287603676	1														
RFX1	1.445312184	0.890221302	1														
DCAF15	0.488154731	1	1														
TRIM21	0.881670866	1	1														
WDR7	-0.489678532	1	1														
SMARCC1	1.570404253	0.697926562	1														
SLC6A11	0.210875459	1	1														
NUP210	-0.770327921	1	1														
HSD17B7	-0.95276942	1	1														
EMILIN2	3.48891865	0.002909872	0.138262366														
DNHD1	1.810898456	0.42093943	1														
RRP8	2.73842616	0.037040413	0.49480161														
EFR3A	-0.753705208	1	1														
OC90	-0.238022474	1	1														
PTCD3	4.135990232	0.000212056	0.036490883														
PER2	-2.133233647	0.197433385	1														
RAMP1	0.102044554	1	1														
PTPRE	-3.140296781	0.010126606	0.256876882														
RPA1	1.109068679	1	1														
SERPINF1	2.434887506	0.08937852	0.767461955														
EEFSEC	1.152588259	1	1														
COQ3	-0.745317149	1	1														
LANCL2	0.740846364	1	1														
GRSF1	2.044944867	0.245161764	1														
JCHAIN	1.025047485	1	1														
UTP3	1.364801772	1	1														
TRIM47	-0.562182513	1	1														
KDM6B	-0.05891588	1	1														
GUCY2D	-0.628535117	1	1														
RIDA	0.57328896	1	1														
MATN2	0.07852888	1	1														
BRD8	1.960777919	0.29942961	1														
ERAL1	3.35628575	0.004739814	0.177916349														
NIP7	-1.131205713	1	1														
TERF2	1.191105107	1	1														
JAG1	-0.217853158	1	1														
HSPA12B	0.760256006	1	1														
NXT1	0.208451556	1	1														
RIN2	0.523087866	1	1														
HAPLN2	-0.675210944	1	1														
APCS	0.432454504	1	1														
IGHMBP2	-1.149141966	1	1														
TESMIN	-1.932154483	0.320042648	1														
DPH2	0.219933238	1	1														
ZSWIM3	0.738048733	1	1														
OSER1	-0.312048278	1	1														
SERINC3	0.324122711	1	1														
DMGDH	3.004490536	0.015961562	0.32782989														
BHMT2	0.635143563	1	1														
AP3B1	2.246114101	0.148180202	0.99444253														
SYT4	1.999568738	0.273281115	1														
NMUR2	0.301025937	1	1														
PDE6A	0.781598774	1	1														
ATP8A2	0.192531569	1	1														
USPL1	1.554670624	0.720147206	1														
RNF17	1.499057108	0.803152905	1														
MYH4	-1.060390236	1	1														
PEMT	0.794295537	1	1														
SCO1	1.847461237	0.388081927	1														
CHI3L1	-1.122956888	1	1														
MYBPH	-0.836781586	1	1														
CCNA1	-0.419116003	1	1														
RNF128	-0.097236898	1	1														
KMT5C	-0.138462462	1	1														
PDE6B	-3.0418934	0.014105708	0.307046304														
CEP20	2.651543808	0.048074831	0.566837866														
MED10	-1.874487455	0.365179618	1														
CCDC134	0.537187062	1	1														
SEC14L4	0.738936377	1	1														
PI4KA	0.067648425	1	1														
MKRN1	-0.149870368	1	1														
NTS	0.966874637	1	1														
BTG1	-0.019568346	1	1														
IPO8	0.56534796	1	1														
CCDC59	2.083724799	0.223111243	1														
LYVE1	2.103478353	0.212543853	1														
RRAS2	-1.537139213	0.745555333	1														
SARAF	1.829900706	0.403588728	1														
RNF122	-0.487099439	1	1														
DGLUCY	0.501217025	1	1														
CATSPERB	1.616026146	0.636531963	1														
VRTN	2.648405353	0.048523495	0.568443589														
EIF2S1	-0.145048134	1	1														
ADAMDEC1	3.354358794	0.004772949	0.178236735														
CCNB1	-0.05063182	1	1														
CD180	1.328844592	1	1														
IRAK2	1.841779828	0.393044172	1														
VHL	1.079354806	1	1														
BHLHE40	-0.904442105	1	1														
EDEM1	0.154709369	1	1														
CHL1	-1.241446488	1	1														
DPH6	-0.120217396	1	1														
KATNBL1	-0.525650352	1	1														
TSHB	1.331794853	1	1														
SORT1	-0.192070149	1	1														
NOTCH2	-1.301716316	1	1														
TRIM45	-0.700762899	1	1														
SLC38A2	1.419903375	0.93381488	1														
KIDINS220	1.709451105	0.524204528	1														
CMPK2	-0.031572266	1	1														
ERN2	0.394686222	1	1														
NARS1	4.201258248	0.000159261	0.032105125														
RELCH	0.688363281	1	1														
HRH4	0.576934443	1	1														
CABLES1	2.425361847	0.091758811	0.777416303														
EMP1	2.293369911	0.130960305	0.942689242														
RERG	-0.471535738	1	1														
SLCO1B1	2.35915859	0.109898557	0.859084241														
SPX	1.193573163	1	1														
MYBPC3	1.570753118	0.697440034	1														
DDB2	1.24965315	1	1														
FOLH1	3.121461095	0.010797361	0.264603853														
RAB33A	2.218182788	0.159254231	1														
MTNR1B	-1.447134356	0.887155785	1														
PHC2	0.299774207	1	1														
TUT4	3.073140776	0.012709112	0.287774151														
DSG3	-1.925438308	0.325047282	1														
DSG1	0.065530153	1	1														
DSC1	-0.661315685	1	1														
DAGLA	-1.792603771	0.438217818	1														
TIMM10	-0.050996623	1	1														
AHNAK	0.518446387	1	1														
CBLIF	2.816862395	0.029097179	0.43545206														
TCN1	2.580423224	0.059207577	0.627245667														
CEP135	0.913278536	1	1														
PDGFRA	0.607847263	1	1														
CARS2	1.996383605	0.275353104	1														
ADAMTS8	0.421233936	1	1														
KLB	1.375803834	1	1														
SEMA6A	0.799039516	1	1														
APC	1.451613224	0.879655078	1														
ANXA1	-0.919246111	1	1														
CCNJL	1.942221435	0.312661796	1														
USP30	-0.449948617	1	1														
SDS	2.9213096	0.020913795	0.377005595														
MSI1	-2.191184685	0.170630583	1														
TBX3	1.323814219	1	1														
OASL	0.162266344	1	1														
HRK	0.499808833	1	1														
DTX1	-0.457278914	1	1														
TRAFD1	1.802412724	0.428882968	1														
GSAP	2.136775682	0.195697446	1														
OCM2	-0.045589974	1	1														
TMEM60	-0.222250256	1	1														
PNPLA8	0.52141708	1	1														
RINT1	0.154688338	1	1														
NT5E	-1.394749106	0.978549066	1														
MRAP2	-0.085927268	1	1														
AKIRIN2	-0.463906006	1	1														
ORC3	1.637068148	0.609697387	1														
NAT10	-0.130537891	1	1														
PRRG4	1.644387471	0.600577148	1														
AVIL	1.239344927	1	1														
AMHR2	1.710210897	0.523361288	1														
GDF11	-2.064985653	0.233546147	1														
FAM186B	2.808224525	0.029889289	0.442055991														
RDH5	1.140398764	1	1														
KRT85	-0.813857062	1	1														
PPP1R1A	2.730405886	0.037953835	0.501197731														
TFCP2	0.900267623	1	1														
ESPL1	3.40928389	0.00390802	0.163476627														
KRT84	0.102802204	1	1														
KRT82	-0.168860903	1	1														
KCNH3	-0.532881438	1	1														
TAAR5	1.110080238	1	1														
NMBR	0.111685927	1	1														
SMPD2	1.716315941	0.516625394	1														
HTRA2	-0.87894205	1	1														
CCT7	0.528216063	1	1														
KCNMB4	-0.561287634	1	1														
MDM2	0.18255836	1	1														
BCO1	-1.668807299	0.570933454	1														
KIAA0513	0.904143821	1	1														
FBXL8	0.864906228	1	1														
FHOD1	2.220709017	0.158224058	1														
CCDC102A	1.1194399	1	1														
PCNX2	1.623980179	0.626280233	1														
URB2	0.197782579	1	1														
LAMC1	-0.537457833	1	1														
MRPL44	-1.69131662	0.544658084	1														
CHRND	-0.406369366	1	1														
USP37	1.955195959	0.303359672	1														
HTR2B	1.389627296	0.987852495	1														
TMBIM1	-1.05257319	1	1														
CYP27A1	2.798348294	0.030818815	0.451088268														
EIF4E2	0.158170061	1	1														
CAB39	0.429505083	1	1														
COX5B	1.226848443	1	1														
REV1	1.663985342	0.576692152	1														
MFSD9	-0.012861961	1	1														
TMEM127	-0.305630761	1	1														
MRPS9	3.470729018	0.003114285	0.143143135														
GPR45	-1.39271559	0.982234873	1														
C2orf49	1.004349863	1	1														
ALDH1L2	2.040360844	0.247886393	1														
USP44	2.383327026	0.102941672	0.827040537														
PLXNC1	-2.252208649	0.145854538	0.986357776														
SLC41A2	2.53585768	0.067303387	0.665643309														
CKAP2	1.853863527	0.382552123	1														
THSD1	0.821454807	1	1														
NUDT15	1.216321055	1	1														
CHST12	-0.354780426	1	1														
NUP42	0.527023547	1	1														
DDX56	-2.70175265	0.041385033	0.526997004														
HUS1	0.665315461	1	1														
MYO1G	-0.58420015	1	1														
TTYH3	-2.421401692	0.092764694	0.781260322														
CIDEB	-0.898734071	1	1														
TTC5	1.057484396	1	1														
NKX2-8	2.23937362	0.150789698	1														
ACSBG1	-0.308791989	1	1														
MTHFS	-0.33382317	1	1														
IREB2	-1.88263884	0.358495974	1														
ALPK3	-0.274377559	1	1														
CIB2	-1.777071254	0.453339102	1														
RSAD1	0.150843899	1	1														
CHAD	-0.59459464	1	1														
TACO1	0.583006162	1	1														
TEX2	0.215655469	1	1														
BRIP1	2.650997261	0.048152695	0.567230733														
KAT7	-1.712136621	0.521228964	1														
NDUFB5	2.848870171	0.026324868	0.409305094														
MARCHF7	1.642997399	0.602300829	1														
CD302	1.679424188	0.558416416	1														
GALNT5	3.443309478	0.003447848	0.152576148														
TANK	1.061087149	1	1														
BLK	0.43599349	1	1														
SKIL	0.916516123	1	1														
KCTD3	-0.520581556	1	1														
CBWD2	1.786451382	0.444157215	1														
IL36G	-1.691492088	0.544457146	1														
CCDC115	-0.586457501	1	1														
HS6ST1	-1.309630142	1	1														
UGGT1	-0.06638476	1	1														
GAD2	0.667288663	1	1														
ECPAS	1.868890859	0.369828002	1														
TOR1B	0.845428232	1	1														
OR1J1	0.602036124	1	1														
OR13C9	1.035266022	1	1														
DAB2IP	-1.376028403	1	1														
SLC31A2	0.854751683	1	1														
ORM1	-0.289111754	1	1														
STX17	-0.928320219	1	1														
ENPP2	1.842256633	0.39262572	1														
DERL1	-0.812239164	1	1														
CCN3	0.865377601	1	1														
RANBP6	-0.568187499	1	1														
CCL21	0.021521197	1	1														
CCL27	-1.969556511	0.29333532	1														
HINT2	1.109132177	1	1														
KLC4	-1.797730323	0.433318523	1														
TTBK1	1.991112249	0.278811289	1														
TINAG	2.919447192	0.021039168	0.377360719														
GCM1	1.395284123	0.977581068	1														
RIPK1	-0.618110562	1	1														
PSORS1C2	-0.431719969	1	1														
MRPS18B	1.189845976	1	1														
IER3	2.22270397	0.157414608	1														
PGBD1	-3.035411437	0.014412465	0.311601255														
POU5F1	1.705668925	0.528418431	1														
CLPS	3.22696382	0.007506677	0.220266128														
RNF144B	1.435132827	0.907495504	1														
NRM	0.846750379	1	1														
FAM8A1	2.51259932	0.071907219	0.689317252														
LRRC32	-0.539814187	1	1														
MRPL15	-0.535492163	1	1														
TTPA	-0.107660454	1	1														
GGH	0.885402169	1	1														
SLCO5A1	1.893709043	0.349581842	1														
TGS1	2.178542186	0.17619417	1														
USP2	-2.963891395	0.018226529	0.351647043														
HTR3B	0.809394401	1	1														
SORL1	-1.012884978	1	1														
MMP7	1.798982644	0.432128557	1														
MMP20	2.854852491	0.025834093	0.407718349														
MMP27	2.13535139	0.196393909	1														
DCUN1D5	0.52509248	1	1														
FDXACB1	2.451648827	0.08532202	0.74914902														
FDX1	1.243172713	1	1														
MMP13	0.566809463	1	1														
UNC13C	2.284264629	0.1341359	0.950532461														
THBS1	1.357715583	1	1														
NDUFAF1	2.341726705	0.115168587	0.879459549														
KIF23	0.526232532	1	1														
HAUS2	2.245441842	0.148438691	0.99444253														
RPLP1	0.554513899	1	1														
RMDN3	-0.327977293	1	1														
ITPKA	0.45317709	1	1														
PLCB2	0.914822776	1	1														
TMEM62	1.809817941	0.421944149	1														
ADAM10	0.268153702	1	1														
GCHFR	0.190378811	1	1														
MNS1	2.144864157	0.191782259	1														
TTLL7	2.000987533	0.2723624	1														
KYAT3	2.619205663	0.052880876	0.591080082														
ARHGAP29	2.939205835	0.019743268	0.366861671														
RTCA	-0.713176565	1	1														
IFT172	-1.914525542	0.333318232	1														
SELENOI	-1.397051914	0.974387762	1														
CGREF1	1.269623266	1	1														
KHK	0.65587077	1	1														
DYNC2LI1	0.316144734	1	1														
PREB	0.610114023	1	1														
SLC3A1	1.231233647	1	1														
LRPPRC	2.670683336	0.045418213	0.552921147														
LOXL4	-0.195273188	1	1														
BTBD16	-1.654642645	0.587982046	1														
KIF11	2.123382962	0.202330643	1														
ARL3	-0.112940869	1	1														
EXOC6	1.77856605	0.451865605	1														
DBR1	1.426426754	0.922471174	1														
TOPBP1	1.486072897	0.823559042	1														
DNAJC13	-1.318758233	1	1														
GPR87	1.863310922	0.374511207	1														
BARD1	1.635262874	0.611963716	1														
ASNSD1	1.409766037	0.951652669	1														
SSB	1.761917524	0.468499401	1														
PPIG	-1.042938527	1	1														
CHRNA1	-1.469590409	0.850036316	1														
WDR12	1.5849188	0.677908707	1														
ITGAV	0.576927442	1	1														
SLC40A1	0.477509261	1	1														
COL8A1	-0.312626894	1	1														
SLC49A4	-0.044307964	1	1														
CCDC54	0.32700228	1	1														
EPYC	0.55816059	1	1														
TRHDE	-0.000879811	1	1														
OSBPL8	-0.299350712	1	1														
GYS2	1.755096811	0.475456498	1														
ABCC9	1.497691785	0.805280083	1														
SYT1	-2.566325525	0.061669391	0.64053673														
ACSS3	3.988984161	0.000398141	0.049686285														
PPP1R12A	0.507275089	1	1														
HAL	0.996495716	1	1														
CDK17	-0.058170105	1	1														
TMCC3	-0.95842724	1	1														
IRAK3	2.694674292	0.04227448	0.533511188														
RXYLT1	3.300767102	0.005785253	0.197243897														
TRMT5	3.009999111	0.015674907	0.324032904														
C12orf4	1.289342531	1	1														
RAB21	-0.536273111	1	1														
FAM189A1	-1.772042546	0.45832497	1														
LIPG	1.29713819	1	1														
TGDS	1.325848175	1	1														
PSMC1	0.428286239	1	1														
GALC	3.545191893	0.002353964	0.122603241														
PPWD1	-0.459896123	1	1														
PEBP1	0.842930855	1	1														
MOCOS	2.136823485	0.195674107	1														
SNCAIP	0.739011748	1	1														
SNX24	0.846266477	1	1														
REXO5	-0.050910748	1	1														
XYLT1	-0.402817398	1	1														
DNAH3	0.253654612	1	1														
NUP133	0.34054815	1	1														
NUAK1	1.281707414	1	1														
VWF	0.572204343	1	1														
LPCAT3	2.849813639	0.026246911	0.409117577														
HEXB	2.903808204	0.022119235	0.383741612														
N4BP2	0.78760922	1	1														
TBC1D1	0.085274708	1	1														
RSBN1	0.395820541	1	1														
CASQ2	-1.251782837	1	1														
MAN2A1	4.575039583	2.86E-05	0.019146439														
EPB41L4A	3.422699937	0.003720149	0.158733179														
MSMO1	1.303520271	1	1														
ICE2	1.951026211	0.306323567	1														
GPATCH2L	-0.286182803	1	1														
POMT2	1.45402309	0.875639427	1														
TMEM260	1.882128303	0.358911584	1														
IPO5	0.700091109	1	1														
PALB2	1.122138559	1	1														
KIAA0556	1.217877621	1	1														
DSG2	0.524446154	1	1														
NOL4	-0.367877176	1	1														
LPIN2	-0.194139226	1	1														
NDC80	0.967263497	1	1														
HERC2	-2.835745419	0.027431324	0.420856002														
SLC7A5	0.186313105	1	1														
CYBA	-0.536620994	1	1														
UTP20	2.575923353	0.059983683	0.631266294														
COX10	2.208854648	0.163108515	1														
TTC19	1.451480694	0.879876325	1														
TNFRSF13B	1.823845339	0.409052744	1														
BFAR	1.824341785	0.408602502	1														
KPNA3	-1.57475358	0.345940005	1														
CDK2AP1	0.808007614	1	1														
UTP6	-0.130479322	1	1														
BLMH	-0.113148402	1	1														
TAOK1	-1.167298829	1	1														
CUX2	2.722152337	0.038914942	0.507208675														
LHX5	-1.872871357	0.366516908	1														
ALDH2	-0.642115182	1	1														
ERP29	0.092895997	1	1														
ANKRD13A	1.459885835	0.865928717	1														
TRPV4	0.252538241	1	1														
NAA25	1.294646578	1	1														
CHRNB4	0.223078169	1	1														
VAC14	1.320533442	1	1														
TANGO6	2.250433843	0.146528512	0.988214003														
ARG2	2.31522408	0.123604032	0.909600421														
TM9SF1	0.081749684	1	1														
NDST1	-0.00394771	1	1														
PDGFRB	-0.636058539	1	1														
FAT2	0.478056182	1	1														
PFDN1	-1.083636283	1	1														
PSMD9	1.750504944	0.480187331	1														
ANAPC5	1.749805865	0.48091091	1														
GNB5	0.482177695	1	1														
MYO5C	1.583541862	0.679788078	1														
SPPL2A	2.131211433	0.198430365	1														
GLCE	1.65495832	0.587597717	1														
CORO2B	0.349563736	1	1														
SPG11	4.341605899	8.49E-05	0.024576648														
SLC30A4	-0.491787489	1	1														
HACD3	1.112516773	1	1														
APH1B	1.225572229	1	1														
AAGAB	2.030141313	0.254053063	1														
TIPIN	1.151145315	1	1														
CILP	-1.470668644	0.8482845	1														
TRIP4	1.674317046	0.564409837	1														
PARP16	0.038706565	1	1														
SNX1	1.3430787	1	1														
LACTB	1.220512987	1	1														
CCNT1	1.292202831	1	1														
HCN4	-0.407828146	1	1														
SEMA7A	-0.574377863	1	1														
LOXL1	-1.175738353	1	1														
FLT4	0.583398239	1	1														
TUBGCP3	2.522818418	0.069851099	0.681074958														
RBM25	-0.241231605	1	1														
LTBP2	0.271260604	1	1														
VSX2	-0.034551627	1	1														
SPAG9	-0.226929714	1	1														
SGCA	-0.350560033	1	1														
RBMS2	1.065194456	1	1														
PTGES3	0.018189336	1	1														
PHF3	2.551690147	0.064321086	0.656301849														
CALCOCO1	-0.047124812	1	1														
MTUS1	2.513156864	0.07179367	0.688937904														
EFCAB1	1.948116337	0.308406266	1														
MCM4	-0.479831597	1	1														
MYOM2	-1.667552086	0.57242806	1														
ANKRD12	2.886929929	0.023341251	0.391569496														
RBL2	-0.496337057	1	1														
LPCAT2	1.117098428	1	1														
WIPI1	-1.717374374	0.515464745	1														
WDR59	0.781123409	1	1														
MTFR1	0.431251884	1	1														
CDH19	-0.517148268	1	1														
SMAD2	0.166429756	1	1														
VIPR2	-2.095502977	0.216757825	1														
KCNH2	0.217628184	1	1														
RHEB	0.135526185	1	1														
SMARCD3	-0.300490999	1	1														
KMT2C	-0.917489091	1	1														
ADNP2	-1.904428117	0.341126701	1														
CRISPLD1	-0.627071353	1	1														
TRPA1	-0.055147777	1	1														
ARFGEF1	-0.227033431	1	1														
ANXA13	1.927668709	0.323378079	1														
TMED2	-2.858527468	0.012768368	0.287774151														
YY1	-0.941879771	1	1														
RCOR1	0.163918546	1	1														
MOB3B	0.071611487	1	1														
SCPEP1	-0.280972015	1	1														
LPO	1.921867095	0.327734899	1														
VMP1	-0.700383268	1	1														
PRR11	1.878238327	0.362091415	1														
TRIM37	0.707023159	1	1														
LMF1	0.967187936	1	1														
NUBP2	-0.509983582	1	1														
PKD1	1.339386254	1	1														
RHBDF1	-1.69146896	0.544483628	1														
TELO2	0.136692073	1	1														
AXIN1	0.457029594	1	1														
SLC1A1	3.944632885	0.000479534	0.056021883														
FAM86B2	1.178015512	1	1														
GLIS2	-0.653254463	1	1														
CREBBP	-0.450425558	1	1														
MGRN1	-1.427426493	0.920741994	1														
ALG1	1.552609851	0.723098225	1														
DNAJA3	0.305095491	1	1														
UBN1	0.659677419	1	1														
N4BP1	0.347385848	1	1														
WSB1	0.838742765	1	1														
RGS9	-1.531629347	0.753683557	1														
ITGA2B	3.179276058	0.008858604	0.242592403														
MAPT	2.097165781	0.215873415	1														
DHX8	0.843305137	1	1														
SLC4A1	3.520143338	0.002587882	0.130515988														
CRISPLD2	2.628596942	0.051442748	0.585408364														
ATP2C2	2.890084063	0.023108329	0.391569496														
MLYCD	1.058845256	1	1														
METTL2B	2.539870892	0.066536038	0.662771298														
SMURF2	1.461622144	0.863068698	1														
GLP2R	-0.786011637	1	1														
DNAH9	1.104101759	1	1														
CHD5	-0.43254006	1	1														
INVS	2.856729063	0.025681862	0.406757251														
SLC27A6	1.820617513	0.411990113	1														
ISM1	0.574984448	1	1														
COQ9	1.985018165	0.282854703	1														
NLRC5	2.288152256	0.132771936	0.947180857														
SRCAP	1.3549444	1	1														
SETD1A	-2.161696677	0.183849384	1														
DZANK1	1.953182664	0.304787727	1														
SPTLC1	0.116518004	1	1														
ZC3H3	-2.116704684	0.205709514	1														
RPL8	-0.707106781	0.479500122	1														
TTPAL	0.238437674	1	1														
SLC9A3R1	0.399291672	1	1														
ATP4A	-0.860016049	1	1														
CCNE1	0.058580579	1	1														
ANOS1	-1.926592412	0.32418267	1														
ACIN1	1.95753414	0.301708212	1														
AJUBA	1.035188578	1	1														
TEP1	2.682392577	0.043858574	0.542228238														
CDH20	-1.69713125	0.538031096	1														
PHLPP1	0.926193555	1	1														
EFCAB6	-1.084597598	1	1														
PPARA	-0.798756089	1	1														
PRDX1	0.284317124	1	1														
PGS1	-2.834708435	0.027520515	0.421716299														
LGALS3BP	-0.061140493	1	1														
ELL	1.037849894	1	1														
MAST3	0.956040853	1	1														
COPE	0.520613552	1	1														
MAU2	1.148481265	1	1														
TRPC5	-0.152436723	1	1														
RRAGB	-1.874793593	0.36492675	1														
HUWE1	0.667281982	1	1														
BPI	3.255313244	0.006796042	0.211621411														
SLA2	1.712596306	0.520721	1														
RALGAPB	0.61644121	1	1														
XRCC1	2.515357144	0.071347114	0.687333421														
ATRN	0.497440047	1	1														
CNPY4	0.139446053	1	1														
RASA4	0.941048615	1	1														
ARPC1A	-0.017425376	1	1														
MYDGF	1.011649426	1	1														
TLE2	1.138079728	1	1														
GNA15	-0.118329146	1	1														
DPP9	0.334641185	1	1														
ZFR2	1.840230341	0.394406563	1														
YJU2	1.083474549	1	1														
PIAS4	2.602763909	0.055485367	0.609191204														
GAB1	2.326613547	0.119915057	0.900526595														
UCP1	-1.092677464	1	1														
NOMO3	2.678459141	0.044377053	0.544826507														
EEF2K	0.216501721	1	1														
DHTKD1	3.491976465	0.002876763	0.137201121														
PHYH	2.784515581	0.032164647	0.459581745														
SORCS1	-3.993386951	0.000390817	0.049686285														
EPC1	2.260204886	0.142851226	0.974508992														
MTPAP	3.123250896	0.010731912	0.264603853														
SCARF1	3.097793511	0.011698033	0.272398491														
SMG6	3.090764827	0.011978501	0.276569318														
ASPA	-0.690014683	1	1														
DPH1	1.525384083	0.76297996	1														
ITGAE	-0.838049034	1	1														
PLD2	0.522368938	1	1														
METTL16	1.108960238	1	1														
SLC27A5	1.670457334	0.568973486	1														
A1BG	0.227097626	1	1														
RAB36	0.537392275	1	1														
CABIN1	-0.355738768	1	1														
PRKCQ	1.638178918	0.608306256	1														
PALMD	-0.253167246	1	1														
KIF18A	2.253584539	0.145333901	0.984929163														
BBOX1	2.289588627	0.132271049	0.946260211														
MSH4	3.622610882	0.001749866	0.108363028														
DGCR2	-0.195704146	1	1														
UFD1	1.812831195	0.419147166	1														
MED15	1.111849123	1	1														
ARVCF	-0.768537204	1	1														
HIRA	0.410173746	1	1														
PPM1F	0.374795423	1	1														
DDX18	1.158963913	1	1														
ARFGAP3	-0.478902861	1	1														
PACSIN2	-0.081572041	1	1														
EP300	-0.082835833	1	1														
DESI1	-1.482064914	0.829938141	1														
PLEKHA4	1.764303469	0.466085401	1														
FAM83E	0.465601782	1	1														
MREG	-1.83341273	0.400447296	1														
GRIN2D	0.128362852	1	1														
LIG1	0.557548323	1	1														
OPA3	-2.002873987	0.271144895	1														
HSD17B14	0.823829312	1	1														
P2RX3	-1.213133555	1	1														
NOX4	1.157077781	1	1														
TYR	0.243630716	1	1														
IL37	-2.012932388	0.264730456	1														
IL1A	1.061606912	1	1														
IL1B	0.198143296	1	1														
TCF25	-2.448179112	0.086148156	0.752030194														
ITPKC	2.60097265	0.055775919	0.611231111														
KCNK6	-0.494169144	1	1														
BRD4	-0.625974734	1	1														
IL27RA	2.79414103	0.031222667	0.453795838														
ILVBL	0.563383406	1	1														
FAM32A	-0.816510088	1	1														
NOTCH3	0.405604392	1	1														
MED26	1.246158491	1	1														
COMMD9	-1.441525579	0.896617537	1														
LIFR	1.615296322	0.637479239	1														
C6	-0.584785731	1	1														
PPP1R12C	-0.484551257	1	1														
ALG6	3.012499218	0.015546366	0.322929953														
WDR11	-0.881200163	1	1														
CEP126	2.466329288	0.081903468	0.732929554														
PARP12	-0.349215837	1	1														
P4HA1	-0.509200016	1	1														
VPS26A	-1.984670821	0.283086644	1														
PALD1	1.735676938	0.495725841	1														
DDX25	-1.489168025	0.818658771	1														
FOXRED1	3.930276725	0.000509089	0.058403047														
DCPS	-0.700712507	1	1														
SIAE	0.033153551	1	1														
ARID3A	1.13961853	1	1														
TANC1	0.148149345	1	1														
LY75	2.669916969	0.045522003	0.553000768														
OSBPL5	-2.611711502	0.054054146	0.599064832														
CNRIP1	0.850053674	1	1														
PNO1	-0.798240085	1	1														
TAF1B	2.921230673	0.020919095	0.377005595														
CNTN3	-2.968936161	0.01792996	0.348580328														
PDZRN3	-2.499777799	0.074562734	0.704005175														
CHRDL2	2.875976421	0.024166788	0.399457787														
ARHGEF17	2.034109743	0.251643191	1														
POLD3	0.558621075	1	1														
SELP	2.40271099	0.097644261	0.804528893														
SNRNP40	0.048816724	1	1														
MECR	1.77649846	0.453904774	1														
TFCP2L1	0.574263214	1	1														
PTPN4	0.92059434	1	1														
CLASP1	-0.861762149	1	1														
EPB41L5	-0.024022696	1	1														
EPAS1	0.881420055	1	1														
SRBD1	0.395393979	1	1														
KAT2B	0.281667011	1	1														
FNBP4	0.104699561	1	1														
NDUFS3	2.873794518	0.024334364	0.40035374														
ACCS	2.14580503	0.191331223	1														
CHMP2B	-1.200167703	0.690222647	1														
WDR76	1.740399538	0.490733319	1														
TYRO3	1.204254377	1	1														
OSBP	-0.300515964	1	1														
ZC2HC1A	0.775577429	1	1														
IL7	-0.072660535	1	1														
POLR1A	1.18920467	1	1														
MAP4K3	1.447905155	0.885861467	1														
RND3	-1.545619647	0.733178721	1														
STAM2	0.762418239	1	1														
GRB14	2.763067619	0.034356541	0.472458099														
STRN	-0.383826479	1	1														
KDR	1.087255972	1	1														
LNX1	0.865494814	1	1														
TNFRSF8	0.271487562	1	1														
PKP1	-2.023320478	0.258240702	1														
GTF3C3	-1.429388792	0.917355108	1														
COQ10B	1.789577326	0.441131317	1														
USP13	0.519632293	1	1														
PIK3CA	-1.026088945	1	1														
SLC9A1	-1.178708846	1	1														
GATB	2.090330931	0.219528496	1														
EHBP1	3.904402625	0.00056675	0.060647064														
SLC7A6OS	-0.444699954	1	1														
CKLF	0.208002917	1	1														
