	Herbivore...Insectivore.Rho	Herbivore...Insectivore.P	Herbivore...Insectivore.p.adj														
PLOD1	1.167853464	1	1														
OXCT1	1.164862498	1	1														
FAM234B	1.387758812	0.991263004	1														
RRN3	2.799616064	0.030698052	0.449837737														
MOGAT2	1.195508663	1	1														
AQP2	1.345431453	1	1														
EIF2AK1	1.370520746	1	1														
NME8	3.388158403	0.004221817	0.171769232														
EPDR1	-0.879962129	1	1														
HBQ1	1.033122139	1	1														
HSD17B2	2.300550347	0.128502362	0.931728389														
ZW10	0.742930927	1	1														
ITGB4	-2.15172593	0.18851368	1														
TRIP6	-0.935712193	1	1														
ADAM11	0.065345776	1	1														
SLC22A4	2.101271021	0.213703092	1														
TFAP2C	-1.581098292	0.683133391	1														
SULT2B1	1.599940568	0.657670612	1														
EPS8L1	0.535341944	1	1														
REM1	-0.187494854	1	1														
PPP1R13B	-1.186651866	1	1														
TGM6	0.459223747	1	1														
RALGAPA2	-0.207446855	1	1														
ESF1	0.824766215	1	1														
SLC8B1	1.801436766	0.429804394	1														
SIRT4	0.985976919	1	1														
TRMT6	1.496008027	0.807909381	1														
HAUS5	2.568690971	0.061250068	0.639310138														
UQCRC1	1.158194318	1	1														
GMIP	2.958690035	0.018536981	0.354962283														
LAG3	0.680275525	1	1														
PDCD7	0.83949422	1	1														
CHRD	3.419371917	0.003765952	0.159852127														
GNPTG	0.980106763	1	1														
GLG1	2.939654547	0.019714702	0.366861671														
DLL3	0.313087434	1	1														
AASDH	3.359616361	0.004683046	0.177776434														
DLD	1.584335837	0.678703888	1														
ABCC6	1.666852107	0.573262896	1														
CMTM6	-1.827643641	0.405618309	1														
APOH	1.099319204	1	1														
CCDC80	0.413924729	1	1														
HAUS4	-0.600585666	1	1														
TGM1	-2.111106042	0.20857919	1														
TEKT2	3.033730481	0.014493007	0.311746545														
XYLB	0.224550374	1	1														
KRT23	-0.239233224	1	1														
CDC6	2.968966102	0.017928213	0.348580328														
AAAS	0.364086227	1	1														
FMO2	2.04452103	0.245412612	1														
RAB26	-0.01538204	1	1														
PSMD5	1.202677378	1	1														
NANS	-1.805830341	0.425669068	1														
SEMA4G	0.803844106	1	1														
MAPK13	1.973869214	0.290379697	1														
ZNF184	1.248119097	1	1														
SIRT1	1.65753378	0.584469632	1														
TGFBR3	0.685405773	1	1														
OCEL1	2.190539516	0.170910793	1														
PSMD8	0.929314269	1	1														
FGF22	0.254535258	1	1														
NDUFB7	1.963133352	0.297784086	1														
CDC34	-1.105660311	1	1														
GADD45B	-0.766520544	1	1														
MAPK12	0.414549914	1	1														
SERPIND1	0.776175888	1	1														
SNAP29	-0.941208952	1	1														
MMP11	2.263933771	0.141469131	0.973240365														
USP18	-1.301832831	1	1														
MAPK1	2.017864913	0.261631993	1														
TCN2	2.046438055	0.244279747	1														
PLA2G3	2.44785553	0.086225559	0.752052239														
LGALS2	1.777078793	0.453331661	1														
PDXP	1.404036338	0.961848175	1														
ASPHD2	2.766709451	0.033975118	0.469879468														
LGALS1	1.160138171	1	1														
PIK3IP1	0.469446127	1	1														
SRRD	1.656073843	0.586241194	1														
MICALL1	2.347454888	0.113412972	0.874418455														
CENPM	0.627492468	1	1														
HSCB	3.319081429	0.005418845	0.190824003														
RSPH14	2.086541144	0.221577794	1														
RTCB	0.159978141	1	1														
GTPBP1	-0.18251515	1	1														
PPP6R2	-1.063076789	1	1														
DNAL4	-0.607718438	1	1														
C22orf31	2.520224491	0.070368006	0.683210274														
MIOX	2.438481341	0.088494721	0.761413359														
RHBDD3	1.789042038	0.441648274	1														
HMGXB4	1.703084927	0.531313057	1														
BIK	0.547487088	1	1														
HMOX1	0.734547969	1	1														
MCM5	-0.13625534	1	1														
ARSA	-0.358468107	1	1														
TTLL12	-2.62078916	0.052635899	0.589766269														
CABP7	0.196019502	1	1														
RPL3	1.002115947	1	1														
TAB1	0.764260765	1	1														
PNPLA5	-1.530042371	0.756037449	1														
MYH9	-0.411469035	1	1														
TXN2	0.663730087	1	1														
EIF3D	-1.812089551	0.419834164	1														
UPK3A	1.372739802	1	1														
FAM118A	-3.122412539	0.010762524	0.264603853														
IL2RB	1.097413842	1	1														
L3MBTL2	0.399154312	1	1														
CHADL	-2.056244016	0.238554009	1														
CERK	-0.329723572	1	1														
ZBED4	-0.143883257	1	1														
HDAC10	0.272679941	1	1														
RIPK3	-1.295350337	1	1														
SNAPC1	2.60631833	0.054912816	0.605944364														
SUPT16H	1.458092893	0.86888964	1														
COCH	1.682604912	0.554709601	1														
POLE2	0.472419521	1	1														
SOS2	2.777255242	0.032892066	0.462814998														
PYGL	1.382539076	1	1														
GNPNAT1	0.717502167	1	1														
CGRRF1	0.929752999	1	1														
ATP6V1D	-0.406359699	1	1														
CCDC198	2.271939143	0.138541118	0.961446734														
PLEK2	-0.616045442	1	1														
PSMA3	-2.295655286	0.065086797	0.660410575														
TMED8	-0.312599503	1	1														
AHSA1	-1.20167333	1	1														
SPTLC2	-0.16590269	1	1														
RIN3	0.68424047	1	1														
ALKBH1	0.418448627	1	1														
DHRS7	1.926659508	0.324132464	1														
SIX4	2.250260065	0.146594648	0.988214003														
SLC10A1	1.155982793	1	1														
ZFYVE21	-0.463633688	1	1														
BDKRB1	-1.6817131	0.555746919	1														
VRK1	-1.931086342	0.320834254	1														
PABPN1	-1.443932744	0.892547369	1														
EFS	1.362628633	1	1														
CINP	0.384743623	1	1														
PCK2	1.482367561	0.829455123	1														
BRMS1L	-1.24852154	1	1														
PNN	0.689069474	1	1														
RABGGTA	-0.086086486	1	1														
CYP24A1	2.888504497	0.02322471	0.391569496														
ZFP64	0.061283985	1	1														
PYGB	-2.09647628	0.216239772	1														
PROCR	-0.515971752	1	1														
MYBL2	-0.297180253	1	1														
R3HDML	1.075712409	1	1														
PABPC1L	0.270075449	1	1														
SALL4	0.519274088	1	1														
TPD52L2	-0.868806142	1	1														
CTSZ	0.704866177	1	1														
TUBB1	0.383382205	1	1														
SLCO4A1	0.018666251	1	1														
UBOX5	3.602775628	0.001889024	0.11136494														
EEF1A2	-0.2757138	1	1														
SRMS	0.182632584	1	1														
C20orf27	1.314536297	1	1														
SLC52A3	2.646813231	0.04875253	0.568728551														
RSPO4	0.991440862	1	1														
PROKR2	1.853297381	0.383038478	1														
FERMT1	0.662165968	1	1														
TLDC2	-0.041014044	1	1														
SNTA1	0.170031093	1	1														
CHMP4B	-1.466915422	0.854394388	1														
LBP	1.942201868	0.312676002	1														
SLC32A1	-2.507573715	0.072937934	0.693128094														
ACOT8	1.856220972	0.380532408	1														
APMAP	-1.21840127	1	1														
IDH3G	0.646591155	1	1														
SLC25A43	-0.255398975	1	1														
MXRA5	-1.917700367	0.330894091	1														
VSIG1	0.412619164	1	1														
NXT2	0.813562382	1	1														
ATP1B4	-0.664567659	1	1														
TLR8	-1.189013658	1	1														
F9	1.024423113	1	1														
ABCD1	0.706562219	1	1														
BCORL1	-0.970349488	1	1														
KCND1	1.823092867	0.40973596	1														
PCSK1N	-1.005781714	1	1														
RP2	1.309234994	1	1														
USP11	-2.933789977	0.020091042	0.370781641														
TIMP1	-0.683920542	1	1														
GLA	0.560603089	1	1														
ATP12A	1.241368951	1	1														
MLNR	0.239087117	1	1														
ACP5	2.425368592	0.091757106	0.777416303														
SGCG	2.520104436	0.070392012	0.683210274														
OLFM4	0.920777629	1	1														
NTHL1	-0.12659462	1	1														
ZNF263	0.967202138	1	1														
MMP2	-2.315593846	0.123482731	0.909600421														
ORC6	0.611308911	1	1														
CORO1A	-0.162544255	1	1														
NUTF2	-1.491628451	0.814779452	1														
CBLN1	-0.538962995	1	1														
CCL22	1.168171821	1	1														
DHODH	0.158443185	1	1														
POLR2C	0.451163111	1	1														
PARD6A	-0.390257044	1	1														
MMP15	1.149379992	1	1														
USB1	1.983679141	0.283749722	1														
CCDC113	-0.094102008	1	1														
PRSS54	2.14514141	0.191649254	1														
PSMD7	0.01065525	1	1														
SETD6	0.841454184	1	1														
SLC38A7	-0.036185172	1	1														
SMPD3	-3.673735715	0.00143418	0.101358677														
SLC7A6	1.510295863	0.785807681	1														
PLA2G15	-1.365800663	1	1														
FA2H	0.153649597	1	1														
MPG	-0.397498871	1	1														
HSDL1	1.944785559	0.310804757	1														
USP10	2.209004266	0.163046065	1														
TSC2	-0.976558558	1	1														
NME4	-0.336473308	1	1														
DECR2	0.75296831	1	1														
RHBDL1	-1.423300667	0.927894082	1														
