,HI-Rho,HI-P,HI-p.adj,HV-p.adj,CH-p.adj,IV-p.adj,OV-p.adj,HI-significant,HV-Rho,HV-P,HV-significant,CH-Rho,CH-P,CH-significant,HO-Rho,HO-P,HO-p.adj,HO-significant,IV-Rho,IV-P,IV-significant,OV-Rho,OV-P,OV-significant,HI-Driver,HI-DriverNumeric,HV-Driver,HV-DriverNumeric,CH-Driver,CH-DriverNumeric,IV-Driver,IV-DriverNumeric,Herbivore_Rho,Insectivore_Rho,Herbivore_P,Insectivore_P,Herbivore_p.adj,Insectivore_p.adj,Vertivore_Rho,Vertivore_P,Vertivore_p.adj,Carnivore_Rho,Herbivore_Rho.2,Carnivore_P,Herbivore_P.2,Carnivore_p.adj,Herbivore_p.adj.2,HI-HV-Overlap,HI-CH-Overlap,HI-HO-Overlap,HI-IV-Overlap,HI-OV-Overlap,HV-CH-Overlap,HV-HO-Overlap,HV-IV-Overlap,HV-OV-Overlap,CH-HO-Overlap,CH-IV-Overlap,CH-OV-Overlap,HO-IV-Overlap,HO-OV-Overlap,IV-OV-Overlap,HI-HV-CH-Overlap,HI-HV-HO-Overlap,HI-HV-IV-Overlap,HI-HV-OV-Overlap,HI-CH-HO-Overlap,HI-CH-IV-Overlap,HI-CH-OV-Overlap,HI-HO-IV-Overlap,HI-HO-OV-Overlap,HI-IV-OV-Overlap,HV-CH-HO-Overlap,HV-CH-IV-Overlap,HV-CH-OV-Overlap,HV-HO-IV-Overlap,HV-HO-OV-Overlap,HV-IV-OV-Overlap,CH-HO-IV-Overlap,CH-HO-OV-Overlap,CH-IV-OV-Overlap,HO-IV-OV-Overlap,HI-HV-CH-HO-Overlap,HI-HV-CH-IV-Overlap,HI-HV-CH-OV-Overlap,HI-HV-HO-IV-Overlap,HI-HV-HO-OV-Overlap,HI-HV-IV-OV-Overlap,HI-CH-HO-IV-Overlap,HI-CH-HO-OV-Overlap,HI-CH-IV-OV-Overlap,HI-HO-IV-OV-Overlap,HV-CH-HO-IV-Overlap,HV-CH-HO-OV-Overlap,HV-CH-IV-OV-Overlap,HV-HO-IV-OV-Overlap,CH-HO-IV-OV-Overlap,HI-HV-CH-HO-IV-Overlap,HI-HV-CH-HO-OV-Overlap,HI-HV-CH-IV-OV-Overlap,HI-HV-HO-IV-OV-Overlap,HI-CH-HO-IV-OV-Overlap,HV-CH-HO-IV-OV-Overlap,HI-HV-CH-HO-IV-OV-Overlap,HI-HV-Delta,HI-CH-Delta,HI-HO-Delta,HI-IV-Delta,HI-OV-Delta,HV-CH-Delta,HV-HO-Delta,HV-IV-Delta,HV-OV-Delta,CH-HO-Delta,CH-IV-Delta,CH-OV-Delta,HO-IV-Delta,HO-OV-Delta,IV-OV-Delta
GRB14,3.126395054,0.010617819,0.154652623,0.008836754,0.015195295,1,0.114211218,FALSE,4.383081888,7.02E-05,TRUE,-3.700938983,0.000644409,TRUE,0.66833996,1,1,FALSE,1.799514731,0.431623775,FALSE,3.907488714,0.000559562,FALSE,Herbivore,1,Both,3,Carnivore,1,Vertivore,2,-3.158441356,2.073776325,0.001586152,0.038100089,0.027228239,0.23033438,3.639050624,0.000273645,0.027210611,5.090010042,-3.158441356,3.58E-07,0.001586152,5.85E-05,0.027228239,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.888611782,4.827654195,1.738107426,0.938246074,0.552316623,5.716265977,2.626719208,1.826857856,0.336295158,3.089546769,3.889408121,5.379970818,0.799861352,2.290424049,1.490562697
STRN,1.043095294,1,1,1,1,1,1,FALSE,1.328253778,1,FALSE,-1.267125791,0.615330945,FALSE,0.767884,1,1,FALSE,0.458490377,1,FALSE,0.778682643,1,FALSE,Unclear,0,Unclear,0,Unclear,0,Unclear,0,-0.999501773,1.084845408,0.317551681,0.27799013,0.60130785,0.60435147,1.368575093,0.171132134,0.458213039,1.39903548,-0.999501773,0.161802344,0.317551681,0.365099316,0.60130785,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.201637498,1.633572995,0.194603772,0.413378102,0.186967979,1.835210493,0.39624127,0.615015599,0.388605477,1.438969223,1.220194894,1.446605016,0.218774329,0.007635793,0.226410123
CHIC2,-0.900807859,1,1,0.062358522,0.922975294,0.868375397,1,FALSE,-3.645393048,0.001601901,FALSE,1.562350252,0.3546165,FALSE,-2.016357244,0.262575798,1,FALSE,-2.386135537,0.102158848,FALSE,-1.723704315,0.508567414,FALSE,Herbivore,1,Both,3,MissingData,5,Vertivore,2,2.89120647,0.74224832,0.003837659,0.457936897,0.048150251,0.750753431,-2.986254223,0.002824178,0.066856445,NA,2.89120647,NA,0.003837659,NA,0.048150251,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.940714799,1.741715803,0.788812535,1.050285273,0.581875664,3.682430602,1.151902264,0.890429526,1.358839135,2.530528338,2.792001077,2.323591467,0.261472739,0.20693687,0.468409609
KDR,0.868427661,1,1,1,0.96541633,1,0.513489679,FALSE,1.863800753,0.37409814,FALSE,-1.524021408,0.382510091,FALSE,-1.423865836,0.926911878,1,FALSE,1.042261039,1,FALSE,2.943359923,0.019480243,FALSE,Insectivore,2,DoubleBoth,4,Carnivore,1,Unclear,0,0.061427478,1.616554858,0.951018769,0.105974403,0.980414884,0.382617926,1.59897897,0.109825276,0.373015732,2.977429057,0.061427478,0.002906769,0.951018769,0.027924745,0.980414884,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.703835064,1.69171696,1.620896276,0.12291876,1.467198674,2.395552023,2.32473134,0.580916303,0.76336361,0.070820684,1.81463572,3.158915633,1.743815037,3.08809495,1.344279913
LNX1,0.013653615,1,1,1,0.694690204,1,1,FALSE,-1.574582069,0.692117667,FALSE,1.786474468,0.222067403,FALSE,0.590197248,1,1,FALSE,-1.469624481,0.849980917,FALSE,-2.003184127,0.270945172,FALSE,Insectivore,2,Vertivore,2,DoubleBoth,4,Vertivore,2,0.081163569,-0.959037116,0.935311872,0.337540048,0.973509929,0.658796603,-1.815605497,0.06943091,0.300224581,-1.484776461,0.081163569,0.137603049,0.935311872,0.33117977,0.973509929,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.123052222,1.253573647,0.407677912,1.048836,1.426119644,2.376625869,1.530730134,0.074216222,0.303067422,0.845895735,2.302409647,2.679693291,1.456513912,1.833797556,0.377283644
TNFRSF8,-0.697897825,1,1,1,1,1,1,FALSE,-0.688133242,1,FALSE,-0.670706955,1,FALSE,-1.73188255,0.499766858,1,FALSE,-0.075726559,1,FALSE,0.659415826,1,FALSE,Herbivore,1,Herbivore,1,Herbivore,2,Insectivore,1,1.287809261,0.592236533,0.197812368,0.553692209,0.474030259,0.81124442,0.157812432,0.874604602,0.952002932,0.150327874,1.287809261,0.880505942,0.197812368,0.944426025,0.474030259,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.006904603,0.019226848,0.731137611,0.439941521,0.959765687,0.012322245,0.738042214,0.433036918,0.952861084,0.750364459,0.420714673,0.940538839,1.171079132,1.690903298,0.519824166
PKP1,-1.953137371,0.304819919,1,1,0.269579965,1,1,FALSE,0.085980454,1,FALSE,2.398427338,0.049396929,FALSE,0.948027213,1,1,FALSE,1.600065499,0.657504322,FALSE,-0.623617596,1,FALSE,Insectivore,2,Vertivore,2,Both,3,Insectivore,1,0.081956493,-1.991654524,0.934681311,0.046408977,0.973416083,0.255013648,0.384189579,0.700837941,0.87058609,-2.38273021,0.081956493,0.017184783,0.934681311,0.090226113,0.973416083,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.441874042,3.077020914,2.051433151,2.512493844,0.940112448,1.635146873,0.609559109,1.070619803,0.501761593,1.025587764,0.56452707,2.136908466,0.461060694,1.111320702,1.572381396
GTF3C3,-1.35956164,1,1,1,1,0.828892009,1,FALSE,1.495169356,0.809221494,FALSE,0.071497666,1,FALSE,3.109613405,0.011239941,0.450646799,FALSE,2.420832352,0.092910101,FALSE,-0.778471604,1,FALSE,Insectivore,2,Unclear,0,Unclear,0,Insectivore,1,-1.477515383,-2.763580642,0.139537538,0.005717096,0.394309252,0.085780666,1.555768363,0.119763184,0.38884418,-1.682716237,-1.477515383,0.092430037,0.139537538,0.259643278,0.394309252,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.018599646,1.01191174,3.160183981,2.673142228,0.410892705,1.006687906,1.141584336,0.654542582,1.607706941,2.148272241,1.661230488,0.601019035,0.487041754,2.749291276,2.262249522
COQ10B,1.476785716,0.83839852,1,0.907684449,0.867133097,1,1,FALSE,2.256037204,0.144409807,FALSE,-1.614546783,0.319226634,FALSE,1.445234357,0.890352414,1,FALSE,1.038269621,1,FALSE,1.249167859,1,FALSE,Both,3,Both,3,Carnivore,1,Vertivore,2,-1.30217352,-0.413127547,0.192857075,0.679513168,0.468147055,0.875395719,1.224992708,0.220577968,0.510152986,2.012564801,-1.30217352,0.044160433,0.192857075,0.165184187,0.468147055,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.551014012,2.185902173,0.02231018,0.310077705,0.16095013,2.736916184,0.573324192,0.861091716,0.711964142,2.163591993,1.875824468,2.024952042,0.287767525,0.138639951,0.149127574
USP13,0.010206341,1,1,1,1,1,1,FALSE,0.359050666,1,FALSE,-0.303989524,1,FALSE,-1.813086776,0.41891063,1,FALSE,0.33746127,1,FALSE,1.571776447,0.696014433,FALSE,Unclear,0,Herbivore,1,Unclear,0,Insectivore,1,1.2680552,1.695109401,0.204778238,0.090054669,0.481651231,0.35320441,0.7803754,0.435169943,0.703935675,1.322924814,1.2680552,0.185860382,0.204778238,0.396106497,0.481651231,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.246670188,0.222170026,1.289262927,0.23140418,1.104196812,0.468840214,1.535933115,0.015266008,0.857526624,1.067092901,0.453574206,1.326366838,1.520667107,2.393459739,0.872792632
PIK3CA,-2.068242034,0.231703617,1,1,1,1,1,FALSE,0.496012484,1,FALSE,0.67644995,1,FALSE,-1.532693634,0.752108151,1,FALSE,1.952387397,0.305353369,FALSE,1.546305553,0.732184749,FALSE,Both,3,Unclear,0,Herbivore,2,Both,3,1.663979285,-1.121956789,0.096116569,0.261880813,0.320368799,0.587766211,1.271589984,0.203518837,0.492746654,-0.356166903,1.663979285,0.721715577,0.096116569,0.853044893,0.320368799,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.813201758,1.940790314,0.378689905,2.843014335,2.55587111,0.127588556,1.434511853,1.029812577,0.742669352,1.562100409,0.902224021,0.615080796,2.46432443,2.177181205,0.287143225
SLC9A1,-2.144919108,0.191755891,0.897709189,1,1,0.570422262,1,FALSE,1.232200143,1,FALSE,0.737603188,1,FALSE,-0.110540622,1,1,FALSE,2.710445388,0.040315748,FALSE,1.293881045,1,FALSE,Both,3,Vertivore,2,Unclear,0,Both,3,0.652557709,-1.518786923,0.514041457,0.128816139,0.759363976,0.417118387,1.914800276,0.055517979,0.267798279,-0.863783611,0.652557709,0.387706772,0.514041457,0.61078541,0.759363976,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.387983924,2.038251063,1.438522823,3.43326116,2.431598907,0.349732861,0.949461101,1.045277237,0.043614983,0.59972824,1.395010097,0.393347844,1.994738337,0.993076084,1.001662253
GATB,3.089225476,0.012040744,0.167936698,1,0.248575462,1,1,FALSE,0.70562457,1,FALSE,-2.443319161,0.043658583,FALSE,1.304268354,1,1,FALSE,-1.782229157,0.44827122,FALSE,-0.284160295,1,FALSE,Both,3,Herbivore,1,Both,3,Insectivore,1,-2.265189156,3.032527661,0.023501074,0.002425149,0.143909676,0.055054951,0.319349374,0.749461596,0.895205057,1.896188291,-2.265189156,0.057935151,0.023501074,0.195111056,0.143909676,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.685460364,3.91209983,1.262155285,3.444638605,2.385343954,2.226639466,0.423305079,1.759178241,0.69988359,2.649944545,0.467461225,1.526755876,2.18248332,1.123188669,1.059294651
EHBP1,4.352549753,8.07E-05,0.006737831,0.091478391,0.016573883,1,0.524148538,TRUE,3.485818926,0.002943798,FALSE,-3.671331293,0.000723871,TRUE,0.749846283,1,1,FALSE,-0.176451246,1,FALSE,2.931307248,0.020252326,FALSE,Both,3,Both,3,Carnivore,1,Unclear,0,-3.187862879,2.77413805,0.001433285,0.005534819,0.025362571,0.084946148,2.33222752,0.019688725,0.1611472,5.27407135,-3.187862879,1.33E-07,0.001433285,2.91E-05,0.025362571,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.612871245,5.673740699,2.547496054,3.202487318,1.004970213,5.060869454,1.934624809,2.589616073,0.392098968,3.126244645,2.471253381,4.668770486,0.654991264,1.542525841,2.197517105
SLC7A6OS,-0.966090445,1,1,1,1,1,1,FALSE,1.099396851,1,FALSE,-0.360297244,1,FALSE,0.790847992,1,1,FALSE,1.766545834,0.463825915,FALSE,0.536215942,1,FALSE,Insectivore,2,Vertivore,2,Unclear,0,Both,3,-0.395285287,-1.678789579,0.692632356,0.09319306,0.865868211,0.358463767,1.734425172,0.082842672,0.326187622,-0.42882424,-0.395285287,0.668051137,0.692632356,0.820763294,0.865868211,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.460520074,0.42836048,1.242343083,1.932265643,1.062291033,1.032159593,0.21817699,0.47174557,0.39822904,0.813982603,1.503905163,0.633930553,0.68992256,0.18005205,0.86997461
CKLF,-0.358788549,1,1,1,0.917144352,1,1,FALSE,1.556862457,0.717018868,FALSE,-1.567272418,0.351153088,FALSE,0.310578805,1,1,FALSE,1.722085395,0.510324302,FALSE,1.311385074,1,FALSE,Unclear,0,Vertivore,2,Both,3,Vertivore,2,-0.470320179,-0.570362941,0.638126282,0.56843156,0.834480751,0.820357564,1.777968392,0.075409046,0.313606697,1.16237072,-0.470320179,0.245084912,0.638126282,0.465718257,0.834480751,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.354569817,0.854527139,0.473314195,1.471400077,1.180991095,2.209096956,0.881255622,0.11683026,0.173578723,1.327841334,2.325927216,2.035518233,0.998085881,0.707676899,0.290408982
LCAT,-1.370283318,1,1,1,1,0.962236595,1,FALSE,1.354655668,1,FALSE,-0.52022317,1,FALSE,-0.964355848,1,1,FALSE,2.322305676,0.121298893,FALSE,2.049513524,0.242471561,FALSE,DoubleBoth,4,Vertivore,2,Herbivore,2,Both,3,0.684744023,-0.432436409,0.493505464,0.665424261,0.744533439,0.86955699,1.946666618,0.051574716,0.259229026,0.031589888,0.684744023,0.974799108,0.493505464,0.987464943,0.744533439,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.926822836,0.601083295,0.287034067,2.611054718,2.418161538,1.32573954,1.639788769,0.684231883,0.491338702,0.314049228,2.009971423,1.817078243,2.324020651,2.131127471,0.19289318
CDH3,1.085837123,1,1,0.688874156,0.474342987,1,0.602160138,FALSE,2.432920096,0.089865634,FALSE,-2.052223082,0.120443962,FALSE,-0.510849939,1,1,FALSE,1.415338923,0.941814889,FALSE,2.832538789,0.027707978,FALSE,Both,3,Both,3,Carnivore,1,Vertivore,2,-0.881493585,0.671380765,0.378050725,0.501977995,0.658056722,0.778994775,2.352280566,0.018658695,0.157426367,2.535355286,-0.881493585,0.011233333,0.378050725,0.067864857,0.658056722,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.952531505,2.218943651,1.129028249,0.232992957,1.235104593,3.171475156,2.081559754,0.719538548,0.282573088,1.089915402,2.451936608,3.454048244,1.362021206,2.364132842,1.002111636
NECTIN1,-0.83932146,1,1,1,1,1,1,FALSE,-1.064350407,1,FALSE,0.162332844,1,FALSE,-0.644446826,1,1,FALSE,-0.385079176,1,FALSE,-0.594381799,1,FALSE,Both,3,Unclear,0,Unclear,0,Vertivore,2,0.797212976,-0.128900692,0.425327351,0.897436229,0.695183123,0.967769532,-1.066738503,0.286089935,0.57816507,-0.81841431,0.797212976,0.413120654,0.425327351,0.632445009,0.695183123,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.159119495,0.70827655,0.137797175,0.321197799,0.173198495,0.867396045,0.29691667,0.480317294,0.33231799,0.570479375,0.387078751,0.535078055,0.183400624,0.03540132,0.147999304
SC5D,1.120652435,1,1,0.427313305,0.136177668,1,1,FALSE,2.724926605,0.03858947,FALSE,-2.764285072,0.017114303,FALSE,0.506344265,1,1,FALSE,1.732164881,0.49946526,FALSE,2.346160009,0.113807775,FALSE,Both,3,Both,3,Both,3,Vertivore,2,-1.03694702,0.704252384,0.299760549,0.481275614,0.585185111,0.768117017,2.148209263,0.031697135,0.204877744,2.656903278,-1.03694702,0.007886207,0.299760549,0.054546866,0.585185111,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.134393144,2.747065656,0.434381473,0.432404597,0.866564716,3.8814588,1.568774617,0.701988547,0.267828428,2.312684183,3.179470253,3.613630372,0.86678607,1.300946189,0.434160119
