"","names.phenotypeVector.","names.commonPhenotypeVector.","phenotypeVector"
"vs_HLsouChi1","vs_HLsouChi1","Indo-Pacific humpbacked dolphin","0"
"vs_HLtacAcu1","vs_HLtacAcu1","Short-beaked echidna","0"
"vs_HLtalOcc1","vs_HLtalOcc1","Spanish mole","0"
"vs_HLtamTet1","vs_HLtamTet1","Southern tamandua","0"
"vs_HLtaxTax1","vs_HLtaxTax1","American Badger","0"
"vs_HLtheGel1","vs_HLtheGel1","Gelada","0"
"vs_HLtraImb1","vs_HLtraImb1","Lesser kudu","1"
"vs_HLtraKan1","vs_HLtraKan1","Lesser mouse-deer","0"
"vs_HLturAdu1","vs_HLturAdu1","Indo-Pacific bottlenose dolphin","0"
"vs_HLursArc1","vs_HLursArc1","Grizzly bear","0"
"vs_HLursThi1","vs_HLursThi1","Asian black bear","0"
"vs_HLvomUrs1","vs_HLvomUrs1","Common wombat","0"
"vs_HLvulVul1","vs_HLvulVul1","Red fox","0"
