"","Rho","N","P","p.adj","permPValue","qValueNoperm","qValuePerm"
"GPR75",0.0946152253442039,48,0.431702474016721,1,0.944691965807008,1,0.999998240152332
"SUPT7L",NA,NA,NA,NA,NA,NA,NA
"KLHL29",0.0158286906018748,43,0.901156569329688,1,0.999997786048118,1,0.999998240152332
"DNMT3A",0.00716094217773381,57,0.948123940299725,1,0.999998187394416,1,0.999998240152332
"TMEM214",-0.0340036932736895,66,0.738949744883956,1,0.99993954050786,1,0.999998240152332
"ATAD2B",-0.0935368675509868,56,0.399729035501385,1,0.999990001199856,1,0.999998240152332
"FKBP1B",-0.316286256309767,54,0.00520055899508363,1,0.558098929352623,1,0.999998240152332
"ATL2",0.0816088638568548,66,0.423834360015821,1,0.380105770182826,1,0.999998240152332
"YPEL5",0.212904614088543,63,0.0416426128935249,1,0,1,0
"FAM98A",0.0476051705831653,66,0.640827397102637,1,0.689124852392645,1,0.999998240152332
"YIPF4",0.068475557443633,68,0.495572379926632,1,0.0984810141656891,1,0.815665074046573
"AFTPH",0.0733194656801251,64,0.479415636047101,1,0.957334889757328,1,0.999998240152332
"LGALSL",0.0489653183141129,66,0.63131837576298,1,0.999991420065036,1,0.999998240152332
"CNRIP1",-0.00808642374638308,60,0.939859498733194,1,0.999991420065036,1,0.999998240152332
"BCL11A",-0.15952380952381,49,0.180245344928905,1,0.199268764071809,1,0.999998240152332
"CRIPT",-0.0642748268144115,66,0.528754147008923,1,0.589753756805463,1,0.999998240152332
"EPCAM",-0.0340036932736895,66,0.738949744883956,1,0.666548612390032,1,0.999998240152332
"SLC17A5",0.00760839527151477,68,0.939642501561601,1,0.999998187394416,1,0.999998240152332
"OGFRL1",0.118694884586225,27,0.466679468654148,1,0.81871769030546,1,0.999998240152332
"SLF2",-0.0679807117526492,55,0.544289624429402,1,0.99993954050786,1,0.999998240152332
"IDE",-0.0324030213303498,58,0.766414237959929,1,0.99993954050786,1,0.999998240152332
"TECTB",-0.05087230797228,24,0.76969794378129,1,0,1,0
"ELOVL3",NA,NA,NA,NA,NA,NA,NA
"IFIT3",-0.0679529588583501,45,0.585052941267812,1,0.999991420065036,1,0.999998240152332
"NKX2-3",-0.130639452948436,50,0.267445174043651,1,0.67611604064181,1,0.999998240152332
"IFIT2",0.147127537406979,42,0.254158257561121,1,0.681186241598573,1,0.999998240152332
"GPAM",NA,NA,NA,NA,NA,NA,NA
"CUTC",-0.0291655152074733,68,0.771619687523502,1,0.555745336878793,1,0.999998240152332
"PPP1R3C",0.0985728116180288,65,0.337826983166058,1,0.999998187394416,1,0.999998240152332
"PYROXD2",-0.0661452989084736,62,0.530216610920017,1,0.99993954050786,1,0.999998240152332
"CNNM1",0.00311676242287116,43,0.980489040126651,1,0.999998187394416,1,0.999998240152332
"MXI1",0.028120236731305,66,0.782866699669326,1,0.782594305151842,1,0.999998240152332
"SMNDC1",-0.144559510158781,68,0.150245524532812,1,0,1,0
"C10orf88",-0.0989170636239342,68,0.32490489393779,1,0.999991420065036,1,0.999998240152332
"HELLS",-0.0629357679224446,66,0.537375978733466,1,0.430277357968454,1,0.999998240152332
"PRLHR",NA,NA,NA,NA,NA,NA,NA
"TCTN3",-0.0426396063869878,62,0.68575551371564,1,0.99993954050786,1,0.999998240152332
"DENND10",0.06335745931247,56,0.568404829642353,1,0,1,0
"AVPI1",0.116236768891185,31,0.442808177675037,1,0.27925001631345,1,0.999998240152332
"ARMH3",-0.160867110954368,59,0.136774081935529,1,0,1,0
"KCNIP2",-0.147380355167811,39,0.271898710819648,1,0.429223189750803,1,0.999998240152332
"CFAP58",-0.0694412061610184,47,0.568147566256157,1,0.65171168376504,1,0.999998240152332
"GOT1",-0.049454569264846,68,0.622595783856069,1,0.999998187394416,1,0.999998240152332
"CPN1",-0.042164579659375,66,0.679443124777856,1,0.755031646913895,1,0.999998240152332
"C10orf95",NA,NA,NA,NA,NA,NA,NA
"SFRP5",-0.306491481714024,61,0.00392547148292235,1,0.218135063099533,1,0.999998240152332
"GNA13",-0.0487345309369588,62,0.643752448336554,1,0.99993954050786,1,0.999998240152332
"HOXB8",NA,NA,NA,NA,NA,NA,NA
"HOXB5",-0.233945409722984,66,0.0218640138362304,1,0.295958830736087,1,0.999998240152332
"HOXB3",-0.356753034006338,11,0.185876732365876,1,0.236586718676363,1,0.999998240152332
"HOXB1",NA,NA,NA,NA,NA,NA,NA
"DUSP1",-0.0924900457044354,66,0.364710953018064,1,0.436483378358916,1,0.999998240152332
"PANK3",-0.00380419763575739,68,0.969799625023871,1,0.99993954050786,1,0.999998240152332
"MSX2",0.0139414296135505,21,0.940529226774238,1,0.999990001199856,1,0.999998240152332
"TEK",0.0749872979501468,66,0.46240417912397,1,0.944691965807008,1,0.999998240152332
"RCL1",0.0177529223002011,68,0.859761220277581,1,0.999998187394416,1,0.999998240152332
"CAAP1",-0.191477947666455,68,0.0567021440030075,1,0.999991420065036,1,0.999998240152332
"EQTN",-0.0345032779671177,16,0.873844698517373,1,0.99993954050786,1,0.999998240152332
"MOB3B",-0.0535623556786763,66,0.599635929030455,1,0.99993954050786,1,0.999998240152332
"INSL6",0.0829184989234173,18,0.683604026301211,1,0.999998240152332,1,0.999998240152332
"MLANA",-0.454794026827098,13,0.0629790512144553,1,0.752055494732568,1,0.999998240152332
"CD274",0.102853159954748,43,0.419642642987081,1,0.999998187394416,1,0.999998240152332
"IFNA6",NA,NA,NA,NA,NA,NA,NA
"IFNA8",NA,NA,NA,NA,NA,NA,NA
"GRIA2",-0.131710554819635,31,0.384504629380269,1,0.63876220789861,1,0.999998240152332
"MTHFD1L",-0.0990866420971208,43,0.436871354367948,1,0.497638962835434,1,0.999998240152332
"LRP11",0.0859313061328057,57,0.434946909038563,1,0.999998187394416,1,0.999998240152332
"CCDC170",-0.390672692448746,14,0.0955807045456294,1,0.680055486424186,1,0.999998240152332
"PCMT1",-0.0174077655955698,66,0.864538026866961,1,0.99993954050786,1,0.999998240152332
"PLEKHG1",-0.0646419966605537,62,0.539605249585829,1,0.141903544371134,1,0.881985106552892
"MYCT1",-0.162968661964406,64,0.115949903948038,1,0.315512019685785,1,0.999998240152332
"TASL",-0.0307284102362557,60,0.774344695430258,1,0.99993954050786,1,0.999998240152332
"MAGEB4",0.0236889684839567,12,0.926340489251152,1,0.999992338573749,1,0.999998240152332
"CYSTM1",0.0674407131366122,69,0.49889133516936,1,0.999998187394416,1,0.999998240152332
"WDR55",0.0138456885077563,46,0.910397409014096,1,0.999998187394416,1,0.999998240152332
"ARAP3",-0.28088686174599,50,0.0171080441469192,1,0,1,0
"PCDHB8",0,28,1,1,0.999990001199856,1,0.999998240152332
"PCDHB10",0.145622276087156,23,0.412830332378143,1,0.81871769030546,1,0.999998240152332
"PCDHB14",-0.256685630489704,51,0.0277017524851805,1,0.243181337398878,1,0.999998240152332
"PCDHB12",-0.174157636504809,33,0.234548701221719,1,0.181280497088955,1,0.999998240152332
"SLC25A2",0.160177446758019,30,0.298682092906558,1,0.999998187394416,1,0.999998240152332
"TNN",-0.110096376512636,11,0.683091398309609,1,0.484944992189223,1,0.999998240152332
"MRPS14",0.127308877961867,47,0.29536103093057,1,0,1,0
"CENPL",0.17587735072529,60,0.100810218536848,1,0.999998187394416,1,0.999998240152332
"TNFSF18",-0.05884898863365,15,0.794002680192762,1,0.999990001199856,1,0.999998240152332
"SEC16B",0.0228251858145443,68,0.82030119942152,1,0.999997625656209,1,0.999998240152332
"GORAB",-0.0975319854022061,60,0.362835752866488,1,0.680055486424186,1,0.999998240152332
"GPR31",NA,NA,NA,NA,NA,NA,NA
"ACAT2",-0.00380419763575739,68,0.969799625023871,1,0.99993954050786,1,0.999998240152332
"TCP1",0.0217623636951613,66,0.831111327751677,1,0.999998240152332,1,0.999998240152332
"TTLL2",NA,NA,NA,NA,NA,NA,NA
"SNX19",0.10673445960231,62,0.311136671339159,1,0,1,0
"KCNJ5",-0.34186902450779,23,0.0545380483345288,1,0.405863977066011,1,0.999998240152332
"MSANTD2",-0.0351804214922946,57,0.749239579569537,1,0.141903544371134,1,0.881985106552892
"TEX11",0.043229647707156,24,0.803525912118194,1,0.883248186037017,1,0.999998240152332
"ARR3",NA,NA,NA,NA,NA,NA,NA
"PDZD11",-0.0761097494723046,55,0.497236563473048,1,0.99993954050786,1,0.999998240152332
"SLC10A7",0.0598610454286872,52,0.604034512354615,1,0.999998187394416,1,0.999998240152332
"NUDCD1",-0.0524333955885482,64,0.613014743322165,1,0.766226900799853,1,0.999998240152332
"ENY2",-0.103981402044035,68,0.300748754784795,1,0,1,0
"MASTL",-0.173778174870556,43,0.172706935685636,1,0.0931498009759068,1,0.777709934209868
"KIAA1217",-0.0500027703133246,48,0.677747782239958,1,0.999991420065036,1,0.999998240152332
"LYZL1",NA,NA,NA,NA,NA,NA,NA
"PLXDC2",-0.0765244151832865,64,0.460418543817144,1,0.99993954050786,1,0.999998240152332
"EPC1",0.042164579659375,66,0.679443124777856,1,0.999998187394416,1,0.999998240152332
"CCDC77",-0.0135297202312787,62,0.897841810255124,1,0.999993200193115,1,0.999998240152332
"TAF12",-0.0496089741813552,62,0.637814601947445,1,0.81871769030546,1,0.999998240152332
"ENOX1",-0.337522810278406,42,0.00889769730440366,1,0.181280497088955,1,0.999998240152332
"TNFSF11",-0.0770328886519643,26,0.643428843563621,1,0.66109956546382,1,0.999998240152332
"SOHLH2",0,20,1,1,0,1,0
"DNAJC15",-0.0979306366282257,66,0.337184021141777,1,0.999998187394416,1,0.999998240152332
"PROSER1",-0.0798793844376345,63,0.444696231849709,1,0.141903544371134,1,0.881985106552892
"UFM1",-0.0772502714110286,69,0.438578026081,1,0.727863693925323,1,0.999998240152332
"WBP4",0.0192275373316437,58,0.860076629906094,1,0.808104685521317,1,0.999998240152332
"ELF1",-0.0113369503975239,64,0.912919563499598,1,0.999977960461067,1,0.999998240152332
"SMAD9",0.0220715061174367,69,0.824848468302739,1,0.999998187394416,1,0.999998240152332
"HSPH1",-0.0852854291396779,62,0.418341089100227,1,0.283845007631377,1,0.999998240152332
"KBTBD7",0.141310411304466,62,0.179938999847433,1,0.999998187394416,1,0.999998240152332
"ALG5",-0.0892784843805009,64,0.389136635009517,1,0,1,0
"EXOSC8",0.0240932516931301,68,0.810502779863668,1,0.99993954050786,1,0.999998240152332
"ETF1",-0.141711879969049,64,0.171638173146132,1,0,1,0
"TGFBI",-0.0507226351434318,68,0.613703068664854,1,0.862444826231186,1,0.999998240152332
"FAM53C",-0.0672074915650472,68,0.503589304430051,1,0,1,0
"SIL1",-0.00174795793924034,58,0.987214329735573,1,0.999994314822395,1,0.999998240152332
"PAIP2",0.0950731813296504,66,0.351470731279953,1,0.924195021860023,1,0.999998240152332
"MYOT",-0.0403700731509542,35,0.776205297093884,1,0.99999737359783,1,0.999998240152332
"KDM3B",0.0381437479582523,59,0.724235463625036,1,0.969240439709216,1,0.999998240152332
"EGR1",-0.0012680658785858,68,0.98993107067785,1,0.999998240152332,1,0.999998240152332
"SERP1",-0.057579532354577,66,0.572554439810484,1,0.792467093902299,1,0.999998240152332
"PLS1",0.196902882791155,53,0.0849207034045613,1,0.763411468718053,1,0.999998240152332
"ZFP30",-0.0212198356706922,41,0.870991194797463,1,0.99993954050786,1,0.999998240152332
"NR2C1",-0.0860875553937727,55,0.442582789689087,1,0.766226900799853,1,0.999998240152332
"UTP20",-0.0786200844723193,68,0.433960898925364,1,0.999990001199856,1,0.999998240152332
"TMPO",-0.0581018707873101,64,0.5751703741981,1,0.957185531090966,1,0.999998240152332
"ARL1",0.13553761597479,65,0.187539450808381,1,0.141903544371134,1,0.881985106552892
"GLT8D2",-0.0290970383216311,53,0.799041684867625,1,0.112462006079027,1,0.87421027066455
"MTERF2",-0.0779038257661719,37,0.572147840128683,1,0.792517492503213,1,0.999998240152332
"SOCS2",-0.106129861876644,67,0.294553156817521,1,0.99993954050786,1,0.999998240152332
"NFYB",0.162902402237781,51,0.162369918111121,1,0.900702568327678,1,0.999998240152332
"WASHC3",-0.0672074915650472,68,0.503589304430051,1,0.899514563106796,1,0.999998240152332
"APAF1",-0.0120264179833588,62,0.909140450096646,1,0.999991420065036,1,0.999998240152332
"DUSP4",0.0870957557410689,63,0.404656761927286,1,0.999998187394416,1,0.999998240152332
"TNFRSF10B",NA,NA,NA,NA,NA,NA,NA
"SORBS3",0.0327133322576003,48,0.785731300677149,1,0.999997715371892,1,0.999998240152332
"PTK2B",-0.0394888377222136,53,0.729709746326366,1,0.99993954050786,1,0.999998240152332
"CHRNA2",0.0151965527490724,39,0.909802042868713,1,0.999997786048118,1,0.999998240152332
"ADRA1A",-0.0612066478926411,66,0.548612829853218,1,0.909559668515093,1,0.999998240152332
"PPP3CC",-0.0426427145698389,62,0.685733830231996,1,0.999991420065036,1,0.999998240152332
"PDLIM2",0.0321624888163005,54,0.776294885779718,1,0.861813627982897,1,0.999998240152332
"EPHX2",-0.063566273459915,62,0.546374228567948,1,0,1,0
"RNF170",0.030804590225941,51,0.791627371648502,1,0.999998187394416,1,0.999998240152332
"NPPB",NA,NA,NA,NA,NA,NA,NA
"UBIAD1",0.0266293834503017,68,0.790996215494177,1,0.999997786048118,1,0.999998240152332
"TNFRSF8",NA,NA,NA,NA,NA,NA,NA
"ZNF706",-0.101072195598252,67,0.318166031933892,1,0.372582026629687,1,0.999998240152332
"LYPLA1",-0.0425809228177086,63,0.683703338135546,1,0.99993954050786,1,0.999998240152332
"CRISPLD1",-0.189230450688408,48,0.115819950324532,1,0,1,0
"COPS5",-0.0887646115010057,68,0.377025240573943,1,0.298956893424703,1,0.999998240152332
"RDH10",0.0122413295785282,66,0.904508487005865,1,0.999998187394416,1,0.999998240152332
"EPX",-0.179386691593222,35,0.206531982033167,1,0.207906219662023,1,0.999998240152332
"AKAP1",NA,NA,NA,NA,NA,NA,NA
"COIL",-0.0394442841974798,66,0.69907931225531,1,0.792517492503213,1,0.999998240152332
"TRIM25",0.0291217603018245,65,0.777051167548534,1,0.999998081277102,1,0.999998240152332
"SCPEP1",0.0556842459192219,64,0.591175986099736,1,0.339427484445384,1,0.999998240152332
"SPOP",0.127928143709517,62,0.224765306708411,1,0,1,0
"TBX2",-0.0911298979734878,66,0.371806189864434,1,0.533770596817139,1,0.999998240152332
"SLC35B1",-0.00425135639907147,64,0.967288905523574,1,0.999998187394416,1,0.999998240152332
"TBX4",0.0730881682755858,16,0.736617206135004,1,0.999992338573749,1,0.999998240152332
"TEX14",-0.135542914168417,62,0.198368692927566,1,0.887531194114087,1,0.999998240152332
"FAM117A",-0.15661477964133,65,0.127799797173583,1,0.217382137500815,1,0.999998240152332
"NCAPH",-0.100626553025688,56,0.364971232045163,1,0.489402341585345,1,0.999998240152332
"LRAT",-0.0589430998604927,64,0.569649549161686,1,0.99993954050786,1,0.999998240152332
"TMEM131L",-0.371580267808769,18,0.0677987124289229,1,0.858087875693902,1,0.999998240152332
"MND1",0.0338230859621227,37,0.806258422917023,1,0.844031517818992,1,0.999998240152332
"TRIM6",-0.00168031158823159,59,0.987599979374864,1,0.99993954050786,1,0.999998240152332
"ABCC11",-0.112687233963802,21,0.546493595406582,1,0.99999791388518,1,0.999998240152332
"TENT4B",0.0318689227714156,44,0.800202117165679,1,0.999997625656209,1,0.999998240152332
"ADCY7",-0.0124341182825498,22,0.945584744246869,1,0.999991420065036,1,0.999998240152332
"CEP89",0.00657658163071433,60,0.951072821921685,1,0.999997625656209,1,0.999998240152332
"TSHZ3",-0.127949655794728,64,0.217125430771357,1,0,1,0
"ECHDC2",-0.0304335810860591,68,0.761983756591989,1,0.99993954050786,1,0.999998240152332
"PLBD1",0.0414165314640562,67,0.682504440397561,1,0.466569249711816,1,0.999998240152332
"PYROXD1",0.0180396269750382,62,0.864078933044275,1,0.999998081277102,1,0.999998240152332
"IAPP",0.0418853908291696,20,0.827259346562711,1,0.800729243459722,1,0.999998240152332
"KCNJ8",-0.00779473896258224,56,0.944054023280193,1,0.999997625656209,1,0.999998240152332
"PSPC1",0.0232559537048469,62,0.825338718344972,1,0.999997625656209,1,0.999998240152332
"ZNF549",-0.0298142396999972,10,0.916814948528089,1,0,1,0
"A1BG",-0.147709789175199,11,0.583882420770365,1,0.999990001199856,1,0.999998240152332
"ZNF211",0.158880374716086,48,0.186719890692951,1,0.999998187394416,1,0.999998240152332
"PDZRN3",-0.124851463939279,56,0.261001071784611,1,0.357737002682644,1,0.999998240152332
"RGSL1",0.0865394616767029,23,0.626496274346911,1,0.999998187394416,1,0.999998240152332
"LHX4",-0.0369274472937998,16,0.865063335390232,1,0.999998187394416,1,0.999998240152332
"RNF2",0.158604159791304,46,0.197353172395333,1,0.999998187394416,1,0.999998240152332
"TRMT1L",0.0952103411663306,66,0.350776318656715,1,0.999998081277102,1,0.999998240152332
"SEC22A",-0.0441656686616189,62,0.675140747258758,1,0.999990001199856,1,0.999998240152332
"CSTA",0.0459133628766788,23,0.796253414737639,1,0.887531194114087,1,0.999998240152332
"DPPA4",NA,NA,NA,NA,NA,NA,NA
"POPDC2",-0.224767406546623,43,0.0777915424327974,1,0.247942692661848,1,0.999998240152332
"B4GALT4",NA,NA,NA,NA,NA,NA,NA
"NAA50",-0.0101445270286864,68,0.91958306147828,1,0.99993954050786,1,0.999998240152332
"CD80",0.251309002389398,54,0.0263999752093839,1,0.999998187394416,1,0.999998240152332
"KIF18A",-0.0145478593490662,21,0.937947456842939,1,0,1,0
"DESI2",0.101392009685999,55,0.365813121304394,1,0.314969221957179,1,0.999998240152332
"MAPK8IP1",-0.207753186429966,62,0.0486734416613108,1,0.81871769030546,1,0.999998240152332
"CRY2",0.084820558335831,64,0.413252820985319,1,0.944691965807008,1,0.999998240152332
"PEX16",0.0258774584753383,64,0.802885029112462,1,0.999997672025664,1,0.999998240152332
"DEPDC7",0,66,1,1,0,1,0
"PILRB",NA,NA,NA,NA,NA,NA,NA
"ZMYM2",0.00946762136662302,35,0.94684707139927,1,0.733193776623946,1,0.999998240152332
"GJB6",-0.123138013749238,32,0.408311391855404,1,0.473120811226623,1,0.999998240152332
"GJA3",-0.205971460217775,15,0.360765350584501,1,0.999990001199856,1,0.999998240152332
"TBC1D15",-0.0267811778393381,66,0.792965225289231,1,0.970892119578129,1,0.999998240152332
"HCRTR1",NA,NA,NA,NA,NA,NA,NA
"ZCCHC17",0.0816825924099813,66,0.423415771823499,1,0.295695959997196,1,0.999998240152332
"FABP3",0.0238728870355605,63,0.819322777151339,1,0.999978746918303,1,0.999998240152332
"KHDRBS1",-0.157300186765645,64,0.129184792369021,1,0.680055486424186,1,0.999998240152332
"TMEM39B",-0.130441827996262,56,0.240251741198991,1,0.221605228311477,1,0.999998240152332
"CCRL2",0.2353959545346,15,0.296269871484286,1,0.791363484646195,1,0.999998240152332
"CCR2",0.154892230079405,39,0.248213078989924,1,0.999998187394416,1,0.999998240152332
"POLR3GL",0.0474420072047868,64,0.647219966594614,1,0.808104685521317,1,0.999998240152332
"GHSR",-0.0212112096755892,28,0.894478470353929,1,0.99993954050786,1,0.999998240152332
"TNFSF10",-0.0790789383052941,63,0.449272570322512,1,0.871639440369475,1,0.999998240152332
"ZNF639",0.126156478596732,34,0.381673069343418,1,0.999998187394416,1,0.999998240152332
"SLITRK3",0.0211100165460375,17,0.919944380817007,1,0.999997864251847,1,0.999998240152332
"PIK3CA",0.0959461077821376,62,0.362577085082774,1,0.932445686225456,1,0.999998240152332
"PDS5A",0.0482177033636613,58,0.658448477163776,1,0.999998187394416,1,0.999998240152332
"TMEM156",-0.110685139066387,60,0.301747117469521,1,0.999991420065036,1,0.999998240152332
"LIAS",-0.0352709367594346,54,0.755334366279655,1,0.999998081277102,1,0.999998240152332
"CPXM2",-0.140356020115773,42,0.276672387408708,1,0.999991420065036,1,0.999998240152332
"TMEM54",-0.413200872035536,49,0.000518741618522773,1,0.892429108995599,1,0.999998240152332
"ZSCAN20",-0.00449892811747405,51,0.969220935982775,1,0.999991420065036,1,0.999998240152332
"HPCA",-0.3530939318019,15,0.117185087198138,1,0.35683678574277,1,0.999998240152332
"LRIF1",-0.0808642374638308,60,0.450570323935532,1,0.141903544371134,1,0.881985106552892
"TMIGD3",0.200838578101374,21,0.282488202544068,1,0.81871769030546,1,0.999998240152332
"CLCC1",-0.0466023696855155,62,0.658325787569297,1,0.999993200193115,1,0.999998240152332
"GPSM2",NA,NA,NA,NA,NA,NA,NA
"GTDC1",0,31,1,1,0,1,0
"CXCR4",-0.106517533801207,68,0.289113309516823,1,0.352336260925626,1,0.999998240152332
"ZRANB3",0.0691519034043133,62,0.511691531945287,1,0.81871769030546,1,0.999998240152332
"ACVR2A",0.0200858833795036,66,0.843947620852977,1,0.999997625656209,1,0.999998240152332
"POLK",-0.0552676331879292,64,0.593954675326915,1,0.99993954050786,1,0.999998240152332
"SV2C",0.0777579275861545,22,0.669508565996856,1,0,1,0
"FLT3",-0.0136471502757982,48,0.90970390539987,1,0.999992338573749,1,0.999998240152332
"MTIF3",NA,NA,NA,NA,NA,NA,NA
"GTF3A",-0.0748081252021169,66,0.463474353236853,1,0.289479019650685,1,0.999998240152332
"RASL11A",-0.0137065868260197,62,0.896513817674076,1,0.319937713768929,1,0.999998240152332
"UBL3",0.0522232967867094,66,0.608790266549181,1,0.944691965807008,1,0.999998240152332
"FYTTD1",-0.0271810451120902,60,0.799804937182689,1,0.99993954050786,1,0.999998240152332
"XPNPEP2",0.0315693472063169,62,0.764503381535846,1,0.970892119578129,1,0.999998240152332
"SASH3",-0.111532113937702,66,0.274375405975229,1,0.792517492503213,1,0.999998240152332
"OCRL",-0.127210594736856,66,0.212509416455259,1,0.99993954050786,1,0.999998240152332
"PAEP",NA,NA,NA,NA,NA,NA,NA
"MRPS2",0.247206616236522,45,0.0469926351363778,1,0,1,0
"FMOD",-0.220419759312537,65,0.0320938141474285,1,0,1,0
"MYOG",0.101929438287525,11,0.705456986111273,1,0.882951819211425,1,0.999998240152332
"LAX1",NA,NA,NA,NA,NA,NA,NA
"KIAA1191",-0.0524333955885482,64,0.613014743322165,1,0.946301768118952,1,0.999998240152332
"COPA",-0.17499309124484,68,0.081588693555554,1,0.325998096380515,1,0.999998240152332
"CD244",NA,NA,NA,NA,NA,NA,NA
"LY9",NA,NA,NA,NA,NA,NA,NA
"HS3ST2",-0.0649425703120205,42,0.614728503861385,1,0.430626855823161,1,0.999998240152332
"RBBP6",-0.0826816236355919,62,0.432691510472441,1,0.999991420065036,1,0.999998240152332
"ZC3H7A",-0.00946762136662302,35,0.94684707139927,1,0.999991420065036,1,0.999998240152332
"SERAC1",-0.0274329508128936,54,0.808496607872889,1,0.999991420065036,1,0.999998240152332
"ANXA11",0.0186047629638776,62,0.85986425463441,1,0.999997625656209,1,0.999998240152332
"LDB3",-0.052807868958756,51,0.650612963932754,1,0.999991420065036,1,0.999998240152332
"OPN4",NA,NA,NA,NA,NA,NA,NA
"SHLD2",0.132410224425712,56,0.233230222782185,1,0.944691965807008,1,0.999998240152332
"PRXL2A",-0.126548609698514,52,0.272922751718342,1,0.444115157391976,1,0.999998240152332
"ZNF205",-0.162609826854904,55,0.14695739739553,1,0.99993954050786,1,0.999998240152332
"NAA60",-0.0803435335180144,66,0.431055818951591,1,0.81871769030546,1,0.999998240152332
"RPL5",0.0431142398719171,68,0.667868311232278,1,0,1,0
"ODF2L",0.0443896761618475,29,0.777297410789522,1,0.999998187394416,1,0.999998240152332
"PTGFR",-0.0755361218603769,38,0.578573170519172,1,0.800445593429433,1,0.999998240152332
"SPATA1",-0.451868919446769,17,0.0314504486919186,1,0.719839527027027,1,0.999998240152332
"TRMT13",-0.034128273838371,67,0.736067195310489,1,0.99993954050786,1,0.999998240152332
"LRRC39",-0.268721984213059,59,0.0129370758139301,1,0.419530345487189,1,0.999998240152332
"RWDD3",-0.016321772771371,66,0.872914670993875,1,0.999998187394416,1,0.999998240152332
"ZNF644",-0.0189511747871654,55,0.865772374992621,1,0.999991420065036,1,0.999998240152332
"CCDC18",-0.0640709787032075,30,0.677625518626824,1,0.792517492503213,1,0.999998240152332
"RPAP2",0.038373240158245,60,0.720326170858627,1,0.999997786048118,1,0.999998240152332
"SLC66A2",0.119371236085558,56,0.28251349452338,1,0.54690219412421,1,0.999998240152332
"BBS9",-0.113670735825314,56,0.306133439659225,1,0.999991420065036,1,0.999998240152332
"PMS2",0.129756837341378,37,0.346764183516184,1,0.999997625656209,1,0.999998240152332
"ZMIZ2",-0.00504625914386928,34,0.972085553404751,1,0.99993954050786,1,0.999998240152332
"OCM",NA,NA,NA,NA,NA,NA,NA
"SEPTIN7",0.0198396631956669,64,0.848232390530947,1,0.999998081277102,1,0.999998240152332
"EEPD1",-0.0482061201108086,66,0.636618665072646,1,0.99993954050786,1,0.999998240152332
"KLHL7",0.137164754064468,54,0.225577537874139,1,0.112462006079027,1,0.87421027066455
"HERPUD2",NA,NA,NA,NA,NA,NA,NA
"CBX3",-0.0381759997676008,63,0.714911014668065,1,0.243694251205668,1,0.999998240152332
"HNRNPA2B1",-0.0519524333466131,19,0.792460088608035,1,0.99995751550684,1,0.999998240152332
"WIPF3",-0.110940039245046,25,0.513940706238362,1,0.623268698060942,1,0.999998240152332
"NXPH1",0.0365440841377929,40,0.782487531610398,1,0.999997625656209,1,0.999998240152332
"NPY",-0.0620400967684458,32,0.676972625777478,1,0.999997786048118,1,0.999998240152332
"HYCC1",-0.215588481606672,66,0.0346162068403255,1,0.141903544371134,1,0.881985106552892
"HOXA7",-0.14638501094228,28,0.359989167156259,1,0.999998187394416,1,0.999998240152332
"INHBA",-0.353553390593274,16,0.103741678236542,1,0.459799549446002,1,0.999998240152332
"FKBP9",-0.0465935978970632,67,0.645387747869369,1,0.99993954050786,1,0.999998240152332
"NT5C3A",0.179420149610703,57,0.103064468513493,1,0,1,0
"ARL4A",0.242031661915096,62,0.0216346730076726,1,0.999990001199856,1,0.999998240152332
"CCZ1",0.0451333899795344,53,0.692917242159664,1,0.476840956338655,1,0.999998240152332
"POLM",-0.0787575550116253,67,0.436660709048995,1,0.858087875693902,1,0.999998240152332
"RAMP3",-0.135718418085845,34,0.346641344386195,1,0.772224567327986,1,0.999998240152332
"MRM2",-0.124614948732424,42,0.334132117478476,1,0.586230949589683,1,0.999998240152332
"TWIST1",-0.196632327884932,47,0.106040884842674,1,0.250113789257294,1,0.999998240152332
"SMU1",-0.0615967090304777,66,0.546067878995548,1,0,1,0
"GLIPR2",-0.169882397145875,55,0.129714467787913,1,0.999991420065036,1,0.999998240152332
"SLC25A51",NA,NA,NA,NA,NA,NA,NA
"CLTA",-0.143608649991071,59,0.184084641559294,1,0.763411468718053,1,0.999998240152332
"RECK",0.158439322724417,51,0.174188664932365,1,0.999997625656209,1,0.999998240152332
"SPINK4",NA,NA,NA,NA,NA,NA,NA
"TAF1L",NA,NA,NA,NA,NA,NA,NA
"ACO1",-0.172733406835012,40,0.191911442201176,1,0,1,0
"PHF24",NA,NA,NA,NA,NA,NA,NA
"DNAI1",0.03707204146061,43,0.771137562890692,1,0.38379138386219,1,0.999998240152332
"DCAF10",-0.177139849961311,64,0.0875067776752431,1,0.858087875693902,1,0.999998240152332
"CNTFR",-0.332499423745607,51,0.00434851239647878,1,0.238128232235207,1,0.999998240152332
"KIAA1549",-0.0528020339860817,57,0.631406157451265,1,0.858087875693902,1,0.999998240152332
"TRIM24",0.0331684764854368,59,0.759006268528397,1,0.999998187394416,1,0.999998240152332
"CYREN",NA,NA,NA,NA,NA,NA,NA
"CALD1",0.0742392338645623,28,0.642476991208088,1,0.199551163716654,1,0.999998240152332
"AKR1D1",0.00507226351434318,68,0.959740312506868,1,0.999998187394416,1,0.999998240152332
"NUDT10",-0.244599795235114,13,0.317310507862914,1,0,1,0
